Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"40162020","1","40172634","","2016-10-20 18:34:44","","1","523","<p>I get the following warning every time i hit the same item in the drawer twice:</p>

<pre><code>Warning: flattenChildren(...): Encountered two children with the same key, `scene_1`. Child keys must be unique; when two children share a key, only the first child will be used.  
</code></pre>

<p>Here is my code:</p>

<pre class=""lang-js prettyprint-override""><code>import React from 'react';
import {
    View, Navigator,DrawerLayoutAndroid, Text, TouchableHighlight
} from 'react-native';

const ROUTES = [ { name: 'Main' } ];

export default class App extends React.Component {
    render () {
        return (
            &lt;View style={{ flex: 1 }}&gt;
                &lt;DrawerLayoutAndroid
                    ref=""drawer""
                    drawerWidth={300}
                    renderNavigationView={() =&gt; (
                        &lt;View&gt;
                            &lt;TouchableHighlight
                                key={ROUTES[0].name}
                                onPress={() =&gt; this.refs.navigator.push(ROUTES[0])}
                            &gt;
                                &lt;Text&gt;{ROUTES[0].name}&lt;/Text&gt;
                            &lt;/TouchableHighlight&gt;
                        &lt;/View&gt;
                    )}
                &gt;
                    &lt;Navigator
                        ref=""navigator""
                        initialRoute={ROUTES[0]}
                        renderScene={route =&gt; &lt;Text&gt;Scene {route.name}&lt;/Text&gt;}
                    /&gt;
                &lt;/DrawerLayoutAndroid&gt;
            &lt;/View&gt;
        );
    }
}
</code></pre>

<p>Currently i don't know how do deal with this. This warning also looks very common for different problems.</p>

<p>Anyone has an idea how to solve this?</p>
","1592039","","1592039","","2016-10-21 07:19:48","2017-01-20 18:55:54","Warning: flattenChildren(...) with react-native Navigator and DrawerLayoutAndroid","<javascript><android><react-native>","2","0","","",""
"47028558","1","47030407","","2017-10-31 05:41:12","","3","539","<p>As the title states, using <code>React.cloneElement</code> inside <code>React.Children.map</code> is causing element keys to change.</p>

<p>Here is a <a href=""https://codesandbox.io/s/91jm9609w"" rel=""nofollow noreferrer"">sandbox</a> demonstrating this.</p>

<pre><code>React.Children.map(children, (child) =&gt; {
    let clonedEl = React.cloneElement( child );
    console.log(clonedEl);
    return clonedEl;
});
</code></pre>

<p>The result of that block of code has elements with <code>.$</code> added to the front of every key. This is really confusing for two reasons.</p>

<p>1: The documentation says that <a href=""https://reactjs.org/docs/react-api.html#cloneelement"" rel=""nofollow noreferrer"">cloneElement</a> will preserve keys and refs. </p>

<blockquote>
  <p>Clone and return a new React element using element as the starting point. The resulting element will have the original element’s props with the new props merged in shallowly. New children will replace existing children. key and ref from the original element will be preserved.</p>
</blockquote>

<p>2: The results of the <code>console.log</code> is an element with preserved keys and ref...</p>

<p>This would lead me to believe that the addition is happening somewhere in the React.Children.map code.</p>

<p>UPDATE: After looking at the code for React.Children.map...</p>

<p>I figured out it is getting added by the following function chain: mapChilren -> mapIntoWithKeyPrefixInternal -> traverseAllChildren -> traverseAllChildrenImpl -> mapSingleChildIntoContext.</p>

<p><code>mapSingleChildIntoContext</code>'s third argument is childKey. It is called with <code>nameSoFar === '' ? SEPARATOR + getComponentKey(children, 0) : nameSoFar</code> as it's third argument inside <code>traverseAllChildrenImpl</code>.</p>

<p><code>SEPARATOR = "".""</code> and <code>getComponentKey</code> returns the key with a $ prefixed to it within the escape function.</p>

<p>UPDATED PROBLEM:</p>

<p>Now I'm looking for a way around this... I'm not sure if there is one considering traverseAllChildrenImpl is called with an empty string as the <code>nameSoFar</code> within traverseAllChildren.</p>

<p>I think this may be intended the intended behavior of <code>React.Children.map</code> to build new DOM. This is causing a for me when trying to update the props on dynamic children.</p>

<p>SOLUTION: Don't use things how they're not intended to be used.</p>

<p>I was building a grouping of form controls that are really easy for the developer. The state tree is dynamically built by mapping the children and using . delineated string names from elements with names to create keys and values on the top level component.</p>

<p>The top level form component has onChange handlers for different types of controls and they are applied to the onChange properties of elements as needed. This mapping was done in the componentWillMount method and is what was causing me problems.</p>

<p>Moving the mapping to the render method allowed me to not have to update the children in the handles. Updating in the handles was causing elements to lose focus. All is good now!</p>
","6338762","","6338762","","2017-10-31 06:45:34","2018-04-12 13:44:53","React.cloneElement inside React.Children.map is causing element keys to change","<javascript><reactjs>","1","2","1","",""
"38642976","1","38808218","","2016-07-28 17:25:18","","0","256","<p>I'm working on a react/redux app and want my tabbed components to use the redux store for their active tab state. I attempted to do this in as generic a way as possible to share the functionality among all of my different tab components; this resulted in a generic tab panel with the following render method:</p>

<pre><code> render () {
    var activeTarget = this.props.panelState.tabPanes[this.props.tabPanelID] ? this.props.panelState.tabPanes[this.props.tabPanelID].activeTarget : this.props.defaultTarget;
    var tabs = this.props.panelState.tabs;
    var tabPanelID = this.props.tabPanelID;
    // Add the tabPanelID and active properties to the tab pane children
    const childrenWithProps = React.Children.map(this.props.children,
        (child) =&gt; React.cloneElement(child, {
            tabPanelID: tabPanelID,
            active: activeTarget === child.props.id
        })
    );
    // Render complete tab pane
    return (
        &lt;div&gt;
            &lt;ul className=""nav nav-tabs""&gt;
                {this.buildTabs()}
            &lt;/ul&gt;
            &lt;div className=""tab-content""&gt;
                {childrenWithProps}
            &lt;/div&gt;
        &lt;/div&gt;
    );
}
</code></pre>

<p>However, the map call appears to result in the following warning:</p>

<blockquote>
  <p>Warning: setState(...): Cannot update during an existing state transition (such as within <code>render</code> or another component's constructor). Render methods should be a pure function of props and state; constructor side-effects are an anti-pattern, but can be moved to `componentWillMount</p>
</blockquote>

<p>Unless I'm mistaken I'm not actually changing the state here, so I'm not certain why I'm getting this warning. I'm relatively new to react, though, so it's likely enough that I'm missing something or misunderstanding.</p>

<p>Any assistance would be greatly appreciated.</p>

<p>Edit: for those wondering, here is the contents of buildTabs():</p>

<pre><code>buildTabs() {
    var result = [];
    var tabPanelID = this.props.tabPanelID;
    // Create a tab for each tab in the props
    for(var i = 0; i &lt; this.props.tabs.length; i++) {
        result.push
        (
            &lt;Tab tabPanelID={this.props.tabPanelID} bare={this.props.tabs[i].bare} key={i} target={this.props.tabs[i].target} 
                active={this.props.panelState.tabPanes[tabPanelID] ? 
                    (this.props.panelState.tabPanes[tabPanelID].activeTarget === this.props.tabs[i].target) : 
                    this.props.tabs[i].target == this.props.defaultTarget} 
                    additionalClasses={this.props.additionalTabClasses}&gt; 
                {this.props.tabs[i].contents}
            &lt;/Tab&gt;
        )
    }
    return result;
}
</code></pre>

<p>I simply didn't include that before because I can leave that in without issue, but removing the call to Children.map eliminates the warning.</p>
","1775859","","1775859","","2016-07-28 17:38:28","2016-08-06 19:57:31","Why do I get a warning when cloning elements with new props in render() with react/redux?","<reactjs><redux>","1","4","1","",""
"42465299","1","","","2017-02-26 06:02:32","","0","342","<p>Currently I am getting data from an API and storing those results into an array. The problem, when I do the array mapping to the child component, it never executes because the array is empty to begin with. How can I execute the array mapping when the array has data in it. I tried inline conditional such as doing {array.length > 0 ? //do array mapping}. I also tried making the array both global and an array that is a state of the parent component.</p>

<p>//React Router</p>

<pre><code>import React from 'react';
import { Route, IndexRoute } from 'react-router';

import Main from '../components/Main';

export default () =&gt; {
  return &lt;Route path=""/"" component={Main}/&gt;
};
</code></pre>

<p>//Main component</p>

<pre><code>import React, { PropTypes, Component } from 'react';
// import bgImage from './ignasi_pattern_s.png';
import Child1 from './Children/Child1';
import axios from 'axios';

const QUERY_URL = ""https://api.nytimes.com/svc/search/v2/articlesearch.json?api-key="";

//****Tried global array declaration and as a state property but both do not work.
// var articles = [];


class Main extends Component {

    constructor(props){
        super(props);

        this.state = {
            search: """",
            articles: []
        }

        this.getTopic = this.getTopic.bind(this);
        this.executeSearch = this.executeSearch.bind(this);
    }

    getTopic(event) {

        this.setState({
            search: event.target.value
        });
    }

    executeSearch(event) {

        event.preventDefault();

        axios.get(QUERY_URL + ""&amp;q="" + this.state.search).then((response) =&gt; {

            for(var i = 0; i &lt; 5; i++){

                this.state.articles.push({
                    headline: response.data.response.docs[i].lead_paragraph
                })
            }
        }); 
    }

    render() {
        return (
            &lt;div className=""Main"" style={{backgroundImage: `url(${""http://aiburn.com/files/articles/creating_professional_business_backgrounds/06.gif""})`}}&gt;

                &lt;div className=""page-header""&gt;

                    &lt;h1&gt;{getNiceName(this.props.routes)}{' '}
                        &lt;small&gt;page&lt;/small&gt;
                    &lt;/h1&gt;

                    &lt;h1&gt;Search For Something&lt;/h1&gt;

                    &lt;form onSubmit={this.executeSearch}&gt;
                        &lt;input type=""text"" value={this.state.search} onChange={this.getTopic}/&gt;
                        &lt;button type=""submit"" className=""btn btn-default""&gt;Search&lt;/button&gt;
                    &lt;/form&gt;

                &lt;/div&gt;

                &lt;div className=""container Main-content""&gt;

                    //Trouble here mapping the array to the child component.
                    //This never executes because the array is empty to begin with. 
                    {this.state.articles.length &gt; 0 ?

                        {this.state.articles.map((item, index) =&gt; {


                            return &lt;Child1 
                                key={index}
                                headline={item.headline}
                            /&gt;;

                        })}
                    }

                &lt;/div&gt;

            &lt;/div&gt;
        );
    }
}

Main.propTypes = {
    children: PropTypes.node,
    routes: PropTypes.array
};

export default Main;
</code></pre>

<p>//Child Component</p>

<pre><code>import React, { Component } from 'react';

class Child1 extends Component {

    constructor(props) {
        super(props);
    }

    render() {
        return &lt;div&gt;
            &lt;div className=""container""&gt;
                &lt;h1&gt;{this.props.headline}&lt;span&gt;&lt;button type=""submit"" className=""btn btn-default""&gt;Save&lt;/button&gt;&lt;/span&gt;&lt;/h1&gt;
            &lt;/div&gt;

        &lt;/div&gt;;
    }
}

export default Child1;
</code></pre>
","7344314","","","","","2017-02-26 10:12:42","Use array mapping to create react elements in another component","<javascript><reactjs>","2","0","","",""
"50174456","1","","","2018-05-04 12:00:56","","0","73","<p><em>swipeable-card.js:</em></p>

<pre><code>render() {
  const {
    children, containerStyle, revealContainerStyle, rightSwipeContent,
  } = this.props;

const swipeAnimStyle = {
  right: this.swipeAnim,
};

const childrenWithProps = React.Children.map(children, child =&gt; React.cloneElement(child, {
  swipeLeftPanResponder: this.swipeLeftPanResponder,
}));

return (
  &lt;View style={[styles.container, containerStyle]}&gt;
    &lt;Animated.View style={[styles.swipedSection, swipeAnimStyle]}&gt;
      {childrenWithProps}
    &lt;/Animated.View&gt;

    &lt;View
      style={[styles.revealedContainer, revealContainerStyle]}
    &gt;
      {rightSwipeContent()}
    &lt;/View&gt;
  &lt;/View&gt;
);
}
</code></pre>

<p>The above component is being used as shown below:</p>

<pre><code>renderStory({ item }: Object) {
  const story = this.props.feeds.byId[item];

return (
  &lt;SwipeableCard
    key={item}
    containerStyle={styles.feedCard}
    rightSwipeContent={this.renderSwipeContent(story, this.props.portfolios)}
  &gt;
    &lt;StoryCard story={story} onStoryPress={this.onStoryPress(item)} /&gt;
  &lt;/SwipeableCard&gt;
);
}
</code></pre>

<p><em>.flowconfig.js</em></p>

<pre><code>[ignore]
; We fork some components by platform
.*/*[.]android.js

; Ignore React Navigation
.*/node_modules/react-navigation/.*

; Ignore React Native Tab View
.*/node_modules/react-native-tab-view/.*

; Ignore React Native Loading Placeholder
.*/node_modules/react-native-loading-placeholder/.*

; Ignore React Native Linear Gradient
.*/node_modules/react-native-linear-gradient/.*

; Ignore ""BUCK"" generated dirs
&lt;PROJECT_ROOT&gt;/\.buckd/

; Ignore unexpected extra ""@providesModule""
.*/node_modules/.*/node_modules/fbjs/.*

; Ignore duplicate module providers
; For RN Apps installed via npm, ""Libraries"" folder is inside
; ""node_modules/react-native"" but in the source repo it is in the root
.*/Libraries/react-native/React.js

; Ignore polyfills
.*/Libraries/polyfills/.*

; Ignore React Native
&lt;PROJECT_ROOT&gt;/node_modules/react-native/.*
&lt;PROJECT_ROOT&gt;/node_modules/expo/.*

; Ignore project JSON files
&lt;PROJECT_ROOT&gt;/tools/resources/.*

[include]

[libs]
node_modules/react-native/Libraries/react-native/react-native-interface.js
node_modules/react-native/flow/
node_modules/expo/flow/
flow-typed

[options]
emoji=true

module.file_ext=.css
module.file_ext=.js
module.file_ext=.jsx
module.file_ext=.json

module.system=haste

munge_underscores=true

module.name_mapper='^src' -&gt; '&lt;PROJECT_ROOT&gt;/src'
module.name_mapper='^[./a-zA-Z0-9$_-]+\.\(bmp\|gif\|jpg\|jpeg\|png\|psd\|svg\|webp\|m4v\|mov\|mp4\|mpeg\|mpg\|webm\|aac\|aiff\|caf\|m4a\|mp3\|wav\|html\|pdf\)$' -&gt; 'RelativeImageStub'
module.name_mapper='^react-navigation$' -&gt; 'emptyObject'

suppress_type=$FlowIssue
suppress_type=$FlowFixMe
suppress_type=$FlowFixMeProps
suppress_type=$FlowFixMeState
suppress_type=$FixMe

suppress_comment=\\(.\\|\n\\)*\\$FlowFixMe\\($\\|[^(]\\|(\\(&gt;=0\\.\\(5[0-3]\\|[1-4][0-9]\\|[0-9]\\).[0-9]\\)? *\\(site=[a-z,_]*react_native[a-z,_]*\\)?)\\)
suppress_comment=\\(.\\|\n\\)*\\$FlowIssue\\((\\(&gt;=0\\.\\(5[0-3]\\|[1-4][0-9]\\|[0-9]\\).[0-9]\\)? *\\(site=[a-z,_]*react_native[a-z,_]*\\)?)\\)?:? #[0-9]+
suppress_comment=\\(.\\|\n\\)*\\$FlowFixedInNextDeploy
suppress_comment=\\(.\\|\n\\)*\\$FlowExpectedError
</code></pre>

<p>I am getting the flow error message provided below for the code:</p>

<blockquote>
  <p>Cannot call <code>React.Children.map</code> because property <code>map</code> is missing in
  <code>Children</code></p>
</blockquote>

<p>""flow-bin"": ""^0.71.0"",</p>

<p>""flow-typed"": ""^2.4.0"",</p>

<p>""react"": ""16.2.0"",</p>

<p>""react-native"": ""<a href=""https://github.com/expo/react-native/archive/sdk-25.0.0.tar.gz"" rel=""nofollow noreferrer"">https://github.com/expo/react-native/archive/sdk-25.0.0.tar.gz</a>"",</p>
","2338858","","2338858","","2018-05-17 10:30:44","2018-05-17 10:30:44","Flowjs: map property is missing in React.Children.map","<javascript><reactjs><react-native><types><flow>","1","4","","",""
"40619315","1","40628964","","2016-11-15 20:41:37","","2","1327","<p>I'm trying to build a reactive form nested in multiple components.
I've beed looking for something like this everywhere:</p>

<ul>
<li><strong>Parent component</strong>: The top one contains the <code>&lt;form [formGroup]=""form"" novalidate&gt;</code></li>
<li><strong>Children component</strong> is inside the parent component. It contains *ngFor looping on <code>formGroupName</code> of the form.</li>
<li><strong>GrandChildren components</strong> are inside Children component. That's where fields and values are (<code>formControlName</code>).</li>
</ul>

<blockquote>
  <p>I need the <code>this.form.valueChanges</code> in the parent component to work and reporte data on change as expected.</p>
</blockquote>

<p>I would like each component to fetch the data its needs. In my case, fields and data comes from Firebase.</p>

<p>I have not been able to find anything that looks like this. There only are forms that are built in on component with the classic adresses array. And the form is always built in the ParentComponent.</p>

<p><strong>Question: Is it possible to build a form where fields and values are populated in childrens components ?</strong></p>

<p><strong>form.component.ts</strong></p>

<pre class=""lang-html prettyprint-override""><code>&lt;form [formGroup]=""form"" novalidate&gt;
  &lt;form-fieldset [form]=""form""&gt;&lt;/form-fieldset&gt;
&lt;/form&gt;
</code></pre>

<p><strong>form-fieldset.component.ts</strong></p>

<pre class=""lang-html prettyprint-override""><code>&lt;div [formGroup]=""form""&gt;
  &lt;fieldset *ngFor=""let group of groups$ | async""&gt;
     &lt;form-values [formGroupName]=""group.name"" [form]=""form""&gt;&lt;/form-values&gt;
  &lt;/fieldset&gt;
&lt;/div&gt;
</code></pre>

<p><strong>form-values.component.ts</strong></p>

<pre class=""lang-html prettyprint-override""><code> &lt;ul [formGroup]=""form""&gt;

   &lt;li *ngFor=""let value of values$ | async""&gt;
     &lt;label&gt;
       &lt;input type=""checkbox"" [formControlName]=""value.$key""&gt;
       {{value.$key}}
     &lt;/label&gt;
   &lt;/li&gt;

&lt;/ul&gt;
</code></pre>
","2203299","","217408","","2016-11-15 20:42:41","2016-11-16 09:55:38","Build a reactive form where fields & values are populated in childrens components?","<angular><reactive-programming><observable><angular2-forms>","1","1","1","",""
"42536407","1","","","2017-03-01 16:00:17","","1","363","<p>Using Material UI with this example React component:</p>

<pre><code>const React = require('react');
const DropDownMenu = require('material-ui/DropDownMenu').default;
const MenuItem = require('material-ui/MenuItem').default;

const MyDropDown = React.createClass({
    getDefaultProps: function() {
        return {
            onChange: () =&gt; {},
            items: []
        };
    },

    getInitialState: function() {
        return {
            value: undefined
        };
    },

    render: function() {
        const {
            state: {value},
            props: {items, id}
        } = this;

        return React.createElement(DropDownMenu, {
            id,
            maxHeight: 300,
            onChange: (event, index, value) =&gt; {
                this.setState({value});
            },
            value: typeof value === 'undefined'
                    ? items[0].value
                    : value,
            children: items.map((item, key) =&gt; (
                React.createElement(MenuItem, {
                    value: item.value,
                    primaryText: item.label,
                    key
                })
            ))
        });
    }
});
</code></pre>

<p>When I select or hover one of the items, I get this error.</p>

<pre><code>Exception thrown by hook while handling onSetChildren:
Invariant Violation: Expected onBeforeMountComponent() parent
and onSetChildren() to be consistent (74 has parents 41 and 73).
</code></pre>

<p>This reproduces across any Material UI component with clickable children.
The reading material for the error is frustratingly sparse. <strong>What does this error mean, and why is it happening?</strong></p>
","394397","","394397","","2017-03-01 16:26:28","2017-03-01 16:26:28","What does this React error mean? ""Expected onBeforeMountComponent() parent and onSetChildren() to be consistent""","<javascript><reactjs><material-ui>","0","7","","",""
"40597983","1","","","2016-11-14 21:18:50","","4","1057","<p>I am following instructions for reactive form radio buttons at <a href=""http://devdocs.io/angular~2_typescript/api/forms/index/radiocontrolvalueaccessor-directive"" rel=""nofollow noreferrer"">http://devdocs.io/angular~2_typescript/api/forms/index/radiocontrolvalueaccessor-directive</a>  and using Angular 2.1.2 and Google's MD-alpha.10 Atom-typescript says I have no errors. I get the following console errors.</p>

<pre><code>core.umd.js:3004 EXCEPTION: Uncaught (in promise): Error: Error in http://localhost:3000/app/components/input/postApartment4Rent.component.html:47:62 caused by: No value accessor for form control with name: 'pets'
Error: No value accessor for form control with name: 'pets'
at _throwError (http://localhost:3000/node_modules/@angular/forms/bundles/forms.umd.js:1231:15)
at setUpControl (http://localhost:3000/node_modules/@angular/forms/bundles/forms.umd.js:1171:13)
at FormGroupDirective.addControl (http://localhost:3000/node_modules/@angular/forms/bundles/forms.umd.js:3595:13)
at FormControlName._setUpControl (http://localhost:3000/node_modules/@angular/forms/bundles/forms.umd.js:4029:48)
at FormControlName.ngOnChanges (http://localhost:3000/node_modules/@angular/forms/bundles/forms.umd.js:3975:22)
at Wrapper_FormControlName.detectChangesInInputProps (/ReactiveFormsModule/FormControlName/wrapper.ngfactory.js:44:18)
at _View_PostApartmentComponent0.detectChangesInternal (/AppModule/PostApartmentComponent/component.ngfactory.js:4994:30)
at _View_PostApartmentComponent0.AppView.detectChanges (http://localhost:3000/node_modules/@angular/core/bundles/core.umd.js:9305:18)
at _View_PostApartmentComponent0.DebugAppView.detectChanges (http://localhost:3000/node_modules/@angular/core/bundles/core.umd.js:9410:48)
at _View_PostApartmentComponent_Host0.AppView.detectViewChildrenChanges (http://localhost:3000/node_modules/@angular/core/bundles/core.umd.js:9331:23)
</code></pre>

<p>Relevant code is the following:</p>

<p><strong>HTML</strong> for form component's view</p>

<pre><code>&lt;form [formGroup]=""registerApartment4RentForm"" (submit)=""onSubmit($event)""&gt;

&lt;p id=""petsPolicy"" class=""required"" aria-labelledby=""petsPolicy""
  i18n=""select summary pets policy""&gt;Pets Policy - Summarized&lt;/p&gt;
&lt;md-radio-group&gt;
  &lt;md-radio-button i18n=""No pets allowed"" value=""no_pets"" formControlName=""pets""&gt;No pets allowed&lt;/md-radio-button&gt;
  &lt;md-radio-button i18n=""Cats allowed"" value=""cats_allowed"" formControlName=""pets""&gt;Cats allowed&lt;/md-radio-button&gt;
&lt;/md-radio-group&gt;
</code></pre>

<p><strong>Component</strong> to manage the form</p>

<pre><code>import { Component } from ""@angular/core"";
import { FormBuilder, FormGroup, FormControl } from '@angular/forms';

@Component({ ...etc.})

export class PostApartmentComponent {
  registerApartment4RentForm: FormGroup;
  constructor(private formBuilder: FormBuilder) {
    this.registerApartment4RentForm = this.formBuilder.group({
    city: '',
    zipCode: '',
    streetAddress: '',
    pets: ''
    });
   }
  }
  form = new FormGroup({
  pets: new FormControl( )
  });
}
</code></pre>

<p>I tried importing FormControlName, but it did not help. In addition to the error statement, the radio buttons don't switch as a new button gets clicked and the button circles appear as 2 side by side, instead of 1 inside the other. Also all the md-inputs do not display. When </p>

<pre><code>formControlName=""pets""
</code></pre>

<p>is removed from the md-ratio-button HTML, the md-inputs re-appear and work.</p>

<p>I've copied code out of the devdocs for reactive forms and changed variable names. What else has to be done to get md-radio-buttons working?</p>
","693756","","633107","","2017-04-24 01:24:36","2017-04-24 01:24:36","Angular 2 md-radio buttons in reactive (model based) forms don't work & stop md-input display","<javascript><forms><angular><radio-button><angular-material2>","1","1","1","",""
"50247236","1","50247290","","2018-05-09 06:56:09","","0","41","<p>I am learning react by myself. In my rendering loop I tried to add the  element inside so that I can make the  hyperlink for each data. But I got this issue:React.Children.only expected to receive a single React element child. Could someone know why it happened? Here is part of my code.Hope it make easier to understand my question. I skipped some parts of my coding as it seems the issue happened in the render part.</p>

<p>app.js</p>

<pre><code>render() {
return (
  &lt;Router className=""App""&gt;
    &lt;div&gt;
      &lt;nav className=""navbar navbar-default""&gt;
        &lt;div className=""container-fluid""&gt;
          &lt;Link to=""/coding-fun""&gt;Coding Fun&lt;/Link&gt;
        &lt;/div&gt;
      &lt;/nav&gt;
      &lt;Switch&gt;
        // import condingFun.js file as Coding  
        &lt;Route exact path=""/coding-fun"" component={Coding} /&gt;
        &lt;Route path=""/coding-fun/:title"" component={singleArticle} /&gt;

      &lt;/Switch&gt;
    &lt;/div&gt;
  &lt;/Router&gt;
);
</code></pre>

<p>}
}</p>

<p>codingFun.js
ps: posts is json data which I didn't add here as too many data. </p>

<pre><code> class Coding extends Component {
   render() {
      return (
         &lt;div className=""nav-text""&gt;
            &lt;h1&gt;Coding fun page&lt;/h1&gt;
            // posts is data from api, and it renders listPage.js as 
              ListPage 
            &lt;ListPage items={posts} /&gt;
         &lt;/div&gt;
       );
  }
}

 export default Coding;
</code></pre>

<p>listPage.js</p>

<pre><code>import React, { Component } from ""react"";
import { BrowserRouter as Link } from ""react-router-dom"";

class Listing extends Component {
   constructor(props) {
     super(props);
     this.state = { data: this.props.items };
    }

   render() {
     return (
  &lt;table&gt;
    &lt;tbody&gt;
      // loop ""post"" data from parent component (items) codingFun.js  
      {this.state.data.map(post =&gt; (
        &lt;tr key={post.id}&gt;
          &lt;td&gt;
            &lt;Link to={""coding-fun/"" + post.title}&gt;{post.title}&lt;/Link&gt;
          &lt;/td&gt;
          &lt;td&gt;{post.content}&lt;/td&gt;
        &lt;/tr&gt;
      ))}
    &lt;/tbody&gt;
  &lt;/table&gt;
  );
}
</code></pre>

<p>}</p>

<p>If I just add<br>
    <code>&lt;Link to={""coding-fun/"" + post.title}&gt;{post.title}&lt;/Link&gt;</code>
this line, it got ""React.Children.only expected to receive a single React element child."" issue. If I only add {post.title} in the  tag, there is no any issue. So I tried to make the title as link in each row. But I don't know how to make it.</p>

<p>Thanks a lot</p>
","9762858","","2101576","","2018-05-09 07:59:07","2018-05-09 07:59:07","React.Children.only expected to receive a single React element child with <Link > component","<javascript><reactjs><react-router>","3","0","","",""
"42524791","1","42524978","","2017-03-01 06:34:32","","0","252","<p>I'm trying to open <code>react sideNav</code> bar on <code>button</code> click. I'm referring these articles to do this:</p>

<p><a href=""https://github.com/gauravchl/react-simple-sidenav"" rel=""nofollow noreferrer"">https://github.com/gauravchl/react-simple-sidenav</a></p>

<p><a href=""https://www.npmjs.com/package/react-simple-sidenav"" rel=""nofollow noreferrer"">https://www.npmjs.com/package/react-simple-sidenav</a></p>

<p><a href=""https://gauravchl.github.io/react-simple-sidenav/demo/"" rel=""nofollow noreferrer"">https://gauravchl.github.io/react-simple-sidenav/demo/</a></p>

<p>I have implemented it correctly but i'm stuck on opening the <code>sideNav</code> on clicking a <code>button</code>.</p>

<pre><code>&lt;div&gt;
    &lt;MenuIcon onClick={() =&gt; this.setState({showNav: true})}/&gt;
    &lt;SideNav
        title=""Simple Sidenav""
        items={['Item 1', 'Item 2']}
        openFromRight=""true""
        showNav = {this.state.showNav}
    /&gt;
&lt;/div&gt;
</code></pre>

<p>If i give <code>showNav = 'true'</code> , the <code>sideNav</code> opens by default when the page opens. if i give <code>showNav = {this.state.showNav}</code> i get an error:</p>

<pre><code>Warning: validateDOMNesting(...): &lt;html&gt; cannot appear as a child of &lt;div&gt;. See div &gt; App &gt; html.
printWarning @ bundle.js:11845
bundle.js:35792 Uncaught TypeError: Cannot read property 'showNav' of null
    at Notification.render (bundle.js:35792)
    at bundle.js:26635
    at measureLifeCyclePerf (bundle.js:25914)
    at ReactCompositeComponentWrapper._renderValidatedComponentWithoutOwnerOrContext (bundle.js:26634)
    at ReactCompositeComponentWrapper._renderValidatedComponent (bundle.js:26661)
    at ReactCompositeComponentWrapper.performInitialMount (bundle.js:26201)
    at ReactCompositeComponentWrapper.mountComponent (bundle.js:26097)
    at Object.mountComponent (bundle.js:18478)
    at ReactDOMComponent.mountChildren (bundle.js:25215)
    at ReactDOMComponent._createInitialChildren (bundle.js:22220)
</code></pre>
","3899126","","5185595","","2017-03-01 08:12:30","2017-03-01 08:12:30","open reactjs sideNav on click","<html><css><reactjs>","2","0","","",""
