Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"48575511","1","","","2018-02-02 04:00:52","","0","102","<p>My index.jsx</p>

<pre><code>import { React } from 'react';
import PropTypes from 'prop-types';

class ListComponent extends React.PureComponent {
    render() {
        return (
            &lt;div&gt;
                {this.props.todos.map(({ id, randomProp }) =&gt; (
                    &lt;div key={id}&gt;{randomProp}&lt;/div&gt;
                ))}
            &lt;/div&gt;
        );
    }
}

ListComponent.propTypes = {
    todos: PropTypes.arrayOf(PropTypes.shape({
        id: PropTypes.number.isRequired,
        text: PropTypes.string.isRequired,
    }).isRequired).isRequired,
};
</code></pre>

<p>My .eslintrc</p>

<pre><code>{
  ""parser"": ""babel-eslint"",
  ""extends"": [
    ""eslint:recommended"",
    ""plugin:react/recommended""
  ]
}
</code></pre>

<p>I am newbie of propType</p>

<p>I have defined shape of array (<code>id</code> and <code>text</code>) in propTypes, but eslint does NOT give me error even I put <code>randomProp</code> when <code>.map</code> the <code>this.props.todos</code> array. </p>

<p>How do I force the <code>shape</code> in <code>arrayOf</code></p>

<p>PS: If I write <code>this.props.randomProp.map ...</code>, eslint will raise <code>randomProp is missing</code> error as I expected, so I am sure eslint with propType is at least working</p>
","1884811","","1175081","","2018-03-08 12:30:51","2018-04-09 04:06:29","eslint react PropTypes force shape in array map","<javascript><eslint><react-proptypes>","0","0","","",""
"50275854","1","","","2018-05-10 14:57:22","","1","217","<p>After updating react-navigation package of my react-native project from 1.5.8 to 2.0.1 my header became empty on all tabs of TabNavigator. On other screens it works as before.</p>

<p>Example of tab <strong>Dashboard</strong>:</p>

<pre><code>class Dashboard extends PureComponent {
    static navigationOptions = ({ navigation }) =&gt; {
        return {
            title: strings.dashboard_header_title,
            headerLeft: renderMenu(navigation)
        };
    };

    ...
}

export default connect((state, ownProps) =&gt; {
    ...
})(Dashboard);

const renderMenu = navigation =&gt; {
    return &lt;ImageButton
        style={styles.padding}
        imageStyle={styles.tintWhite}
        image={require('../../../res/images/menu.png')}
        onPress={navigation.state.params &amp;&amp; navigation.state.params.toggleSideMenu}/&gt;
}
</code></pre>

<p>It worked with old version of react-navigation. I use <code>react-redux</code> and tab navigator inside stack navigator.</p>

<p><strong>TabNavigator:</strong></p>

<pre><code>const routeConfig = {
    Dashboard: {
        screen: Dashboard,
        resource: 'dashboard',
        navigationOptions: { tabBarIcon: ({tintColor}) =&gt; &lt;Image style={{tintColor}} source={require('../../../res/images/tab-dashboard.png')}/&gt; }
    },
    ...
};

const drawConfig = {
    lazy: false,
    animationEnabled: false,
    swipeEnabled: false,
    tabBarPosition: 'bottom',
    tabBarOptions: {
        upperCaseLabel: false,
        activeBackgroundColor: 'white',
        activeTintColor: colors.main,
        inactiveTintColor: colors.normal,
        showIcon: true,
        style: {
            height: 48,
            backgroundColor: 'white',
            borderTopColor: colors.border,
            borderTopWidth: values.borderWidth,
            elevation: 0
        },
        labelStyle: {
            fontSize: 11,
            marginBottom: 0
        },
        tabStyle: {
            padding: 3,
            paddingTop: Platform.OS === 'android' ? 4 : 3
        },
        indicatorStyle: {
            height: 0,
            width: 0
        }
    }
}

const InnerTabNavigator = createBottomTabNavigator(routeConfig, drawConfig);

class TabBarNavigator extends PureComponent
{
    ...
    render() {
        return (
            &lt;InnerTabNavigator
                {...this.props.ownProps}
                navigation={{
                    ...this.props.navigation,
                    state: this.state
                }}
            /&gt;
        );
    }
    ...
}

TabBarNavigator.router = InnerTabNavigator.router;
</code></pre>

<p><strong>MainNavigator:</strong></p>

<pre><code>const MainNavigatorInner = createStackNavigator({
    ...
    TabBarNavigator: { screen: TabBarNavigator },
    ...
}, {
    initialRouteName: 'SignIn',
    headerMode: 'screen',
    navigationOptions: ({ navigation }) =&gt; {
        return {
            headerTintColor: 'white',
            headerTitleStyle: styles.headerTitle,
            headerStyle: {
                backgroundColor: colors.main,
                shadowColor: 'transparent',
                elevation: 0,
                borderBottomWidth: values.borderWidth,
                borderBottomColor: colors.borderHeader,
                height: values.headerHeight
            },
        };
    },
    cardStyle: {
        backgroundColor: colors.background
    }
});

export default class MainNavigator extends PureComponent {
    ...
    render() {
        return (
            ...
            &lt;MainNavigatorInner
                ref='navigation'
                screenProps={this.screenProps}
                onNavigationStateChange={this._onNavigationStateChange}/&gt;
            ...
        );
    }
    ...
}
</code></pre>
","1768179","","1768179","","2018-05-11 08:57:51","2018-05-24 07:53:20","Header is empty after react-navigation updated to v2","<react-native><react-navigation>","2","2","","",""
"48389324","1","48389654","","2018-01-22 19:58:15","","0","41","<p>Say I have a PureComponent with a bunch of props. If I don't use every single prop in my render method, will it affect anything at all?</p>

<p>For instance, if I depend on <code>componentWillReceiveProps</code> being called for every single prop, even the ones that are not rendered...it will still be called, correct?</p>

<p>I can't imagine the React authors doing anything else... I can probably hunt down the code and take a peek myself and I will if I can't get a definitive answer here. Thanks.</p>

<p>NOTE: The reason I'm asking is because I'm wondering I see some code that is pulling unused variables from props <a href=""https://github.com/nkbt/react-debounce-input/blob/master/src/Component.js#L177"" rel=""nofollow noreferrer"">here</a>.</p>
","16387","","","","","2018-01-23 07:19:42","Does it make a difference if you don't use a prop in your PureComponent render method?","<javascript><reactjs><rendering>","2","1","","",""
"50244901","1","","","2018-05-09 03:00:15","","0","39","<p>I try to apply react-select to create async selection like <a href=""https://jedwatson.github.io/react-select/"" rel=""nofollow noreferrer"">the demo</a>,
And want to add default value for the input.<br>
As below, the default value will be clear when onBlur because onBlur will default trigger handleInputChange event with empty value.<br>
I guess this might case by some default setting like 'onBlurResetsInput',
but 'onBlurResetsInput' props has be removed at <a href=""https://deploy-preview-2289--react-select.netlify.com/upgrade-guide"" rel=""nofollow noreferrer"">v2.0.0</a>.
So want to know how to prevent onBlur reset, thanks.</p>

<pre><code>import Async from 'react-select/lib/Async';
export class AsyncSelect extends React.PureComponent {
  state = {
    inputValue: this.props.defaultValue,
  }

  handleInputChange = (value) =&gt; {
      this.setState({
        inputValue: value,
      });
      this.props.syncOptions(value);
  }

  render() {
    return (
        &lt;Async
          inputValue={this.state.inputValue}
          onInputChange={this.handleInputChange}
          options={this.props.options}
          onChange={(option) =&gt; this.props.selectOption(option.value)}
        /&gt;
    );
  }
}
</code></pre>
","6337192","","6337192","","2018-05-09 04:00:10","2018-05-09 04:00:10","How to set defaultValue for react-select Async and not reset when onBlur at v2.0.0?","<reactjs><react-select>","0","0","","",""
"45182298","1","45183212","","2017-07-19 06:15:32","","0","233","<p>Amateur ReactNative developer: I am trying to implement a hardcoded data listview inside Modal of react native but unable to find any proper solution. And I don't want to use third party plugins.
Please help!<br>
<b>Here is my code.</b></p>

<pre><code>export default class ActionSheetMenu extends React.PureComponent {   
constructor(props){
    super(props); 

    const ds = new ListView.DataSource({
        rowHasChanged: (r1, r2) =&gt; r1 !== r2});
    this.state = {
        dataSource: ds.cloneWithRows(['row 1', 'row 2']),
    };
}

state = {
    visibleModal : false,
};
// data = [
// {
//     ""name"": {
//         ""first"": ""aiden"",
//         ""last"": ""lucas""
//     },
// } ];

_renderButton = (text, onPress) =&gt; (
    &lt;TouchableOpacity onPress={onPress}&gt;
        &lt;View&gt;
            &lt;Text&gt;{text}&lt;/Text&gt;
        &lt;/View&gt;
    &lt;/TouchableOpacity&gt;
);

_renderModalContent = () =&gt; (
    &lt;View&gt; style = {styles.modalContent}&gt;
        &lt;Text&gt;Hello&lt;/Text&gt;
        {this._renderButton('Close', () =&gt; this.setState({ visibleModal: false }) )}
    &lt;/View&gt;
);

render(){
    return(
        &lt;View style={[styles.container,{backgroundColor: this.state.visibleModal ? 'rgba(0, 0, 0, 0.4)': 'white'}]}&gt;
            &lt;Text&gt;Text Behind Modal&lt;/Text&gt;
            {this._renderButton('BUTTON', () =&gt; this.setState({ visibleModal: true }))}


            &lt;Modal animationType=""slide""
                   transparent
                   visible={this.state.visibleModal}&gt;

                &lt;View style={styles.modalContent}&gt;

                    &lt;ListView 
                        style={styles.listview}
                        dataSource = {this.state.dataSource}
                        renderRow={ (data) =&gt; &lt;Text&gt;{data}&lt;/Text&gt; }
                    /&gt;
                    &lt;Text style={styles.textModal}&gt;text inside modal&lt;/Text&gt;

                &lt;/View&gt;
            &lt;/Modal&gt;

        &lt;/View&gt;
    );
}
</code></pre>

<p>}</p>
","4369660","","4369660","","2017-07-19 06:35:04","2017-07-19 07:06:09","How to implement a Listview inside Modal in reactnative","<reactjs><listview><react-native><react-native-listview>","1","8","","",""
"50199664","1","50200058","","2018-05-06 12:24:44","","0","33","<p>Getting unexpected while running. I am trying to load the InfiniteLoader of react virtualized. Would like to know how to call the API through this component If any example is available. I have taken the component from <a href=""https://github.com/bvaughn/react-virtualized/blob/master/docs/InfiniteLoader.md"" rel=""nofollow noreferrer"">https://github.com/bvaughn/react-virtualized/blob/master/docs/InfiniteLoader.md</a>
I am using the example from <a href=""https://bvaughn.github.io/react-virtualized/#/components/InfiniteLoader"" rel=""nofollow noreferrer"">https://bvaughn.github.io/react-virtualized/#/components/InfiniteLoader</a></p>

<pre><code>import React from 'react';
import ReactDOM from 'react-dom';
import { InfiniteLoader, List } from 'react-virtualized';
import 'react-virtualized/styles.css'; // only needs to be imported once

export default class MyList extends React.PureComponent {

  const remoteRowCount

  const list = [];

  function isRowLoaded ({ index }) {
    return !!list[index];
  }

  function loadMoreRows ({ startIndex, stopIndex }) {
  }

  function rowRenderer ({ key, index, style}) {
    return (
      &lt;div
        key={key}
        style={style}
      &gt;
        {list[index]}
      &lt;/div&gt;
    )
  }

  //Render the list from this function
  render() {
    return(
      &lt;InfiniteLoader
    isRowLoaded={isRowLoaded}
    loadMoreRows={loadMoreRows}
    rowCount={remoteRowCount}
  &gt;
    {({ onRowsRendered, registerChild }) =&gt; (
      &lt;List
        height={200}
        onRowsRendered={onRowsRendered}
        ref={registerChild}
        rowCount={remoteRowCount}
        rowHeight={20}
        rowRenderer={rowRenderer}
        width={300}
      /&gt;
    )}
  &lt;/InfiniteLoader&gt;
    );
  }

}
</code></pre>

<p>Getting the below given exception</p>

<pre><code>Module build failed: SyntaxError: D:/code/react-starter/src/Components/MyList/MyList.js: Unexpected token (8:8)

   6 | export default class MyList extends React.PureComponent {
   7 |
&gt;  8 |   const remoteRowCount
     |         ^
   9 |
  10 |   const list = [];
  11 |
</code></pre>
","722556","","","","","2018-05-06 13:08:23","Unexpected token with react","<reactjs><react-virtualized>","1","6","","",""
"44252916","1","44254623","","2017-05-30 03:25:28","","3","1414","<p>Does anyone know how what the proper way to add a query variable to apollo is from react? I can get the following code to work if I manually add the book name string instead of passing in the <code>$name</code> query variable, but as soon as I add it and try and pass the name variable in through an options in the propTypes, the <code>Invariant Violation: The operation 'data' wrapping 'BookPage' is expecting a variable: 'name' but it was not found in the props passed to 'Apollo(BookPage)'</code> </p>

<p>I pulled the syntax for the decorator directly from the <a href=""http://reactql.org"" rel=""nofollow noreferrer"">reactQL</a> package so I know it has a little more syntactic sugar than other examples but it should still be valid for a query right?</p>

<pre><code>const query = gql`
  query ($name: String!){
    bookByName(name: $name) {
      id
    }
}
`;

@graphql(query)
class BookPage extends React.PureComponent {
  static propTypes = {
    options: (props) =&gt; { return { variables: { name: ""Quantum Mechanics""}}},
    data: mergeData({
      book:
        PropTypes.shape({
          id: PropTypes.string.isRequired,
        }),
    }),
  }

  render() {
    const { data } = this.props;
    if (data.loading) {
      return &lt;p&gt;Loading&lt;/p&gt;
    }
    const { bookByName } = data;
    const book = bookByName;

    return (
      &lt;p&gt;book.id&lt;/p&gt;
    );
  }
}

export default BookPage;
</code></pre>
","2232620","","","","","2017-05-30 06:04:30","How to pass graphQL query variable into a decorated react component","<reactjs><graphql><react-apollo><apollo-client>","1","0","","",""
"43106544","1","","","2017-03-30 00:42:56","","1","168","<p>Im making a search request to an api in react, it works, I have the searchbar render on all routes so when a user tries to use the searchbar even if he is not in the homepage('/'), it will redirect him to that page and render the results, when I try to use the searchbar in other routes the request gets sent( homepage state changes, which is the route that displays the results) but if i try to do browserHistory('/') i get an error, what is the proper way of doing this </p>

<pre><code>/*
 * searchBar
 *
 * This is the first thing users see of our App, at the '/' route
 */

import React from 'react';
import Helmet from 'react-helmet';
import { FormattedMessage } from 'react-intl';
import { connect } from 'react-redux';
import { createStructuredSelector } from 'reselect';
import { browserHistory } from 'react-router';

import { makeSelectRepos, makeSelectLoading, makeSelectError } from 'containers/App/selectors';
import H2 from 'components/H2';
import ReposList from 'components/ReposList';
import AtPrefix from './AtPrefix';
import CenteredSection from './CenteredSection';
import Form from './Form';
import Input from './Input';
import Section from './Section';
import messages from './messages';
import { loadRepos } from '../../containers/App/actions';
import { changeUsername } from './actions';
import { makeSelectUsername } from './selectors';

import ActionBar from 'components/MainActionContainer/homepage';



import styled from 'styled-components';

const SearchWrapper = styled.div`
  position: absolute;
  top: 0px;
  right: 0px;
  padding-left: 4%;
  padding-right: 4%;
  padding-top: 30px;
  padding-bottom: 60px;
  height: 200px;
  display: flex;
  @media screen and (max-width: 360px) {
    width: 82%;
    position: absolute;
    top: -21px;
    right: 0px;
    height: 200px;
    padding-left: 4%;
    padding-right: 4%;
    padding-bottom: 60px;
    display: -webkit-box;
    display: -moz-box;
    display: -ms-flexbox;
    display: -webkit-flex;
    display: -webkit-box;
    display: -moz-box;
    display: -ms-flexbox;
    display: -webkit-flex;
    display: flex;
  }
`;

const InputSearch = styled.input`
  width: 90%;
  height: 100%;
  text-align: end;
  color: gray;
  padding-top: 45px;
  font-size: 2.8em;
  outline: 0;
  border-width: 0 0 2px 0;
  border-color: red;
  border-bottom: 2px solid red;
  font-family: district-pro, sans-serif;
  font-style: normal;
  font-weight: 100;
  margin-left: 10%;

  &amp;:hover {
     background-color: #fff; 
  }

`;

const InputIcon = styled.div`
  float: right;
  height: 100%;
  margin-left: 5%;
  width: 11%;
  border-bottom: 2px solid red;
  padding-top: 40px;

  @media screen and (max-width: 360px) {
     padding-top: 60px;
  } 
`;

const Icon_eyeglass = styled.a`
  font-size: 3.5em;

  @media screen and (max-width: 360px) {
     font-size: 2.2em;
  }
`;




export class SearchBar extends React.PureComponent { // eslint-disable-line react/prefer-stateless-function
  /**
   * when initial state artist is not null, submit the form to load repos
   * 
   */
  componentDidMount() {
    if (this.props.username &amp;&amp; this.props.username.trim().length &gt; 0) {
      this.props.onSubmitForm();
    }
  }

  render() {
    const { loading, error, repos } = this.props;
    const reposListProps = {
      loading,
      error,
      repos,
    };

    return (
      &lt;div&gt;
        &lt;Helmet
          title=""Home Page""
          meta={[
            { name: 'description', content: 'Search upcoming concerts by your favorite Artist' },
          ]}
        /&gt;

        &lt;SearchWrapper&gt;
            &lt;form onSubmit={this.props.onSubmitForm} autoComplete=""off""&gt;
              &lt;label htmlFor=""username""&gt;
                &lt;InputSearch
                  id=""username""
                  type=""text""
                  placeholder=""Search""
                  value={this.props.username} 
                  onChange={this.props.onChangeUsername} 
                  autoComplete=""off""
                /&gt;
              &lt;/label&gt;
            &lt;/form&gt;
             &lt;InputIcon&gt;
                  &lt;Icon_eyeglass className=""material-icons""&gt;search&lt;/Icon_eyeglass&gt;
             &lt;/InputIcon&gt;
        &lt;/SearchWrapper&gt;
      &lt;/div&gt;
    );
  }
}

SearchBar.propTypes = {
  loading: React.PropTypes.bool,
  error: React.PropTypes.oneOfType([
    React.PropTypes.object,
    React.PropTypes.bool,
  ]),
  repos: React.PropTypes.oneOfType([
    React.PropTypes.array,
    React.PropTypes.bool,
  ]),
  onSubmitForm: React.PropTypes.func,
  username: React.PropTypes.string,
  onChangeUsername: React.PropTypes.func,
};

export function mapDispatchToProps(dispatch) {
  return {
    onChangeUsername: (evt) =&gt; dispatch(changeUsername(evt.target.value)),
    onSubmitForm: (evt) =&gt; {
      if (evt !== undefined &amp;&amp; evt.preventDefault) evt.preventDefault();
      dispatch(loadRepos());
    },
  };
}

const mapStateToProps = createStructuredSelector({
  repos: makeSelectRepos(),
  username: makeSelectUsername(),
  loading: makeSelectLoading(),
  error: makeSelectError(),
});

// Wrap the component to inject dispatch and state into it
export default connect(mapStateToProps, mapDispatchToProps)(SearchBar);
</code></pre>

<hr>

<p>I tried this:</p>

<pre><code>export function mapDispatchToProps(dispatch) {
  return {
    onChangeUsername: (evt) =&gt; dispatch(changeUsername(evt.target.value)),
    onSubmitForm: (evt) =&gt; {
      if (evt !== undefined &amp;&amp; evt.preventDefault) evt.preventDefault();
      dispatch(loadRepos())
      .then(
          () =&gt; {
              browserHistory.push('/');
          }
      )}
  };
}
</code></pre>

<p>but go the error</p>

<p>Uncaught TypeError: Cannot read property 'push' of undefined</p>
","7717890","","7717890","","2017-03-30 00:58:45","2018-06-14 17:14:35","if not on route('/') go to that route after submitting form, react","<reactjs><routes><redux><react-router><react-boilerplate>","2","0","","",""
"34991638","1","","","2016-01-25 11:36:05","","0","978","<p>Im using react and the google-map-react component. im trying to add a skin to my google maps. any idea where i do this? Im trying to use a snazzymap skin, they provide an array of styles.</p>

<p><a href=""https://snazzymaps.com/style/25/blue-water"" rel=""nofollow"">https://snazzymaps.com/style/25/blue-water</a></p>

<p>snazzy maps provides the </p>

<pre><code>import React from 'react';
import ReactDom from 'react-dom';
//import shouldPureComponentUpdate from 'react-pure-render/function';

import GoogleMap from 'google-map-react';
var divStyle = {
  paddingTop: 20,
  paddingLeft: 20,
  paddingRight: 20,
  width:1024,
  height:768
};
const K_WIDTH = 40;
const K_HEIGHT = 40;

const greatPlaceStyle = {
  // initially any map object has left top corner at lat lng coordinates
  // it's on you to set object origin to 0,0 coordinates
  position: 'absolute',
  width: K_WIDTH,
  height: K_HEIGHT,
  left: -K_WIDTH / 2,
  top: -K_HEIGHT / 2,

  border: '5px solid #f44336',
  borderRadius: K_HEIGHT,
  backgroundColor: 'white',
  textAlign: 'center',
  color: '#3f51b5',
  fontSize: 16,
  fontWeight: 'bold',
  padding: 4
};

class MyGreatPlace extends React.Component {

  static propTypes = {
    text: React.PropTypes.string
  };

  static defaultProps = {};

  //shouldComponentUpdate = shouldPureComponentUpdate;

  constructor(props) {
    super(props);
  }

  render() {
    return (
       &lt;div style={greatPlaceStyle}&gt;
          {this.props.text}
       &lt;/div&gt;
    );
  }
}
class SimpleMapPage extends React.Component {

  static defaultProps = {
    defaultCenter: {lat: 59.938043, lng: 30.337157},
    zoom: 12,
    greatPlaceCoords: {lat: 59.724465, lng: 30.080121}
  };

  //shouldComponentUpdate = shouldPureComponentUpdate;

  constructor(props) {
    super(props);
  }

  componentWillReceiveProps(nextProps) {
    // console.log(""test"")
}

  render() {
    return (
       &lt;div style={divStyle}&gt;
       &lt;GoogleMap
        bootstrapURLKeys={{
          key: '312312j3kl12j321random'
        }}
        center={this.props.center}
        zoom={this.props.zoom}
        defaultCenter={this.props.defaultCenter}
        defaultZoom={this.props.zoom}
        &gt;
        &lt;MyGreatPlace lat={this.props.center.lat} lng={this.props.center.lng} text={'Site'} /* Kreyser Avrora */ /&gt;

      &lt;/GoogleMap&gt;
      &lt;/div&gt;
    );
  }
}

export default SimpleMapPage
</code></pre>
","4516676","","","","","2016-02-23 17:26:35","google-map-react custom skins","<javascript><google-maps><reactjs>","1","0","1","",""
"51257426","1","51258481","","2018-07-10 04:47:07","","0","44","<p>I am trying to get Material-UI tabs to work with routing, and while the routing is working and displaying the selected tab, the smooth animation of navigating between tabs is no longer working. How can I use react router with Material-UI tabs to keep the tab animations working as they should?</p>

<p>As of now, I have the tabs in my HomeHeader.js and I am using this component to pass down the vale as props in order to change the value and thus change the selected tab.</p>

<p>For simplicity, I simplified my code to show the tabs I want to be linked.</p>

<p>Here is my code:</p>

<p>Header.js (Component with Tabs):</p>

<pre><code>import React, { Component } from 'react'
import PropTypes from 'prop-types'
import { Link } from 'react-router-dom'

class HomeHeader extends Component {

  state = {
    value: false
  };

  handleChange = (event, value) =&gt; {
    this.setState({ value })
  };

  render() {
    const { classes, value } = this.props

    return (
        &lt;AppBar className={classes.appBar} elevation={this.props.elevation}&gt;
          &lt;Hidden smDown&gt;
            &lt;Grid container justify=""space-between"" alignItems=""center""&gt;
              &lt;Tabs value={value} onChange={this.handleChange}&gt;
                &lt;Tab label=""monitor"" component={Link} to=""/monitor"" /&gt;
                &lt;Tab label=""sensor"" component={Link} to=""/sensor"" /&gt;
              &lt;/Tabs&gt;
            &lt;/Grid&gt;
          &lt;/Hidden&gt;
        &lt;/AppBar&gt;
    )
  }
}

export default withStyles(styles)(HomeHeader)
</code></pre>

<p>Tab 1 Component (pass value into HomeHeader.js as props):</p>

<pre><code>import React from 'react'

import HomeHeader from '../components/HomeHeader'

class SensorProductPage extends React.PureComponent { // eslint-disable-line react/prefer-stateless-function

  render() {
    return (
      &lt;div&gt;
        &lt;HomeHeader value={1} /&gt;
        &lt;div&gt; Hello &lt;/div&gt;
      &lt;/div&gt;
    );
  }
}

export default SensorProductPage
</code></pre>

<p>Tab 2 Component (pass value into HomeHeader.js as props):</p>

<pre><code>import React from 'react'

import HomeHeader from '../components/HomeHeader'

class MonitorProductPage extends React.PureComponent {

  render() {
    return (
      &lt;div&gt;
        &lt;HomeHeader value={0} /&gt;
        &lt;div&gt; Hello &lt;/div&gt;
      &lt;/div&gt;
    );
  }
}

export default MonitorProductPage
</code></pre>
","5011074","","","","","2018-07-10 06:27:04","How do you get Material-UI Tabs to work with react-router?","<javascript><reactjs><react-router><material-ui><react-router-dom>","2","0","","",""
