Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"40621433","1","","","2016-11-15 23:17:00","","1","101","<p>If you build your project with <code>NODE_ENV=production</code>, react automatically includes the minified production verison of the lib in the bundle. Conversely, a non production build will include the dev unminified version of react.</p>

<p>How is this being achieved?</p>

<p>If we install react:</p>

<pre><code>npm install --save react
</code></pre>

<p>Then look at its <code>package.json</code> for the <code>main</code> key, it points to: </p>

<pre><code>""main"": ""react.js"",
</code></pre>

<p>Looking at <code>react.js</code> the contents of the file are simply:</p>

<pre><code>module.exports = require('./lib/React');
</code></pre>

<p>Looking in <code>./lib/React</code> I was expecting to see a conditional that loaded the minified build or not, but the conditionals seem to do other stuff:</p>

<pre><code>if (process.env.NODE_ENV !== 'production') {
  var ReactElementValidator = require('./ReactElementValidator');
  createElement = ReactElementValidator.createElement;
  createFactory = ReactElementValidator.createFactory;
  cloneElement = ReactElementValidator.cloneElement;
}

var __spread = _assign;

if (process.env.NODE_ENV !== 'production') {
  var warned = false;
  __spread = function () {
    process.env.NODE_ENV !== 'production' ? warning(warned, 'React.__spread is deprecated and should not be used. Use ' + 'Object.assign directly or another helper function with similar ' + 'semantics. You may be seeing this warning due to your compiler. ' + 'See fb.me/react-spread-deprecation for more details.') : void 0;
    warned = true;
    return _assign.apply(null, arguments);
  };
}
</code></pre>

<p>What is react doing exactly between prod and dev builds? It doesn't seem like it interacts with the minified and unminified builds in <code>/dist</code> as I thought. </p>
","1062794","","","","","2016-11-15 23:17:00","How does react conditionally give the minified production bundle when NODE_ENV=production?","<reactjs><build><npm>","0","0","","",""
"38642976","1","38808218","","2016-07-28 17:25:18","","0","256","<p>I'm working on a react/redux app and want my tabbed components to use the redux store for their active tab state. I attempted to do this in as generic a way as possible to share the functionality among all of my different tab components; this resulted in a generic tab panel with the following render method:</p>

<pre><code> render () {
    var activeTarget = this.props.panelState.tabPanes[this.props.tabPanelID] ? this.props.panelState.tabPanes[this.props.tabPanelID].activeTarget : this.props.defaultTarget;
    var tabs = this.props.panelState.tabs;
    var tabPanelID = this.props.tabPanelID;
    // Add the tabPanelID and active properties to the tab pane children
    const childrenWithProps = React.Children.map(this.props.children,
        (child) =&gt; React.cloneElement(child, {
            tabPanelID: tabPanelID,
            active: activeTarget === child.props.id
        })
    );
    // Render complete tab pane
    return (
        &lt;div&gt;
            &lt;ul className=""nav nav-tabs""&gt;
                {this.buildTabs()}
            &lt;/ul&gt;
            &lt;div className=""tab-content""&gt;
                {childrenWithProps}
            &lt;/div&gt;
        &lt;/div&gt;
    );
}
</code></pre>

<p>However, the map call appears to result in the following warning:</p>

<blockquote>
  <p>Warning: setState(...): Cannot update during an existing state transition (such as within <code>render</code> or another component's constructor). Render methods should be a pure function of props and state; constructor side-effects are an anti-pattern, but can be moved to `componentWillMount</p>
</blockquote>

<p>Unless I'm mistaken I'm not actually changing the state here, so I'm not certain why I'm getting this warning. I'm relatively new to react, though, so it's likely enough that I'm missing something or misunderstanding.</p>

<p>Any assistance would be greatly appreciated.</p>

<p>Edit: for those wondering, here is the contents of buildTabs():</p>

<pre><code>buildTabs() {
    var result = [];
    var tabPanelID = this.props.tabPanelID;
    // Create a tab for each tab in the props
    for(var i = 0; i &lt; this.props.tabs.length; i++) {
        result.push
        (
            &lt;Tab tabPanelID={this.props.tabPanelID} bare={this.props.tabs[i].bare} key={i} target={this.props.tabs[i].target} 
                active={this.props.panelState.tabPanes[tabPanelID] ? 
                    (this.props.panelState.tabPanes[tabPanelID].activeTarget === this.props.tabs[i].target) : 
                    this.props.tabs[i].target == this.props.defaultTarget} 
                    additionalClasses={this.props.additionalTabClasses}&gt; 
                {this.props.tabs[i].contents}
            &lt;/Tab&gt;
        )
    }
    return result;
}
</code></pre>

<p>I simply didn't include that before because I can leave that in without issue, but removing the call to Children.map eliminates the warning.</p>
","1775859","","1775859","","2016-07-28 17:38:28","2016-08-06 19:57:31","Why do I get a warning when cloning elements with new props in render() with react/redux?","<reactjs><redux>","1","4","1","",""
"30141352","1","30142179","","2015-05-09 14:50:51","","0","4076","<p>Using the latest React (0.13) I am attempting to change the class and style of a child element using <code>cloneElement</code> prior to rendering.</p>

<p>Looking through the tests: <a href=""https://github.com/facebook/react/blob/0.13-stable/src/classic/element/__tests__/ReactElementClone-test.js#L44"" rel=""nofollow noreferrer"">https://github.com/facebook/react/blob/0.13-stable/src/classic/element/<strong>tests</strong>/ReactElementClone-test.js#L44</a></p>

<p>And other answers: <a href=""https://stackoverflow.com/questions/24856044/reactjs-how-to-change-style-and-class-of-react-component/24856195#24856195"">ReactJS - How to change style and class of react component?</a></p>

<p>It seems like this should be pretty straightforward, however I can't seem to achieve the desired behavior as detailed in this fiddle: <a href=""https://jsfiddle.net/69z2wepo/7924/"" rel=""nofollow noreferrer"">https://jsfiddle.net/69z2wepo/7924/</a></p>
","113960","","-1","","2017-05-23 10:29:36","2015-05-09 16:22:16","Changing class and style of React children using cloneElement","<javascript><reactjs>","1","0","","",""
"50199328","1","","","2018-05-06 11:46:44","","3","143","<p>I'm writing a component that handle some internal <code>state</code> according to a <code>ref</code> of it's child (a mouse event related to that child's ref for example).<br>
This component is using a <code>render-prop</code> to pass on the relevant piece of <code>state</code> to it's child, and render the child with the <code>ref</code> attached via <code>React.cloneElement</code> util.  </p>

<p>The problem is that when the child is a <code>class</code> component, for some reason the <code>ref</code> is not available, and i can't find a way to render it as it's a react element object with a type of <code>function</code> (after i clone it of course).  </p>

<p>But if the child is just a <code>DOM</code> node like  a <code>div</code> for example, it is working as expected.</p>

<p>My work-around is to check the type of the child, and if it is a type of <code>function</code> I'll wrap the cloned element with my own <code>div</code>, if it's just a dom node then render as is.<br>
However, i would like to not wrap the child with an extra <code>div</code> as i don't want to add unnecessary <code>DOM</code> nodes.</p>

<p>Here is a basic code example, most code removed for brevity:<br>
<strong>The Parent component:</strong></p>

<pre><code>class Parent extends Component {

    attachRef = node =&gt; {
        this.ref = node;
    }

    render() {
        const { render } = this.props;
        const { someValue } = this.state;
        const Child = render(someValue);
        const WithRef = React.cloneElement(Child, {
            ref: this.attachRef
        });
        if (typeof WithRef.type === 'string') { // node element
            return WithRef;
        }
        else if (typeof WithRef.type === 'function') {
            // this is a react element object.. not sure how to render it
            // return ?
        } else {
            // need to find a way to render without a wrapping div
            return (
                &lt;div ref={this.attachRef}&gt;{Child}&lt;/div&gt;
            );
        }
    }
}
</code></pre>

<p><strong>The usage:</strong></p>

<pre><code>class App extends Component {
    render() {
        return (
            &lt;div&gt;
                &lt;Parent render={someValue =&gt; &lt;div&gt; {someValue}&lt;/div&gt;} /&gt;
                &lt;Parent render={someValue =&gt; &lt;Menu someValue={someValue} /&gt;} /&gt;
            &lt;/div&gt;
        );
    }
}
</code></pre>

<p>When i render regular DOM nodes like the first example it works fine, when i try to render the <code>Menu</code> (which is a <code>class</code> component) it doesn't work as mentioned above.</p>
","8608017","","8608017","","2018-05-06 21:41:29","2018-06-28 13:19:02","pass ref to a class component with React.cloneElement and render prop","<reactjs><ecmascript-6><ref><clone-element>","1","4","1","",""
"42578982","1","42580450","","2017-03-03 12:32:10","","1","368","<p><a href=""https://facebook.github.io/react/docs/react-api.html#cloneelement"" rel=""nofollow noreferrer"">React's documentation</a> says:</p>

<blockquote>
  <p>React.cloneElement() is almost equivalent to:</p>
  
  <p><code>&lt;element.type {...element.props} {...props}&gt;{children}&lt;/element.type&gt;</code></p>
  
  <p>However, it also preserves refs. This means that if you get a child with a ref on it, you won't accidentally steal it from your ancestor. You will get the same ref attached to your new element.</p>
</blockquote>

<p>So I made this small example:</p>

<pre><code>import React, { Component, Children, cloneElement } from 'react';

class Wrapper extends Component {
    render() {
        return cloneElement(Children.only(this.props.children), {
            ref: (ref) =&gt; {
                console.log(""wrapper"", ref);
            },
        });
    }
}

const MyComponent = () =&gt;
    &lt;Wrapper&gt;
        &lt;div ref={ref =&gt; {
            console.log(""original"", ref);
        }}&gt;
            My content
        &lt;/div&gt;
    &lt;/Wrapper&gt;

export default MyComponent;
</code></pre>

<p>(Fiddle: <a href=""https://jsfiddle.net/pxho45um/"" rel=""nofollow noreferrer"">https://jsfiddle.net/pxho45um/</a>)</p>

<p>I thought rendering <code>MyComponent</code> would log both <code>""wrapper"" &lt;div&gt;...&lt;/div&gt;</code> and <code>""original"" &lt;div&gt;...&lt;/div&gt;</code>, but it seems like only the wrapper ref callback is called.</p>

<p>Isn't this contrary to the documentation? Or what do the React team mean when they say ""if you get a child with a ref on it, you won't accidentally steal it from your ancestor""?</p>
","1227116","","","","","2017-03-03 13:45:44","Is this a bug in React.cloneElement?","<reactjs>","1","0","1","",""
"33947146","1","","","2015-11-26 21:18:51","","0","178","<p>Have this webpack config I am using react-native-webpack-server</p>

<pre class=""lang-js prettyprint-override""><code>var fs = require('fs');
var path = require('path');
var webpack = require('webpack');

var config = {
  debug: true,
  devtool: 'source-map',
  entry: {
    'index.ios': ['./src/main.js'],
  },

  output: {
    path: path.resolve(__dirname, 'build'),
    filename: '[name].js',
  },

  module: {
    loaders: [
      {
        test: /\.js$/,
        exclude: /node_modules/,
        loader: 'babel',
        query: { stage: 0, plugins: ['./build/babelRelayPlugin'] }
      },
    ],
  },

  plugins: [],
};
</code></pre>



<p>When I do import </p>

<p>import ScrollableTabView from 'react-native-scrollable-tab-view';</p>

<p>I got </p>

<pre class=""lang-js prettyprint-override""><code>ERROR in ./~/react-native-scrollable-tab-view/index.js
Module parse failed: /Users/butuzgol/Playground/watchme/node_modules/react-native-scrollable-tab-view/index.js Line 135: Unexpected token &lt;
You may need an appropriate loader to handle this file type.
|       return React.cloneElement(this.props.renderTabBar(), props);
|     } else {
|       return &lt;DefaultTabBar {...props} /&gt;;
|     }
|   },
 @ ./src/pages/dashboard.js 25:36-79
</code></pre>



<p>Also I found this issue <a href=""https://github.com/mjohnston/react-native-webpack-server/issues/34"" rel=""nofollow"">https://github.com/mjohnston/react-native-webpack-server/issues/34</a> but for now I haven't found solution</p>
","1309841","","","","","2015-11-27 11:56:29","Webpack react-native-webpack-server import 3d part library","<react-native><webpack>","1","0","","",""
"42619509","1","42620537","","2017-03-06 07:08:49","","1","38","<pre><code>import React , {Component} from 'react'

class App extends Component{
  render(){
    return(
      &lt;Buttons&gt;
        &lt;button value='A'&gt;A&lt;/button&gt;
        &lt;button value='B'&gt;B&lt;/button&gt;
        &lt;button value='C'&gt;C&lt;/button&gt;
      &lt;/Buttons&gt;
    )
  }
}


class Buttons extends Component{
  constructor(){
    super()
    this.state= {
      selected: 'none'
    }
  }

  selectItem(selected){
    this.setState( { selected } )
  }

  render(){
    let fn = (child) =&gt; (
      React.cloneElement( child , {
          // this only change is the call to bind here  
          onClick: this.selectItem.bind(this , child.props.value)
        } 
      )
    )
    let items = React.Children.map(this.props.children , fn)
    return(
      &lt;div&gt;
        &lt;h3&gt;
          you have selected: {this.state.selected}
        &lt;/h3&gt;
        {items}
      &lt;/div&gt;
    )
  }
}

export default App
</code></pre>

<hr>

<pre><code>import React , {Component} from 'react'

class App extends Component{
  render(){
    return(
      &lt;Buttons&gt;
        &lt;button value='A'&gt;A&lt;/button&gt;
        &lt;button value='B'&gt;B&lt;/button&gt;
        &lt;button value='C'&gt;C&lt;/button&gt;
      &lt;/Buttons&gt;
    )
  }
}


class Buttons extends Component{
  constructor(){
    super()
    this.state= {
      selected: 'none'
    }
    // here I added the binding on the constructor . 
    this.selectItem = this.selectItem.bind(this)
  }

  selectItem(selected){
    this.setState( { selected } )
  }

  render(){
    let fn = (child) =&gt; (
      React.cloneElement( child , {
          // this only change is the call to bind here  
          onClick: this.selectItem(child.props.value)
        } 
      )
    )
    let items = React.Children.map(this.props.children , fn)
    return(
      &lt;div&gt;
        &lt;h3&gt;
          you have selected: {this.state.selected}
        &lt;/h3&gt;
        {items}
      &lt;/div&gt;
    )
  }
}

export default App
</code></pre>

<p>when adding the <code>this</code> binding inside the callback that is passed to <code>React.cloneElement</code> everything works just find (first code example)</p>

<p>but </p>

<p>when adding the binding up top in the constructor seems to invoke an infinite loop of some sort . I still can't figure out why ? 
what is the difference between the two ?</p>

<p><a href=""https://i.stack.imgur.com/0Y0fJ.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/0Y0fJ.png"" alt=""enter image description here""></a></p>
","3260606","","","","","2017-03-06 08:28:27","How is it that binding a method inside the constructor is different from binding it inside the call to React.cloneElement?","<reactjs>","1","0","","",""
"44097568","1","","","2017-05-21 13:39:45","","0","97","<p>i don't know how solve my problem. This is react route code
How i know, switch must throw one route component in my Base, but he throw all route's in Router.I don't know how work with this object( in image) and have to get key for ReactCSSTransitionGroup</p>

<p><a href=""https://www.dropbox.com/s/nzkf91delcvuo2f/%D0%91%D0%B5%D0%B7%D1%8B%D0%BC%D1%8F%D0%BD%D0%BD%D1%8B%D0%B9.png?dl=0"" rel=""nofollow noreferrer"">https://www.dropbox.com/s/nzkf91delcvuo2f/%D0%91%D0%B5%D0%B7%D1%8B%D0%BC%D1%8F%D0%BD%D0%BD%D1%8B%D0%B9.png?dl=0</a></p>

<pre><code>import React, {Component} from 'react'
import {
BrowserRouter as Router,
Route,
Switch,
browserHistory
} from 'react-router-dom'
import render from 'react-dom'
import Base from '../../layouts/BaseLayout'
import Contacts from '../contacts'
import Product from '../product'
import Main from '../main'
class App extends Component {
render() {
    return (
        &lt;Router history={browserHistory}&gt;
            &lt;Base&gt;
                &lt;Switch&gt;
                    &lt;Route exact path=""/"" component={Main} key={'1'} location={location}/&gt;
                    &lt;Route component={Product} path='/product' key={'2'} location={location}/&gt;
                    &lt;Route component={Contacts} path='/contacts' key={'3'} location={location}/&gt;
                &lt;/Switch&gt;
            &lt;/Base&gt;
        &lt;/Router&gt;
    )
}
}
</code></pre>

<p>and this is my Base class</p>

<pre><code>class Base extends Component {
    componentDidMount() {
    console.log(this.props);
}
render() {
return (
    &lt;div&gt;
        &lt; Head /&gt;

        &lt;ReactCSSTransitionGroup transitionName=""example""
                                 transitionEnterTimeout={1500}
                                 transitionLeaveTimeout={1500}
        &gt;

            {React.cloneElement(this.props.children, {
                key: this.props.location
            })}
        &lt;/ ReactCSSTransitionGroup &gt;
        &lt; Footer/&gt;
    &lt;/ div &gt;
    );
}
</code></pre>
","8043991","","4355342","","2017-05-21 13:44:41","2017-05-21 13:44:41","react switch v4 doesn't work and throw all route's","<reactjs><switch-statement><frontend><reactcsstransitiongroup><react-router-dom>","0","5","","",""
"34555766","1","","","2016-01-01 11:36:12","","2","185","<p>I have used the below structure to create a react component which is working on the browser after done babel. But the Layout spec is failing in my case since the <code>React</code> is declared in <code>Base</code> component only. Why the inheritance is not working in spec? </p>

<p><strong>Base.js</strong></p>

<pre><code>import React from 'react';

export default class Base extends React.Component {

}
</code></pre>

<p><strong>Layout.js</strong></p>

<pre><code>import 'Base' from './Base';

export default class Layout extends Base {
const sample = React.cloneElement(this.props.data, {ref: 't'});

}
</code></pre>

<p><strong>Test Case</strong></p>

<pre><code>import Layout from 'component/Layout'
import React from 'react';

describe('Layout', () =&gt; {
}
</code></pre>

<p><strong>Error message:</strong></p>

<pre><code>ReferenceError: Can't find variable: React
</code></pre>
","409617","","409617","","2016-01-01 11:46:20","2016-01-01 12:12:51","inheritance is not working in react mocha test","<javascript><reactjs><mocha>","1","0","","",""
"34410051","1","34411160","","2015-12-22 06:54:15","","9","8646","<p>I am using react router 1.0.2 and my routes look like this:</p>

<pre><code>ReactDOM.render(
  &lt;Provider store={store}&gt;
    &lt;Router history={history}&gt;
      &lt;Route path=""/"" component={App}&gt;
        &lt;IndexRoute component={Home}/&gt;
        &lt;Route path=""triangles"" component={Triangles}/&gt;
      &lt;/Route&gt;
    &lt;/Router&gt;
  &lt;/Provider&gt;,
  document.querySelector('.container')
);
</code></pre>

<p>My App component looks like this and I thought I could pass the location in the props:</p>

<pre><code>import React, {Component} from 'react';

import Menu from './menu';

export default class App extends Component {
  render() {
    return (
      &lt;div&gt;
        &lt;Menu/&gt;
        &lt;div className=""jumbotron""&gt;
         {this.props.children &amp;&amp; React.cloneElement(this.props.children, {
            location: this.props.location
          })}
        &lt;/div&gt;
      &lt;/div&gt;
    );
  }
};
</code></pre>

<p>I want to conditionally set an active class on the Menu component:</p>

<pre><code>import React, {Component} from 'react';

import { pushPath } from 'redux-simple-router';
import { Link } from 'react-router';

    export default class Menu extends Component {
      render() {
        return (
            &lt;nav role=""navigation"" className=""navbar navbar-default""&gt;
              &lt;div id=""navbarCollapse"" className=""collapse navbar-collapse""&gt;
                &lt;ul className=""nav navbar-nav""&gt;
                  &lt;li className={this.props.location.pathname === '/' ? 'active' : ''}&gt;
                    &lt;Link to=""/""&gt;Home&lt;/Link&gt;
                  &lt;/li&gt;
                &lt;/ul&gt;
              &lt;/div&gt;
            &lt;/nav&gt;
        );
      }
    };
</code></pre>

<p>But the <code>this.props.location</code> is null when the menu's render function is called?</p>

<p>How can I pass props to child components?</p>
","11755","","1443490","","2016-05-19 18:13:19","2018-04-12 11:01:13","Conditionally set active class on menu using react router current route","<reactjs><react-routing>","2","1","2","",""
