Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"42456975","1","","","2017-02-25 13:58:58","","1","189","<p>I'm trying to make a simple chat using <code>webrtc</code> technology, <code>react.js</code> and <code>meteor.js</code>.
This is client code:</p>

<pre><code> class Rtc extends Component {
   constructor(props) {
     super(props);
   }

   componentDidUpdate(){
     let localVideo, remoteVideo, peerConnection, localStream;
     $('#start').on('click', ()=&gt;{ start(true) });
     let id = Meteor.uuid();
     localVideo = document.getElementById('localVideo');
     remoteVideo = document.getElementById('remoteVideo');

     if (!this.props.loadingRtc) {
       this.props.messagesRtc.forEach((item, i ,arr)=&gt;{
         let signal = JSON.parse(item.text);
         if(i == 0)return;
         gotMessageFromServer(signal);
       });
     }

     if(navigator.mediaDevices.getUserMedia) {
       navigator.mediaDevices.getUserMedia( { video:true, audio:true}).then( ( stream )=&gt; {
         localStream = stream;
         localVideo.src = window.URL.createObjectURL(stream);
       }).catch(errorHandler);
     } else { alert('Your browser does not support getUserMedia API'); }

     function start(isCaller) {
       peerConnection = new RTCPeerConnection( { 'iceServers': [{'urls': 'stun:stun.services.mozilla.com'}, {'urls': 'stun:stun.l.google.com:19302'},]});
       peerConnection.onicecandidate = ( e ) =&gt; {
         console.log('e.candidate', e.candidate);
         if(e.candidate != null) {
           Meteor.call('addMsgRtc', JSON.stringify({'ice': e.candidate, '_id':id}), id);
         }
       };

       peerConnection.onaddstream = ( e )=&gt;{
         remoteVideo.src = window.URL.createObjectURL(e.stream);
       };
       peerConnection.addStream(localStream);
       if(isCaller) {
         peerConnection.createOffer().then(createdDescription).catch(errorHandler);
       }
     }

     function gotMessageFromServer(signal) {
       if(!peerConnection)  start(false);      
       if(signal._id == id) return;
       if(signal.sdp) {
         peerConnection.setRemoteDescription(new RTCSessionDescription(signal.sdp)).then(()=&gt; {
           if(signal.sdp.type == 'offer') {
             peerConnection.createAnswer().then(createdDescription).catch(errorHandler);
           }
         }).catch(errorHandler);
       } else if(signal.ice) {
         peerConnection.addIceCandidate(new RTCIceCandidate(signal.ice)).catch(errorHandler);
       }
     }
     function createdDescription(description) {
       peerConnection.setLocalDescription(description).then(()=&gt; {
         Meteor.call('addMsgRtc', JSON.stringify({'sdp':peerConnection.localDescription, '_id':id}), id);
       }).catch(errorHandler);
     }
     function errorHandler(error) { console.log(error); }
   }

   render() {
     return (
       &lt;div&gt;
         &lt;video id=""localVideo""  autoPlay muted style={{width:""40%""}}&gt;&lt;/video&gt;
         &lt;video id=""remoteVideo"" autoPlay       style={{width:""40%""}}&gt;&lt;/video&gt;
         &lt;br/&gt;
         &lt;input type=""button"" id=""start"" value=""Start Video""/&gt;
       &lt;/div&gt;
     );
   }
 }


 export default createContainer( ()=&gt; {
   const subscriptionRtc = Meteor.subscribe('rtc');
   const loadingRtc = !subscriptionRtc.ready();
   return {
     loadingRtc:loadingRtc,
     messagesRtc: msgRtc.find().fetch(),
   };
 }, App);
</code></pre>

<p>Server code:</p>

<pre><code>export const msgRtc = new Mongo.Collection('rtc');
 let messagesRtc = [];
 let clients = [];

  Meteor.publish('rtc', function wsPub() {
    clients.push(this);
    _.each(messagesRtc, (message) =&gt; {
      this.added('rtc', message._id, message);
    });
    this.ready();
  });

 Meteor.methods({
    'addMsgRtc'(arr, id) {
      let newMessage = {_id:id, 'text':arr};
      messagesRtc.push(newMessage);
      _.each(clients, (client) =&gt; {
        client.added('rtc', id, newMessage);      
      });
    },
</code></pre>

<p>The problem is that why after the initialization of <code>getUserMedia</code> does not want to further this videos and what not so I can't understand. Because it is actually a similar code with the usual <code>websockets</code> <a href=""https://github.com/shanet/WebRTC-Example/blob/master/client/webrtc.js"" rel=""nofollow noreferrer"">like this</a> works and syncs fine.</p>

<p>UPD:<br>
When you click on the button and call the function <code>start</code>. </p>

<blockquote>
  <p>TypeError: Argument 1 of RTCPeerConnection.addStream is not an object</p>
</blockquote>

<p>If <code>websockets</code> to put in then then it turns out another error:</p>

<p>Code:</p>

<pre><code> navigator.mediaDevices.getUserMedia( { video:true, audio:true}).then( ( stream )=&gt; {
    localStream = stream;
    localVideo.src = window.URL.createObjectURL(stream);
  }).catch(errorHandler).then(()=&gt;{
    if (!this.props.loadingRtc) {
      for(let i of this.props.messagesRtc){
        let signal = JSON.parse(i.text);
        gotMessageFromServer(signal)
      }
    }
  }).catch(errorHandler);
</code></pre>

<p>Error:</p>

<blockquote>
  <p>DOMException [InvalidStateError: ""Cannot set remote offer or answer in
  current state have-remote-offer"" code: 11 nsresult: 0x8053000b] 
  app.js:11075:9 DOMException [InvalidStateError: ""No outstanding offer""
  code: 11 nsresult: 0x8053000b]</p>
</blockquote>
","2529221","","2529221","","2017-02-25 21:36:43","2017-02-25 21:36:43","Error simple WebRTC chat on react.js and meteor.js","<javascript><node.js><reactjs><meteor><webrtc>","0","6","","",""
"50228991","1","","","2018-05-08 08:13:43","","0","56","<p>I have a component that extends a generic component (custom react component). How do I unit-test using enzyme's mount? Here's the code:</p>

<p>Container.js</p>

<pre><code>import React from 'react';
import request from 'API/request';

export default class Container extends React.Component {
  componentDidMount() {
    this.populateData();
  }

  componentDidUpdate() {
    if (this.isDataStale()) {
      return this.populateData();
    }
  }

  populateData() {
    const url = this.getUrl();
    const params = this.getParams();

return request(this.props.dispatch, {
  url,
  params,
  method: 'GET'
})
  .then(response =&gt; {
    this.dispatchData(response.data);
  })
  .catch(error =&gt; {
    this.dispatchError(error);
  });


}
render() {
    if (this.getData() &amp;&amp; !this.isDataStale()) {
      return this.renderChildren();
    } else {
      return null;
    }
  }

  getError() {}
  getParams() {}
  isDataStale() {
    return false;
  }
}
</code></pre>

<p>Here's the functional component:</p>

<pre><code>import React from 'react';
import { connect } from 'react-redux';
import { Route, withRouter } from 'react-router-dom';
import CustomPage from 'Client/customPage';
import Container from 'Client/container';
import TestPanel from 'Client/testPanel/TestPanel';
import Greeting from 'Client/greeting';
import Button from '../Button';

export class Test extends Container {
  constructor({ match }) {
    super();
    this.state = {
      match: match,
      id: match.params.id,
      location: ''
    };
  }

  isDataStale() {
    return (
      this.props.data.id !== this.props.match.params.id
    );
  }

  getData() {
    return this.props.data.values;
  }

  dispatchData(data) {
    this.props.dispatch({
      type: 'DATA_FOUND',
      data: data,
      id: this.state.id
    });
  }

  dispatchError(error) {
    this.props.dispatch({ type: 'CUSTOM_ERROR', data: error });
  }

  showDetails(url) {
    this.props.history.push(url);
  }

  renderChildren() {
    const match = this.state.match;
    const testUrl = `/test/values/${this.state.id}`;
    const verifyUrl = `${testUrl}/verify`;

    return (
      &lt;div className=""test-plan""&gt;
        &lt;Route path={verifyUrl} render={() =&gt; (
          &lt;Greeting show={true} /&gt;
        )} /&gt;
        &lt;TestPanel
          data={this.props.data}
          id={this.props.match.params.id}
        /&gt;
        &lt;Route exact path={testUrl} render={() =&gt; (
          &lt;CustomPage id={this.state.id} /&gt;
        )} /&gt;
        &lt;Route path={verifyUrl} render={() =&gt; (
          &lt;div className=""next-button"" &gt;&lt;Button label = {' NEXT '} onButtonClick = { this.showDetails.bind(this, loanUrl) } /&gt; &lt;/div&gt;
        )} /&gt;
      &lt;/div&gt;
    );
  }
}

const mapStateToProps = state =&gt; {
  return {
    data: state.data
  };
};

export default withRouter(connect(mapStateToProps)(Test));
</code></pre>

<p>How do I test this Test (functional) component using Enzyme? Am not sure how this mock works since the render method is inside the container which in turn invokes the renderChildren method in our functional component. Lot of functional components extends this container so we can't change this to composition pattern as of now.</p>

<p>Here's the test case (Not working)</p>

<pre><code>import jsdomWindow from '../../test.setup';
import React from 'react';
import {BrowserRouter} from 'react-router-dom';
import { Test } from 'Client/containers/test';
import { createStore } from 'redux';
import { Provider } from 'react-redux';
import Enzyme, {mount} from 'enzyme';
import Adapter from 'enzyme-adapter-react-16';
import sinon from 'sinon';
import * as api from 'API/request';
import { populateData, isDataStale } from '../../../../src/client/app/container';

Enzyme.configure({ adapter: new Adapter() });
const sandbox = sinon.sandbox.create();

describe('&lt;Test /&gt;',() =&gt; {
  beforeEach(function() {
    sandbox.stub(api, 'default').returns(Promise.resolve({data: { saySomething: 'Yay Tests!'}}));
  });

  afterEach(function() {
    sandbox.restore();
  });
  const match = {
    params: {
      id: 100
    }
  };
  const testState = {
    data : {
      test: {
        id:'100',
        email:'someone@something.com',
        first_name:'John',
        home_phone:'325-555-6564',
        last_name:'Doe'
      }
    }
  };
  const wrapper = mount(
    &lt;BrowserRouter&gt;
      &lt;Provider store={createStore(state =&gt; state, { data: testState.data })}&gt;
        &lt;Test data={testState.data} dispatch={ sinon.spy() }
          match={match} /&gt;
      &lt;/Provider&gt;
    &lt;/BrowserRouter&gt;
  );
  jest.mock('../../../../src/client/app/container', () =&gt; ({
    populateData: jest.fn(),
    isDataStale: jest.fn(),
    getError: jest.fn(),
    getParams: jest.fn(),

  }));

  it('should render', () =&gt; {
    console.log(wrapper.debug());
    populateData.mockReturnValueOnce({});
    isDataStale.mockReturnValueOnce(false);
    const greetingContainer = wrapper.find('.greeting-container').find('.quick-info').find('.quick-info-heading');
    expect(greetingContainer.text()).toContain('PROPER RESPONSE');
  });

  // it('should render greeting component by default', () =&gt; {
  //   expect(wrapper.find('div.greeting-container')).toBeDefined();
  //   expect(wrapper.find('div.info-container')).toBeDefined();
  //   expect(wrapper.find('div.next-button')).toBeDefined();
  // });

  // it('should not render greeting and next-button components on clicking next', () =&gt; {
  //   console.log(`Test**** ${JSON.stringify(wrapper.find('div.plan'))}`);
  // });
});
</code></pre>

<p>Could anyone help me to unit test this using mount method of enzyme. Don't want to use shallow here as i have to test nested components' properties.</p>

<p>Thank you.</p>
","4486280","","4486280","","2018-05-08 13:06:11","2018-05-08 13:06:11","How to unit test a react component that uses inheritance instead of composition using jest and enzyme?","<reactjs><unit-testing><redux><react-router><enzyme>","0","3","","",""
"36573252","1","36573540","","2016-04-12 12:26:35","","2","974","<p>This is vanila code to run list.js in the browser. And it works with no problem</p>

<pre><code>&lt;script src=""http://listjs.com/no-cdn/list.js""&gt;&lt;/script&gt;
&lt;div id=""users""&gt;
&lt;input class=""search"" placeholder=""Search"" /&gt;
&lt;ul class=""list""&gt;
    &lt;li&gt;
        &lt;h3 class=""name""&gt;Jonny Stromberg&lt;/h3&gt;
    &lt;/li&gt;
    &lt;li&gt;
        &lt;h3 class=""name""&gt;Jonas Arnklint&lt;/h3&gt;
    &lt;/li&gt;
    &lt;li&gt;
        &lt;h3 class=""name""&gt;Martina Elm&lt;/h3&gt;
    &lt;/li&gt;
&lt;/ul&gt;
&lt;/div&gt;
&lt;script&gt;
var options = { valueNames: [ 'name' ] };
var userList = new List('users', options);
&lt;/script&gt;
</code></pre>

<p>So I thought it will be simple to that in react, I tried this</p>

<pre><code>import React from ""react"";
import ReactDOM from ""react-dom"";

    class Home extends React.Component{
        componentDidUpdate(){
            const options = { valueNames: [ 'name' ] };
            const userList = new List('users', options);
        }
        render(){ 
            return(
                &lt;div id=""users""&gt;
                    &lt;input class=""search"" placeholder=""Search"" /&gt;
                    &lt;ul class=""list""&gt;
                        &lt;li&gt;
                            &lt;h3 class=""name""&gt;Jonny Stromberg&lt;/h3&gt;
                        &lt;/li&gt;
                        &lt;li&gt;
                            &lt;h3 class=""name""&gt;Jonas Arnklint&lt;/h3&gt;
                        &lt;/li&gt;
                        &lt;li&gt;
                            &lt;h3 class=""name""&gt;Martina Elm&lt;/h3&gt;
                        &lt;/li&gt;
                    &lt;/ul&gt;
                &lt;/div&gt;
            )
        }
    }

    const app = document.getElementById('app');

    ReactDOM.render(&lt;Home /&gt;, app);
</code></pre>

<p>index.html</p>

<pre><code>&lt;!DOCTYPE html&gt;
&lt;html&gt;
&lt;head&gt;&lt;/head&gt;
&lt;body&gt;
&lt;div id=""app""&gt;&lt;/div&gt;
&lt;script src=""//cdnjs.cloudflare.com/ajax/libs/list.js/1.2.0/list.min.js""&gt;&lt;/script&gt;
&lt;script src=""bundle.js""&gt;&lt;/script&gt;
&lt;/body&gt;
&lt;/html&gt;
</code></pre>

<p>But it's not working. And specially no error at all. What could be done here?</p>
","455340","","455340","","2016-04-12 19:16:13","2016-04-13 05:43:18","Make list.js and react.js work together","<javascript><reactjs><listjs>","1","0","1","",""
"42872062","1","42872472","","2017-03-18 08:17:24","","0","1753","<p>So I've been struggling to figure out the react-redux ecosystem for a while now. I'm almost there but there is still something that keep giving is me issues, and that's the componentDidUpdate method. When I dispatch an async action, the store is reducer is called correctly and the component's state does update.</p>

<p>But for some reason, the componentDidUpdate method does not fire, there is no re-render, and I cannot access the updated props. I can see it change in devtools, if I console.log(this.props.blogStore). At first it shows as an empty object but when on click it opens and shows the updated state.</p>

<p>I've tried as many life cycle methods as I can but nothing seems to work, including componentWillReceiveProps.</p>

<p>Any idea what I'm doing wrong?</p>

<p>Here is the code:</p>

<p><strong>index.js</strong></p>

<pre><code>import React from 'react';
import ReactDOM from 'react-dom';
import { Provider } from 'react-redux';

import App from './App';
import Datastore from 'Datastore';

const store = Datastore()

store.subscribe(() =&gt; console.log(""state changed"", store.getState()))

ReactDOM.render(
    &lt;Provider store={store}&gt;
        &lt;App /&gt;
    &lt;/Provider&gt;,
    document.getElementById('app')
);
</code></pre>

<p><strong>Datastore.js</strong></p>

<pre><code>import { combineReducers, createStore, applyMiddleware } from 'redux';
import thunk from 'redux-thunk'

import Mainmenu from 'reducers/Mainmenu';
import Blogstore from 'reducers/Blogstore';

const reducer = combineReducers({
    Mainmenu,
    Blogstore,
})

export default function Datastore() {
    const store = createStore(
        reducer,
        applyMiddleware(thunk)
    )

    return store
}
</code></pre>

<p><strong>reducer</strong></p>

<pre><code>import Article from 'lib/Article';
import { ARTICLE_LOAD, ARTICLE_UPDATE, SAVE_ARTICLE_LIST } from 'actionTypes';

const initialBlogState = {
}

const Blogstore = (state=initialBlogState, action) =&gt; {
    switch(action.type) {
        case SAVE_ARTICLE_LIST:
            state.init = true
            state.articles = action.payload
            return state
        case ARTICLE_LOAD:
            return state
        case ARTICLE_UPDATE:
            return state
    }
    return state
}

export default Blogstore;
</code></pre>

<p><strong>blog-actions.js</strong></p>

<pre><code>import { ARTICLE_LOAD, ARTICLE_UPDATE, SAVE_ARTICLE_LIST } from 'actionTypes';
import APIFetch from '../lib/Fetch';

export function getArticlePids() {
    return dispatch =&gt; {
        APIFetch().get(""/blog/list"").then(response =&gt; {
            dispatch({
                type: SAVE_ARTICLE_LIST,
                payload: response.data
            })
        })
    }
}
</code></pre>

<p><strong>component</strong></p>

<pre><code>import React from 'react';
import { connect } from 'react-redux';
import * as blogActions from '../actions/blog-actions';

@connect(state =&gt; ({
    blogStore: state.Blogstore
}))
export default class Blog extends React.Component {
    constructor() {
        super()
    }

    componentDidMount() {
        this.props.dispatch(blogActions.getArticlePids())
    }

    componentDidUpdate(prevProps) {
        console.log(""update"", prevProps)
    }

    render() {
        console.log(""render"", this.props.blogStore)

        return (
            &lt;div&gt;&lt;h1&gt;Blog&lt;/h1&gt;&lt;/div&gt;
        )

    }
}
</code></pre>

<p>That is pretty much it. I won't bother pasting the App and Router that are between index.js and the component because there is nothing of interest there. Just a basic react router and components that have nothing to do with this.</p>
","5918922","","5918922","","2017-03-18 08:56:26","2017-03-18 09:12:00","componentDidUpdate does not fire","<react-redux>","1","4","","",""
"40666463","1","40709636","","2016-11-17 22:48:31","","0","362","<p>I am passing a self invoking function from <code>App</code> Component into <code>getBgColor</code> function of <code>WeatherForecast</code> Component. This grabs a value from the child component <code>WeatherForecast</code> and passes it into <code>App</code> Component to update <code>this.state.appColorClass</code>. </p>

<p>*<code>getBgColor</code> function is inside <code>componentDidUpdate()</code> which creates a loop and crashes the broweser. New to react and not sure how to solve this.</p>

<pre><code>export default class App extends Component {
  constructor(props) {
    super(props);

    this.state = { appColorClass: 'app-bg1' };
  }

  setAppColor(colorClass) {
    alert(""set className"");
    this.setState({ appColorClass: colorClass });
  }

  render() {
    return (
    &lt;div className={""app-container "" + this.state.appColorClass}&gt;
      &lt;div className=""main-wrapper""&gt;

          &lt;WeatherForecast getBgColor={color =&gt; this.setAppColor(color)} /&gt;

      &lt;/div&gt;   
    &lt;/div&gt; 
    );
  }
}


class WeatherForecast extends Component {
  componentDidUpdate() {
    console.log('Component DID UPDATE!')
      //The function `setAppColor` from `App` component is passed into `getBgColor`
      this.props.getBgColor(this.appColor(this.props.weather));
  }

  appColor(weatherData) {
    console.log(""app color working"");

    let temp = 0;
    if ( typeof weatherData === 'undefined' || weatherData === null ) {
      console.log("" initial Color went through"");
      return 'app-bg1';
    }
    temp = Math.round(weatherData.list[0].main.temp - 273.15);
    if (temp &lt;= -30) {
        return ""app-bg1"";
    }
    if (temp &gt;= -29 &amp;&amp; temp &lt;= -21) {
        return ""app-bg2"";
    }
    if (temp &gt;= -20 &amp;&amp; temp &lt;= -11) {
        return ""app-bg3"";
    }
    if (temp &gt;= -10 &amp;&amp; temp &lt;= 4) {
        return ""app-bg4"";
    }
    if (temp &gt;= 5 &amp;&amp; temp &lt;= 15) {
        return ""app-bg5"";
    }
    if (temp &gt;= 16 &amp;&amp; temp &lt;= 24) {
        return ""app-bg6"";
    }
    if (temp &gt;= 25 &amp;&amp; temp &lt;= 32) {
        return ""app-bg7"";
    }
    if (temp &gt;= 33 &amp;&amp; temp &lt;= 38) {
        return ""app-bg8"";
    }
    if (temp &gt;= 39) {
        return ""app-bg9"";
    }
  }

  render() {

    return (
      &lt;div className=""text-center col-xs-12""&gt;
         &lt;h1 id=""temp""&gt;{this.displayTemp(this.props.weather)}&lt;sup&gt;&amp;deg;&lt;/sup&gt;&lt;/h1&gt;
         &lt;h1&gt;{this.displayCity(this.props.weather)}&lt;/h1&gt; 
      &lt;/div&gt;
    );
  }
}
</code></pre>
","2125972","","","","","2016-11-20 21:34:06","Loop with componentDidUpdate","<javascript><reactjs>","2","2","1","",""
"43726814","1","43766651","","2017-05-01 21:30:32","","3","262","<p>I'm getting a warning on the following line on my react component</p>

<pre><code>handleToggle: Function;
</code></pre>

<p>I'm using <a href=""https://github.com/yannickcr/eslint-plugin-react"" rel=""nofollow noreferrer"">eslint-plugin-react</a> and <a href=""https://flow.org/"" rel=""nofollow noreferrer"">Flow</a> and I'm getting a warning ""handleToggle should be placed after constructor"". This is related to rule react/sort-comp. I tried with the following on my .eslintrc.json</p>

<pre><code> ""react/sort-comp"": [1, {
  ""order"": [
    ""static-methods"",
    ""lifecycle"",
    ""everything-else"",
    ""render""
  ],
  ""groups"": {
    ""lifecycle"": [
      ""displayName"",
      ""propTypes"",
      ""contextTypes"",
      ""childContextTypes"",
      ""/^.*: Function$/"",
      ""mixins"",
      ""statics"",
      ""defaultProps"",
      ""state"",
      ""constructor"",
      ""getDefaultProps"",
      ""getInitialState"",
      ""getChildContext"",
      ""componentWillMount"",
      ""componentDidMount"",
      ""componentWillReceiveProps"",
      ""shouldComponentUpdate"",
      ""componentWillUpdate"",
      ""componentDidUpdate"",
      ""componentWillUnmount""
    ]
  }
}]
</code></pre>

<p>But I'm unable to fix the warning. I want the Function Types before constructor the same as the other Type Definition. How can I achieve this?</p>
","5623087","","4076315","","2017-05-03 02:09:47","2017-05-03 17:44:15","How to fix warning caused by Flow Function Types using eslint-plugin-react?","<reactjs><eslint><flowtype>","1","1","","",""
"43640765","1","","","2017-04-26 17:22:55","","1","184","<p>My React component requires an ajax call to get the data to render itself.</p>

<p>Initially, I used the approach to make an ajax call kicked off within render.  Here is my pseudo code...</p>

<pre><code>export class MyView extends React.Component&lt;any, any&gt; {

    hasAjaxData: boolean = false;

    renderAndGetData() {
        const data = {

        };

        AjaxCall(data)
            .then((results) =&gt; {
                this.hasAjaxData = true;
                // save to store here, causing a rerender
                ...
                });
            })
            .catch((err: Error) =&gt; {
                console.error(err);
            });
        return (
            &lt;SpinnerComponent /&gt;
        );
    }

    renderWithData() {
        return (
            &lt;div&gt;
                Render with data here
            &lt;/div&gt;
        );
    }

    render() {
        return this.hasAjaxData ? this.renderWithData() : this.renderAndGetData();
    }
}
</code></pre>

<p>After reading in the React documentation about the <a href=""https://facebook.github.io/react/docs/react-component.html#render"" rel=""nofollow noreferrer"">render call</a>, I was a bit concerned about changing the store in a render call, even asynchronously.</p>

<p>I came up with another approach that uses componentDidMount and componentDidUpdate.  This ended up being slightly more complicated, since when the component is initially rendered, componentDidMount and componentDidUpdate both get called.  Any subsequent updates (via the URL being changed, then rerendering via react-router) do <em>not</em> call componentDidMount, but rather only componentDidUpdate, (which also gets called during the initial mount).  To avoid any unnecessary renders, careful attention to flags is required.</p>

<p>This second approach seems more complicated and involves more function overrides...</p>

<p>So the question is: is there anything wrong with firing off an ajax request from within the render function?</p>

<p>thanks...</p>
","1431343","","","","","2017-04-26 17:25:59","Best practice for making an ajax call using React and react-router","<ajax><reactjs><react-router>","1","0","","",""
"42945897","1","","","2017-03-22 08:04:57","","0","232","<p>I am new to <code>react-router</code> and right now I have following routes in my app:</p>

<pre><code>&lt;Router history={browserHistory}&gt;
    &lt;Route path=""/"" component={MainLayout}&gt;
        &lt;Route path=""/v/:username/:reponame/:page/:perPage"" component={Results} /&gt;
    &lt;/Route&gt;
&lt;/Router&gt;
</code></pre>

<p>As you can see, there's a MainLayout component that includes an <code>&lt;input type=""text""&gt;</code> which is used to connect to Github API and retrieve list of issues for a certain repo.</p>

<p>Then the <code>Results</code> component steps in. Here's the code for it's <code>componentDidMount()</code>:</p>

<pre><code>componentDidMount() {
    const {
        username,
        reponame,
        page,
        perPage
    } = this.props.params;
    this.sendRequest(username, reponame, page, perPage);
}
</code></pre>

<p><code>sendRequests</code> essentially contains the ajax query for fetching the output data, after which it's being set into the component's state:</p>

<pre><code>    this.state = {
        data: [], // here
        lastPage: -1,
        errorMessage: ''
    }
</code></pre>

<p>Now this works pretty well till the very moment when one wants to change the value of an <code>input</code>.</p>

<p>As I see, the <code>Result</code> component doesn't unmount. Instead, it invokes <code>componentWillReceiveProps()</code> and updates the existing component. AFAIK it is safe to perform side calls in <code>componentDidUpdate()</code> so I just copied the code above from <code>componentDidMount()</code> and pasted it in there. This way, though (and it is absolutely reasonable) <code>componentDidMount()</code> is being invoked over and over again.</p>

<p>The only workaround I came up with at the moment is comparing old and new data in the <code>sendRequest()</code> itself and invoke <code>setState()</code> inside of it only if it differs via <code>deep-equal</code> package, so it looks like this:</p>

<pre><code>    if (!equal(res, this.state.data)) {
        this.setState({
          ...this.state,
          data: res,
          lastPage
        });
    }
</code></pre>

<p>Is this considered to be an ok pattern or there is a better way to solve this issue?</p>
","5659471","","","","","2017-03-22 08:27:34","Infinite componentDidUpdate() calls with react-router","<reactjs><react-router>","1","1","1","",""
"50185157","1","50185682","","2018-05-05 02:33:33","","3","149","<p>I am working with react 16.3 where <code>componentWillUpdate</code> is deprecated (strict mode). We have a react wrapper around <code>Highcharts</code> and used to update the <code>highchart</code> in <code>componentWillUpdate</code> that runs just before render. </p>

<p>But now in react 16.3 when the input <code>highchartoptions</code> prop updates, there seems to be no way to call <code>Highchart.update</code> before <code>render()</code> is called. Its suggested to use <code>componentDidUpdate</code> but its called only after <code>render()</code> and it doesn't seem to work at all.Any suggestions will help.</p>

<p>Code snippet here:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>export class HighchartReactWrapper extends React.Component {
  constructor(props) {
    super(props);

    // We maintain the user provided options being used by highchart as state
    // inorder to check if chart update is needed.
    this.state = { highChartOptions: this.props.options };
    this.onChartRendered = this.onChartRendered.bind(this);
  }

  componentDidMount() {
    // Create chart
    this.chart = new Highcharts.Chart(this.container, this.state.highChartOptions, this.onChartRendered);
  }

  static getDerivedStateFromProps(nextProps, prevState) {
    if (nextProps.options !== prevState.options) {
      return { highChartOptions: nextProps.options };
    }
  }

  componentDidUpdate() {
    this.chart.update(this.state.highChartOptions, false, true); &lt;---- Doesn't work
  }

  onChartRendered() {
    // Callbacks..
    if (this.props.onChartRenderedCallback !== undefined) {
      this.props.onChartRenderedCallback();
    }
  }

  componentWillUnmount() {
    // Destroy chart
    this.chart.destroy()
  }

  render() {
    return (
      &lt;div className=""react-highchart-wrapper""&gt;
        &lt;div id={container =&gt; this.container = container} /&gt;
      &lt;/div&gt;
    );
  }
}

HighchartReactWrapper.propTypes = {
  /**
   * Chart options to be used in Highcharts library.
   */
  options: PropTypes.object.isRequired,
  onChartRenderedCallback: PropTypes.func
};

HighchartReactWrapper.defaultProps = {
  options: undefined,
  onChartRenderedCallback: undefined
};</code></pre>
</div>
</div>
</p>
","9743947","","6622817","","2018-05-05 02:38:16","2018-05-05 04:23:13","How to update Highchart from inside react a component?","<reactjs><highcharts>","1","3","1","",""
"44107644","1","44117766","","2017-05-22 08:01:35","","1","641","<p>I have a weird situation at hand while trying to make a demo appointment system. 
I want to fetch events through Django backend rest api, which works totally fine and I could see the data coming in console as well.</p>

<p>Here is my index file (where provider is):
<a href=""https://hastebin.com/ubefumofor.js"" rel=""nofollow noreferrer"">https://hastebin.com/ubefumofor.js</a></p>

<p>My calendar rendering component:
<a href=""https://hastebin.com/oronefibap.scala"" rel=""nofollow noreferrer"">https://hastebin.com/oronefibap.scala</a></p>

<p>My Redux, its reduxsauce library I am using:
<a href=""https://hastebin.com/usetavasub.js"" rel=""nofollow noreferrer"">https://hastebin.com/usetavasub.js</a></p>

<p>My ReduxSaga file:
<a href=""https://hastebin.com/wutuvelefi.js"" rel=""nofollow noreferrer"">https://hastebin.com/wutuvelefi.js</a></p>

<p>Now, the thing is, I am struggling to do a few things after I fetch the events:</p>

<ul>
<li><p>Where to setState, as it goes in infinite look if I call it in componentWillUpdate or componentDidUpdate?</p></li>
<li><p>if I use this.props.events I get the following error which I have attached as a picture. It says <code>uncaught at fetchEventsByDoctor The sort method cannot be invoked on an Immutable data structure.</code>
<a href=""https://i.stack.imgur.com/kX3tR.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/kX3tR.png"" alt=""enter image description here""></a></p></li>
</ul>

<p>Now I know that props cant be modified and state could be.</p>

<p>Any suggestions what could be wrong? Thanks</p>

<p><strong>Note: I am new to react and redux related technologies.</strong>
<a href=""https://i.stack.imgur.com/TgYAD.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/TgYAD.png"" alt=""enter image description here""></a></p>

<hr>

<h2>Solution</h2>

<hr>

<pre><code>componentDidUpdate(prevProps, prevState){

if(prevProps.events !== this.props.events) {

     let a = this.state.events.slice();
     let p = this.props.events
     for(var i = 0; i &lt; p.length; i++ ){
         a[a.length] = p[i]

     }
     this.setState({events: a})



   }
  }
</code></pre>

<p>And that should do the trick, but Nagaraj's answer below is very much a good working solution too.</p>
","262914","","262914","","2017-05-23 02:35:25","2017-05-23 02:35:25","react-big-calendar fetch events from remote url redux issue","<reactjs><redux><redux-saga><seamless-immutable><react-big-calendar>","1","7","1","",""
