Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"30100403","1","","","2015-05-07 11:58:05","","0","638","<p>Im using a data array to create a menu in react, the menu work fine but it has some submenu on determinated items. </p>

<p>I use the classnames to show the submenu, this is made in 2 separated components of react and the problem is the following, when I click on one menu item which has submenu all the submenus are open at the same time. </p>

<p>Not sure how to fix it and just open the corresponded submenu.</p>

<p>This is the menu:</p>

<pre><code>export default class MainNavBarView_Profit extends React.Component {
    constructor (props){
        super(props);

        this.state = {active: false, activetest:false}
        this.handleClick = this.handleClick.bind(this)
    }

    handleClick() {
        this.setState({ active: !this.state.active, activetest: !this.state.activetest });
    }

    render() {
        var me = this;
        var cx = require('classnames');
        var button = cx ({
            'aui-profit-main-navbar-dropdown-closed-li' : true,
            'selected' : this.state.active
        });
        var menu_data = [
            { text: 'Inicio' },
            { text: 'Ventas' },
            { text: 'Gastos' },
            { text: 'Bancos' },
            { text: 'Invitar a mis amigos' },
            { text: 'Mi gestor', submenu: [
                { text: 'Conectar con mi gestor' },
                { text: 'Buscar un gestor' },
                { text: 'Ver ofertas de expertos' },
                { text: 'Buscar un experto' },
                ]
            },
            { text: 'Aplicaciones', submenu: [
                { text: 'Facturación' },
                { text: 'Contabilidad' },
                { text: 'Proyectos' },
                { text: 'Stock' },
                { text: '+ Añadir más aplicaciones' },
                ]
            }
        ];

        var menu_options = [];
        menu_data.map(function(menu_option, index) {
            if (menu_option.submenu) {
                menu_options.push(&lt;li key={index} className={button}&gt;&lt;a href=""#"" className=""aui-profit-main-navbar-dropdown-closed-a"" onClick={me.handleClick}&gt;{menu_option.text}&lt;/a&gt; &lt;MainNavBarDropdownView options={menu_option.submenu} activetest={me.state.activetest} /&gt;&lt;/li&gt;);
            } else {
                menu_options.push(&lt;li key={index} className=""aui-profit-main-navbar-li""&gt;&lt;a href=""#"" className=""aui-profit-main-navbar-a""&gt;{menu_option.text}&lt;/a&gt;&lt;/li&gt;);
            }
        });

        return (
            &lt;div className=""aui-profit-main-navbar-container""&gt;
                &lt;nav&gt;
                    &lt;ul className=""aui-profit-main-navbar-ul""&gt;
                        {menu_options}
                    &lt;/ul&gt;
                &lt;/nav&gt;
            &lt;/div&gt;
        );
    }
}
</code></pre>

<p>This is the submenu: </p>

<pre><code>export default class MainNavBarDropdownView_Profit extends React.Component {

    constructor(props) {
        super(props);   
    }

    componentWillMount() {
        if (process.env.BROWSER) {
            document.addEventListener(""click"", (e) =&gt; this._handleOnClickDocument(e), true);
        }
    }

    componentWillUnmount() {
        if (process.env.BROWSER) {
            document.removeEventListener(""click"", (e) =&gt; this._handleOnClickDocument(e), true);
        }
    }

    _handleOnClickDocument(e) {
        e.preventDefault();

        if (this.refs.dropdownContainer.getDOMNode().contains(e.target)) return;

        if(this.state.active == true){
            this.setState({ 
                active: false
            });
        }
    }

    render() {

        var submenu_options = [];
        this.props.options.map(function(submenu_option, index) {
            submenu_options.push(&lt;li key={index} className=""aui-profit-main-navbar-dropdown-li""&gt;&lt;a href=""#"" className=""aui-profit-main-navbar-dropdown-a""&gt;{submenu_option.text}&lt;/a&gt;&lt;/li&gt;);
        });
        var cx = require('classnames');
        var dropdown = cx ({
            'aui-profit-main-navbar-dropdown-ul' : true,
            'block' : this.props.activetest
        });

        return (
            &lt;ul className={dropdown} ref=""dropdownContainer""&gt;
                {submenu_options}
            &lt;/ul&gt;                   
        );
    }
}
</code></pre>

<p>I was wondering if I can do it just with css, adding a class to the items with submenu which displays or changes the ul class to block?</p>
","2923808","","1048572","","2015-05-07 13:40:49","2015-05-07 13:40:49","how to show the submenu of each clicked menu item and not all in a react array","<css><reactjs>","0","2","","",""
"30135351","1","","","2015-05-09 02:37:44","","5","7142","<p>I have the following code for a simple dropdown menu on my navbar: <a href=""https://jsfiddle.net/jL3yyk98/10/"" rel=""nofollow"">https://jsfiddle.net/jL3yyk98/10/</a></p>

<p>index.html</p>

<pre><code>&lt;div id=""menu-button""&gt;&lt;/div&gt;
</code></pre>

<p>NavMenu.js</p>

<pre><code>var NavMenu = React.createClass({
    getDefaultProps: function()
    {
        return {
            isOpen: false
        };
    },

    render: function()
    {
        if (this.props.isOpen)
        {
            return (
                &lt;div className=""dropdown""&gt;
                    &lt;ul&gt;
                        &lt;li&gt;&lt;a href=""#""&gt;News&lt;/a&gt;&lt;/li&gt;
                        &lt;li&gt;&lt;a href=""#""&gt;About&lt;/a&gt;&lt;/li&gt;
                        &lt;li&gt;&lt;a href=""#""&gt;Guidelines&lt;/a&gt;&lt;/li&gt;
                        &lt;li&gt;&lt;a href=""#""&gt;Exchange&lt;/a&gt;&lt;/li&gt;
                        &lt;li&gt;&lt;a href=""#""&gt;Forum&lt;/a&gt;&lt;/li&gt;
                    &lt;/ul&gt;
                &lt;/div&gt;
            );
        }
        return null;
    }
});
</code></pre>

<p>NavMenuButton.js</p>

<pre><code>var NavMenuButton = React.createClass({

    getInitialState: function()
    {
        return {
            isOpen: false
        };
    },

    toggleMenu: function(e)
    {
        e.stopPropagation();
        this.setState({isOpen: !this.state.isOpen});
    },

    onClose: function()
    {
        this.setState({isOpen: false});
    },

    componentDidMount: function ()
    {
        document.body.addEventListener('click', this.onClose);
    },

    componentWillUnmount: function ()
    {
        document.body.removeEventListener('click', this.onClose);
    },

    render: function()
    {
        return (
            &lt;div&gt;
                &lt;a onClick={this.toggleMenu} href=""#""&gt;Menu&lt;/a&gt;
                &lt;NavMenu isOpen={this.state.isOpen} /&gt;
            &lt;/div&gt;
        );
    }

});

React.render(&lt;NavMenuButton /&gt;, document.getElementById('menu-button'));
</code></pre>

<p>I understand with my current code that both the toggleMenu method and onClose method are called when the user clicks the menu button to close the menu (since they are also effectively clicking the body); and that the onClose method is called first, meaning that the state is set to false, but then the toggleMenu method is called and it's set back to true. Why is this, and how can I fix it so that clicking the menu button toggles the menu <em>and</em> clicking the body hides the menu?</p>

<p>If this approach seems wrong what approach should I be using? I'm fairly new to react so I'm still learning what goes where and why.</p>

<p>Also, I cannot use a full body div as the solution to this, it needs to be a typical dropdown; so if users want to interact with another part of the page (maybe clicking a link), then they can do that.</p>
","2442241","","2442241","","2015-05-23 14:55:55","2015-09-25 06:47:54","Toggle dropdown menu in reactjs","<javascript><drop-down-menu><toggle><reactjs>","2","5","1","",""
"40652380","1","","","2016-11-17 10:27:24","","1","752","<p>I am trying to shorten the screen when the keyboard is active. But it always adjust it weirdly in android, it works fine in iOS.
Before keyboard is active:</p>

<p><img src=""https://cloud.githubusercontent.com/assets/15681219/20385368/1d91da1c-acf2-11e6-8699-104471899c37.jpeg"" width=""230"" /></p>

<p>After keyboard is active:  </p>

<p><img src=""https://cloud.githubusercontent.com/assets/15681219/20385376/24f2e3fa-acf2-11e6-8c28-087c66c86002.jpeg"" width=""230"" /></p>

<p>I am using RN 0.37, this also happens when i am starting from scratch: </p>

<p>This is my code:</p>

<pre><code>import React from 'react';

import {
  Keyboard,
  Dimensions,
  ScrollView,
  StyleSheet,
  Text,
  TextInput,
  AppRegistry
} from 'react-native';

var {height, width} = Dimensions.get('window');
var _keyboardWillShowSubscription;
var _keyboardWillHideSubscription;
height = height - 20;

class awesomeproject extends React.Component {
  constructor(props) {
        super(props);
        this.state = {
            height: height,
        };
    }
    componentDidMount() {
        _keyboardWillShowSubscription = Keyboard.addListener('keyboardDidShow', (e) =&gt; this._keyboardWillShow(e));
        _keyboardWillHideSubscription = Keyboard.addListener('keyboardDidHide', (e) =&gt; this._keyboardWillHide(e));
    }
    componentWillUnmount() {
        _keyboardWillShowSubscription.remove();
        _keyboardWillHideSubscription.remove();
    }
    _keyboardWillShow(e) {
        this.setState({height: height - e.endCoordinates.height});
    }
    _keyboardWillHide(e) {
        this.setState({height: height});
    }
  render() {
    return (
        &lt;View style={{height: this.state.height}}&gt;  
            &lt;View style={{backgroundColor: 'blue', flex: 1}} /&gt;
            &lt;View style={styles.fieldBox}&gt;
                &lt;TextInput 
                    style={styles.field}
                    placeholder={'hello'}
                    autoCapitalize={'none'}
                    placeholderTextColor={'#afbccc'}
                    blurOnSubmit={false}
                    autoCorrect={false}
                    ref={'textinput'}
                    onChangeText={(data) =&gt; this.setState({message: data})} /&gt;
            &lt;/View&gt;
        &lt;/View&gt;
    );
  }
}

const styles = StyleSheet.create({
  field: {
        color:'black',
        fontWeight:'bold',
        fontSize:18,
        flex: 1,
        marginHorizontal: 10
    },
});

AppRegistry.registerComponent('awesomeproject', () =&gt; awesomeproject);
</code></pre>
","2870004","","2668136","","2016-12-22 06:23:46","2016-12-22 06:23:46","Height adjustment when keyboard appears is wrong in react-native android","<android><keyboard><react-native>","1","1","","",""
"50185157","1","50185682","","2018-05-05 02:33:33","","3","149","<p>I am working with react 16.3 where <code>componentWillUpdate</code> is deprecated (strict mode). We have a react wrapper around <code>Highcharts</code> and used to update the <code>highchart</code> in <code>componentWillUpdate</code> that runs just before render. </p>

<p>But now in react 16.3 when the input <code>highchartoptions</code> prop updates, there seems to be no way to call <code>Highchart.update</code> before <code>render()</code> is called. Its suggested to use <code>componentDidUpdate</code> but its called only after <code>render()</code> and it doesn't seem to work at all.Any suggestions will help.</p>

<p>Code snippet here:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>export class HighchartReactWrapper extends React.Component {
  constructor(props) {
    super(props);

    // We maintain the user provided options being used by highchart as state
    // inorder to check if chart update is needed.
    this.state = { highChartOptions: this.props.options };
    this.onChartRendered = this.onChartRendered.bind(this);
  }

  componentDidMount() {
    // Create chart
    this.chart = new Highcharts.Chart(this.container, this.state.highChartOptions, this.onChartRendered);
  }

  static getDerivedStateFromProps(nextProps, prevState) {
    if (nextProps.options !== prevState.options) {
      return { highChartOptions: nextProps.options };
    }
  }

  componentDidUpdate() {
    this.chart.update(this.state.highChartOptions, false, true); &lt;---- Doesn't work
  }

  onChartRendered() {
    // Callbacks..
    if (this.props.onChartRenderedCallback !== undefined) {
      this.props.onChartRenderedCallback();
    }
  }

  componentWillUnmount() {
    // Destroy chart
    this.chart.destroy()
  }

  render() {
    return (
      &lt;div className=""react-highchart-wrapper""&gt;
        &lt;div id={container =&gt; this.container = container} /&gt;
      &lt;/div&gt;
    );
  }
}

HighchartReactWrapper.propTypes = {
  /**
   * Chart options to be used in Highcharts library.
   */
  options: PropTypes.object.isRequired,
  onChartRenderedCallback: PropTypes.func
};

HighchartReactWrapper.defaultProps = {
  options: undefined,
  onChartRenderedCallback: undefined
};</code></pre>
</div>
</div>
</p>
","9743947","","6622817","","2018-05-05 02:38:16","2018-05-05 04:23:13","How to update Highchart from inside react a component?","<reactjs><highcharts>","1","3","1","",""
"50196555","1","50197160","","2018-05-06 05:32:48","","0","54","<p>I want to change the dafault locale of this component to <code>fr</code>. Here is the component:</p>

<pre><code>import EventEmitter from 'events';
import pt from 'prop-types';
import React from 'react';
import moment from 'moment';

moment.locale(""fr"");

class Ticker extends EventEmitter {
  tick = () =&gt; this.emit('tick');

  constructor(interval) {
    super();
    this.setMaxListeners(0);
    this.once('newListener', () =&gt; setInterval(this.tick, interval));
  }
}

const ticker = new Ticker(30000); // 30 sec

export default class TimeDisplay extends React.Component {
  static propTypes = {
    timeStamp: pt.oneOfType([pt.number.isRequired, pt.string.isRequired]),
    className: pt.string,
    timeAgoInTitle: pt.bool,
  };

  refresh = () =&gt; this.forceUpdate();

  componentDidMount() {
    ticker.addListener('tick', this.refresh);
  }

  componentWillUnmount() {
    ticker.removeListener('tick', this.refresh);
  }

  render() {
    moment.locale(""fr"");
    const time = moment(this.props.timeStamp);
    const timeAgo = Math.abs(moment().diff(time)) &lt; 1000 ? 'maintenant' : time.fromNow();
    const timeISO = time.format();

    const title = this.props.timeAgoInTitle ? timeAgo : time.format('lll');
    const contents = this.props.children ? this.props.children : timeAgo;

    return (
      &lt;time className={this.props.className} dateTime={timeISO} title={title}&gt;{contents}&lt;/time&gt;
    );
  }
}
</code></pre>

<p>As you can see I've set <code>moment.locale(""fr"");</code> both after imports and at render but the moment strings are still shown in English. How can I fix it?</p>
","5774375","","631803","","2018-05-07 00:22:19","2018-05-07 00:22:19","Can not change default locale of moment.js in react component","<reactjs><momentjs>","1","0","","",""
"49335127","1","","","2018-03-17 10:52:45","","1","196","<p>enter image description hereI got the problem with an npm package that is rn-apple-healthkit.
And my problem is as a below
<a href=""https://github.com/terrillo/rn-apple-healthkit/issues/16"" rel=""nofollow noreferrer"">https://github.com/terrillo/rn-apple-healthkit/issues/16</a></p>

<h2>I have imported AppleHealthkit, however Eslint still alert me AppleHealthkit is not defined in ""<strong><em>AppleHealthkit.initStepCountObserver({}, () => {});</em></strong>""</h2>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>import React, { Component } from 'react';
import {
  ScrollView,
  Navigator,
  View,
  NativeAppEventEmitter,
} from 'react-native';
import axios from 'axios';
import AppleHealthKit from 'rn-apple-healthkit';

import AlbumDetail from './AlbumDetail';

// Healthkit API part
const d = new Date();

const PERMS = AppleHealthKit.Constants.Permissions;

const HKOPTIONS = {
  permissions: {
    read: [
        PERMS.StepCount,
        PERMS.Height,
        PERMS.Weight,
        PERMS.DateOfBirth,
        PERMS.BodyMassIndex,
    ],
    write: [
        PERMS.StepCount,
        PERMS.Weight,
        PERMS.BodyMassIndex,
    ],
  },
  date: d.toISOString()
};

AppleHealthKit.initHealthKit(HKOPTIONS, (err, res) =&gt; {
  if (err) {
    console.log('HealthkitInitError: ', err);
    return;
  }
  console.log('HealthkitInitSucess');

  AppleHealthkit.initStepCountObserver({}, () =&gt; {});

  this.sub = NativeAppEventEmitter.addListener(
    'change:steps',
    (event) =&gt; {
    //'change:steps' event has been received. step
    //count data should be re-fetched from Healthkit.
      this._fetchStepCountData();
      console.log(event);
    }
  );
  this._fetchStepCountData();
  this._fetchOtherRelevantHealthkitData();
});

// StepCounter Example
AppleHealthKit.getStepCount(HKOPTIONS, (error, results) =&gt; {
  if (error) {
    console.log('getStepCountError: ', error);
    return;
  }
  console.log(results);
});

// React-Native part
class albumList extends Component {
  state = { albums: [] };
  
  componentWillMount() {
    axios.get('https://rallycoding.herokuapp.com/api/music_albums')
      .then(response =&gt; this.setState({ albums: response.data }))
      .then(response =&gt; console.log(response));
  }

  componentDidMount() {
    console.log(this.state.albums);
  }

// when the component where the listener was added unmounts, call the 'remove' method of the subscription object.
  componentWillUnmount() {
    this.sub.remove();
  };

  renderAlbums() {
    return this.state.albums.map(album =&gt; 
      &lt;AlbumDetail key={album.title} data={album} /&gt;
    );
  }
  render() {
    return (
      &lt;ScrollView&gt; 
        {this.renderAlbums()}
      &lt;/ScrollView&gt;
    );
  }
}

export default albumList;</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;script src=""https://cdnjs.cloudflare.com/ajax/libs/react/15.1.0/react.min.js""&gt;&lt;/script&gt;
&lt;script src=""https://cdnjs.cloudflare.com/ajax/libs/react/15.1.0/react-dom.min.js""&gt;&lt;/script&gt;</code></pre>
</div>
</div>
</p>

<p><a href=""https://i.stack.imgur.com/SXZzD.jpg"" rel=""nofollow noreferrer"">enter image description here</a></p>
","9501255","","9501255","","2018-03-17 11:11:20","2018-03-17 11:11:20","react-native with healthkit api","<react-native><health-kit>","0","2","0","",""
"42540397","1","","","2017-03-01 19:31:51","","0","269","<p>I am using react-router with a route structure like so:</p>

<pre><code>const routes = (
  &lt;Router history={browserHistory}&gt;
    &lt;Route path=""/main"" component={MainPage}&gt;&lt;/Route&gt;
    &lt;Route path=""/charts/:chartID"" component={App}&gt;&lt;/Route&gt;
  &lt;/Router&gt;
)
</code></pre>

<p>I am trying to do a call to a meteor method when a user switches away from ""/charts/:chartID"" to ""/main"". I only want the method to be called once if possible</p>

<p>In App.js, I used the life cycle methods:</p>

<pre><code>  componentDidUpdate(){
    Meteor.call('test',""update"");   
  } // prints ""update""

  componentWillUnmount(){
    Meteor.call('test',""unmount"");
  } // nothing happens when url changes
</code></pre>

<p>Main.js (server):</p>

<pre><code>Meteor.methods({
    'test'(obj){
        console.log(obj)
    }
})
</code></pre>

<p>I read from this <a href=""https://github.com/ReactTraining/react-router/blob/master/docs/guides/ComponentLifecycle.md"" rel=""nofollow noreferrer"">source</a> that components should unmount when the url changes in my situation, but seems like I may have missed out something. How should I be resolving this?</p>

<p>Any help is greatly appreciated!</p>
","6150999","","","","","2017-03-01 22:55:19","react-router: Calling componentWillUnmount across different non-nested routes","<javascript><reactjs><meteor><react-router>","1","0","1","",""
"47463048","1","47486941","","2017-11-23 20:45:41","","2","647","<p>This is the code... how would you abort such ajax call?</p>

<p>Or, how to prevent react from giving me an error ""setState called on unmounted component""?</p>

<p>(httpGet is just a wrapper for XMLHttpRequest and a promise)</p>

<pre><code>async componentDidMount() {
    const response = await httpGet(""/ajaxRequest"");
    if(response) {
        //the component has already been unmounted
        this.setState(() =&gt; ({success: true}));
    }
}

componentWillUnmount() {
    //should abort possible running ajax
}
</code></pre>

<p><strong>EDIT:</strong>
Here's the wrapper:</p>

<pre><code>const httpGet = function (url) {


    const request = new XMLHttpRequest;
    request.open(""GET"", url, true);

    return new Promise((resolve, reject) =&gt;  {
        request.onload(response =&gt; {
            resolve(response);
        });

        request.onerror(() =&gt; {
            reject(""Network error"");
        });

        request.send();
    });
};
</code></pre>
","2880184","","218196","","2017-11-27 16:32:29","2017-11-27 16:32:29","How to abort running async/await xmlHttpRequest within componentWillUnmount?","<javascript><ajax><reactjs><async-await><ecmascript-2017>","1","4","","",""
"42534069","1","","","2017-03-01 14:16:13","","0","76","<p>Trying to pause or remove GSAP animation within the <code>else</code> part of this conditional.. </p>

<p>Container code - </p>

<pre><code>     renderNews = () =&gt; {
  /**
   * Renders news snippets, no filtering at this time
   */
    let max = 2
    let count = 0
    let posts = this.props.posts.map((article) =&gt; {
      count++
      console.log('count' + count)
      console.log('renderNews article =&gt; ', article)
      if (count &lt;= max) {
        return (
          &lt;Grid md={0.5} sm={1} key={article.id} &gt;
            &lt;SnippetNewsEvents
              image={article.featured_media}
              event={false}
              title={article.title.rendered}
              date={moment(article.date_gmt).format('Do MMMM YYYY')}
              excerpt={article.excerpt.rendered}
              buttonText='Read More'
              link={'/posts/' + article.slug}
            /&gt;
          &lt;/Grid&gt;
        )
      } else {
        return ( // or whatever the right grid thing is
          &lt;Grid md={1 / 3} sm={1 / 2} xs={1} key={article.id} &gt;
            &lt;SnippetNewsEvents
              //innerRef={null}
              image={article.featured_media}
              title={article.title.rendered}
              date={moment(article.date_gmt).format('Do MMMM YYYY')}
              //  excerpt={article.excerpt.rendered}
              buttonText='Read More'
              link={'/posts/' + article.slug}
            /&gt;
          &lt;/Grid&gt;
      )
      }
    })
    return posts
  }
</code></pre>

<p>Component Code - </p>

<pre><code>export default class SnippetNewsEvents extends React.Component { // eslint-disable-line react/prefer-stateless-function
  constructor () {
    super()
    this.state = {
      image: null
    }
  }
  componentDidMount = () =&gt; {
    this.getImage(this.props.image)
    this.contentTween = new TimelineMax().add([
      TweenMax.fromTo(this.wrapper, 1, {
        scale: '0.95'
      }, {
        scale: '1'
      })])

    this.scene = new ScrollMagic.Scene({triggerElement: this.wrapper, triggerHook: 0.8, duration: window.innerHeight/2})
                  .setTween(this.contentTween)
                  .addIndicators({name: 'snippets'})
                  .addTo(scrollController)
  }
  getImage (image) {
    if (typeof image === 'string') {
      this.setState({image: image})
    } else if (typeof image === 'number' &amp;&amp; image !== 0) {
      fetch('http://hkserverdev.weruinit.com/wp-json/wp/v2/media/' + image)
      .then(response =&gt; response.json())
      .then(data =&gt; {
        this.setState({image: data.source_url})
      }).catch(error =&gt; {
        if (dev) console.error('Error:', error)
      })
    }
  }
  showImage (image) {
    if (this.state.image == null) {
      return null
    } else {
      return (
        &lt;SnippetImage src={this.state.image} data-rjs='2' /&gt;
      )
    }
  }
  showLocation = () =&gt; {
    if (this.props.event) {
      return (
        &lt;EventsDetailWrapper&gt;
          &lt;H3c title={this.props.title}&gt;{this.props.title}&lt;/H3c&gt;
          &lt;EventsTimeLocation&gt;
            &lt;Combo&gt;
              &lt;Icon className='buttonIcon' src={require('../../images/time_icon.png')} data-rjs='2' /&gt;
              &lt;Detail copy={this.props.date} news /&gt;
            &lt;/Combo&gt;
            &lt;Combo&gt;
              &lt;Icon className='buttonIcon' src={require('../../images/location_icon.png')} /&gt;
              &lt;Detail copy={this.props.location} /&gt;
            &lt;/Combo&gt;
          &lt;/EventsTimeLocation&gt;
        &lt;/EventsDetailWrapper&gt;
      )
    } else {
      return (
        &lt;NewsDetailWrapper&gt;
          &lt;Detail uppercase={this.props.event} copy={this.props.date} /&gt;
          &lt;H3c&gt;{this.props.title}&lt;/H3c&gt;
          &lt;Detail excerpt copy={this.props.excerpt} /&gt;
        &lt;/NewsDetailWrapper&gt;
      )
    }
  }
  componentWillUnmount () {
    this.scene = this.scene.destroy()
  }
  render (props) {
    if (dev) console.log('SnippetNewsEvents =&gt; ', this.props)
    return (
      &lt;EventsItemWrapper innerRef={c =&gt; (this.wrapper = c)} className='snippet' small={this.props.compressed}&gt;
        {this.showImage(this.props.image)}
        {this.showLocation(this.props.event)}
        &lt;Button className='hvr-trim hvr-trim-alt' black snippet link={this.props.link} content='Read More'&gt;{this.props.content}&lt;/Button&gt;
      &lt;/EventsItemWrapper&gt;
    )
  }
}
</code></pre>

<p>I'm new to both react and GSAP and js :(( </p>
","5236915","","","","","2017-03-01 16:20:14","Pause GSAP animation after 2nd react component rendered","<javascript><reactjs><animation><gsap>","1","0","","",""
"44361293","1","44361492","","2017-06-05 03:31:12","","1","74","<p>uI have react component, i use <code>componentDidMount</code> lifecycle hook to bind <code>mousedown</code> event to <strong>document</strong>. When mouse down event triggering I bind two more events <code>mousemove</code> and <code>mouseup</code> to <strong>document</strong> also I remove those events at <code>mouseup</code> event. </p>

<p>My problem is when <code>mouseup</code> event triggering it suppose to remove <code>mousemove</code> and <code>mouseup</code> but its not working. Instead each time i click the page <code>mouseup</code> triggering multiple times like: 1, 3, 6, 10, 15... it`s multiplying. </p>

<p>When <code>componentWillUnmount</code> also not removing event from <strong>document</strong>. </p>

<pre><code>import React, { Component } from 'react'

class SandBox extends Component{
    componentDidMount(){
        document.addEventListener('mousedown', this.mouseDown.bind(this))
    }

    //mouseDown
    mouseDown(){
        document.addEventListener('mouseup', this.mouseUp.bind(this))
        document.addEventListener('mousemove', this.mouseMove.bind(this))
    }

    //mouseUp
    mouseUp(){
        // this is not removing the events from document
        document.removeEventListener('mouseup', this.mouseUp, false)
        document.removeEventListener('mousemove', this.mouseMove, false)
        // this triggers 1,3,6,10,15 times
        console.log('mose up')
    }

    moseMove(){
        // mosemoveCodes
    }

}
</code></pre>
","5485491","","5485491","","2017-06-05 03:46:55","2017-06-05 04:00:36","document.removeEventListner not removing event in reactjs","<javascript><reactjs><javascript-events><mouseevent>","1","4","","",""
