Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"50185157","1","50185682","","2018-05-05 02:33:33","","3","149","<p>I am working with react 16.3 where <code>componentWillUpdate</code> is deprecated (strict mode). We have a react wrapper around <code>Highcharts</code> and used to update the <code>highchart</code> in <code>componentWillUpdate</code> that runs just before render. </p>

<p>But now in react 16.3 when the input <code>highchartoptions</code> prop updates, there seems to be no way to call <code>Highchart.update</code> before <code>render()</code> is called. Its suggested to use <code>componentDidUpdate</code> but its called only after <code>render()</code> and it doesn't seem to work at all.Any suggestions will help.</p>

<p>Code snippet here:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>export class HighchartReactWrapper extends React.Component {
  constructor(props) {
    super(props);

    // We maintain the user provided options being used by highchart as state
    // inorder to check if chart update is needed.
    this.state = { highChartOptions: this.props.options };
    this.onChartRendered = this.onChartRendered.bind(this);
  }

  componentDidMount() {
    // Create chart
    this.chart = new Highcharts.Chart(this.container, this.state.highChartOptions, this.onChartRendered);
  }

  static getDerivedStateFromProps(nextProps, prevState) {
    if (nextProps.options !== prevState.options) {
      return { highChartOptions: nextProps.options };
    }
  }

  componentDidUpdate() {
    this.chart.update(this.state.highChartOptions, false, true); &lt;---- Doesn't work
  }

  onChartRendered() {
    // Callbacks..
    if (this.props.onChartRenderedCallback !== undefined) {
      this.props.onChartRenderedCallback();
    }
  }

  componentWillUnmount() {
    // Destroy chart
    this.chart.destroy()
  }

  render() {
    return (
      &lt;div className=""react-highchart-wrapper""&gt;
        &lt;div id={container =&gt; this.container = container} /&gt;
      &lt;/div&gt;
    );
  }
}

HighchartReactWrapper.propTypes = {
  /**
   * Chart options to be used in Highcharts library.
   */
  options: PropTypes.object.isRequired,
  onChartRenderedCallback: PropTypes.func
};

HighchartReactWrapper.defaultProps = {
  options: undefined,
  onChartRenderedCallback: undefined
};</code></pre>
</div>
</div>
</p>
","9743947","","6622817","","2018-05-05 02:38:16","2018-05-05 04:23:13","How to update Highchart from inside react a component?","<reactjs><highcharts>","1","3","1","",""
"50219259","1","50652455","","2018-05-07 17:08:23","","3","84","<p>I have this:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>import styled from 'react-emotion';

const Box = styled('div')`
  display: flex;
  flex-direction: ${p =&gt; p.direction};
`;

Box.defaultProps = {
  direction: 'column'
};</code></pre>
</div>
</div>
</p>

<p>This works just fine when I use the Box component. The default props are there as expected. </p>

<p>However, when I reuse Box with styled, the default props do not get passed down:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>import styled from 'react-emotion';
import Box from './Box';

export const UniqResponsiveBox = styled(Box)`
  // some media queries and other new styles
`;</code></pre>
</div>
</div>
</p>

<p>When I use UniqResponsiveBox, it does not have the defaultProps I declared for Box. The following workaround gets me thru, but seems redundant and I believe Im missing something that accomplishes this only using emotion.</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>import styled from 'react-emotion';

const BoxContainer = styled('div')`
  display: flex;
  flex-direction: ${p =&gt; p.direction};
`;

function Box(props) {
  return &lt;BoxContainer {...props}/&gt;
}

Box.defaultProps = {
  direction: 'column'
}</code></pre>
</div>
</div>
</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>import styled from 'react-emotion';
import Box from './Box';

export const UniqResponsiveBox = styled(Box)`
  // some responsive queries and other uniq styles
`;

// In this scenario, the default props are there because I passed them explicitly. Helppp!</code></pre>
</div>
</div>
</p>
","5420103","","","","","2018-06-02 00:27:20","React-Emotion: pass down defaultProps to in component reuse","<javascript><css><reactjs><styled-components><emotion>","1","0","","",""
"50213278","1","","","2018-05-07 11:35:20","","2","55","<p>I looked at the example project of <code>gl-react</code> for my app and implemented this code which works fine.</p>

<pre><code>import React, { Component } from ""react"";
import { Shaders, Node, GLSL } from ""gl-react"";
import { Surface } from ""gl-react-native"";

const shaders = Shaders.create({
  Saturate: {
    frag: GLSL`
precision highp float;
varying vec2 uv;
uniform sampler2D t;
uniform float contrast, saturation, brightness;
const vec3 L = vec3(0.2125, 0.7154, 0.0721);
void main() {
  vec4 c = texture2D(t, uv);
    vec3 brt = c.rgb * brightness;
    gl_FragColor = vec4(mix(
    vec3(0.5),
    mix(vec3(dot(brt, L)), brt, saturation),
    contrast), c.a);
}
`
  }
});

export const Saturate = ({ contrast, saturation, brightness, children }) =&gt;
  &lt;Node
    shader={shaders.Saturate}
    uniforms={{ contrast, saturation, brightness, t: children }}
  /&gt;;

export default class Example extends Component {
  render() {
    return (
    &lt;Surface width={480} height={300}&gt;
      &lt;Saturate {...this.props}&gt;
        {{image: ""https://i.imgur.com/uTP9Xfr.jpg""}}
        {/* Add overlay stickers or image */}
      &lt;/Saturate&gt;
    &lt;/Surface&gt;
    );
  }
  static defaultProps = {
    contrast: 1,
    saturation: 1,
    brightness: 1,
  };
}
</code></pre>

<p>I want to implement this example along with some stickers in the image. </p>

<p>How can I add overlay Image like sticker in this ?  Or even overlay text .
Any idea about it how to make this happen ??</p>
","8760132","","","","","2018-05-10 10:16:04","gl-react and gl-react-native multiple image like stickers","<reactjs><react-native>","1","0","1","",""
"43554276","1","","","2017-04-22 01:35:06","","0","163","<p>I'm unable to determine how to specify a non-optional component property that is provided via defaultProps if not specified during construction from typescript.</p>

<p>My source:</p>

<pre><code>'use strict';
import * as React from 'react';
import {DOM as dom} from 'react';
import * as ReactDOM from 'react-dom';

interface PropsType {
    requiredString: string,
    optionalString?: string,
};

class MyComponent extends React.Component&lt;PropsType, {}&gt; {
    static defaultProps = {
        requiredString: 'defaultRequiredString',
    };

    render() {
        return dom.div(
            {},
            this.props.requiredString,
            this.props.optionalString || 'defaultOptionalString',
        );
    }
}

ReactDOM.render(React.createElement(MyComponent, {}));
</code></pre>

<p>This gives me:</p>

<pre><code>$ tsc base.ts
base.ts(25,50): error TS2345: Argument of type '{}' is not assignable 
to parameter of type 'Attributes &amp; PropsType'.
  Type '{}' is not assignable to type 'PropsType'.
    Property 'requiredString' is missing in type '{}'.
</code></pre>

<p>Reading through the React docs (<a href=""https://facebook.github.io/react/docs/typechecking-with-proptypes.html"" rel=""nofollow noreferrer"">https://facebook.github.io/react/docs/typechecking-with-proptypes.html</a>), I see the following:</p>

<blockquote>
  <p>The propTypes typechecking happens after defaultProps are resolved, so typechecking will also apply to the defaultProps.</p>
</blockquote>

<p>Which leads me to believe this form should be allowed (and indeed, the large codebase I'm trying to port to typescript has this assumption baked in).  I'd be happy to use a <code>Partial&lt;&gt;</code> type for <code>defaultProps</code> if that in any way helps.</p>

<p>How do get this working properly in typescript?</p>
","7904077","","7904077","","2017-04-24 16:43:23","2017-04-24 16:43:23","Required properties in React component written in Typescript fulfilled by defaultProps","<reactjs><typescript>","0","8","","",""
"34991638","1","","","2016-01-25 11:36:05","","0","978","<p>Im using react and the google-map-react component. im trying to add a skin to my google maps. any idea where i do this? Im trying to use a snazzymap skin, they provide an array of styles.</p>

<p><a href=""https://snazzymaps.com/style/25/blue-water"" rel=""nofollow"">https://snazzymaps.com/style/25/blue-water</a></p>

<p>snazzy maps provides the </p>

<pre><code>import React from 'react';
import ReactDom from 'react-dom';
//import shouldPureComponentUpdate from 'react-pure-render/function';

import GoogleMap from 'google-map-react';
var divStyle = {
  paddingTop: 20,
  paddingLeft: 20,
  paddingRight: 20,
  width:1024,
  height:768
};
const K_WIDTH = 40;
const K_HEIGHT = 40;

const greatPlaceStyle = {
  // initially any map object has left top corner at lat lng coordinates
  // it's on you to set object origin to 0,0 coordinates
  position: 'absolute',
  width: K_WIDTH,
  height: K_HEIGHT,
  left: -K_WIDTH / 2,
  top: -K_HEIGHT / 2,

  border: '5px solid #f44336',
  borderRadius: K_HEIGHT,
  backgroundColor: 'white',
  textAlign: 'center',
  color: '#3f51b5',
  fontSize: 16,
  fontWeight: 'bold',
  padding: 4
};

class MyGreatPlace extends React.Component {

  static propTypes = {
    text: React.PropTypes.string
  };

  static defaultProps = {};

  //shouldComponentUpdate = shouldPureComponentUpdate;

  constructor(props) {
    super(props);
  }

  render() {
    return (
       &lt;div style={greatPlaceStyle}&gt;
          {this.props.text}
       &lt;/div&gt;
    );
  }
}
class SimpleMapPage extends React.Component {

  static defaultProps = {
    defaultCenter: {lat: 59.938043, lng: 30.337157},
    zoom: 12,
    greatPlaceCoords: {lat: 59.724465, lng: 30.080121}
  };

  //shouldComponentUpdate = shouldPureComponentUpdate;

  constructor(props) {
    super(props);
  }

  componentWillReceiveProps(nextProps) {
    // console.log(""test"")
}

  render() {
    return (
       &lt;div style={divStyle}&gt;
       &lt;GoogleMap
        bootstrapURLKeys={{
          key: '312312j3kl12j321random'
        }}
        center={this.props.center}
        zoom={this.props.zoom}
        defaultCenter={this.props.defaultCenter}
        defaultZoom={this.props.zoom}
        &gt;
        &lt;MyGreatPlace lat={this.props.center.lat} lng={this.props.center.lng} text={'Site'} /* Kreyser Avrora */ /&gt;

      &lt;/GoogleMap&gt;
      &lt;/div&gt;
    );
  }
}

export default SimpleMapPage
</code></pre>
","4516676","","","","","2016-02-23 17:26:35","google-map-react custom skins","<javascript><google-maps><reactjs>","1","0","1","",""
"43553359","1","","","2017-04-21 23:17:50","","0","289","<p>I'm currently writing my first react application and my ESLINT is telling me that I shouldn't be using .bind() on JSX props. I understand that this is because bind is creating new functions and therefore negatively affecting performance. However i am not sure how to refactor this to eliminate this error.</p>

<p>How can i pass the element I have clicked to the function without using a bind?</p>

<p>ForecastPage.jsx:</p>

<pre><code>import React from 'react'
import api from '../shared/api'
import ForecastBox from './ForecastBox'
import DropdownSelector from './DropdownSelector'

const regions = [
  {
    name: 'Santa Cruz',
    id: '2958',
    spots:
    [
      { name: 'Steamer Lane', id: '4188' },
      { name: 'Four Mile', id: '5023' },
      { name: 'Waddell Creek', id: '5021' },
      { name: 'Mitchell\'s Cove', id: '5028' },
      { name: '26th Ave', id: '5030' },
    ],
  },
  {
    name: 'North Orange Country',
    id: '2143',
    spots:
    [
      { name: 'Newport', id: '1241' },
      { name: 'HB', id: '3421' },
    ],
  },
]

class ForecastPage extends React.Component {

  constructor(props) {
    super(props)
    this.state = {
      selectedRegion: null,
      selectedSpot: null,
      forecast: null,
    }

    this.regionSpotList = regions
    this.updateSpot = this.updateSpot.bind(this)
    this.updateRegion = this.updateRegion.bind(this)
  }

  updateRegion(region) {
    this.setState({
      selectedRegion: region,
      forecast: null,
    })

    api.fetchSpot(region.id)
    .then((forecast) =&gt; {
      this.setState({
        forecast,
      })
    })
  }

  updateSpot(spot) {
    this.setState({
      selectedSpot: spot,
      forecast: null,
    })

    api.fetchSpot(spot.id)
    .then((forecast) =&gt; {
      this.setState({
        forecast,
      })
    })
  }

  render() {
    return (
      &lt;div&gt;
        &lt;div className=""container-fluid row region-spot-select""&gt;
          &lt;DropdownSelector
            options={this.regionSpotList}
            onSelect={this.updateRegion}
            title={this.state.selectedRegion == null ? 'Select Your Region' : this.state.selectedRegion.name}
            keyName={'region-selector'}
            id={'region-selector-dropdown'}
          /&gt;
          {this.state.selectedRegion != null &amp;&amp;
            &lt;DropdownSelector
              options={this.state.selectedRegion.spots}
              onSelect={this.updateSpot}
              title={this.state.selectedSpot == null ||
              !this.state.selectedRegion.spots.includes(this.state.selectedSpot) ?
              'Select A Spot' :
              this.state.selectedSpot.name}
              keyName={'spot-selector'}
              id={'spot-selector-dropdown'}
            /&gt;
          }
        &lt;/div&gt;
        &lt;div&gt;
          {!this.state.forecast ?
            &lt;div&gt;
              Select A Region
            &lt;/div&gt;
          : &lt;ForecastBox forecast={this.state.forecast} /&gt; }
        &lt;/div&gt;
      &lt;/div&gt;
    )
  }
}

export default ForecastPage
</code></pre>

<p>DropdownSelector.jsx</p>

<pre><code>// @flow

import React from 'react'
import PropTypes from 'prop-types'
import { DropdownButton, MenuItem } from 'react-bootstrap'

type Props = {
  options: Object,
  onSelect: Function,
  title: string,
  keyName: string,
  id: string,
}

const DropdownSelector = ({ title, options, keyName, id, onSelect }: Props) =&gt;
  &lt;div className=""content""&gt;
    &lt;div className=""btn-group""&gt;
      &lt;DropdownButton
        bsStyle={'primary'}
        title={title}
        key={keyName}
        id={id}
      &gt;
        {options.map(element =&gt;
          &lt;MenuItem
            key={element.name}
            eventKey={element.name}
            // eslint-disable-next-line
            onClick={onSelect.bind(null, element)}
          &gt;
            {element.name}
          &lt;/MenuItem&gt;,
          )
        }
      &lt;/DropdownButton&gt;
    &lt;/div&gt;
  &lt;/div&gt;


DropdownSelector.defaultProps = {
  id: null,
}

DropdownSelector.propTypes = {
  options: PropTypes.instanceOf(Object).isRequired,
  title: PropTypes.string.isRequired,
  onSelect: PropTypes.func.isRequired,
  keyName: PropTypes.string.isRequired,
  id: PropTypes.string,
}

export default DropdownSelector
</code></pre>
","3308866","","901387","","2017-04-24 17:47:48","2017-04-24 17:47:48","Passing down onClick Functions: [ESLINT] JSX props should not use .bind() (react/jsx-no-bind)","<javascript><reactjs><eslint><flowtype>","2","0","","",""
"43659597","1","43669906","","2017-04-27 13:39:58","","2","2516","<p>I have followed this great <a href=""https://medium.com/@parkerdan/react-navigation-with-complete-redux-state-management-tab-bar-and-multiple-navigators-ed30a69d9a4d"" rel=""nofollow noreferrer"">tutorial</a> which is Tab Bar with three tabs using redux. Everything works great. Now I am trying to nest this Tab Bar inside Stack Navigator but I have the following error:</p>

<p><a href=""https://i.stack.imgur.com/Nwlwc.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/Nwlwc.png"" alt=""enter image description here""></a></p>

<p>I am new to Redux and really cannot find where is the problem. Here is my code:</p>

<p>StackNav.js</p>

<pre><code>import React from 'react';
import { connect } from 'react-redux';
import { addNavigationHelpers } from 'react-navigation';

import { RootNav } from './../navigationConfiguration';

const mapStateToProps = (state) =&gt; {
    return { navigationState: state.nav };
};

class StackNav extends React.Component {
    render() {
        const { dispatch, navigationState } = this.props;
        return (
            &lt;RootNav
                navigation={
                    addNavigationHelpers({
                        dispatch,
                        state: navigationState,
                    })
                }
            /&gt;
        );
    }
}

export default connect(mapStateToProps)(StackNav);
</code></pre>

<p>StackNav's navigationConfiguration.js</p>

<pre><code>import { StackNavigator } from 'react-navigation';
import TabBarNavigation from './../tabBar/views/TabBarNavigation';
import Welcome from './../../Screens/Register/Welcome.js';

const routeConfiguration = {
    Welcome: { screen: Welcome },
    Home: { screen: TabBarNavigation },
};

const stackNavigatorConfiguration = {
    initialRouteName: 'Welcome',
    headerMode: 'screen',
    navigationOptions: {
        header: { visible: false }
    }
};

export const RootNav = StackNavigator(routeConfiguration, stackNavigatorConfiguration);
</code></pre>

<p>Reducers</p>

<pre><code>import { combineReducers } from 'redux';

// Navigation
import { AppNavigator } from './../stackNav/navigationConfiguration';
import { NavigatorTabOne } from './../tabOne/navigationConfiguration';
import { NavigatorTabTwo } from './../tabTwo/navigationConfiguration';
import { NavigatorTabThree } from './../tabThree/navigationConfiguration';

export default combineReducers({
    nav: (state, action) =&gt; AppNavigator.router.getStateForAction(action, state),
    tabOne: (state, action) =&gt; NavigatorTabOne.router.getStateForAction(action, state),
    tabTwo: (state, action) =&gt; NavigatorTabTwo.router.getStateForAction(action, state),
    tabThree: (state, action) =&gt; NavigatorTabThree.router.getStateForAction(action, state),
});
</code></pre>

<p>I also tried with this reducer instead nav: above</p>

<pre><code>import { AppNavigator } from './../stackNav/navigationConfiguration';

const initialState = AppNavigator.router.getStateForAction(AppNavigator.router.getActionForPathAndParams('Welcome'));

export const navReducer = (state = initialState, action) =&gt; {
  const nextState = AppNavigator.router.getStateForAction(action, state);

  return nextState || state;
};
</code></pre>

<p>Start point of the app:</p>

<pre><code>import React from 'react';
import {
    AppRegistry,
    Text
} from 'react-native';

import { Provider } from 'react-redux';

import StackNav from './../App/stackNav/views/StackNav';
import store from './store';

Text.defaultProps.allowFontScaling = false;

class App extends React.Component {
    render() {
        return (
            &lt;Provider store={store}&gt;
                &lt;StackNav /&gt;
            &lt;/Provider&gt;
        );
    }
}

AppRegistry.registerComponent('MyApp', () =&gt; App);
</code></pre>

<p>I will appreciate any help. Thank you in advanced!</p>
","7473544","","7473544","","2017-04-27 13:57:17","2017-04-28 00:11:36","Nested Tab bar inside Stack Navigator using react navigation and redux","<react-native><redux><react-redux><react-navigation>","2","0","1","",""
"44569424","1","","","2017-06-15 13:56:38","","0","84","<p>I'm trying to get <code>componentWillLeave</code> to get called and I'm having no luck.  <code>componentWillAppear</code> gets called, but I'm unable to get the former to call. Most responses I've seen call for making sure the callbacks are being called, which I am doing. I'm also using React router if that makes a difference. Any help would be greatly appreciated.</p>

<pre><code>import React, { Component } from 'react';
import { TweenMax } from 'gsap';
import PropTypes from 'prop-types';

import { Animated } from '../../components/common/Animated';
import NavButton from '../../components/navButton/NavButton';

import './Team.scss';

class Team extends Component {

  componentDidMount() {
    this.el = this.refs.container;
  }

  componentWillAppear(callback) {
    TweenMax.set(this.el, { x: '100%' });
    TweenMax.to(this.el, 1, { x: '0%' });
    callback();
  }

  componentWillLeave(callback) {
    TweenMax.to(this.el, 1, { x: '-100%', onComplete: callback });
  }

  render() {
    const { match } = this.props;
    return (
      &lt;div ref=""container"" className=""teamContainer""&gt;
        &lt;NavButton
          title={'To Interactive'}
          route={`/${match.params.monster}/interactive`}
        /&gt;
      &lt;/div&gt;
    );
  }
}

Team.propTypes = {
  match: PropTypes.shape({
    pathname: PropTypes.shape({
      monster: PropTypes.number.isRequired,
    }),
  }),
};

Team.defaultProps = {
  match: {
    pathname: {
      monster: -1,
    },
  },
};

export default Animated(Team);
</code></pre>
","628872","","","","","2017-09-27 17:33:39","react-transition-group lifecycle method componentWillLeave not being called","<reactjs>","1","0","","",""
"43726814","1","43766651","","2017-05-01 21:30:32","","3","262","<p>I'm getting a warning on the following line on my react component</p>

<pre><code>handleToggle: Function;
</code></pre>

<p>I'm using <a href=""https://github.com/yannickcr/eslint-plugin-react"" rel=""nofollow noreferrer"">eslint-plugin-react</a> and <a href=""https://flow.org/"" rel=""nofollow noreferrer"">Flow</a> and I'm getting a warning ""handleToggle should be placed after constructor"". This is related to rule react/sort-comp. I tried with the following on my .eslintrc.json</p>

<pre><code> ""react/sort-comp"": [1, {
  ""order"": [
    ""static-methods"",
    ""lifecycle"",
    ""everything-else"",
    ""render""
  ],
  ""groups"": {
    ""lifecycle"": [
      ""displayName"",
      ""propTypes"",
      ""contextTypes"",
      ""childContextTypes"",
      ""/^.*: Function$/"",
      ""mixins"",
      ""statics"",
      ""defaultProps"",
      ""state"",
      ""constructor"",
      ""getDefaultProps"",
      ""getInitialState"",
      ""getChildContext"",
      ""componentWillMount"",
      ""componentDidMount"",
      ""componentWillReceiveProps"",
      ""shouldComponentUpdate"",
      ""componentWillUpdate"",
      ""componentDidUpdate"",
      ""componentWillUnmount""
    ]
  }
}]
</code></pre>

<p>But I'm unable to fix the warning. I want the Function Types before constructor the same as the other Type Definition. How can I achieve this?</p>
","5623087","","4076315","","2017-05-03 02:09:47","2017-05-03 17:44:15","How to fix warning caused by Flow Function Types using eslint-plugin-react?","<reactjs><eslint><flowtype>","1","1","","",""
"43863271","1","44692636","","2017-05-09 07:04:25","","0","1852","<p>I have 2 projects: <strong>Project1</strong> and <strong>Project2</strong>.</p>

<p><strong>Project1</strong> uses <strong>react-bootstrap</strong>. <strong>Project1</strong> uses all the components of react-bootstrap and create a wrapper over react-bootstrap components(Don't ask why, it is a requirement). <strong>Project2</strong> is supposed to use <strong>Project1</strong> (when exported) as a wrapper library for react-bootstrap.</p>

<p><strong>Project1</strong> --></p>

<p><em>index.js:</em></p>

<pre><code>import { Bootstrap } from 'bootstrap/dist/css/bootstrap.css';
...
import Glyphicon from './src/components/Glyphicon';
...
export default {
...
Glyphicon,
...
};
</code></pre>

<p><em>src/components/Glyphicon.jsx:</em></p>

<pre><code>import React, { PropTypes } from 'react';
import { RBGlyphicon } from 'react-bootstrap';

const Glyphicon = props =&gt; (
  &lt;RBGlyphicon
    id={props.id}
    bsClass={props.clClass}
    glyph={props.glyph}
  /&gt;
);

Glyphicon.defaultProps = {
  id: undefined,
  clClass: 'glyphicon',
  glyph: undefined,
};

Glyphicon.propTypes = {
  id: PropTypes.string,
  clClass: PropTypes.string,
  glyph: PropTypes.string.isRequired,
};

export default Glyphicon;
</code></pre>

<p><em>webpack.config.js:</em></p>

<pre><code>const webpack = require('webpack');
const path = require('path');

    module.exports = (env = {}) =&gt; {
      const isProduction = env.production === true;
      return {
        entry: './index.js',
        output: {
          path: path.resolve(__dirname, 'dist'),
          filename: 'Project1.js',
          libraryTarget: 'umd',
          library: 'Project1',
        },
        module: {
          rules: [
            {
              test: /.(js|jsx)?$/,
              loader: 'babel-loader',
              exclude: /node_modules/,
            },
            {
              test: /\.css$/,
              loader: 'style-loader!css-loader',
            },
            {
              test: /\.(woff|woff2)(\?v=\d+\.\d+\.\d+)?$/,
              loader: 'url-loader?limit=10000&amp;mimetype=application/font-woff',
            },
            {
              test: /\.ttf(\?v=\d+\.\d+\.\d+)?$/,
              loader: 'url-loader?limit=10000&amp;mimetype=application/octet-stream',
            },
            {
              test: /\.eot(\?v=\d+\.\d+\.\d+)?$/,
              loader: 'file-loader',
            },
            {
              test: /\.svg(\?v=\d+\.\d+\.\d+)?$/,
              loader: 'url-loader?limit=10000&amp;mimetype=image/svg+xml',
            },
          ],
        },
        resolve: {
          extensions: ['.js', '.jsx'],
        },
        plugins: [
          new webpack.DefinePlugin({
            'process.env.NODE_ENV': JSON.stringify(process.env.NODE_ENV),
          }),
          new webpack.optimize.UglifyJsPlugin(),
        ],
      };
    };
</code></pre>

<blockquote>
  <p>I export this <strong>Project1</strong> as a bundle called Project1 using <strong>webpack</strong> and copy it in <strong>Project2</strong> in <em>src</em> folder. I don't copy the font files generated in this build</p>
</blockquote>

<p>Now the problem starts with <a href=""https://react-bootstrap.github.io/components.html#glyphicons"" rel=""nofollow noreferrer"">Glyphicons</a>.</p>

<p><strong>Project2</strong>--></p>

<p><em>src/App.jsx:</em></p>

<pre><code>import React, { Component } from 'react';
import Project1 from './Project1';
...
export default class App extends Component {
  render() {
    return (
      &lt;div&gt;
...
&lt;Project1.Glyphicon glyph=""camera"" /&gt;Camera
...
&lt;/div&gt;
);
}
}
export default App;
</code></pre>

<p><em>index.js:</em></p>

<pre><code>import React from 'react';
import ReactDOM from 'react-dom';
import App from './src/App';

ReactDOM.render(&lt;App /&gt;, document.getElementById('root'));
</code></pre>

<p><em>index.html:</em></p>

<pre><code>&lt;!doctype html&gt;
&lt;html&gt;
&lt;head&gt;
    &lt;meta charset=""utf-8""&gt;
    &lt;title&gt;Demo&lt;/title&gt;
&lt;/head&gt;
&lt;body&gt;
    &lt;div id=""root""&gt;
    &lt;/div&gt;
    &lt;script src='/bundle.js'&gt;&lt;/script&gt;
&lt;/body&gt;
&lt;/html&gt;
</code></pre>

<p>I use <em>webpack-dev-server</em> to build <strong>Project2</strong> and run in the browser. When I use <em>Glyphicon.jsx</em> in <strong>Project2</strong>, the icons don't show up in browser. Here is the errors which show up in Chrome Browser console:</p>

<p><a href=""https://i.stack.imgur.com/PGlAn.png"" rel=""nofollow noreferrer"">Chrome Browser Debug Console errors</a></p>

<p>Now I am aware that the problem is related to fonts.</p>

<blockquote>
  <p>Even if I copy these generated font files and paste in root of <strong>Project2</strong>, I still get same errors.</p>
</blockquote>

<p>What should I do to export these font files from <strong>Project1</strong> so that they can be used in <strong>Project2</strong>?</p>
","5159993","","5159993","","2017-05-09 07:15:10","2017-06-22 07:17:42","How to use Glyphicons when exporting react-bootstap","<fonts><webpack><webpack-dev-server><glyphicons><react-bootstrap>","2","0","","",""
