Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"35338961","1","35339301","","2016-02-11 12:08:09","","3","4060","<pre><code>    var ListItem = require('./listItem');

    var App = React.createClass({ 
    getInitialState : function(){
        return{
        items : []
    }
    },

    deleteElement: function(){
    },

    addElement : function(){
        this.state.items.push(&lt;ListItem /&gt;);
        this.forceUpdate();
    },

    render : function(){
        return (
            &lt;div&gt;
                &lt;ul&gt;{this.state.items.map(function(item,i){return (
                &lt;li&gt;
                    &lt;p onClick='this.deleteElement'&gt;(-)&lt;/p&gt;
                    {item}
                &lt;/li&gt;
            )})}&lt;/ul&gt;
            &lt;p onClick='this.addElement'&gt;(+)&lt;/p&gt;
            &lt;/div&gt;
        );
    }
    });
</code></pre>

<blockquote>
  <p>Currently I can add <code>li</code> elements to the array using <code>addElement function</code>.But can't figure out how to remove the particular <code>li</code> element from the <code>ul</code> list on clicking the <code>deleteElement function</code>.I tried using <code>splice()</code> but didn't work.I am new to reactjs.So don't know how to remove the li elements on click in the react way.</p>
</blockquote>
","","user3673959","","","","2016-02-11 12:32:12","How to remove the li element on click from the list in reactjs?","<reactjs>","3","0","2","",""
"50254909","1","","","2018-05-09 13:42:44","","0","56","<p>We are looking for other options, instead of using the <code>FlatList</code>of React native. Many have recommended using 
<a href=""https://github.com/bolan9999/react-native-largelist"" rel=""nofollow noreferrer"">https://github.com/bolan9999/react-native-largelist</a>.</p>

<p>However, when we tried to develop a POC for it, we found that when scrolling we often saw the white area (including on the whole screen) and after that it takes a few seconds for the records to be shown. Also, the initial display of the 15 records or those which are displayed after pulling for more, take around 1-2 seconds to be displayed. The time it takes is after the BE service call results have been received.</p>

<p>For example, after the pull to refresh results are received, the time is after the following function calls are made.</p>

<pre><code>this.forceUpdate();
this.largeList.reloadData();
</code></pre>

<p>We tried to change the values of the <code>safeMargin</code> and <code>dynamicMargin</code> to no avail. We tried to also bind all of the render functions first to the component and not have them in the render binding, like the examples. The line item component has return false for the <code>shouldComponentUpdate</code> function.</p>

<p>Has anyone else run into the same problem with this component and solved it?</p>
","9765081","","3464462","","2018-05-09 16:29:27","2018-05-09 16:29:27","White screen in react-native-large-list","<react-native><react-native-flatlist>","0","0","","",""
"35379082","1","36075563","","2016-02-13 11:05:40","","0","472","<p>I am run into this test problem, which i am not sure how to test component with <strong>settimeout</strong>. anyone have suggestion on how to test out the following component with <strong>settimeout</strong>? Many thanks</p>

<pre><code>import React, { PropTypes, Component } from 'react';
import styles from '../../../css/notification.css';

export default class Notification extends Component {
    static propTypes = {
        tagMetaUpdate: PropTypes.shape({
            submitUpdatedTagDataSuccessful: PropTypes.bool
        }),
        actions: PropTypes.shape({
            resetUpdatedTagDataSuccessfulFlag: PropTypes.func
        })
    };

    constructor(props) {
        super(props);
        this.state = {
            showMessage: true
        };
    }

    hideMessage(actions) {
        this.timer = setTimeout(() =&gt; {
            this.state.showMessage = false;
            actions.resetUpdatedTagDataSuccessfulFlag();
            this.forceUpdate();
        }, 3000);
    }

    render() {
        const { tagMetaUpdate, actions } = this.props;
        const output = (tagMetaUpdate.submitUpdatedTagDataSuccessful &amp;&amp; this.state.showMessage) ?
            &lt;div className={styles.notification}&gt;Tag meta data successfully edited.&lt;/div&gt; : null;

        if (this.props.tagMetaUpdate.submitUpdatedTagDataSuccessful) {
            this.hideMessage(actions); // HERE IS THE BIT BLOCKING ME
        }else {
            this.state.showMessage = true;
        }

        return &lt;div&gt;{output}&lt;/div&gt;;
    }
}
</code></pre>
","409275","","","","","2016-03-18 03:24:24","React how to test out react compoennt with setTimeout","<unit-testing><reactjs>","2","0","","",""
"34409794","1","34409825","","2015-12-22 06:33:51","","-2","134","<p>Please have a Look at this very simple example</p>

<pre><code>'use strict';
var React = require('react-native');
var {
    AppRegistry, Text, TextInput, View
} = React;
var bString = 'b init';
var Example = React.createClass({
    getInitialState: function() {
        return {
            aString: 'a init',
            cString: 'c init'
        };
    },
    changedString: function(aEvent) {
        bString = 'b changed';
        this.state.cString = 'c changed';
        this.setState((state) =&gt; {
            return {
                aString: 'a changed'
            };
        });
    },
    render: function() {
        return (
            &lt;View style={{flex: 1}}&gt;
                &lt;Text&gt;
                    {this.state.aString}{'\r\n'}{bString}{'\r\n'}{this.state.cString}
                &lt;/Text&gt;
                &lt;Text onPress={this.changedString}&gt;
                    Ppppppppppppppppppppp......press me
                &lt;/Text&gt;
            &lt;/View&gt;
        );
    },
});
AppRegistry.registerComponent('Project16N', () =&gt; Example);
</code></pre>

<p>I thought only <code>aString</code> on the mobile's screen while be changed when <code>changedString</code> is called. but when <code>changedString</code> is called, <code>aString</code>,<code>bString</code>,<code>CString</code> both changed. So why do we use <code>this.setState( balabala...)</code>?</p>

<p>why don't we just use <code>this.forceUpdate</code> instead? </p>

<p>Where is the difference between <code>setState</code> and <code>forceUpdate</code>?</p>
","5546527","","1327005","","2015-12-22 06:41:32","2015-12-22 06:50:21","Why does RN use setState when it functions just like forceUpdate","<react-native>","1","0","","",""
"51340674","1","51340755","","2018-07-14 15:07:49","","1","33","<p>I'm relatively new to React. I've used it for building a very simple app. I'm trying to add a small feature, but running into following error message. I don't quite understand the root cause yet.</p>

<p><code>
Can't call setState (or forceUpdate) on an unmounted component. This is a no-op, but it indicates a memory leak in your application. To fix, cancel all subscriptions and asynchronous tasks in the componentWillUnmount method.
</code></p>

<p>Here's what I'm trying to do. My app has a backend server that provides various APIs, which returns JSON. I'm using React as frontend/client that calls those APIs and renders them.</p>

<p>I have a Parent component named <code>MyReport</code> which uses <code>componentDidMount</code> to call an API to fetch some data. Then in the render method, I pass the data to  another component named <code>MyReportViewer</code>. This component has various other child components such as a Calendar that allows selecting date, a component that shows the data in a table format, a component that shows the same data as a chart.</p>

<p>Now I'm trying to add another child component called <code>MyReportSummary</code> that will be displayed alongside the other components rendered by <code>MyReportViewer</code>.</p>

<p><code>MyReportSummary</code> needs to call another API to fetch some data. This is what it looks like:</p>

<pre><code>import React, { Component } from 'react';

class MyReportSummary extends Component {

    constructor(props) {
        super(props);
        this.state = {
            projectInfo: null,
            isLoading: false,
            error: null
        };
    }

    componentDidMount() {
        this.setState({ isLoading: true });

        let projectInfoApi;

        projectInfoApi = '/api/projects/' + this.props.projectId;

        fetch(projectInfoApi)
            .then(response =&gt; {
                if (response.ok) {
                    return response.json();
                } else {
                    throw new Error('Encountered problem fetching project info')
                }
            })
            .then(data =&gt; this.setState({
                projectInfo: data
            }))
            .catch(fetchError =&gt; this.setState({
                isLoading: false,
                error: fetchError
            }));
    }

    componentWillUnmount() {
        // this.setState({
        //     projectInfo: null
        // });
    }

    render() {
        const { isLoading, error } = this.state;

        if (error) {
            return &lt;p&gt;{error.message}&lt;/p&gt;
        }

        if (isLoading) {
            return &lt;p&gt;Loading...&lt;/p&gt;
        }

        return (
            &lt;div className=""myReportSummary""&gt;
                 Summary of Project name: {projectInfo.name}                    
                 Number of events: {this.props.data.length}
            &lt;/div&gt;
        );
  }
}

export default MyReportSummary;
</code></pre>

<p>I've read that I need to use <code>componentWillUnmount</code> to reset everything, but I'm not sure what exactly I need to reset here and why in this case I need to do it because I don't think I'm trying to change the component after it's been loaded or rendered already.</p>
","6450957","","","","","2018-07-16 10:05:22","Cannot fetch data from an API using componentDidMount: Can't call setState (or forceUpdate) on an unmounted component","<javascript><reactjs>","1","0","","",""
"35264643","1","35264828","","2016-02-08 07:49:00","","0","54","<p>I've frequently encountering dynamic components not being able to update each other directly. Multiple models that update each other's attributes but not their views.</p>

<pre><code>model2View.onClick=() {
  model1.change;
  model1View.forceUpdate();
}
</code></pre>

<p>i've often resorted to throwing in callback functions into the mix which is just a wrapper that updates the model and forceupdate the overhead view after change.</p>

<p>it gets worse when the model update is a modelside function that updates more than one model, in which case I've been using the nearest ancester view to perform the forceupdate.</p>

<pre><code>model2View.onClick=() {
   the following 3 could be wrapped in one method on model1
  model1.change;
  model2.change;
  model3.change;

  modelsWrapperView.forceUpdate();
}
</code></pre>

<p>After many force updates, I am just wondering if that's the way react was meant to be used or I'm missing something.</p>

<p>Here's an oversimplified example of the problem i'm trying to solve:</p>

<p><a href=""https://jsfiddle.net/x3azn/ann6qb30/1/"" rel=""nofollow"">https://jsfiddle.net/x3azn/ann6qb30/1/</a></p>
","2167582","","","","","2016-02-08 08:02:34","How to have different react components share and acknowledge each other's states?","<reactjs>","1","0","","",""
"48363742","1","","","2018-01-21 04:37:52","","0","95","<p>I have basic hello world react component rendering
inside my rails app.</p>

<p>I'm trying to make the component redraw, so that it picks up (via Ajax) some data changes that happened in the Postgres database.</p>

<p>From the chrome developer console, how can I get a ""reference""
to the react component, so that I can call the .forceUpdate() method of the component?</p>

<p>My code:</p>

<pre><code>// ideas from https://medium.com/@hpux/rails-5-1-loves-javascript-a1d84d5318b
// app/javascript/packs/hello_react.jsx 
import React from 'react'                                                                                    
import ReactDOM from 'react-dom'                                                                             
class Hello extends React.Component {
  // stuff ...
}

document.addEventListener(""DOMContentLoaded"", e =&gt; {                                                       
  ReactDOM.render(&lt;Hello name=""React"" /&gt;, document.getElementById('my-div'))                       
})
</code></pre>

<p>What I tried</p>

<p>changing </p>

<pre><code>ReactDOM.render(&lt;Hello name=""React"" /&gt;, document.getElementById('my-div'))      
</code></pre>

<p>to </p>

<pre><code>var foo = ReactDOM.render(&lt;Hello name=""React"" /&gt;, document.getElementById('my-div'))      
</code></pre>

<p>Then in the developer console, I did</p>

<pre><code>foo
</code></pre>

<p>I got</p>

<blockquote>
  <p>Uncaught ReferenceError: foo is not defined
      at :1:1 (anonymous) @ VM4867:1</p>
</blockquote>

<p>Update:</p>

<p>I tried this in the chrome dev console</p>

<pre><code>&gt; ReactDOM
</code></pre>

<p>I got</p>

<pre><code>VM4871:1 Uncaught ReferenceError: ReactDOM is not defined
    at &lt;anonymous&gt;:1:1
(anonymous) @ VM4871:1
</code></pre>

<p>Update: I found a hakish solution, hoping someone can offer better:</p>

<pre><code>constructor() { super(); if ( window ) { window.myThing = this; } }
</code></pre>
","3618156","","3618156","","2018-01-21 05:06:38","2018-01-21 05:52:53","Can I get a reference to jsx react component so I can I forceUpdate/rerender react component from the chrome developer console?","<ajax><reactjs><render><jsx>","2","0","","",""
"48890036","1","","","2018-02-20 16:37:54","","0","42","<p>I have a table in my jsx that renders a league table. I want to now show the ""form"" of each team. i.e. the last 5 games.</p>

<p>I have a method that works this out (called form)</p>

<pre><code> const LeagueTable = ({ teams, form }) =&gt; (
  &lt;table className=""leagueTable""&gt;
    &lt;thead&gt;
      &lt;tr className=""tableRow""&gt;
        &lt;th&gt;#&lt;/th&gt;
        &lt;th&gt;Name&lt;/th&gt;
        &lt;th&gt;P&lt;/th&gt;
        &lt;th&gt;W&lt;/th&gt;
        &lt;th&gt;D&lt;/th&gt;
        &lt;th&gt;L&lt;/th&gt;
        &lt;th&gt;F&lt;/th&gt;
        &lt;th&gt;A&lt;/th&gt;
        &lt;th&gt;GD&lt;/th&gt;
        &lt;th&gt;Pts&lt;/th&gt;
        &lt;th&gt;Form&lt;/th&gt;
      &lt;/tr&gt;
    &lt;/thead&gt;
    &lt;tbody&gt;
      {teams.sort((a, b) =&gt; (
          (b.points) - (a.points)
      )).map((team, index) =&gt; (
        &lt;tr key={index} className=""tableRow""&gt;
         &lt;td className=""stats""&gt;{index + 1}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.name}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.won + team.lost + team.drawn}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.won}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.drawn}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.lost}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.goalsScored}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.goalsAgainst}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.goalsScored - team.goalsAgainst}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.points}&lt;/td&gt;
         &lt;td className=""stats""&gt;{form(team)}&lt;/td&gt;
       &lt;/tr&gt;
     ))}
    &lt;/tbody&gt;
 &lt;/table&gt;
);
</code></pre>

<p>this is the method:</p>

<pre><code> form = (team) =&gt; {
    let lastFiveMatches;
    return team &amp;&amp; team.matches ?
      lastFiveMatches = Object.values(this.props.teams.find(t =&gt; t.name === team.name).matches).sort(this.compare).reverse().slice(0, 5).map((match) =&gt; {
        if(match.winner === team.name){
          return 'W ';
        }
        else if(match.winner !== team.name){
          return 'L ';
        }
        else {
          return 'D ';
        }
      })
    :
    '---'
  }
</code></pre>

<p>basically it all works but since adding this method to my table, it only updates my table on refresh rather than instantly (which is what it was doing before)</p>

<p>can anyone explain why it is doing this and how I can change it back?</p>

<p>when I get rid of <code>&lt;td className=""stats""&gt;{form(team)}&lt;/td&gt;</code> it instantly works again so I know this method call is the problem</p>

<p>I have tried adding <code>this.forceUpdate()</code> and <code>this.setState(this.state)</code> to force a re-render but it looks like this causes react to blow up and I get the <code>cannot update during an existing state transition</code> error. </p>
","8205526","","8205526","","2018-02-20 16:52:42","2018-02-20 20:38:24","How to get react to update when calling a method from JSX?","<javascript><reactjs><jsx>","1","7","","",""
"47039987","1","","","2017-10-31 16:17:25","","0","65","<p>I am trying to use the react-howler component installed from npm and i am getting this error when i try to use the component.</p>

<blockquote>
  <p>Expected a component class, got [object, Object].</p>
</blockquote>

<p>Everything builds , but when I run npm start and go over to the localhost, my other components don't load and this error shows up int eh console.</p>

<p>index.vr.js:</p>

<pre><code>import React, {Component} from 'react';
import qs from 'query-string';
import ReactHowler from 'react-howler';
import Canvas from './Components/Canvas';
import UI from './Components/UI';

import {
  AppRegistry,
  asset,
  Pano,
  Text,
  View,
  Mesh,
  Video,
  VideoPano,
  VideoControl,
  MediaPlayerState,
  StyleSheet,
  Easing ,
  Animated,
} from 'react-vr';


var styles = StyleSheet.create({
  container: 
  {
    transform: [{rotateX: -12},{translate: [-.3, 1, -2.8]}],
    height: .7, width: .7 ,
  }
});

/* index.vr.js */


export default class WelcomeToVR extends React.Component {
      constructor(props) {
    super(props);
    this.spinValue = new Animated.Value(0),
    this.state = {
      src: '009 Une dernière chose.mp4',
      playerState: new MediaPlayerState({ autoPlay: false, muted: false }),
      scenes: [{scene_image: '009 Une dernière chose.mp4', navigations: [{ rotateX: 0 , rotateY: 0, rotateZ: 0 }] }],
      current_scene:{},
      sound: 'sound.ogg'
    }


//transform: {[{rotateX: 0},translate: {[-.3, 1, -2.8]} ]} 
//transform: [{ rotateX: 30 , rotateY: 0, rotateZ: 0 }] }],
  }

//functions  


    componentWillMount(){
    this.setState({current_scene: this.state.scenes[0]})
  }

    onPanoInput(e){
    if (e.nativeEvent.inputEvent.eventType === 'keydown'){
      this.rotatePointer(e.nativeEvent.inputEvent)
    }
  }

    rotatePointer(nativeEvent){
      switch (nativeEvent.keyCode) {
          //arrow keys
        case 38:

                this.state.current_scene.navigations[0]['rotateX'] -= 1;


          console.log(this.state.current_scene.navigations[0]['rotateX']);
        break;
        case 39:



                this.state.current_scene.navigations[0]['rotateY'] += 1;

                  console.log(this.state.current_scene.navigations[0]['rotateY']);
        break;
        case 37:

            this.state.current_scene.navigations[0]['rotateY'] -= 1;

                  console.log(this.state.current_scene.navigations[0]['rotateY']);
        break;
        case 40:

                this.state.current_scene.navigations[0]['rotateX'] += 1;
                  console.log(this.state.current_scene.navigations[0]['rotateZ']);
        break;

          // wasd
        case 87:

                this.state.current_scene.navigations[0]['rotateX'] -= 1;


          console.log(this.state.current_scene.navigations[0]['rotateX']);
        break;
        case 68:

                this.state.current_scene.navigations[0]['rotateY'] += 1;

                  console.log(this.state.current_scene.navigations[0]['rotateY']);
        break;
        case 65:

                this.state.current_scene.navigations[0]['rotateY'] -= 1;

                  console.log(this.state.current_scene.navigations[0]['rotateY']);
        break;
        case 83:

                this.state.current_scene.navigations[0]['rotateX'] += 1;

                  console.log(this.state.current_scene.navigations[0]['rotateZ']);
        break;
        default:
        return;
      }
      this.forceUpdate();
  }

 lerp (start, end, amt){
  return (1-amt)*start+amt*end
}

  render() {

    return (

        &lt;View onInput={this.onPanoInput.bind(this)}&gt;
            &lt;VideoPano source={asset(this.state.current_scene['scene_image'])}
                playerState={this.state.playerState}  
                style=
                { 
                    {transform: [
                                {rotateX: this.state.current_scene.navigations[0]['rotateX']},
                                {rotateY: this.state.current_scene.navigations[0]['rotateY']},
                                {rotateZ: this.state.current_scene.navigations[0]['rotateZ']}
                    ]}
                }
            /&gt;
            &lt;ReactHowler
              src={this.state.sound}
              playing={true}
            /&gt;
            &lt;VideoControl 
                style={styles.container}
                playerState={this.state.playerState}
            /&gt;


        &lt;/View&gt;
    );
  }
};

AppRegistry.registerComponent('WelcomeToVR', () =&gt; WelcomeToVR);
</code></pre>

<p>Thanks any info or tips would be greatly appreciated, almost at the point of giving up on spatial audio for my react 360 player app.</p>
","6575837","","","","","2017-10-31 16:17:25","ReactVR using react-howler for spatial audio","<javascript><npm><webvr><react-vr>","0","1","","",""
"50132111","1","","","2018-05-02 10:12:27","","0","40","<p>I'm very new to react and I am required to convert latitude to longitude which the latitude and longitude get from firebase. So the problem is that I am able to console log the address. However, I am not being able to display</p>

<p>This is my construtor</p>

<pre><code>this.getAddressFromLatLong = this.getAddressFromLatLong.bind(this)
</code></pre>

<p>This is the function that I wrote for the converting</p>

<pre><code>getAddressFromLatLong(lat, long) 
{ Geocode.fromLatLng(lat, long).then( 
    response =&gt; { 
        const address = response.results[0].formatted_address; 
        console.log(address); 
        return address; 
    }, 
    error =&gt; { console.error(error); } 
)}
</code></pre>

<p>This is where I render the address</p>

<pre><code>return ( 
    &lt;tr key={atData.uid}&gt; 
        &lt;td&gt;{atData.uid}&lt;/td&gt; 
        &lt;td&gt;{atData.user}&lt;/td&gt; 
        &lt;td&gt;&lt;TimeStamp time={atData.dateTime} format='full' /&gt;&lt;/td&gt; 
        &lt;td&gt;{this.getAddressFromLatLong(atData.latitude, atData.longtitude)}&lt;/td&gt; 
    &lt;/tr&gt; 
)
</code></pre>

<p>Please advise >.&lt;</p>

<p>Edit:</p>

<p>I realised that the code I posted is not enough so here's more information about my problems and the end product that I wanted</p>

<p>So I have this page that displays all the address and users when a user select a lock from the dropdown list which get from the firebase</p>

<p>This is how I did my dropdown list</p>

<pre><code>componentWillMount() {
    const lockSelected = this.state.selectedLock
    console.log(lockSelected)
    // Calling the Lock List
    axios
        .get(process.env.REACT_APP_FIREBASE_DATABASE + '/' + doGetLocklist() + '.json?auth=' + process.env.REACT_APP_FIREBASE_DATABASE_SECRET)
        .then((response) =&gt; {
            // console.log(""=== componentDidMount: axios - Lock List ==="")
            this.setState({ locklistArray: response.data, loading: false })
        })
        .catch((err) =&gt; { })
}
renderDropdown() {
    return _.map(this.state.locklistArray, lockData =&gt; {
        return (
            &lt;option value={lockData.uid}&gt;{lockData.lockName}&lt;/option&gt;
        )
    })
}
</code></pre>

<p>This is how I render out the dropdown</p>

<pre><code>&lt;FormControl componentClass=""select"" placeholder=""select"" onChange={this.detectOnChangeEvent}&gt;
    &lt;option value=""""&gt;- Please Select a lock -&lt;/option&gt;
    {this.renderDropdown()}
&lt;/FormControl&gt;
</code></pre>

<p>After that, when the user selected a lock, it will run this detectOnChange func so that it will re-render the table with the lock data</p>

<pre><code>detectOnChangeEvent(event) {
    this.setState({
        selectedLock: event.target.value,
    })
    this.fetchSelectedATData(event.target.value)
    this.forceUpdateHandler()
}

forceUpdateHandler() {
    this.forceUpdate();
};

fetchSelectedATData(atlist) {
    var lockSelected = atlist
    axios
        .get(process.env.REACT_APP_FIREBASE_DATABASE + '/' + doGetAuditTrailList() + '/' + lockSelected + '.json?auth=' + process.env.REACT_APP_FIREBASE_DATABASE_SECRET)
        .then((response) =&gt; {
            // console.log(""=== componentDidMount: axios - User List ==="")
            console.log(response.data)
            this.setState({ atArray: response.data, loading: false })
        })
        .catch((err) =&gt; { })

    this.renderATlistArray()
}

renderATlistArray() {
    if (this.state.loading) {
        return (&lt;Loading /&gt;)
    } else {
        return _.map(this.state.atArray, atData =&gt; {
            return (
                &lt;tr key={atData.uid}&gt;
                    &lt;td&gt;{atData.uid}&lt;/td&gt;
                    &lt;td&gt;{atData.user}&lt;/td&gt;
                    &lt;td&gt;&lt;TimeStamp time={atData.dateTime} format='full' /&gt;&lt;/td&gt;
                    &lt;td&gt;{this.getAddressFromLatLong(atData.latitude, atData.longtitude)}&lt;/td&gt;
                &lt;/tr&gt;
            )
        })
    }
}
</code></pre>

<p>So now, everything is working fine. I do know that this is not the proper way of doing things also. Just that I can't display onto my table when I am able to console log and it get the correct address back.</p>

<p><a href=""https://i.stack.imgur.com/6nOxj.png"" rel=""nofollow noreferrer"">Here's a screenshot of the response</a></p>

<p>Hopefully, with all these added information, it will be better for you guys to understand the code!</p>
","9709278","","9709278","","2018-05-03 02:43:09","2018-05-03 02:43:09","Able to get the response but unable to display react","<reactjs><firebase>","1","2","","",""
