Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"47006005","1","","","2017-10-29 22:41:48","","1","199","<p>I am trying to learn how to make web apps with express, however, I am not really understanding how it sends data to the client side and what express is supposed to do.  I am under the impression that express is supposed to send data to the client side then the client side is supposed to display the UI according to the data that was sent.  Right now I am trying to render a react component from express using <code>reactDOMServer</code> but I am running into a jsx error saying: </p>

<pre><code>res.send(ReactDOMServer.renderToString(&lt;root /&gt;))

SyntaxError: Unexpected token &lt;
</code></pre>

<p>I am aware of <a href=""https://stackoverflow.com/questions/42181682/using-express-and-es6-to-render-react-and-jsx-server-side"">this</a> post and have tried installing babel for the jsx, but it still gives me this error.</p>

<p>Here is my app.js: </p>

<pre><code>const express = require(""express"")
const React = require(""react"")
const ReactDOMServer = require(""react-dom/server"");

const root = require(""./public/root.js"");

const app = express();

app.get(""/"", (req, res) =&gt; {
  res.send(ReactDOMServer.renderToString(&lt;root /&gt;))
})

app.listen(3000, () =&gt; {
  console.log(""running on port 3000"")
})
</code></pre>

<p>root.js</p>

<pre><code>const React = require(""react"");

module.export = class root extends React.Component{
  render(){
    return(
      &lt;div&gt;Hello world from react&lt;/div&gt;
    )
  }
}
</code></pre>

<p>package.json: </p>

<pre><code>{
  ""name"": ""myproject"",
  ""version"": ""1.0.0"",
  ""description"": """",
  ""main"": ""index.js"",
  ""scripts"": {
    ""test"": ""echo \""Error: no test specified\"" &amp;&amp; exit 1"",
    ""start"": ""nodemon app.js --exec babel-node --presets es2015,stage-2,react""
  },
  ""author"": """",
  ""license"": ""ISC"",
  ""dependencies"": {
    ""express"": ""^4.16.2"",
    ""koa"": ""^2.3.0"",
    ""koa-router"": ""^7.2.1"",
    ""koa-static"": ""^4.0.1"",
    ""koa-static-server"": ""^1.3.2"",
    ""react"": ""^16.0.0"",
    ""react-dom"": ""^16.0.0"",
    ""react-dom-server"": ""0.0.5""
  },
  ""devDependencies"": {
    ""babel-cli"": ""^6.26.0"",
    ""babel-preset-es2016"": ""^6.24.1"",
    ""babel-preset-react"": ""^6.24.1""
  }
}
</code></pre>

<p>Note: This is an experimental project, so there is a lot of unnecessary packages (koa)</p>

<p>And to make things simple my questions are: </p>

<ol>
<li>What does express do?(send static html files to the client which then interact on its own? routing?) and how do you send a react component to the client? </li>
<li>my jsx problem above</li>
</ol>

<p>New Problem (Ryan): </p>

<pre><code>  res.send(renderToString(&lt;Root /&gt;))
                          ^

SyntaxError: Unexpected token &lt;
    at createScript (vm.js:80:10)
    at Object.runInThisContext (vm.js:139:10)
    at Module._compile (module.js:588:28)
    at Object.Module._extensions..js (module.js:635:10)
    at Module.load (module.js:545:32)
    at tryModuleLoad (module.js:508:12)
    at Function.Module._load (module.js:500:3)
    at Function.Module.runMain (module.js:665:10)
    at startup (bootstrap_node.js:187:16)
    at bootstrap_node.js:608:3
</code></pre>
","8813240","","8813240","","2017-10-31 19:47:10","2017-10-31 19:47:10","react and express app not allowing jsx","<node.js><reactjs><express><jsx><serverside-rendering>","1","6","","",""
"50121687","1","","","2018-05-01 18:19:27","","0","38","<p>I'm trying to understand react-dom/server.</p>

<p>I have a react application, using express as the server.</p>

<p>I have an express route like so : </p>

<pre><code>var server = app.listen(3000);
app.get('/test', (req, res) =&gt; {                       
  const context = {}
  const html = ReactDOMServer.renderToString(
      &lt;h1&gt;foo&lt;/h1&gt;
  )  
  if (context.url) {
    res.writeHead(302, {
      Location: context.url
    })
    res.end()
  } else {
    res.write(html)
    res.end()
  }
});
</code></pre>

<p>If I run the server file with <code>node app-server</code>, I get this error :</p>

<pre><code>      &lt;h1&gt;adasd&lt;/h1&gt;
      ^
SyntaxError: Unexpected token &lt;
</code></pre>

<p>I passed JSX to renderToString based on the example there :
<a href=""https://github.com/ReactTraining/react-router/blob/master/packages/react-router/docs/api/StaticRouter.md"" rel=""nofollow noreferrer"">https://github.com/ReactTraining/react-router/blob/master/packages/react-router/docs/api/StaticRouter.md</a></p>

<p>How can I make the express server file processed this JSX code ?</p>

<p>For the client side, I use webpack with the babel loader, and it works fine.</p>
","1904386","","1904386","","2018-05-01 19:10:15","2018-05-02 12:53:50","jsx passed to react-dom/server renderToString","<reactjs><react-dom-server>","1","5","","",""
"47018368","1","","","2017-10-30 14:58:43","","1","189","<p>I have a React app in which I am using <a href=""http://leafletjs.com/"" rel=""nofollow noreferrer"">Leaflet</a> through <a href=""https://github.com/PaulLeCam/react-leaflet"" rel=""nofollow noreferrer"">react-leaflet</a>, both super useful libraries.</p>

<p>In this app, I have a group of coordinates that need to be rendered as follows:</p>

<ol>
<li><p>When zoomed out, cluster the coordinates into Marker Clusters like so
<a href=""https://i.stack.imgur.com/fY9he.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/fY9he.png"" alt=""enter image description here""></a></p></li>
<li><p>When zoomed in, each Marker needs to have </p>

<ol>
<li>A dynamic countdown timer under it</li>
<li>A dynamic SVG countdown clock around it like so
<a href=""https://i.stack.imgur.com/m32Z2.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/m32Z2.png"" alt=""enter image description here""></a></li>
</ol></li>
</ol>

<p>For the clustering, I am using the <a href=""https://www.npmjs.com/package/react-leaflet-markercluster"" rel=""nofollow noreferrer"">react-leaflet-markercluster</a> plugin, which works great for showing static content. </p>

<p>But when I need to show any dynamic content within each marker, I have no option of sending in <code>JSX</code>, there's only provision for static HTML as can been seen from the example available <a href=""https://yuzhva.github.io/react-leaflet-markercluster/#marker-popup"" rel=""nofollow noreferrer"">here</a>.</p>

<pre><code>// Template for getting popup html MarkerClusterGroup
// IMPORTANT: that function returns string, not JSX
function getStringPopup(name) {
  return (`
    &lt;div&gt;
      &lt;b&gt;Hello world!&lt;/b&gt;
      &lt;p&gt;I am a ${name} popup.&lt;/p&gt;
    &lt;/div&gt;
  `);
}

// that function returns Leaflet.Popup
function getLeafletPopup(name) {
  return L.popup({ minWidth: 200, closeButton: false })
    .setContent(`
      &lt;div&gt;
        &lt;b&gt;Hello world!&lt;/b&gt;
        &lt;p&gt;I am a ${name} popup.&lt;/p&gt;
      &lt;/div&gt;
    `);
}
</code></pre>

<p>Is there a way to handle this situation? How can I make a JSX marker instead of a static HTML marker?</p>

<p>PS: I have tried using <code>ReactDOM.renderToString</code>already, but it's an ugly hack and involves re-rendering the markers every time.</p>

<p>TIA!!</p>

<p>Here's a sample <a href=""https://www.webpackbin.com/bins/-KxhoIKcuQaFNyL7zivs"" rel=""nofollow noreferrer"">WebpackBin</a> for you to play around with if you have a solution in mind</p>
","1409180","","1409180","","2017-10-30 15:08:42","2017-10-30 15:08:42","Implementing a dynamic JSX element within a marker, using react-leaflet","<javascript><reactjs><leaflet><jsx><react-leaflet>","0","6","1","",""
"50128342","1","","","2018-05-02 06:26:44","","1","50","<p>I am using react router v4 with redux to render some data on the server but i am not able to set the state of the component on the server. Here's my code. Appreciate the Help </p>

<p>heres the server side loadonserver function</p>

<pre><code>loadOnServer({ store, location, routes }).then(() =&gt; {
  const context = {};
  const html = renderToString(
    &lt;Provider store={store}&gt;
      &lt;StaticRouter location={location} context={context}&gt;
        &lt;ReduxAsyncConnect routes={routes} /&gt;
      &lt;/StaticRouter&gt;
    &lt;/Provider&gt;
  );

  // handle redirects
  if(context.url) {
    req.header('Location', context.url)
    return res.send(302)
  }

  // render the page, and send it to the client
  res.send(renderLayout(html, '', store.getState(),ApiData , req.protocol + '://' + req.get('x-forwarded-host')));

  // render the page, and send it to the client
  // can't use until redux-connect works with loadable-components
  // getLoadableState(html).then(pageScripts =&gt;
  //   res.send(renderLayout(html, pageScripts.getScriptTag(), store.getState(), !!(req.user &amp;&amp; req.user.isAdmin)))
  // )
})
.catch(err =&gt; {
  console.log(err);
  res.status(500).end();
});
</code></pre>

<p>ApiData is the data from the server that needs to be set at the server so that the components render out</p>

<p>Heres my index.js</p>

<pre><code>import React from 'react';
import { hydrate } from 'react-dom';
import { createStore, applyMiddleware } from 'redux';
import { Provider } from 'react-redux';
import { BrowserRouter, Route } from 'react-router-dom';
import { ReduxAsyncConnect } from 'redux-connect';
import createHistory from 'history/createBrowserHistory';
import { ConnectedRouter, routerMiddleware, push } from 'react-router-redux';

import routes from './routes';
import reducers from './reducers';

import App from './app';

const initialState = window.__INITIAL_STATE;

const history = createHistory();
const middleware = routerMiddleware(history);

const store = createStore(reducers, initialState, applyMiddleware(middleware));

hydrate(
  &lt;Provider store={store}&gt;
    &lt;ConnectedRouter history={history}&gt;
       &lt;ReduxAsyncConnect routes={routes}/&gt;
    &lt;/ConnectedRouter&gt;
  &lt;/Provider&gt;,
  document.getElementById('app')
);
</code></pre>

<p>Heres my routes.js</p>

<pre><code>import React from 'react';
import App from './app';
import HomePage from './pages/HomePage';

const routes = [{
    component: App,
    routes: [
         {
           path : '/',
           exact: true,
           component: HomePage
         }
    ]
 }];

 export default routes;
</code></pre>

<p>And heres my App.js</p>

<pre><code>import React,  { Component } from 'react';
import PropTypes from 'prop-types';
import { Link } from 'react-router-dom';
import renderRoutes from 'react-router-config/renderRoutes';

import routes from './routes';

import {isBrowser,isServer} from './util/environmentDetection'

class App extends Component {

    constructor(props) {
        super(props);
        if(isServer) {

        } else if(isBrowser &amp;&amp; !this.state) {
             this.state = window.__DATA;
             delete  window.__DATA;
        }
     }
     render() {
         return (
             &lt;div&gt;
               &lt;Link to={'/'}&gt;
                {'Home'}
               &lt;/Link&gt;
               {renderRoutes(routes[0].routes, { initialData : this.state })}
            &lt;/div&gt;
        );
    }
 }

 export default App;
</code></pre>
","6550576","","","","","2018-05-15 17:10:29","How to set state at the server for data from API using react redux","<reactjs><redux>","1","0","","",""
"42517350","1","","","2017-02-28 19:38:13","","1","22","<p>I am using reactjs 15.0.2, but when I add constants in render it keeps adding extra elements around it like below. I want clean html from it.</p>

<p>React output is as below:</p>

<pre><code>&lt;p data-reactid=""49""&gt;
    &lt;!-- react-text: 50 --&gt;Join the
        &lt;!-- /react-text --&gt;&lt;!-- react-text: 51 --&gt;Hello 1&lt;!-- /react-text --&gt;&lt;!-- react-text: 52 --&gt;Testing
    &lt;!-- /react-text --&gt;     
&lt;/p&gt;
</code></pre>

<p>Code is as below:</p>

<pre><code>export default class Test extends React.Component {
render() {
const text1 = 'Hello 1';
return (
    &lt;p&gt;Join the {text1} Tesing&lt;/p&gt;)
}
}
</code></pre>

<p>for server to send html in node I am using code as below:</p>

<pre><code>res.send(`&lt;!doctype html&gt;
  ${ReactDOM.renderToString(&lt;Html assets={webpackIsomorphicTools.assets()} store={store} /&gt;)}`);
</code></pre>

<p>I want clean html here as Join the ""Hello 1 Testing""</p>
","7271616","","","","","2017-02-28 19:49:51","How to remove exta element around the constants added in react 15.0.2","<reactjs>","1","0","","",""
"35419846","1","35464117","","2016-02-15 21:56:32","","1","549","<p>How to pass variable  to child components from react-router on server side.
I want pass some variables to my components which rendered by RoutingContext</p>

<pre><code>import { renderToString } from 'react-dom/server'
import { match, RouterContext } from 'react-router'
import routes from './routes'

serve((req, res) =&gt; {
  match({ routes, location: req.url }, (error, redirectLocation,     renderProps) =&gt; {
    if (error) {
  res.status(500).send(error.message)
    } else if (redirectLocation) {
  res.redirect(302, redirectLocation.pathname + redirectLocation.search)
    } else if (renderProps) {
  res.status(200).send(renderToString(&lt;RouterContext {...renderProps} /&gt;))
    } else {
  res.status(404).send('Not found')
    }
  })
})
</code></pre>
","4303309","","","","","2016-02-18 21:35:39","Passing variable from react-router to child components","<javascript><node.js><reactjs><react-router>","1","0","","",""
"27907357","1","","","2015-01-12 17:17:37","","3","3962","<p>I'm currently starting my first React app with server-side rendering. The problem is that I want to choose the most solid strategy. </p>

<p>What I'm currently trying to do:</p>

<ul>
<li><p>using Swig as template engine for Express app and inserting stringified React component like template variable:</p>

<pre><code>&lt;!doctype html&gt;
&lt;html lang=""en""&gt;
  &lt;head&gt;
     &lt;meta charset=""utf-8""&gt;
     &lt;title&gt;Title&lt;/title&gt;
  &lt;/head&gt;
  &lt;body&gt;
     &lt;div id=""react-mount""&gt;{{reactHTML|safe}}&lt;/div&gt;
     &lt;script src=""/build/bundle.js""&gt;&lt;/script&gt;
  &lt;/body&gt;
&lt;/html&gt;
</code></pre></li>
<li><p>here is the problem of passing props into components on both server-side and client-side:</p></li>
</ul>

<p><strong>server</strong></p>

<pre><code>var Box = require('./src/components/Box.jsx');
function renderify (component, props) {
   var reactHTML = React.renderToString(React.createElement(component, props));
   return {reactHTML: reactHTML};
}

app.get('/', function (req, res) {
   res.render('layout', renderify(Box, {name: 'My Box'}));
});
</code></pre>

<p>This renders on server perfectly, but client doesn't know that I have <code>name</code> prop..</p>

<p><strong>client</strong></p>

<pre><code>var React = require('react');
var Box = require('./components/Box.jsx');

React.render(&lt;Box /&gt;, document.getElementById('react-mount'));
</code></pre>

<p>Which throws me a warning from React and rerenders the page without <code>name</code>.</p>

<hr>

<p>Another question here is routing..  I assume that it's better to render app on server when some route is requested but then I will prefer to have client-side location change when user goes through application..</p>

<p>Does this mean that routes should be duplicated on both client and server?</p>

<hr>

<h3>So what is the best strategy from your experience to render React components on the server?</h3>
","2117550","","","","","2015-08-12 23:08:21","react.js - Server-side rendering and routes strategies","<javascript><node.js><express><render><reactjs>","1","0","","",""
"50235274","1","","","2018-05-08 13:49:32","","0","22","<p>Since I learn the server rendering from Pro MERN Stack which Vasan is the author.
There is a server rendering lesson, he use react-router for server rendering.
If I am going to use react router version 4, where can I find the tutorial or any resources to map convert the following code to react router version 4???, Please help. T_T</p>

<p>renderedPageRouter.jsx</p>

<pre><code>import React from 'react';
import { renderToString } from 'react-dom/server';
import { match, RouterContext } from 'react-router';

import Router from 'express';

import template from './template.js';
import routes from '../src/Routes.jsx';
import ContextWrapper from '../src/ContextWrapper.jsx';

const renderedPageRouter = new Router();

renderedPageRouter.get('*', (req, res) =&gt; {
  match({ routes, location: req.url }, (error, redirectLocation, renderProps) =&gt; {
    if (error) {
      res.status(500).send(error.message);
    } else if (redirectLocation) {
      res.redirect(302, redirectLocation.pathname + redirectLocation.search);
    } else if (renderProps) {
      const componentsWithData = renderProps.components.filter(c =&gt; c.dataFetcher);
      const dataFetchers = componentsWithData.map(c =&gt; c.dataFetcher({
        params: renderProps.params, location: renderProps.location,
        urlBase: 'http://localhost:3000', cookie: req.headers.cookie,
      }));
      Promise.all(dataFetchers).then((dataList) =&gt; {
        let initialState = {};
        dataList.forEach((namedData) =&gt; {
          initialState = Object.assign(initialState, namedData);
        });
        const html = renderToString(
          &lt;ContextWrapper initialState={initialState} &gt;
            &lt;RouterContext {...renderProps} /&gt;
          &lt;/ContextWrapper&gt;
        );
        res.status(200).send(template(html, initialState));
      })
      .catch(err =&gt; {
        console.log(`Error rendering to string: ${err}`);
      });
    } else {
      res.status(404).send('Not found');
    }
  });
});

export default renderedPageRouter;
</code></pre>
","8491066","","","","","2018-05-08 13:49:32","How to do server rendering for react router version 4?","<node.js><reactjs><express><react-router-v4>","0","2","","",""
"42863308","1","42863476","","2017-03-17 17:03:50","","1","422","<p>I'm trying to set up a universal react app with react-router 4.0.0. </p>

<p>Server-side rendering works except for the fact that my Link tags are rendered differently on the server and the client. Here is the error message:</p>

<blockquote>
  <p>Warning: React attempted to reuse markup in a container but the checksum was invalid. This generally means that you are using server rendering and the markup generated on the server was not what the client was expecting. React injected new markup to compensate which works but you have lost many of the benefits of server rendering. Instead, figure out why the markup being generated is different on the client or server:</p>

<pre><code>(client) o Furb&lt;/h1&gt;&lt;a href=""./"" data-reactid=""4""
(server) o Furb&lt;/h1&gt;&lt;a href=""/./"" data-reactid=""4
</code></pre>
</blockquote>

<p>I am very new to react-router and react in general, so keep in mind this might be a trivial error in my code. Also, I'm learning as I go along, so, there are probably other clamorous mistakes in my code, sorry in advance.</p>

<p>Looking online I came up with this bug fix that covers a similar problem: <a href=""https://github.com/ReactTraining/react-router/pull/4484"" rel=""nofollow noreferrer"">https://github.com/ReactTraining/react-router/pull/4484</a></p>

<p>However, this patch is included in react-router 4.0.0 (I poked the code and it's indeed fixed). Therefore, my issue cannot be caused by this. </p>

<p>After a lot of tinkering, I suspect my config or an error arising from my limited understanding of what I'm doing. For example, for StaticRouter, I'm using <code>location={req.originalUrl}</code> instead of <code>location={req.url}</code> as <code>req.url</code> always seems to be <code>/</code>, and I'm not sure why.</p>

<p>I'm posting the files I believe relevant below, but if you want to check the full code you may find it here: <a href=""https://github.com/magp/furb/tree/universal"" rel=""nofollow noreferrer"">https://github.com/magp/furb/tree/universal</a></p>

<p>package.json</p>

<pre><code>{
  ""name"": ""furb"",
  ""version"": ""0.0.1"",
  ""description"": ""A boilerplate for Firebase-UniversalRedux-Bootstrap/MaterialUI projects"",
  ""main"": ""app/server.jsx"",
  ""scripts"": {
    ""start"": ""concurrently --kill-others \""npm run start:api\"" \""npm run start:back\"""",
    ""start:back"": ""node app/serverlauncher.js"",
    ""start:api"": ""node api/server.js"",
    ""clean"": ""rimraf static"",
    ""serve:prod"": ""http-server ./static -o -p 3032"",
    ""build:app"": ""NODE_ENV=production webpack --config config/webpack-prod-config.js"",
    ""build"": ""npm run clean &amp;&amp; npm run build:app &amp;&amp; npm run serve:prod"",
    ""test"": ""echo 'NODE_ENV=production mocha './tests/**/*.spec.js' --compilers js:babel-core/register'"",
    ""lint"": ""eslint --config=./.eslintrc app/**/**/*.jsx""
  },
  ""repository"": {
    ""type"": ""git"",
    ""url"": ""git+https://github.com/magp/furb.git""
  },
  ""keywords"": [
    ""Boilerplate"",
    ""React"",
    ""Redux"",
    ""UniversalJS"",
    ""Bootstrap"",
    ""MaterialUI""
  ],
  ""author"": ""magp"",
  ""license"": ""MIT"",
  ""bugs"": {
    ""url"": ""https://github.com/magp/furb/issues""
  },
  ""homepage"": ""https://github.com/magp/furb#readme"",
  ""dependencies"": {
    ""express"": ""^4.15.2"",
    ""history"": ""^4.6.1"",
    ""react"": ""^15.4.2"",
    ""react-dom"": ""^15.4.2"",
    ""react-hot-loader"": ""^3.0.0-beta.6"",
    ""react-router-dom"": ""^4.0.0""
  },
  ""devDependencies"": {
    ""babel-core"": ""^6.24.0"",
    ""babel-loader"": ""^6.4.0"",
    ""babel-preset-es2015"": ""^6.24.0"",
    ""babel-preset-react"": ""^6.23.0"",
    ""concurrently"": ""^3.4.0"",
    ""eslint"": ""^3.17.1"",
    ""eslint-config-airbnb"": ""^14.1.0"",
    ""eslint-plugin-import"": ""^2.2.0"",
    ""eslint-plugin-jsx-a11y"": ""^4.0.0"",
    ""eslint-plugin-react"": ""^6.10.0"",
    ""html-webpack-plugin"": ""^2.28.0"",
    ""http-server"": ""^0.9.0"",
    ""node-sass"": ""^4.5.0"",
    ""rimraf"": ""^2.6.1"",
    ""sass-loader"": ""^6.0.3"",
    ""style-loader"": ""^0.14.0"",
    ""webpack"": ""^2.2.1"",
    ""webpack-dev-middleware"": ""^1.10.1"",
    ""webpack-hot-middleware"": ""^2.17.1""
  }
}
</code></pre>

<p>app/serverlauncher.js</p>

<pre><code>require('babel-register')({
  presets: [ 'es2015', 'react' ]
});

var app = require('./server.jsx');
</code></pre>

<p>app/server.jsx</p>

<pre><code>var path = require('path');
var express = require('express');

var React = require('react');
var ReactDOMServer = require('react-dom/server');
var StaticRouter = require('react-router-dom/StaticRouter').default;
var webpack = require('webpack');

var config = require('../config/webpack-dev-config');
var Routes = require('./routes/Routes.jsx').default;

var app = express();
var compiler = webpack(config);

app.use(require('webpack-dev-middleware')(compiler, {
  noInfo: true,
  publicPath: config.output.publicPath
}));

app.use(require('webpack-hot-middleware')(compiler));

const routes = [
    '/',
    '/about'
];

app.use('*', function (req, res, next) {
  const context = {};
  const componentHTML = ReactDOMServer.renderToString(&lt;StaticRouter context={context} location={req.originalUrl}&gt;&lt;Routes /&gt;&lt;/StaticRouter&gt;);

  const HTML = `
    &lt;!DOCTYPE html&gt;
    &lt;html&gt;
      &lt;head&gt;
        &lt;meta charset=""utf-8""&gt;
        &lt;title&gt;Static&lt;/title&gt;
      &lt;/head&gt;
      &lt;body&gt;
        &lt;div id=""app""&gt;${componentHTML}&lt;/div&gt;
        &lt;script type=""text/javascript"" src=""/static/source.js""&gt;&lt;/script&gt;
      &lt;/body&gt;
    &lt;/html&gt;
  `;
  res.end(HTML);
});

const PORT = process.env.PORT || 3030;

app.listen(PORT, 'localhost', function(err) {
  if (err) {
    console.log(err);
    return;
  }
  console.log('Listening at http://localhost:3030');
});
</code></pre>

<p>app/routes/Routes.jsx</p>

<pre><code>import React from 'react';
import { Route, Switch } from 'react-router-dom';

import List from '../components/List';
import About from '../components/About';
import NotFound from '../components/NotFound';

import links from '../../api/data/links.json';

const linksarr = Object.keys(links).map(function(k) { return links[k] });

function Routes() {
  return (
    &lt;Switch&gt;
      &lt;Route exact path=""/"" render={props =&gt; (&lt;List links={linksarr} {...props} /&gt;)} /&gt;
      &lt;Route exact path=""/about"" component={About} /&gt;
      &lt;Route component={NotFound} /&gt;
    &lt;/Switch&gt;
  );
}

export default Routes;
</code></pre>

<p>app/components/Layout.jsx</p>

<pre><code>import React from 'react';
import { Link } from 'react-router-dom';

function Layout() {
  return (
    &lt;div&gt;
      &lt;h1&gt;Welcome to Furb&lt;/h1&gt;
      &lt;Link to=""./""&gt;Home&lt;/Link&gt;
      &lt;Link to=""./about""&gt;About&lt;/Link&gt;
      &lt;Link to=""./test""&gt;Test&lt;/Link&gt;
    &lt;/div&gt;
  );
}

export default Layout;
</code></pre>

<p>Excuse the long question and thank you in advance for any help you can provide.</p>
","3158887","","","","","2017-03-17 17:12:45","StaticRouter renders a leading slash for <Link> tags [react-router 4.0.0]","<javascript><reactjs><express><react-router><react-router-v4>","1","1","","",""
"43058684","1","","","2017-03-28 00:33:28","","6","7920","<p>I am trying server side rendering using react-router 4. I am following the example provided here <a href=""https://reacttraining.com/react-router/web/guides/server-rendering/putting-it-all-together"" rel=""noreferrer"">https://reacttraining.com/react-router/web/guides/server-rendering/putting-it-all-together</a></p>

<p>As per the example on server we should use <code>StaticRouter</code>. When I import as per the example I am seeing StaticRouter as undefined</p>

<pre><code>import {StaticRouter} from 'react-router';
</code></pre>

<p>After doing some research online I found I could use <code>react-router-dom</code>. Now my import statement looks like this.</p>

<pre><code>import {StaticRouter} from 'react-router-dom';
</code></pre>

<p>However when I run the code I am getting <code>Invariant Violation: Browser history needs a DOM</code> in the browser.</p>

<p>my server.js file code</p>

<pre><code>....
app.get( '*', ( req, res ) =&gt; {
  const html = fs.readFileSync(path.resolve(__dirname, '../index.html')).toString();
  const context = {};
  const markup = ReactDOMServer.renderToString(
    &lt;StaticRouter location={req.url} context={context} &gt;
      &lt;App/&gt;
    &lt;/StaticRouter&gt;
  );

  if (context.url) {
    res.writeHead(302, {
      Location: context.url
    })
    res.end();
  } else {
      res.send(html.replace('$react', markup));
  }
} );
....
</code></pre>

<p>And my client/index.js code</p>

<pre><code>....
ReactDOM.render((
  &lt;BrowserRouter&gt;
    &lt;App /&gt;
  &lt;/BrowserRouter&gt;
), root);
....
</code></pre>

<hr>

<p><strong>Update v1</strong>
Reduced my example to a bear minimum and still getting the same error.</p>

<p><strong>clientIndex.js</strong></p>

<pre><code>import ReactDOM from 'react-dom'
import { BrowserRouter } from 'react-router-dom'
import App from '../App'

ReactDOM.render((
  &lt;BrowserRouter&gt;
    &lt;App/&gt;
  &lt;/BrowserRouter&gt;
), document.getElementById('app'))
</code></pre>

<p><strong>serverIndex.js</strong></p>

<pre><code>import { createServer } from 'http'
import React from 'react'
import ReactDOMServer from 'react-dom/server'
import { StaticRouter } from 'react-router'
import App from '../App'

createServer((req, res) =&gt; {
  const context = {}

  const html = ReactDOMServer.renderToString(
    &lt;StaticRouter
      location={req.url}
      context={context}
    &gt;
      &lt;App/&gt;
    &lt;/StaticRouter&gt;
  )

res.write(`
  &lt;!doctype html&gt;
  &lt;div id=""app""&gt;${html}&lt;/div&gt;
`)
res.end()
}).listen(3000);
</code></pre>

<p><strong>App.js</strong></p>

<pre><code>import React from 'react';
import { BrowserRouter as Router, Route } from 'react-router-dom';
import routes from ""./client/routes"";
const App = ( ) =&gt; (
  &lt;Router&gt;
    &lt;Route path=""/"" exact render={( props ) =&gt; ( &lt;div&gt;Helloworld&lt;/div&gt; )} /&gt;
  &lt;/Router&gt;
)

export default App;
</code></pre>
","7776961","","7776961","","2017-03-28 02:56:48","2017-07-11 19:52:24","react-router 4 - Browser history needs a DOM","<react-router-v4>","1","3","3","",""
