Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"40600996","1","","","2016-11-15 02:18:58","","1","1270","<p>I am trying to use the chart.js bar chart with react and es6. </p>

<p>As I am using <code>import</code> instead of <code>require</code> my project looks a bit different than the <a href=""https://github.com/reactjs/react-chartjs#example-usage"" rel=""nofollow noreferrer"">documentation on GitHub</a>.</p>

<p>Here is an example of my project:</p>

<pre><code>import React from 'react';
import { BarChart } from 'react-chartjs';

class HelloChart extends React.Component {
  constructor() {
    super();
    let data = {
      labels: [""January"", ""February"", ""March"", ""April"", ""May"", ""June"", ""July""],
      datasets: [{
        label: ""My First dataset"",
        backgroundColor: [
          'rgba(255, 99, 132, 0.2)',
          'rgba(54, 162, 235, 0.2)',
          'rgba(255, 206, 86, 0.2)',
          'rgba(75, 192, 192, 0.2)',
          'rgba(153, 102, 255, 0.2)',
          'rgba(255, 159, 64, 0.2)'
        ],
        borderColor: [
          'rgba(255,99,132,1)',
          'rgba(54, 162, 235, 1)',
          'rgba(255, 206, 86, 1)',
          'rgba(75, 192, 192, 1)',
          'rgba(153, 102, 255, 1)',
          'rgba(255, 159, 64, 1)'
        ],
        borderWidth: 1,
        data: [65, 59, 80, 81, 56, 55, 40],
      }]
    };
    let options = {
      scales: {
        xAxes: [{
          stacked: true
        }],
        yAxes: [{
          stacked: true
        }]
      }
    };
    this.state = {
      chartData: data,
      chartOptions: options,
    };
  }
  render() {
    let chartData = this.state.chartData;
    let chartOptions = this.state.chartOptions;
    return (
      &lt;div&gt;
        &lt;BarChart data={chartData} options={chartOptions} width=""600"" height=""250"" /&gt;
      &lt;/div&gt;
    )
  }
}

export default HelloChart
</code></pre>

<p>These are the two errors in am getting in my console:</p>

<p><code>Warning: React.createElement: type should not be null, undefined, boolean, or number. It should be a string (for DOM elements) or a ReactClass (for composite components). Check the render method of</code>HelloChart<code>.</code></p>

<p>And ...</p>

<p><code>Uncaught Error: Element type is invalid: expected a string (for built-in components) or a class/function (for composite components) but got: undefined. Check the render method of</code>HelloChart<code>.</code></p>
","1322427","","","","","2016-11-15 02:30:07","Render bar chart with chart.js and react and es6","<reactjs><charts><ecmascript-6><react-chartjs>","1","0","","",""
"40624802","1","","","2016-11-16 05:39:33","","1","265","<p>I'm using <a href=""http://nativebase.io/"" rel=""nofollow noreferrer"">nativebase</a> as a base for the UI side of a React Native app that I'm developing and I'm running into an error with something that should be very simple.</p>

<p>I want to create a component for the tab footer of the app to include in different views as follows:</p>

<p>./Components/Footer.js</p>

<pre><code>import React, { Component } from 'react';
import {
  Footer,
  FooterTab,
  Button,
  Icon,
  Text
} from 'native-base';

class TabFooter extends Component {
  render() {
    return (
      &lt;Footer &gt;
        &lt;FooterTab&gt;
          &lt;Button&gt;
            &lt;Badge&gt;2&lt;/Badge&gt;
            Apps
            &lt;Icon name='ios-apps-outline' /&gt;
          &lt;/Button&gt;
          &lt;Button&gt;
            Camera
            &lt;Icon name='ios-camera-outline' /&gt;
          &lt;/Button&gt;
          &lt;Button active&gt;
            Navigate
            &lt;Icon name='ios-compass' /&gt;
          &lt;/Button&gt;
          &lt;Button&gt;
            Contact
            &lt;Icon name='ios-contact-outline' /&gt;
          &lt;/Button&gt;
        &lt;/FooterTab&gt;
      &lt;/Footer&gt;
    );
  }
}

export default TabFooter;
</code></pre>

<p>And an example view would be:</p>

<pre><code>import React, { Component } from 'react';
import { Container, Header, Title, Content, Footer, FooterTab, Button, Icon,
  Text, List, ListItem, Input, InputGroup } from 'native-base';
import { TabFooter } from '../Components/Footer';

class EditGuest extends Component {
  render() {

    return (
      &lt;Container&gt;
        &lt;Header&gt;
          &lt;Title&gt;Whatever title&lt;/Title&gt;
        &lt;/Header&gt;

        &lt;Content&gt;
        &lt;/Content&gt;
        &lt;TabFooter /&gt;
      &lt;/Container&gt;
    );
  }
}

export default EditGuest;
</code></pre>

<p>But when this view renders I'm getting the error:</p>

<pre><code>ExceptionsManager.js:82 Warning: React.createElement: type should not be null, undefined, boolean, or number. It should be a string (for DOM elements) or a ReactClass (for composite components). Check the render method of `EditGuest`.
</code></pre>

<p>Is there something really basic that I'm missing because I would of thought that I could just simply include this component within any view without any problems...</p>
","2987737","","","","","2016-12-07 05:47:57","React Native error - React: createElement: type should not be null","<javascript><react-native><react-jsx><native-base>","3","2","","",""
"26771987","1","26799431","","2014-11-06 04:55:14","","1","118","<p>I posted this to the Meteor-Talk Google Group, but I figure that this is such an obscure question, it needs a signal boost.</p>

<p>I'm trying to create a plugin that let's you add XML-style elements to an HTML document, as is possible with HTML5, for use with <a href=""https://github.com/xml3d/xml3d.js"" rel=""nofollow"">XML3D</a>. I think it'd be really awesome to render 3D content reactively with Blaze templates and XML3D.</p>

<p>I need to use the document.createElementNS method to add elements to the DOM in order to add them under an alternative namespace than SVG's, in order to experiment with the alternative specification.</p>

<p>Unfortunately, Meteor only supports that method for the SVG namespace, as per this code:
<a href=""https://github.com/meteor/meteor/blob/a81fbf483efa4f40ea2d382f0c7275d408536e96/packages/blaze/materializer.js#L41"" rel=""nofollow"">https://github.com/meteor/meteor/blob/a81fbf483efa4f40ea2d382f0c7275d408536e96/packages/blaze/materializer.js#L41</a></p>

<p>I've considered two different approaches to doing this. I could either create a Template block helper, one that looks like this:</p>

<p>In Spacebars:</p>

<pre><code>{{#xml ns=""http://www.xml3d.org/2009/xml3d""}}
  &lt;xml3d&gt;...&lt;/xml3d&gt;
</code></pre>

<p>In Jade:</p>

<pre><code>+xml(ns='http://www.xml3d.org/2009/xml3d')
  xml3d ...
</code></pre>

<p>That piece is simple enough, but how could I deliver to Blaze-- and ultimately, the DOM-- the rendered contents, reactively, using the correct namespace?</p>

<p>Or, I could attempt to extend Blaze to support alternative namespaces somehow, perhaps by using a package. I'm not sure how to do this exactly either, since I don't think a package could extend Blaze. I did see BlazeTools, and maybe that could help? The documentation on what that did was rather sparse, and what the code actually did was not immediately obvious.</p>

<p>Or perhaps some combination of both approaches, say, using the block helper to signal to Blaze the XML namespace to render the contents of the block helper under.</p>

<p>Thoughts?</p>
","351531","","440252","","2015-03-09 12:18:30","2015-06-20 11:14:49","XML3D, document.createElementNS, and Meteor","<javascript><node.js><meteor><3d><xml3d>","1","0","","",""
"31634924","1","","","2015-07-26 08:10:05","","1","140","<p>I'm trying to get started with React and CSSTransitionGroup. If I add my <code>&lt;MyTransitionGroup ../&gt;</code> I get the warning ""Something is calling a React component directly"", and the error ""Uncaught TypeError: Cannot read property '__reactAutoBindMap' of undefined""</p>

<p>If I remove <code>&lt;MyTransitionGroup ../&gt;</code> - all is fine again. I checked the compiled js and <code>&lt;MyTransitionGroup ../&gt;</code> is compiled to <code>React.createElement(MyTransitionGroup...</code> - so it doesn't seem that the jsx compiler is out of date..</p>

<pre><code>'use strict';
var React = require('react');
var Addons = require('react-addons');
var MyTransitionGroup = Addons.CSSTransitionGroup;
var style = require('./Screen.scss');

var Screen = React.createClass({
  render: function () {
    var style = {
        backgroundColor: this.props.data.bgcolor
    };
    return (
        &lt;MyTransitionGroup transitionName=""example"" transitionAppear={true}&gt; **// remove this and it works**
            &lt;div style={style} className=""Screen""&gt;
                {this.props.data.stitle}
            &lt;/div&gt;
        &lt;/MyTransitionGroup&gt;
    );
  }
});

module.exports = Screen;
</code></pre>
","1089772","","","","","2015-07-26 08:10:05","CSSTransitionGroup __reactAutoBindMap error","<reactjs>","0","0","1","",""
"32934252","1","32936824","","2015-10-04 13:57:22","","5","1160","<p>I wanted to use <a href=""https://github.com/chenglou/react-motion"">https://github.com/chenglou/react-motion</a> but when I look at the very first example:</p>

<pre><code>import {Motion, spring} from 'react-motion';
// In your render...
&lt;Motion defaultStyle={{x: 0}} style={{x: spring(10)}}&gt;
  {value =&gt; &lt;div&gt;{value.x}&lt;/div&gt;}
&lt;/Motion&gt;
</code></pre>

<p>I got overwhelmed with the ES6 syntax and the JSX syntax. I tried translating it on the <a href=""https://babeljs.io/repl/"">babel REPL</a> but it strips out the JSX syntax:</p>

<pre><code>""use strict"";

React.createElement(
  Motion,
  { defaultStyle: { x: 0 }, style: { x: spring(10) } },
  function (value) {
    return React.createElement(
      ""div"",
      null,
      value.x
    );
  }
);
</code></pre>

<p>What does this translate to in pre-ES6 JSX syntax?</p>
","1099531","","1099531","","2015-10-04 15:41:51","2016-02-04 04:26:47","Overwhelming syntax on react-motion","<javascript><syntax><reactjs><ecmascript-6><react-jsx>","1","5","","",""
"48160085","1","","","2018-01-09 00:53:34","","0","41","<p>I read all the threads about dynamic ui within the Shiny framework, but I did not find anything that work. I want to display a twitter timeline. This chunk of code works really well :</p>

<pre><code>library(shiny)
library(shinydashboard)

runApp(list(ui = fluidPage(
  tags$head(tags$script('!function(d,s,id){var js,fjs=d.getElementsByTagName(s)    [0],p=/^http:/.test(d.location)?\'http\':\'https\';if(!d.getElementById(id)){js=d.createElement(s);js.id=id;js.src=p+""://platform.twitter.com/widgets.js"";fjs.parentNode.insertBefore(js,fjs);}}(document,""script"",""twitter-wjs"");')),
  titlePanel(""""),
  sidebarLayout(
    sidebarPanel()
    , mainPanel(
      a(""Tweets by Andrew Ng"",
        class=""twitter-timeline"",
        href = ""https://twitter.com/AndrewYNg""
      )
    )
  )
)
, server = function(input, output, session){

}
)
)
</code></pre>

<p>But when, I try to make it reactive, I only got a link to the twitter timeline:</p>

<pre><code>library(shiny)
library(shinydashboard)
runApp(list(ui = fluidPage(
  tags$head(tags$script('!function(d,s,id){var js,fjs=d.getElementsByTagName(s)    [0],p=/^http:/.test(d.location)?\'http\':\'https\';if(!d.getElementById(id)){js=d.createElement(s);js.id=id;js.src=p+""://platform.twitter.com/widgets.js"";fjs.parentNode.insertBefore(js,fjs);}}(document,""script"",""twitter-wjs"");')),
  titlePanel(""""),
  sidebarLayout(
    sidebarPanel()
    , mainPanel(
      uiOutput(""mytimeline"")
    )
  )
)
, server = function(input, output, session){

  output$mytimeline &lt;- renderUI({
    a(""Tweets by Andrew Ng"",
      class=""twitter-timeline"",
      href = ""https://twitter.com/AndrewYNg""
    )
  })



}
)
)
</code></pre>
","4383566","","","","","2018-01-09 03:12:35","Specific twitter timeline uiOutput to be reactive in r Shiny","<r><twitter><shiny><uioutput>","1","0","","",""
"47011793","1","","","2017-10-30 09:28:25","","1","494","<p>I've created a new app using <code>create-react-app React</code> and a few apps can reuse the same Components.<br>
So I've create a structure like this</p>

<pre><code>- App1
- App2
- App3
- Utils
  - Components
</code></pre>

<p>When I'm trying to load Utils/Components from within an app, it first gave me the <code>You may need an appropriate loader to handle this file type.</code>-error.
I've changed the filetypes from <code>.js</code> to <code>.jsx</code> and now it's giving me the following error</p>

<pre><code>Uncaught DOMException: Failed to execute 'createElement' on 'Document': 
The tag name provided ('/static/media/TeamSidebar.2e3fe8e5.jsx') is not 
a valid name.
</code></pre>

<p>package.json:</p>

<pre><code>{
    ""dependencies"": {
        ""bootstrap"": ""^4.0.0-beta"",
        ""react"": ""^16.0.0"",
        ""react-dom"": ""^16.0.0"",
        ""react-moment"": ""^0.6.5"",
        ""react-scripts"": ""1.0.14"",
        ""reactstrap"": ""^5.0.0-alpha.3"",
        ""utils"": ""file:../utils""
 },
</code></pre>

<p>App.js</p>

<pre><code>import React, {Component} from 'react';
import {Components} from 'utils';

class App extends Component {
    render() {
        const {TeamSidebar} = Components;

        return (
            &lt;TeamSidebar teams={teamsList}/&gt;
        );
    }
}
</code></pre>
","4644434","","4644434","","2017-10-30 13:36:18","2017-10-30 21:48:51","create-react-app Component in different folder than project errors","<reactjs><npm><package.json>","1","0","","",""
"50118878","1","","","2018-05-01 15:05:21","","0","19","<p>I'm trying to create an image slider with reactJS. (no webpack, no jsx). I started with different elements, one to take any number of images in, then radio buttons that when clicked on, display the other image. (I'm basically trying to replicate this: <a href=""https://codepen.io/alehl/pen/wjJLJz"" rel=""nofollow noreferrer"">https://codepen.io/alehl/pen/wjJLJz</a>, but with reactJS).</p>

<p>These are the elements and how I'm looping to pass in the images &amp; render them + the a radio button for each image.</p>

<pre><code>   const sliders = image_urls.map((current_image =&gt;
    React.createElement(""z"", { type: ""radio"", name: ""slider"", id: ""slide"" })
  ));

  const sliders2 = image_urls.map((current_image =&gt;
    React.createElement(""label"", { ""for"": ""slide"", className: ""radio_button"" })
  ));

  const final_images = image_urls.map((current_image =&gt;
      React.createElement(
        ""img"",
        { src: current_image }
      )
  ));
</code></pre>

<p>The problem is... that the ids in the CSS are unique for each slide:</p>

<pre><code>#slide1:checked ~ #slides article:nth-child(1) .info,
#slide2:checked ~ #slides article:nth-child(2) .info,
#slide3:checked ~ #slides article:nth-child(3) .info,
#slide4:checked ~ #slides article:nth-child(4) .info,
#slide5:checked ~ #slides article:nth-child(5) .info {
    opacity: 1;
    transition: all 1s ease-out 0.6s;
}
</code></pre>

<p>My question is: Is there a way to loop through the id &amp; increment by 1 to form the needed unique id for each slide? Or is there a better way of doing this?</p>
","7647476","","","","","2018-05-01 15:05:21","Create Unique ID for CSS with reactJS","<reactjs>","0","2","","",""
"42465233","1","","","2017-02-26 05:52:29","","1","261","<p>I have a Rails 5 app with react installed with <code>gem 'react-rails', '1.10.0'</code></p>

<p>I also want to use <code>react-router</code> so I manually have the react-router JS loading as their was no gem available. I can submit <code>ReactRouter</code> in the console a to confirm <code>ReactRouter</code> loads.</p>

<p>I'm trying to get react-router to work but it is erring. Here is my basic setup:</p>

<p><strong>welcome.html.erb</strong></p>

<pre><code>&lt;div id=""root""&gt;&lt;/div&gt;
&lt;%= react_component 'RouterTest' %&gt;
</code></pre>

<p><strong>_router_test.jsx</strong></p>

<pre><code>var Route = ReactRouter.Route;
var Router = ReactRouter;
var browserHistory = ReactRouter.browserHistory;

var RouterTest = React.createClass({
  render() {
    return ( &lt;div&gt; &lt;h1&gt;RouterTest!&lt;/h1&gt; &lt;/div&gt; )
  }
});

var routes = (
    &lt;Router history={browserHistory}&gt;
        &lt;Route path=""/"" component={RouterTest}/&gt;
    &lt;/Router&gt;
);

ReactDOM.render(routes , document.getElementById('root'));
</code></pre>

<p>This is error in the console with:</p>

<pre><code>Warning: React.createElement: type should not be null, undefined, boolean, or number. It should be a string (for DOM elements) or a ReactClass (for composite components).
printWarning @ react.self-fd40d62….js?body=1:1275
warning @ react.self-fd40d62….js?body=1:1299
createElement @ react.self-fd40d62….js?body=1:3085
(anonymous) @ _router_test.self-b3b194f….js?body=1:23
react.self-fd40d62….js?body=1:841 Uncaught Error: _registerComponent(...): Target container is not a DOM element.
    at invariant (react.self-fd40d62….js?body=1:841)
    at Object._renderNewRootComponent (react.self-fd40d62….js?body=1:20670)
    at Object._renderSubtreeIntoContainer (react.self-fd40d62….js?body=1:20760)
    at Object.render (react.self-fd40d62….js?body=1:20781)
    at _router_test.self-b3b194f….js?body=1:29
</code></pre>

<p>Any suggestions on what I'm doing wrong getting React Router working? Thank you</p>
","149080","","","","","2017-02-26 05:52:29","Getting react-router to work with Rails 5 & gem 'react-rails', '1.10.0'","<javascript><ruby><reactjs><react-router><ruby-on-rails-5>","0","3","","",""
"50218489","1","50218560","","2018-05-07 16:16:39","","0","60","<p>I'm using React as a display tool for my data, coupled with the <a href=""https://www.npmjs.com/package/react-table"" rel=""nofollow noreferrer"">framework react-table</a> to list my data.</p>

<p>I have a field to create a new object in my data base but I can't reload the table without leaving my view.</p>

<p>My question, how to reuse the function to load the data? (<a href=""https://www.npmjs.com/package/react-table#server-side-data"" rel=""nofollow noreferrer"">source code</a>)</p>

<pre><code>class ElementCRDN extends React.Component {
    constructor(props) {
        super(props);
        this.handleCreation = this.handleCreation.bind(this);
        this.handleInput = this.handleInput.bind(this);
        this.state = {
            data: [], // the data retrieved from the server
            pages: -1,
       };
   }

   handleCreation(event) {
        Axios.post('/createElement', {
            // data
        }).then(() =&gt; {
            // Ask for reload
       });
       event.preventDefault();
   }

   render() {
       &lt;form onSubmit={this.handleCreation}&gt;
           // input to create object
       &lt;/form&gt;
       &lt;ReactTable
          data={this.state.data}
          pages={this.state.pages}
          loading={this.state.loading}
          manual
          columns={columns}
          onFetchData={(state) =&gt; { // function to retrieve the data
              this.setState({ loading: true });
              Axios.post('/listElements', {
                  page: state.page,
                  pageSize: state.pageSize,
                  sorted: state.sorted,
                  filtered: state.filtered,
              }).then((res) =&gt; {
                  this.setState({
                  data: res.data,
                  loading: false,
                  });
              });
          }}
       /&gt;
   }
</code></pre>

<p>Thank you for reading</p>
","9631596","","","","","2018-05-07 16:21:16","Reload react-table on event","<node.js><reactjs><react-table>","1","1","","",""
