Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"36859798","1","36860099","","2016-04-26 08:47:29","","0","2754","<p>I practice react<br>
I met this error :  <code>Uncaught ReferenceError: ReactDOM is not defined</code><br>
when type <code>ReactDOM.unmountComponentAtNode(document.body)</code> on chrome console </p>

<p>Please help me check the problem<br>
I try the code on JSbin and works well,so I think it's webpack problem,but I have no idea .  </p>

<p>And I notice there are many way write <code>React.render</code> part when I google ,what's the difference?? which one is correct??  </p>

<pre><code>React.render(&lt;App name='Vipul' /&gt;,document.body); 
ReactDOM.render(&lt;App name='Vipul' /&gt;,document.body);
React.renderComponents(&lt;App name='Vipul' /&gt;,document.body);
</code></pre>

<p>Here is my code: </p>

<p><strong>main.jsx</strong></p>

<pre><code>import React from 'react';
import ReactDOM from 'react-dom';

console.log('Start')
var App = React.createClass({
  render: function(){
    console.log('render');
    return &lt;h1 onClick={this.toggleState}&gt;Hello&lt;/h1&gt;
  },
  componentWillUnmount: function(){
  //在console執行 ReactDOM.unmountComponentAtNode(document.body)
    console.log('componentWillUnmount');
  },

  toggleState: function(){
    this.setState({status: !this.state.status})
  }

});

ReactDOM.render(&lt;App name='Vipul' /&gt;,document.body);
</code></pre>

<p><strong>webpack.config.js</strong> </p>

<pre><code>var WebpackNotifierPlugin = require('webpack-notifier');

module.exports = {
    entry: ""./src/main.js"",
    output: {
        filename: ""./dist/bundle.js""
//        filename: ""./public/dist/bundle.js""
    },
    plugins: [

    new WebpackNotifierPlugin()

  ],
    module: {
        loaders: [
            {
                test: /\.jsx?$/,
                exclude: /node_modules/,
                loader: ""babel-loader"",
                query: {
                    presets: ['es2015', 'react']
                }
            }
        ]
    },devtool: 'source-map'
};
</code></pre>
","2492364","","","","","2016-04-26 08:59:46","ReactDOM.unmountComponentAtNode: Uncaught ReferenceError: ReactDOM is not defined","<reactjs><webpack>","2","0","1","",""
"27227792","1","27236097","","2014-12-01 11:49:33","","17","42139","<p>I'm fairly new at react.js, so any help is greatly appreciated.</p>

<p>I have this: <a href=""http://jsfiddle.net/rzjyhf91/"">http://jsfiddle.net/rzjyhf91/</a></p>

<p>Wherein I have made 2 components: an image and a button.</p>

<p>The goal is to remove the image with a click of the button, I use <code>unmountComponentAtNode</code> for that, but it does not work:</p>

<pre><code>var App = React.createClass({
  render: function() {
    return (
    &lt;div&gt;&lt;MyImage /&gt;&lt;RemoveImageButton /&gt;&lt;/div&gt;
    );
  }
});

var MyImage = React.createClass({
  render: function() {
    return (
      &lt;img id=""kitten"" src={'http://placekitten.com/g/200/300'} /&gt;
    );
  }
});

var RemoveImageButton = React.createClass ({
  render: function() {
    return (
      &lt;button onClick={this.handleClick}&gt;remove image&lt;/button&gt;
    )
  },
  handleClick: function(){
    React.unmountComponentAtNode(document.getElementById('kitten'));   
  }
});

React.render(&lt;App /&gt;, document.body);
</code></pre>

<p>How can I remove a react component from another component?</p>
","1517261","","3204551","","2015-04-02 14:12:12","2018-06-28 15:44:07","react.js: removing a component","<javascript><reactjs>","3","2","5","",""
"47784831","1","","","2017-12-13 02:55:56","","1","138","<p>I need to do event bubbling through the deep nested components ,  I tried to do some thing like below</p>

<pre><code>   import {ReactDOM,render, unmountComponentAtNode} from 'react-dom';

  .........
  .........

  componentDidMount() {
    ReactDOM.findDOMNode(this).addEventListener('click', (event) =&gt; {
    event.stopPropagation();
  }, false)
}
</code></pre>

<p>I got the following error</p>

<pre><code>bundle.js:45 Uncaught TypeError: Cannot read property 'findDOMNode' of undefined
</code></pre>
","1355249","","","","","2017-12-13 08:03:34","Cannot read property 'findDOMNode' of undefined when using stopPropagation - reactJs","<javascript><reactjs><event-bubbling><react-dom>","1","0","","",""
"29656743","1","29663840","","2015-04-15 17:22:15","","0","241","<p>my backbone collection collection doesn't populate when i just pass it in as props to a react component. I have tried first fetching the collection using componentDidmount and componentWillMount, but that still didn't populate the collection. If I test the code by setting a window variable pointing to DecksIndex and in the console tools call getInstance() and then fetch
,the data loads fine. my code is as follows:</p>

<pre><code> //router.js
var DeckComponent = require(""./views/deck.jsx"")
var DecksIndex = React.createFactory(require(""./views/decks.jsx""))
var decksCollection = require(""./component/collections/decks.js"");

module.exports = Backbone.Router.extend({

    initialize: function(){
        this.rootEl = document.getElementById('container');
    },

    routes: {
        """":""index"",
        ""decks/:id"":""deckShow""
    },

    index: function(){

        var decks = new DecksIndex({decks: decksCollection.getInstance()});
        this._swapView(decks)
        console.log(""hooray!"")
    },

    deckShow: function(id){
        //var deck = Flashcards.Collections.decks.getOrFetch(id);
        var showDeck = new DeckComponent();
        this._swapView(showDeck);
    },

    _swapView: function(view){
        if (this.currentView) {
            React.unmountComponentAtNode(this.rootEl);
        }
        this.currentView = view
        React.render(view, document.getElementById('container'));
    }   

});


//decks.js

var deck = require('../models/deck.js')
var decks = Backbone.Collection.extend({
  url: ""/api/decks"",
  model: deck,
  getOrFetch: function(id){
        var model = this.get(id);
        var that = this;
        if (model) {
            model.fetch();
        }else{
            model = new deck({id: id})
            model.fetch({
                success: function(){
                    that.add(model)
                }
            })
        }
        return model;
    },

    parse: function (data) {
        debugger;
        return data.objects
    },

});

decks.getInstance = _.memoize(function () {
  return new decks();
});

module.exports = decks;

//decks.jsx
var DecksList = React.createClass({

    render: function() {

            return (
              &lt;div className=""deck-list""&gt;
              {
                this.props.decks.map(function (deck) {
                    var title = deck.name
                    debugger;
                  return (
                    &lt;div key={deck.id} className=""note-summary""&gt;
                      {title}
                    &lt;/div&gt;
                  );
                })
              }
              &lt;/div&gt;
            );
      }
});

module.exports = DecksList;
</code></pre>
","3769323","","1455016","","2015-04-21 22:28:10","2015-04-21 22:28:10","I am having trouble passing in my backbone collection in to a react component","<javascript><backbone.js><reactjs>","1","5","","",""
"39995030","1","","","2016-10-12 09:23:34","","0","57","<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var routeMap = {
    ""/login"": Login,
    ""/place"": Place,
    ""/article"": Arcticle
};
function initBar(url){
    if(document.getElementById('bar')){
        ReactDOM.unmountComponentAtNode(document.getElementById('bar'));
    }
    var Bar;
    if(url==""/login""){
        Bar = null;
    }else{
        Bar = &lt;NavBar items={itemArray} /&gt;;
    }

    if(Bar){
        ReactDOM.render(
            &lt;div&gt;
                {Bar}
            &lt;/div&gt;,
            document.getElementById('bar')
        )
    }
}
ReactDOM.render(
        // &lt;h1&gt;Hello, world!&lt;/h1&gt;,
        &lt;div id=""container""&gt;
           &lt;Router path='/' component={routeMap[url]} &gt;
            {
                Object.keys(routeMap).map(function (item) {
                    return (
                        &lt;Router path={item} component={routeMap[item]} onEnter={item}/&gt;
                    )
                })
            }
        &lt;/Router&gt;
        &lt;/div&gt;,
        document.getElementById('content')
    );</code></pre>
</div>
</div>
</p>

<p>the onEnter event only work when the component init, when I change the url from /login to /place, the onEnter event didn't work. If anywhere is wrong?I am learning react by myself.</p>
","4786580","","","","","2016-10-12 09:23:34","when I change the url, react-router onEnter function didn't work","<react-router>","0","6","","",""
"48623313","1","48728814","","2018-02-05 13:06:50","","5","352","<p>I built my application wir create-react-app. In the recent version of it, it adds one line in the bootstrapped test setup in Jest to unmount the component (see <code>ReactDOM.unmountComponentAtNode(div)</code>).</p>

<pre><code>import ReactDOM from 'react-dom';
import App from './App';

it('renders without crashing', () =&gt; {
  const div = document.createElement('div');
  ReactDOM.render(&lt;App /&gt;, div);
  ReactDOM.unmountComponentAtNode(div);
});
</code></pre>

<p>It causes a warning when I run the test for my App component.</p>

<p><strong>Warning: Can only update a mounted or mounting component. This usually means you called setState, replaceState, or forceUpdate on an unmounted component. This is a no-op.</strong></p>

<p>My guess: It happens because I have an asynchronous request in <code>componentDidMount()</code>:</p>

<pre><code>fetchFoo(bar) {
  fetch(SOME_URL)
    .then(response =&gt; response.json())
    .then(result =&gt; this.setState({ result }))
    .catch(error =&gt; this.setState({ error }));
}
</code></pre>

<p>If this is the case, how do I wait in the test for the asynchronous request to finally unmount the component again? I know that I could remove the one liner in the Jest test which causes this, but rather I would like to fix it. </p>

<ul>
<li><a href=""https://github.com/the-road-to-learn-react/the-road-to-learn-react/issues/101"" rel=""noreferrer"">Here you can find the issue</a>.</li>
</ul>
","1189762","","","","","2018-02-11 15:59:21","ReactDOM.unmountComponentAtNode() in Test causes Warning","<reactjs>","2","0","1","",""
"49784990","1","49804860","","2018-04-11 21:55:14","","0","87","<p>I have seen the very similar post:
<a href=""https://stackoverflow.com/questions/43771517/using-jest-to-test-a-link-from-react-router-v4"">Using Jest to test a Link from react-router v4</a>
but I'm having different errors, and all kinds of them when trying to use CRA and React Router.</p>

<p>If the test script is <code>""test"": ""react-scripts test --env=jsdom""</code>, I get this error preventing the tests from running:</p>

<pre><code>2017-06-28 14:14 node[6612] (FSEvents.framework) FSEventStreamStart: register_with_server: ERROR: f2d_register_rpc() =&gt; (null) (-22)
Error: Error watching file for changes: EMFILE
at exports._errnoException (util.js:1018:11)
at FSEvent.FSWatcher._handle.onchange (fs.js:1420:11)
</code></pre>

<p>One solution I've found but I haven't been able to get it to work is to install/reinstall a library called watchman. (<a href=""https://github.com/facebook/react-native/issues/10028"" rel=""nofollow noreferrer"">https://github.com/facebook/react-native/issues/10028</a>) but trying to install watchman is throwing out errors as well.</p>

<p>Another solution I found (<a href=""https://github.com/jest-community/vscode-jest/issues/125"" rel=""nofollow noreferrer"">https://github.com/jest-community/vscode-jest/issues/125</a>) was to change that test script to <code>""test"": ""jest""</code>, and then I get this error:</p>

<pre><code>src/App.test.js: Unexpected token (7:18)
         5 | it('renders without crashing', () =&gt; {
         6 |   const div = document.createElement('div');
      &gt;  7 |   ReactDOM.render(&lt;App /&gt;, div);
           |                   ^
         8 |   ReactDOM.unmountComponentAtNode(div);
         9 | });
        10 |

Test Suites: 1 failed, 1 total
Tests:       0 total
Snapshots:   0 total
Time:        1.646s
Ran all test suites.
npm ERR! Test failed.  See above for more details.
</code></pre>

<p>After going way back in my commit history to find where the test suite initially had problems, I found a different set of errors.
The first of the errors happens after installing react-router-dom and adding this one liner to App.js</p>

<pre><code>&lt;Link to=""/""&gt;Scratch&lt;/Link&gt;
</code></pre>

<p>I get this error:</p>

<pre><code>  console.error node_modules/fbjs/lib/warning.js:33
    Warning: Failed context type: The context `router` is marked as required in`Link`, but its value is `undefined`.
        in Link (at App.js:13)
        in NavbarBrand (at App.js:12)
        in div (created by NavbarHeader)
        in NavbarHeader (at App.js:11)
        in div (created by Grid)
        in Grid (created by Navbar)
        in nav (created by Navbar)
        in Navbar (created by Uncontrolled(Navbar))
        in Uncontrolled(Navbar) (at App.js:10)
        in div (at App.js:9)
        in App (at App.test.js:7)

  console.error node_modules/react-dom/cjs/react-dom.development.js:9627
    The above error occurred in the &lt;Link&gt; component:
        in Link (at App.js:13)
        in NavbarBrand (at App.js:12)
        in div (created by NavbarHeader)
        in NavbarHeader (at App.js:11)
        in div (created by Grid)
        in Grid (created by Navbar)
        in nav (created by Navbar)
        in Navbar (created by Uncontrolled(Navbar))
        in Uncontrolled(Navbar) (at App.js:10)
        in div (at App.js:9)
        in App (at App.test.js:7)
</code></pre>

<p>Everything that I'm trying seems to be yielding different errors, I don't know the correct way to set this up, and since I'm still new to React I'm not very familiar with any of these messages, and the solutions I'm finding online don't seem to be working.</p>
","7102316","","7102316","","2018-04-12 20:51:31","2018-04-12 20:53:58","Why does React Router break create-react-app tests? How to fix this?","<javascript><reactjs><testing><react-router><create-react-app>","1","0","0","",""
"42093066","1","42094100","","2017-02-07 14:59:10","","0","109","<p>I need to start react js project without <code>react-router</code>, but I cannot setup hot module replacement without that one, please can you help me.<br>
My server </p>

<pre><code>const app = express()

// Apply gzip compression
app.use(compress())

if (project.env === 'development') {
  const compiler = webpack(webpackConfig)

   debug('Enabling webpack dev and HMR middleware')
   app.use(require('webpack-dev-middleware')(compiler, {
   publicPath  : webpackConfig.output.publicPath,
   contentBase : project.paths.client(),
   hot         : true,
   quiet       : project.compiler_quiet,
   noInfo      : project.compiler_quiet,
   lazy        : false,
   stats       : project.compiler_stats
 }))
 app.use(require('webpack-hot-middleware')(compiler, {
   path: '/__webpack_hmr'
 }))
} else {
    ....
}
</code></pre>

<p>My application entry point. </p>

<pre><code>const MOUNT_NODE = document.getElementById('root')

let render = () =&gt; {
   ReactDOM.render(
    &lt;App store={store} /&gt;,
    MOUNT_NODE)
 }

 if (__DEV__) {
    if (module.hot) {
      // Development render functions
      const renderApp = render
      const renderError = (error) =&gt; {
      const RedBox = require('redbox-react').default

      ReactDOM.render(&lt;RedBox error={error} /&gt;, MOUNT_NODE)
    }

    // Wrap render in try/catch
   render = () =&gt; {
      try {
         renderApp()
      } catch (error) {
         console.error(error)
         renderError(error)
      }
   }

  // Setup hot module replacement
   module.hot.accept('./App', () =&gt;
     setImmediate(() =&gt; {
        ReactDOM.unmountComponentAtNode(MOUNT_NODE)
        render()
     })
   )
 }
</code></pre>

<p>}</p>

<p>Where <code>./App</code> is simple component wrapping my application inside provider. </p>

<pre><code>shouldComponentUpdate = () =&gt; false;

 render () {
    return (
    &lt;Provider store={this.props.store}&gt;
       &lt;RootComponent /&gt;
    &lt;/Provider&gt;  )
 }
</code></pre>

<p>And the main problem is - that when I save this, or child file, HMR rebuilding and nothing changed, but even, I use router, and pass as entry point of application, instead of simple component - its working fine.</p>

<pre><code>export const createRoutes = (store) =&gt; ({
  path        : '/',
  component   : CoreLayout,
  indexRoute  : { onEnter: (nextState, replace) =&gt; replace('/songs') },
  childRoutes : [
    ...
 ]
 })
</code></pre>

<p>What I am doing wrong?</p>
","6252161","","6252161","","2017-02-07 15:15:15","2017-02-07 15:46:58","Webpack react HMR without router","<reactjs><webpack><redux><ecmascript-7><hot-module-replacement>","1","0","","",""
"51088515","1","","","2018-06-28 17:27:20","","0","20","<p>So I am making a ReactJS app which includes reactstrap, react-router and react-router-bootstrap. The problem is that when I test components which contain LinkContainer, the following error occurs, making my unit tests fail:</p>

<blockquote>
  <p>console.error node_modules\prop-types\checkPropTypes.js:19
        Warning: Failed context type: The context <code>router</code> is marked as required in <code>LinkContainer</code>, but its value is <code>undefined</code>.
            in LinkContainer (at Header.js:27)</p>
</blockquote>

<p>Could anyone please help me out? This is the code, in header.js for example:</p>

<pre><code>import { LinkContainer } from ""react-router-bootstrap"";
import { ROUTE_POKEDEX } from ""../../constants/constants"";

export default class Header extends Component {
  constructor(props) {
    super(props);

    this.toggle = this.toggle.bind(this);
    this.state = {
      isOpen: false
    };
  }

  toggle() {
    this.setState({
      isOpen: !this.state.isOpen
    });
  }

  render() {
    return (
      &lt;Container fluid className=""header""&gt;
        &lt;Navbar expand=""md""&gt;
          &lt;LinkContainer to={ROUTE_POKEDEX}&gt;
            &lt;NavbarBrand&gt;Pokédex&lt;/NavbarBrand&gt;
          &lt;/LinkContainer&gt;
          &lt;NavbarToggler onClick={this.toggle} /&gt;
        &lt;/Navbar&gt;
      &lt;/Container&gt;
    );
  }
}
</code></pre>

<p>test.js</p>

<pre><code>import Header from ""./Header"";

it(""renders without crashing"", () =&gt; {
  const div = document.createElement(""div"");
  ReactDOM.render(&lt;Header /&gt;, div);
  ReactDOM.unmountComponentAtNode(div);
});

it(""has valid snapshot"", () =&gt; {
  const tree = renderer.create(&lt;Header /&gt;).toJSON();
  expect(tree).toMatchSnapshot();
});
</code></pre>
","9481547","","","","","2018-06-28 17:27:20","Test fails when using LinkContainer from react-router-bootstrap","<javascript><reactjs><react-router><react-router-bootstrap>","0","0","","",""
"50823024","1","50823331","","2018-06-12 17:50:58","","0","49","<p>Does anyone know how to resolve this linting issue? It's claiming that I'm not using the TasksComponent. Thanks!</p>

<blockquote>
  <p>'TasksComponent' is assigned a value but never used. (no-unused-vars)</p>
</blockquote>

<pre><code>describe('root tests', () =&gt; {

    it('renders without crashing', () =&gt; {
        const TasksComponent = TasksWithData(Tasks);
        const root = document.createElement('root');
        ReactDOM.render(&lt;TasksComponent {...taskconfig} /&gt;, root);
        ReactDOM.unmountComponentAtNode(root);
    });

});
</code></pre>

<p>This is my .eslintrc file:</p>

<pre><code>module.exports = {
    ""env"": {
        ""browser"": true,
        ""es6"": true,
        ""jest"": true
    },
    ""extends"": ""eslint:recommended"",
    ""parserOptions"": {
        ""ecmaFeatures"": {
            ""experimentalObjectRestSpread"": true,
            ""jsx"": true
        },
        ""sourceType"": ""module""
    },
    ""plugins"": [
        ""react""
    ],
    ""rules"": {
        ""indent"": [
            ""error"",
            4
        ],
        ""quotes"": [
            ""warn"",
            ""single""
        ],
        ""semi"": [
            ""error"",
            ""always""
        ]
    }
};
</code></pre>
","9824961","","9824961","","2018-06-12 18:21:15","2018-06-12 18:21:15","ESLint throwing no-unused-vars for reactjs data component","<reactjs><eslint><react-component><eslintrc>","1","0","","",""
