Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"43410210","1","","","2017-04-14 11:00:07","","1","83","<p>I have <a href=""https://github.com/gxa/atlas-heatmap/blob/master/src/load/heatmapAxisCategories.js#L24"" rel=""nofollow noreferrer"">some code</a> with the following structure:</p>

<pre><code>someArray.map(
  condition ?
    element =&gt; ({
      field: element.someField 
    }) :
    element =&gt; ({
      field: element.someOtherField
    })  
</code></pre>

<p>I’m building my code with Webpack 2.3.3 and when I use only <code>babel-preset-es2015</code> or <code>babel-preset-env</code> everything’s fine, but if I add <code>react</code> to my presets I get the following:</p>

<pre><code>ERROR in ./src/load/heatmapAxisCategories.js
Module build failed: SyntaxError: Invalid left-hand side in object destructuring pattern (38:27)

  36 |             isDifferential(experiment) ?
  37 |                 columnHeader =&gt; ({
&gt; 38 |                     label: columnHeader.displayName,
     |                            ^
  39 |                     id: columnHeader.id,
  40 |                     info:{
  41 |                         trackId:columnHeader.id,
</code></pre>

<p>This forces me to have two config blocks for JS and JSX files, one with <code>env</code>, and another with <code>react</code>, respectively. However the above syntax seems innocuous enough. Do you think it’s a bug or is there something I am missing?</p>
","1398008","","1398008","","2017-04-14 11:06:40","2017-04-14 11:26:40","Babel-preset-react breaks conditional Array.map with ternary operator","<javascript><reactjs><ecmascript-6><babeljs>","1","3","","",""
"34409371","1","","","2015-12-22 05:59:46","","1","67","<p>I don't understand why they offer to install and run <a href=""https://github.com/petehunt/react-boilerplate"" rel=""nofollow"">react-boilerplate</a>. I read their <a href=""http://facebook.github.io/flux/docs/todo-list.html"" rel=""nofollow"">tutorial Todo-List</a>:</p>

<blockquote>
  <p>... and we can build off of <code>react-boilerplate</code> to get up and running quickly</p>
</blockquote>

<p>and a little below </p>

<blockquote>
  <p>The TodoMVC example has all this built into it as well...</p>
</blockquote>

<p>What is the reason then to a) mention about <code>react-boilerplate</code>, b) offer to install it?</p>

<p>But, ok, I decide to install and try <code>react-boilerplate</code>. And there is nothing worth attention in that package. No any serious code, no any <code>.html</code>, no any server to run and see what the app does.</p>

<p>They write about <code>react-boilerplate</code>:</p>

<blockquote>
  <p>Next run the npm scripts to get up and running: <code>npm install</code>, then <code>npm run build</code>, and lastly <code>npm start</code> to continuously build using Browserify</p>
</blockquote>

<p>But that is not true. <code>react-boilerplate</code> doesn't have Browserify. It doesn't use it in any way. It has <code>src\index.js</code> file:</p>

<pre><code>/** @jsx React.DOM */
var React = require('react');
var requireStylesheet = require('stylesheets').requireStylesheet;

requireStylesheet(process.env.STATIC_ROOT + 'MyComponent.css');

var MyComponent = React.createClass({
  render: function() {
    return &lt;span className=""MyComponent""&gt;Hello, MyComponent!&lt;/span&gt;;
  }
});

module.exports = MyComponent;
</code></pre>

<p>The file has <code>require</code>s. If, as they say, <code>react-boilerplate</code> uses Browserify then Browserify should create some large compiled <code>bundle.js</code> file with all requires inside. But it doesn't. It only compiles React components:</p>

<pre><code>/** @jsx React.DOM */
var React = require('react');
var requireStylesheet = require('stylesheets').requireStylesheet;

requireStylesheet(process.env.STATIC_ROOT + 'MyComponent.css');

var MyComponent = React.createClass({displayName: 'MyComponent',
  render: function() {
    return React.DOM.span( {className:""MyComponent""}, ""Hello, MyComponent!"");
  }
});

module.exports = MyComponent;
</code></pre>

<p>Why <code>Flux Tutorial – Todo List</code> does offer to install <code>react-boilerplate</code>? How does <code>react-boilerplate</code> use Browserify?</p>
","1114926","","","","","2015-12-22 06:08:53","Flux TodoMVC: what for do they offer to install and run ""react-boilerplate""?","<reactjs><reactjs-flux>","1","1","","",""
"50254551","1","","","2018-05-09 13:24:44","","0","50","<p>I have a react app which connects to a backend node.js. 
It works fine with <code>http</code> but when I enforce <code>httpS</code>, I get this error in the console:</p>

<blockquote>
  <p>Mixed Content: The page at '' was loaded over HTTPS, but requested an insecure XMLHttpRequest endpoint ''. This request has been blocked;
  the content must be served over HTTPS.</p>
</blockquote>

<p>Here is my react configs</p>

<pre><code>const config = {
  api:{
    host: 'http://localhost:3000',
    sentinel: null // keep always last
  },
  auth: {
    cookieDomain: 'domain.com',
    tokenPrefix: 'domain',
    userStorageKey: 'aaabbb',
    sentinel: null // keep always last
  },
  captcha: {
    siteKey: '',
    sentinel: null // keep always last
  },
  search: {
    searchEngine: null,
    sentinel: null // keep always last
  },
  siteDomains: [ // for transform links in the posts, comments, etc.
    'domain.com'
  ],
  sentry: {
    publicDSN: null,
    sentinel: null // keep always last
  },
  frontendPreferences: {
    clientId: 'net.domain',
    defaultValues: {
      displayNames: {
        displayOption: FrontendPrefsOptions.DISPLAYNAMES_DISPLAYNAME,
        useYou: true
      },
      realtimeActive: false,
      comments: {
        omitRepeatedBubbles: true,
        highlightComments: true,
        hiddenTypes: []
      },
      allowLinksPreview: false,
      readMoreStyle: 'modern',
      homefeed: {
        hideUsers: []
      }
    }
  }
};
</code></pre>

<p>And my nginx config to handle the api:</p>

<pre><code>server {
       listen      api.domain.com:80;
    server_name  api.domain.com;
    return 301   https://$server_name$request_uri;
}

server {

ssl on;

  listen api.domain.com:443;
  server_name api.domain.com;


ssl_certificate /etc/ssl/certs/mycerts/ssl-bundle.crt;
ssl_certificate_key /etc/ssl/certs/mycerts/private/myserver.key;

ssl_protocols SSLv3 TLSv1;
ssl_ciphers ALL:!aNULL:!ADH:!eNULL:!LOW:!EXP:RC4+RSA:+HIGH:+MEDIUM;

  location / {
   proxy_pass http://localhost:3000;
   proxy_http_version 1.1;
   proxy_set_header X-Forwarded-Proto https;
   proxy_set_header Upgrade $http_upgrade;
   proxy_set_header Connection 'upgrade';
   proxy_set_header Host $host;
   proxy_cache_bypass $http_upgrade;

  }
}
</code></pre>

<p>Appreciate your hints to resolve this. </p>
","6382686","","","","","2018-05-09 13:24:44","How to ssl for api calls from react to backend?","<node.js><reactjs><ssl><nginx>","0","0","","",""
"34427990","1","","","2015-12-23 03:05:14","","0","197","<p>I've used ""redux generator"" from yeoman and installed things. </p>

<p>When I run ""npm start"", the project loads but displays this log</p>

<p>ERROR in ./js/index.js
Module build failed: ReferenceError: The plugin ""react.displayName"" collides with another of the same name
    at PluginManager.validate (/Users/acejordan/Projects/redcli/node_modules/babel-core/lib/transformation/file/plugin-manager.js:159:13)
    at PluginManager.add (/Users/acejordan/Projects/redcli/node_modules/babel-core/lib/transformation/file/plugin-manager.js:213:10)
    at File.buildTransformers (/Users/acejordan/Projects/redcli/node_modules/babel-core/lib/transformation/file/index.js:237:21)
    at new File (/Users/acejordan/Projects/redcli/node_modules/babel-core/lib/transformation/file/index.js:139:10)
    at Pipeline.transform (/Users/acejordan/Projects/redcli/node_modules/babel-core/lib/transformation/pipeline.js:164:16)
    at transpile (/Users/acejordan/Projects/redcli/node_modules/babel-loader/index.js:12:22)
    at Object.module.exports (/Users/acejordan/Projects/redcli/node_modules/babel-loader/index.js:71:12)
 @ multi main</p>

<p>Please help. Thanks</p>
","2454095","","","","","2016-01-21 23:34:37","ReferenceError: The plugin ""react.displayName"" collides with another of the same name","<reactjs><yeoman><redux>","1","1","","",""
"35177157","1","35177594","","2016-02-03 12:29:45","","1","223","<p>Hello guys I am having problem with solving this task in Reactjs not familiar with JSX and there is not many JS tutorials. Could anyone help me solving this issue i want to make a loop inside users with nested users list nesting deep is max 3. </p>

<p>here is my code example:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var testData = [{
  ""username"": ""test1"",
  ""users"": [{
    ""username"": ""test2"",
    ""users"": null
  }, {
    ""username"": ""test3"",
    ""users"": null
  }, {
    ""username"": ""test4"",
    ""users"": [{
      ""username"": ""test2"",
      ""users"": null
    }, {
      ""username"": ""test3"",
      ""users"": null
    }, {
      ""username"": ""test4"",
      ""users"": null
    }]
  }]
},{
  ""username"": ""test2"",
  ""users"": [{
    ""username"": ""test2"",
    ""users"": null
  }, {
    ""username"": ""test3"",
    ""users"": null
  }, {
    ""username"": ""test4"",
    ""users"": [{
      ""username"": ""test2"",
      ""users"": null
    }, {
      ""username"": ""test3"",
      ""users"": null
    }, {
      ""username"": ""test4"",
      ""users"": null
    }]
  }]
}];


function handleClick(item) {
    console.log(item);
};

var Tester = React.createClass({
  displayName: 'Tester',
  render: function render() {
    return React.createElement(
      'ol', {
        id: ""user-list"",
        'className': ''
      },
      this.props.users.map(function(item, i) {
        return React.createElement(
          'li',
          {
            'className': '',
            id: ""user-li-"" + i,
            onClick: handleClick.bind(this, item),
            key: i
          },
          item.username
          //here should be next nest?
        )
      })
    );
  }
});
React.render(React.createElement(Tester, {
  users: testData
}), document.getElementById('example'));</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;!DOCTYPE html&gt;
&lt;html&gt;

  &lt;head&gt;
    &lt;script src=""https://cdnjs.cloudflare.com/ajax/libs/react/0.14.7/react.js"" data-semver=""0.14.7"" data-require=""react@*""&gt;&lt;/script&gt;
    &lt;script src=""http://code.jquery.com/jquery-2.1.4.min.js""&gt;&lt;/script&gt;
    &lt;link href=""style.css"" rel=""stylesheet"" /&gt;
  &lt;/head&gt;

  &lt;body&gt;
    &lt;div id=""example""&gt;&lt;/div&gt;
  &lt;/body&gt;

&lt;/html&gt;</code></pre>
</div>
</div>
</p>
","5877822","","","","","2016-02-03 12:50:46","if inside loop of reactjs element in map function","<javascript><reactjs>","1","0","","",""
"24806152","1","24807181","","2014-07-17 14:20:36","","0","1021","<p>I want to implement one way binding in react.js.</p>

<p>I have <strong>chatHistory</strong> variable: </p>

<pre><code>   var chatHistory = [{ Author: ""Daniel Lo Nigro"", Text: ""Hello ReactJS.NET World!"" },
      { Author: ""Pete Hunt"", Text: ""This is one comment"" },
      { Author: ""Jordan Walke"", Text: ""This is *another* comment"" }];
</code></pre>

<p>and I want react to update the <strong>DOM</strong> if <strong>chatHistory</strong> variable will change.</p>

<p>Here is the code I have:</p>

<pre><code>var converter = new Showdown.converter();
var Comment = React.createClass({
    displayName: 'Comment',
    render: function () {
        var rawMarkup = converter.makeHtml(this.props.children.toString());
        return (
          React.DOM.div({ className: ""comment"" },
            React.DOM.h2({ className: ""commentAuthor"" },
              this.props.author
            ),
            React.DOM.span({ dangerouslySetInnerHTML: { __html: rawMarkup } })
        )
      );
    }
});

var CommentList = React.createClass({
    displayName: 'CommentList',
    render: function () {
        var commentNodes = chatHistory.map(function (comment) {
            return Comment({ author: comment.Author }, comment.Text);
        });
        return (
          React.DOM.div({ className: ""commentList"" },
            commentNodes
          )
      );
    }
});

var CommentBox = React.createClass({
    displayName: 'CommentBox',
    render: function () {
        return (
          React.DOM.div({ className: ""commentBox"" },
            React.DOM.h1(null, ""Comments""),
            CommentList()
          )
      );
    }
});

React.renderComponent(CommentBox(),document.getElementById('content'));
</code></pre>

<p>React change the DOM only after calling <code>React.renderComponent(CommentBox(),document.getElementById('content'));</code> and not automatically via one way binding.</p>

<p>How to force react to refresh DOM when <strong>chatHistory</strong> variable changes?</p>
","1913629","","","","","2014-07-17 15:04:57","How to implement one way binding in react.js?","<reactjs>","1","0","1","",""
"25499083","1","25552850","","2014-08-26 06:02:35","","2","869","<p>I develop test project from Rails and React.</p>

<p>I have root component from react:</p>

<pre><code># chat_app.js.jsx.coffee
###* @jsx React.DOM ###
@ChatApp = React.createClass

displayName: 'chatApp'

render: -&gt;

    return (
        `&lt;div className=""chatApp""&gt;
            &lt;h1&gt;React Chat App Example&lt;/h1&gt;
            &lt;div class=""row""&gt;
                &lt;div&gt;&lt;MessageList /&gt;&lt;/div&gt;
            &lt;/div&gt;
        &lt;/div&gt;`
        )

React.renderComponent(
  window.ChatApp(null),
  document.getElementById('chatApp')
)
</code></pre>

<p>and I have another component:</p>

<pre><code># message_list.js.jsx.coffee
###* @jsx React.DOM ###
@MessageList = React.createClass

    displayName: 'messageList'

    render: -&gt;
        return (
            `&lt;div className=""messageList""&gt;
                qwe
            &lt;/div&gt;`
            )
</code></pre>

<p>But in browser I have: Uncaught ReferenceError: MessageList is not defined</p>

<p>How I can connect MessageList to ChatApp?</p>
","2365407","","","","","2014-08-28 15:41:54","Connect reactjs component from another file","<ruby-on-rails><coffeescript><reactjs>","1","2","","",""
"43936984","1","","","2017-05-12 11:42:36","","0","53","<p>I have react-native code with mobx like below, as you guys see, I need reference <code>this.props.store.user.avatar</code> to get deep object value from props, I don't wanna use the long syntax repeatedly, I know I can let it be a instance variable in constructor for example2, but I find that's a anti-pattern by the <a href=""http://reactjs.cn/react/tips/props-in-getInitialState-as-anti-pattern.html"" rel=""nofollow noreferrer"">posts</a>, it actually occurs some side-effect by my experiment cause the constructor execute only once when components initial, so I use the third way for example3, as you like, I create function in components and return the value by the long syntax, that's what can I do in my best, but I don't like this way, it looks not elegant, so anyone has better suggest or solution/way?</p>

<h1>Example1 : My question</h1>

<pre><code>@observer
export default class Profile extends Component {
  constructor(props) {
    super(props);
  }

 render() {
    return(
        &lt;BasicInfo 
          avatar = { this.props.store.user.avatar }
          displayName = { this.props.store.user.displayName  } 
          location = { this.props.store.user.location }
        /&gt;
        )
  }
}
</code></pre>

<h1>Example2 : Anti-Pattern</h1>

<pre><code>@observer
export default class Profile extends Component {
  constructor(props) {
    super(props);
    this.avatar = this.props.store.user.avatar
    this.displayName = this.props.store.user.displayName
    this.location = this.props.store.user.location
  }

 render() {
    return(
        &lt;BasicInfo 
          avatar = { this.avatar }
          displayName = { this.displayName  } 
          location = { this.location }
        /&gt;
        )
  }
}
</code></pre>

<h1>Example3 : Anti-Pattern</h1>

<pre><code>@observer
export default class Profile extends Component {
  constructor(props) {
    super(props);
    this.state = {
      avatar: this.props.store.user.avatar,
      displayName: his.props.store.user.displayName,
      location: this.props.store.user.location,
    }
  }

 render() {
    return(
        &lt;BasicInfo 
          avatar = { this.state.avatar }
          displayName = { this.state.displayName  } 
          location = { this.state.location }
        /&gt;
        )
  }
}
</code></pre>

<h1>Example 4 : It work, but exist better way?</h1>

<pre><code>@observer
export default class Profile extends Component {
  constructor(props) {
    super(props);
  }

  avatar(){ return this.props.store.user.avatar}
  displayName(){ return this.props.store.user.displayName}
  location(){ return this.props.store.user.location}

 render() {
    return(
        &lt;BasicInfo 
          avatar = { this.avatar() }
          displayName = { this.displayName()  } 
          location = { this.location() }
        /&gt;
        )
  }
}
</code></pre>

<h1>Example 5 : This is a good way, but it not work on callback</h1>

<pre><code>@observer
export default class Profile extends Component {
  constructor(props) {
    super(props);
  }

callback = () =&gt; {
  Actions.aboutMeEdit({ avatar: user.avatar })
  // there are not work
}


render() {
  const { user } = this.props.store;
  return(
    &lt;BasicInfo 
      avatar = { user.avatar }
      displayName = { user.displayName  } 
      location = { user.location }
      callback = { this.callback }
    /&gt;
    )
  }
}
</code></pre>
","5078051","","5078051","","2017-05-12 11:58:54","2017-05-12 12:22:05","How to reduce the repeat object.chain in react-native?","<javascript><react-native><mobx><mobx-react>","2","1","","",""
"43126987","1","43127169","","2017-03-30 19:42:32","","0","209","<p>I'm new to react and I'm trying to understand on to make async ajax request. I was able to get the request completed and the data returned added to my state, but I can't render the data to my component. Here's my setup.</p>

<h3>UserPage component</h3>



<pre class=""lang-js prettyprint-override""><code>import React, { Component } from 'react';
import { connect } from 'react-redux';
import { bindActionCreators } from 'redux';
import { getUsers } from '../../actions';

class User extends Component {
    displayName: 'User';

    componentWillMount() {
        this.props.getUsers();
    }

    renderUsers() {
        return this.props.users.map(user =&gt; {
            return (
                &lt;h5&gt;{user.Name}&lt;/h5&gt;
            );
        });
    }

    render() {
        var component;
        if (this.props.users) {
            component = this.renderUsers()
        } else {
            component = &lt;h3&gt;asdf&lt;/h3&gt;;
        }

        return (            
            &lt;div&gt;
                {component}
            &lt;/div&gt;

        );
    };
};

function mapStateToProps(state) {
    return {
        users: state.all
    };
}

export default connect(mapStateToProps, { getUsers })(User);
</code></pre>

<h3>Action</h3>

<pre class=""lang-js prettyprint-override""><code>import request from '../helpers/request';
import { GET_USERS } from './types';

export function getUsers() {

    return request.get(GET_USERS, 'Person/GetPeople');
}
</code></pre>

<p>With the get function from request.js module</p>

<pre class=""lang-js prettyprint-override""><code>get: function (action, url) {
        return (dispatch) =&gt; {
            axios.get(`${ROOT_URL}${url}`)
                .then(({ data }) =&gt; {
                    dispatch({
                        type: action,
                        payload: data
                    });
                });
        };
    }
</code></pre>

<h3>User_reducer</h3>

<pre class=""lang-js prettyprint-override""><code>import { GET_USERS } from '../actions/types';

export default function (state = {}, action) {
    switch (action.type) {
        case GET_USERS:
            console.log(action);
            return { ...state, all: action.payload }
        default:
            return state;
    };
}
</code></pre>

<p>When I load the UserPage component, I can see the request being done and the state being updated in the redux dev tool, but I can't display this.props.users.</p>

<p>If I take out the if(this.props.users) in the render() method of the User component, I get an undefined on this.props.users.</p>

<p>What am I doing wrong?</p>

<p>Any help greatly appreciated! Thank you</p>

<h1>SOLVED</h1>

<p>The solution was to set the users property to state.users.all in the mapStateToProps function.</p>

<pre class=""lang-js prettyprint-override""><code>function mapStateToProps(state) {
    return {
        users: state.users.all
    };
}
</code></pre>

<p>Thank you</p>
","1552198","","1552198","","2017-03-30 23:50:07","2017-03-30 23:50:07","react redux-thunk component doesn't render this.props","<javascript><reactjs><redux><jsx><redux-thunk>","1","2","1","",""
"43840905","1","","","2017-05-08 06:13:27","","2","439","<p>I need to initialize form data from state - but because i have 2 containers, one <code>graphql</code> container and one <code>redux</code> container, I'm not sure how to do it. I am also using <code>&lt;Form /&gt;</code> from <code>semantic-ui-react</code>.</p>

<p>When component is rendered, the <code>console.log</code>'s from action is displayed; however, form data is not loaded with initial values. Can you help?</p>

<p><strong>UserEditComponent.js</strong></p>

<pre><code>const UserEditComponent = (props) =&gt; {

  const { initialValues, loadFormData, handleSubmit, createUser } = props;

  // initialize form w/ data - Not Working!
  loadFormData(initialValues);

  const submitForm = async (data) =&gt; {
    const result = await createUser(data);
    return result;
  };

  return (
    &lt;div id='new-user'&gt;
      &lt;Form className='newUserForm' onSubmit={ handleSubmit(submitForm.bind(this)) }&gt;

        &lt;h3 className='group-title'&gt;Information&lt;/h3&gt;
        {
          RenderFieldArrays(formGroup1)
        }

        &lt;Button className='heavy' type='submit' primary&gt;
          Continue
        &lt;/Button&gt;
      &lt;/Form&gt;
    &lt;/div&gt;
  );
};

UserEditComponent.displayName = 'UserEditComponent';

UserEditComponent.propTypes = {
  handleSubmit: React.PropTypes.func,
  createUser: React.PropTypes.func.isRequired,
  initialValues: React.PropTypes.object,
  loadFormData: React.PropTypes.func
};

let InitializeFromStateForm = reduxForm({
  form: 'initializeFromState',
  enableReinitialize: true
})(UserEditComponent);

InitializeFromStateForm = connect(
  state =&gt; ({ initialValues: state.overlay.content.props }),
  dispatch =&gt; ({
    loadFormData: data =&gt; {
      console.log('------ inside loadFormData!');
      dispatch({
        type: types.LOAD,
        payload: data
      });
    }
  })
)(InitializeFromStateForm);

export default InitializeFromStateForm;`
</code></pre>

<p><strong>RenderFieldArrays.js</strong></p>

<pre><code>const RenderFieldArrays = (formGroup) =&gt; {
  return formGroup.map( (val, ind) =&gt; {
    return (
      &lt;FieldArray
        key={ ind }
        name={ ind.toString() }
        formGroup={ val }
        component={ RenderFormGroup }
      /&gt;
    );
  });
};

RenderFieldArrays.propTypes = {
  formGroup: PropTypes.array.isRequired
};

export default RenderFieldArrays;
</code></pre>

<p><strong>UserEditContainer.js</strong></p>

<pre><code>const gqlArgs = {
  props: ({ mutate }) =&gt; ({
    createUser: async function test(data) {
      try {
        const user = getUser(data);
        const result = await mutate(user);
      } catch (err) {
        console.log('GQL Error: ', err);
      }
    }
  })
};

// ## GraphQL container

const gqlMemberEdit = graphql(
  UserEditMutation,
  gqlArgs
)(InitializeFromStateForm);


export const UserEditPopup = connect(
  state =&gt; { ... },
  dispatch =&gt; { ... }
)(gqlMemberEdit);
</code></pre>

<p><strong>reducer_userEdit.js</strong></p>

<pre><code>export const types = Object.freeze({
  LOAD: 'LOAD'
});

// Default State
const DEF_STATE = {
  firstName: null,
  lastName: null
};

export const reducer = (state = DEF_STATE, action) =&gt; {
  let newState;
  switch (action.type) {
    case types.LOAD:
      console.log('---- inside LOAD! action.payload: ', action.payload);
      newState = {
        data: {
          firstName: 'hello',
          lastName: 'test'
        }
      };
      break;
    default:
      newState = state;
  }
  return newState;
};

export const loadFormData = data =&gt; {
  console.log('----- inside loadFormData!');
  return {
    type: types.LOAD,
    payload: data
  };
};
</code></pre>
","5485285","","5485285","","2017-05-08 20:14:58","2017-05-11 20:58:07","Cannot initialize form data using redux-form, react-apollo, and graphql","<reactjs><redux><graphql><redux-form><apollo>","1","3","","",""
