Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"35264643","1","35264828","","2016-02-08 07:49:00","","0","54","<p>I've frequently encountering dynamic components not being able to update each other directly. Multiple models that update each other's attributes but not their views.</p>

<pre><code>model2View.onClick=() {
  model1.change;
  model1View.forceUpdate();
}
</code></pre>

<p>i've often resorted to throwing in callback functions into the mix which is just a wrapper that updates the model and forceupdate the overhead view after change.</p>

<p>it gets worse when the model update is a modelside function that updates more than one model, in which case I've been using the nearest ancester view to perform the forceupdate.</p>

<pre><code>model2View.onClick=() {
   the following 3 could be wrapped in one method on model1
  model1.change;
  model2.change;
  model3.change;

  modelsWrapperView.forceUpdate();
}
</code></pre>

<p>After many force updates, I am just wondering if that's the way react was meant to be used or I'm missing something.</p>

<p>Here's an oversimplified example of the problem i'm trying to solve:</p>

<p><a href=""https://jsfiddle.net/x3azn/ann6qb30/1/"" rel=""nofollow"">https://jsfiddle.net/x3azn/ann6qb30/1/</a></p>
","2167582","","","","","2016-02-08 08:02:34","How to have different react components share and acknowledge each other's states?","<reactjs>","1","0","","",""
"44082014","1","44082330","","2017-05-20 04:46:38","","1","3715","<p>I've always used react-redux <code>connect</code> to configure props but I need to use a react <code>Component</code> to use lifecycle methods. I'm noticing that my props that I'm grabbing from the store seem to be static and they do not update as the store updates.</p>

<p>Code:</p>

<pre class=""lang-js prettyprint-override""><code>class AlertModal extends Component {

  title
  isOpen
  message

  componentDidMount() {
    const { store } = this.context
    const state = store.getState()
    console.log('state', state)
    console.log('store', store)
    this.unsubscribe = store.subscribe(() =&gt; this.forceUpdate())
    this.title = state.get('alertModal').get('alertModalTitle')
    this.isOpen = state.get('alertModal').get('isAlertModalOpen')
    this.message = state.get('alertModal').get('alertModalMessage')
    this.forceUpdate()
  }

  componentWillUnmount() {
    this.unsubscribe()
  }

  updateAlertModalMessage(message) {
    this.context.store.dispatch(updateAlertModalMessage(message))
  }
  updateAlertModalTitle(title) {
    this.context.store.dispatch(updateAlertModalTitle(title))
  }

  updateAlertModalIsOpen(isOpen) {
    this.context.store.dispatch(updateAlertModalIsOpen(isOpen))
  }

  render() {

    console.log('AlertModal rendered')
    console.log('AlertModal open', this.isOpen) &lt;======= stays true when in store it is false

    return (
      &lt;View
</code></pre>

<p>How do I set up <code>title</code>, <code>isOpen</code>, and <code>message</code> so they reflect the store values at all times?</p>
","3935156","","2054072","","2017-05-20 16:12:47","2018-07-20 18:46:16","react props not updating with redux store","<reactjs><react-native><redux><react-redux>","3","3","","",""
"48363742","1","","","2018-01-21 04:37:52","","0","95","<p>I have basic hello world react component rendering
inside my rails app.</p>

<p>I'm trying to make the component redraw, so that it picks up (via Ajax) some data changes that happened in the Postgres database.</p>

<p>From the chrome developer console, how can I get a ""reference""
to the react component, so that I can call the .forceUpdate() method of the component?</p>

<p>My code:</p>

<pre><code>// ideas from https://medium.com/@hpux/rails-5-1-loves-javascript-a1d84d5318b
// app/javascript/packs/hello_react.jsx 
import React from 'react'                                                                                    
import ReactDOM from 'react-dom'                                                                             
class Hello extends React.Component {
  // stuff ...
}

document.addEventListener(""DOMContentLoaded"", e =&gt; {                                                       
  ReactDOM.render(&lt;Hello name=""React"" /&gt;, document.getElementById('my-div'))                       
})
</code></pre>

<p>What I tried</p>

<p>changing </p>

<pre><code>ReactDOM.render(&lt;Hello name=""React"" /&gt;, document.getElementById('my-div'))      
</code></pre>

<p>to </p>

<pre><code>var foo = ReactDOM.render(&lt;Hello name=""React"" /&gt;, document.getElementById('my-div'))      
</code></pre>

<p>Then in the developer console, I did</p>

<pre><code>foo
</code></pre>

<p>I got</p>

<blockquote>
  <p>Uncaught ReferenceError: foo is not defined
      at :1:1 (anonymous) @ VM4867:1</p>
</blockquote>

<p>Update:</p>

<p>I tried this in the chrome dev console</p>

<pre><code>&gt; ReactDOM
</code></pre>

<p>I got</p>

<pre><code>VM4871:1 Uncaught ReferenceError: ReactDOM is not defined
    at &lt;anonymous&gt;:1:1
(anonymous) @ VM4871:1
</code></pre>

<p>Update: I found a hakish solution, hoping someone can offer better:</p>

<pre><code>constructor() { super(); if ( window ) { window.myThing = this; } }
</code></pre>
","3618156","","3618156","","2018-01-21 05:06:38","2018-01-21 05:52:53","Can I get a reference to jsx react component so I can I forceUpdate/rerender react component from the chrome developer console?","<ajax><reactjs><render><jsx>","2","0","","",""
"47039987","1","","","2017-10-31 16:17:25","","0","65","<p>I am trying to use the react-howler component installed from npm and i am getting this error when i try to use the component.</p>

<blockquote>
  <p>Expected a component class, got [object, Object].</p>
</blockquote>

<p>Everything builds , but when I run npm start and go over to the localhost, my other components don't load and this error shows up int eh console.</p>

<p>index.vr.js:</p>

<pre><code>import React, {Component} from 'react';
import qs from 'query-string';
import ReactHowler from 'react-howler';
import Canvas from './Components/Canvas';
import UI from './Components/UI';

import {
  AppRegistry,
  asset,
  Pano,
  Text,
  View,
  Mesh,
  Video,
  VideoPano,
  VideoControl,
  MediaPlayerState,
  StyleSheet,
  Easing ,
  Animated,
} from 'react-vr';


var styles = StyleSheet.create({
  container: 
  {
    transform: [{rotateX: -12},{translate: [-.3, 1, -2.8]}],
    height: .7, width: .7 ,
  }
});

/* index.vr.js */


export default class WelcomeToVR extends React.Component {
      constructor(props) {
    super(props);
    this.spinValue = new Animated.Value(0),
    this.state = {
      src: '009 Une dernière chose.mp4',
      playerState: new MediaPlayerState({ autoPlay: false, muted: false }),
      scenes: [{scene_image: '009 Une dernière chose.mp4', navigations: [{ rotateX: 0 , rotateY: 0, rotateZ: 0 }] }],
      current_scene:{},
      sound: 'sound.ogg'
    }


//transform: {[{rotateX: 0},translate: {[-.3, 1, -2.8]} ]} 
//transform: [{ rotateX: 30 , rotateY: 0, rotateZ: 0 }] }],
  }

//functions  


    componentWillMount(){
    this.setState({current_scene: this.state.scenes[0]})
  }

    onPanoInput(e){
    if (e.nativeEvent.inputEvent.eventType === 'keydown'){
      this.rotatePointer(e.nativeEvent.inputEvent)
    }
  }

    rotatePointer(nativeEvent){
      switch (nativeEvent.keyCode) {
          //arrow keys
        case 38:

                this.state.current_scene.navigations[0]['rotateX'] -= 1;


          console.log(this.state.current_scene.navigations[0]['rotateX']);
        break;
        case 39:



                this.state.current_scene.navigations[0]['rotateY'] += 1;

                  console.log(this.state.current_scene.navigations[0]['rotateY']);
        break;
        case 37:

            this.state.current_scene.navigations[0]['rotateY'] -= 1;

                  console.log(this.state.current_scene.navigations[0]['rotateY']);
        break;
        case 40:

                this.state.current_scene.navigations[0]['rotateX'] += 1;
                  console.log(this.state.current_scene.navigations[0]['rotateZ']);
        break;

          // wasd
        case 87:

                this.state.current_scene.navigations[0]['rotateX'] -= 1;


          console.log(this.state.current_scene.navigations[0]['rotateX']);
        break;
        case 68:

                this.state.current_scene.navigations[0]['rotateY'] += 1;

                  console.log(this.state.current_scene.navigations[0]['rotateY']);
        break;
        case 65:

                this.state.current_scene.navigations[0]['rotateY'] -= 1;

                  console.log(this.state.current_scene.navigations[0]['rotateY']);
        break;
        case 83:

                this.state.current_scene.navigations[0]['rotateX'] += 1;

                  console.log(this.state.current_scene.navigations[0]['rotateZ']);
        break;
        default:
        return;
      }
      this.forceUpdate();
  }

 lerp (start, end, amt){
  return (1-amt)*start+amt*end
}

  render() {

    return (

        &lt;View onInput={this.onPanoInput.bind(this)}&gt;
            &lt;VideoPano source={asset(this.state.current_scene['scene_image'])}
                playerState={this.state.playerState}  
                style=
                { 
                    {transform: [
                                {rotateX: this.state.current_scene.navigations[0]['rotateX']},
                                {rotateY: this.state.current_scene.navigations[0]['rotateY']},
                                {rotateZ: this.state.current_scene.navigations[0]['rotateZ']}
                    ]}
                }
            /&gt;
            &lt;ReactHowler
              src={this.state.sound}
              playing={true}
            /&gt;
            &lt;VideoControl 
                style={styles.container}
                playerState={this.state.playerState}
            /&gt;


        &lt;/View&gt;
    );
  }
};

AppRegistry.registerComponent('WelcomeToVR', () =&gt; WelcomeToVR);
</code></pre>

<p>Thanks any info or tips would be greatly appreciated, almost at the point of giving up on spatial audio for my react 360 player app.</p>
","6575837","","","","","2017-10-31 16:17:25","ReactVR using react-howler for spatial audio","<javascript><npm><webvr><react-vr>","0","1","","",""
"51340674","1","51340755","","2018-07-14 15:07:49","","1","33","<p>I'm relatively new to React. I've used it for building a very simple app. I'm trying to add a small feature, but running into following error message. I don't quite understand the root cause yet.</p>

<p><code>
Can't call setState (or forceUpdate) on an unmounted component. This is a no-op, but it indicates a memory leak in your application. To fix, cancel all subscriptions and asynchronous tasks in the componentWillUnmount method.
</code></p>

<p>Here's what I'm trying to do. My app has a backend server that provides various APIs, which returns JSON. I'm using React as frontend/client that calls those APIs and renders them.</p>

<p>I have a Parent component named <code>MyReport</code> which uses <code>componentDidMount</code> to call an API to fetch some data. Then in the render method, I pass the data to  another component named <code>MyReportViewer</code>. This component has various other child components such as a Calendar that allows selecting date, a component that shows the data in a table format, a component that shows the same data as a chart.</p>

<p>Now I'm trying to add another child component called <code>MyReportSummary</code> that will be displayed alongside the other components rendered by <code>MyReportViewer</code>.</p>

<p><code>MyReportSummary</code> needs to call another API to fetch some data. This is what it looks like:</p>

<pre><code>import React, { Component } from 'react';

class MyReportSummary extends Component {

    constructor(props) {
        super(props);
        this.state = {
            projectInfo: null,
            isLoading: false,
            error: null
        };
    }

    componentDidMount() {
        this.setState({ isLoading: true });

        let projectInfoApi;

        projectInfoApi = '/api/projects/' + this.props.projectId;

        fetch(projectInfoApi)
            .then(response =&gt; {
                if (response.ok) {
                    return response.json();
                } else {
                    throw new Error('Encountered problem fetching project info')
                }
            })
            .then(data =&gt; this.setState({
                projectInfo: data
            }))
            .catch(fetchError =&gt; this.setState({
                isLoading: false,
                error: fetchError
            }));
    }

    componentWillUnmount() {
        // this.setState({
        //     projectInfo: null
        // });
    }

    render() {
        const { isLoading, error } = this.state;

        if (error) {
            return &lt;p&gt;{error.message}&lt;/p&gt;
        }

        if (isLoading) {
            return &lt;p&gt;Loading...&lt;/p&gt;
        }

        return (
            &lt;div className=""myReportSummary""&gt;
                 Summary of Project name: {projectInfo.name}                    
                 Number of events: {this.props.data.length}
            &lt;/div&gt;
        );
  }
}

export default MyReportSummary;
</code></pre>

<p>I've read that I need to use <code>componentWillUnmount</code> to reset everything, but I'm not sure what exactly I need to reset here and why in this case I need to do it because I don't think I'm trying to change the component after it's been loaded or rendered already.</p>
","6450957","","","","","2018-07-16 10:05:22","Cannot fetch data from an API using componentDidMount: Can't call setState (or forceUpdate) on an unmounted component","<javascript><reactjs>","1","0","","",""
"48890036","1","","","2018-02-20 16:37:54","","0","42","<p>I have a table in my jsx that renders a league table. I want to now show the ""form"" of each team. i.e. the last 5 games.</p>

<p>I have a method that works this out (called form)</p>

<pre><code> const LeagueTable = ({ teams, form }) =&gt; (
  &lt;table className=""leagueTable""&gt;
    &lt;thead&gt;
      &lt;tr className=""tableRow""&gt;
        &lt;th&gt;#&lt;/th&gt;
        &lt;th&gt;Name&lt;/th&gt;
        &lt;th&gt;P&lt;/th&gt;
        &lt;th&gt;W&lt;/th&gt;
        &lt;th&gt;D&lt;/th&gt;
        &lt;th&gt;L&lt;/th&gt;
        &lt;th&gt;F&lt;/th&gt;
        &lt;th&gt;A&lt;/th&gt;
        &lt;th&gt;GD&lt;/th&gt;
        &lt;th&gt;Pts&lt;/th&gt;
        &lt;th&gt;Form&lt;/th&gt;
      &lt;/tr&gt;
    &lt;/thead&gt;
    &lt;tbody&gt;
      {teams.sort((a, b) =&gt; (
          (b.points) - (a.points)
      )).map((team, index) =&gt; (
        &lt;tr key={index} className=""tableRow""&gt;
         &lt;td className=""stats""&gt;{index + 1}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.name}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.won + team.lost + team.drawn}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.won}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.drawn}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.lost}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.goalsScored}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.goalsAgainst}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.goalsScored - team.goalsAgainst}&lt;/td&gt;
         &lt;td className=""stats""&gt;{team.points}&lt;/td&gt;
         &lt;td className=""stats""&gt;{form(team)}&lt;/td&gt;
       &lt;/tr&gt;
     ))}
    &lt;/tbody&gt;
 &lt;/table&gt;
);
</code></pre>

<p>this is the method:</p>

<pre><code> form = (team) =&gt; {
    let lastFiveMatches;
    return team &amp;&amp; team.matches ?
      lastFiveMatches = Object.values(this.props.teams.find(t =&gt; t.name === team.name).matches).sort(this.compare).reverse().slice(0, 5).map((match) =&gt; {
        if(match.winner === team.name){
          return 'W ';
        }
        else if(match.winner !== team.name){
          return 'L ';
        }
        else {
          return 'D ';
        }
      })
    :
    '---'
  }
</code></pre>

<p>basically it all works but since adding this method to my table, it only updates my table on refresh rather than instantly (which is what it was doing before)</p>

<p>can anyone explain why it is doing this and how I can change it back?</p>

<p>when I get rid of <code>&lt;td className=""stats""&gt;{form(team)}&lt;/td&gt;</code> it instantly works again so I know this method call is the problem</p>

<p>I have tried adding <code>this.forceUpdate()</code> and <code>this.setState(this.state)</code> to force a re-render but it looks like this causes react to blow up and I get the <code>cannot update during an existing state transition</code> error. </p>
","8205526","","8205526","","2018-02-20 16:52:42","2018-02-20 20:38:24","How to get react to update when calling a method from JSX?","<javascript><reactjs><jsx>","1","7","","",""
"49649549","1","","","2018-04-04 11:14:11","","1","308","<p>In my react component I have two functions. handleChangeInput(e) is called on 'OnChange' of input field and checkFields() is called from handleChangeInput(e)</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>constructor(){
    super()
    this.state={
      email: '',
      password:'',
      validFields: false
    }
  }

handleChangeInput(e){
    const name = e.target.name;
    const value = e.target.value;
    this.setState({[name]: value},()=&gt;{
      this.checkFields();
    });
  }

  checkFields(){
    if (this.state.email.length&gt;0 &amp;&amp; this.state.password.length&gt;0 ) {
      this.setState({validFields: true});
    }else {
      this.setState({validFields: false});
    }
  }</code></pre>
</div>
</div>
</p>

<p>And in my index.test.js I have</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>describe('&lt;Login /&gt;', () =&gt; {
	
	describe('handleChangeInput', () =&gt; {

        const component = new Login()
        const wrapper = shallow(&lt;Login /&gt;);

        beforeEach(() =&gt; {
            component.setState = jest.fn()
        })

        test('calls setState validFields false when no email/password', () =&gt; {
            const state = { state : { email: '', password: ''} }
            const args = { target : { name: 'name', value: 'value' } }
            component.handleChangeInput.call(state, args)
            expect(component.setState.mock.calls.length).toBe(1)
            expect(wrapper.state().validFields).toEqual(false)
        })

        test('calls setState validFields true when email/password are ok', () =&gt; {
            const state = { state : { email: 'email', password: 'password' } }
            const args = { target : { name: 'name', value: 'value' } }
            component.handleChangeInput.call(state, args)
            expect(component.setState.mock.calls.length).toBe(1)
            expect(wrapper.state().validFields).toEqual(false)
        })
	})
});</code></pre>
</div>
</div>
</p>

<p>But my state is not being updated. As a result, 'validFields' is not set to true and my second test is failing. I tried wrapper.update() and wrapper.instance().forceUpdate() but still no success. Any help would be appreciated</p>
","7704420","","","","","2018-04-09 17:16:27","react state is not updating in jest","<javascript><reactjs><unit-testing><enzyme><jest>","2","0","","",""
"49019431","1","49024245","","2018-02-27 23:08:33","","0","198","<p>In my react native app I save the user information securely on the key chain, so that after they have logged in once, I save the information and then the next time the user comes, the information is already there and so the user won't need to log in.</p>

<p>The issue is that I do the check in componentDidMount, and then if the user has never logged in before or logged out in their last visit I redirect them to the loginScreen like so:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>componentDidMount() {
    //Need to check if they've signed in before by checking the USER_INFO.
    SecureStore.getItemAsync(""USER_INFO"").then(response =&gt; {
        //Have they signed in before?
        if (response !== undefined) {
          //yes.
          //continue with app stuff.
        }
        else {
          //Not logged in before need to go to login.
          const resetAction = NavigationActions.reset({
            index: 0,
            actions: [
              NavigationActions.navigate({ routeName: 'Login', params: this.props.navigation.state.params }),
            ]
          });
          this.props.navigation.dispatch(resetAction);

        }
    });

}</code></pre>
</div>
</div>
</p>

<p>The problem is that I get a warning that 'Warning: Can only update a mounted or mounting component. This usually means you called setState, replaceState, or forceUpdate on an unmounted component. This is a no-op.'. Which makes sense because I am redirecting before the screen has rendered, but then the question is, where should I perform these checks?</p>

<p>Thanks</p>
","5278473","","","","","2018-02-28 07:37:55","Checking if user signed in before react native","<javascript><authentication><react-native>","2","0","","",""
"36311406","1","","","2016-03-30 14:10:49","","0","3406","<p>My node.js server sends with socket.io new data each 10s. In my web application I update this.state each time that my server sends data and force to update with forceUpdate()</p>

<p>However, my react component doesn't refresh, I don't know why. I followed the doc but I missed something...</p>

<p><strong>Parent :</strong></p>

<pre><code>class DataAnalytics extends React.Component {
  constructor(props) {
    super(props);
    socket = this.props.socket;
    this.state = {data: []};

    socket.on('dataCharts', (res) =&gt; {
      console.log(""new data charts : ""+res);
      var data = JSON.parse(res);   
      this.setState({data: data});
      this.forceUpdate();
    });
  }

  componentWillUnmount() {
    socket.off('dataCharts');
  }

  render() {
    return (
    &lt;div id=""dataAnalytics""&gt;
      &lt;Stats data={this.state.data}&gt;&lt;/Stats&gt;
    &lt;/div&gt;
    );
  }
}

export default DataAnalytics;
</code></pre>

<p><strong>Child :</strong></p>

<pre><code>class Stats extends React.Component {
  constructor(props) {
    super(props);
  }

  render() {
    return (
      &lt;div className=""stats"" style={{textAlign:'center'}}&gt;
        &lt;h4&gt;Number: &lt;/h4&gt;
      &lt;/div&gt;
    );
  }

  componentDidUpdate() {
    var data = this.props.data;

    if(!jQuery.isEmptyObject(data)) {
      $( "".stats"" ).html(""&lt;h4&gt;Number : data['nb']['counterIn']&lt;/h4&gt;"");
    }
  }
}

export default Stats;
</code></pre>

<p>Anyone know how to refresh automatically my React component.</p>
","5279661","","","","","2016-03-30 14:20:56","Refresh react component","<javascript><reactjs>","1","3","1","",""
"35790130","1","","","2016-03-04 07:14:02","","3","1650","<p>I'm beginner in react and redux, I have action which posts JSON on API and then receives list, this action called from button click, this all process works good but after populating data ui is not updating  </p>

<p>Action:</p>

<pre><code>import * as types from './actionTypes'
import { postMessage } from '../api/messaging'

function postToAPI(msg, dispatch) {
  dispatch({ type: types.MESSAGE_POSTING });

  postMessage(msg, (messages) =&gt; {
    dispatch({
      type: types.MESSAGE_POST_DONE,
      messages: messages
    });
  });
}

export function postMessageAction(msg) {
  return (dispatch) =&gt; {
    postToAPI(msg, dispatch);
  }
}
</code></pre>

<p>Reducer:</p>

<pre><code>import * as types from '../actions/actionTypes'

const initialState = {
  messages: []
}

export default function messages(state = initialState, action) {
  switch(action.type) {
    case types.MESSAGE_POST_DONE:
      return {
        ...state,
        messages: action.messages
      }
      this.forceUpdate();
    default:
      return state;
  }
}
</code></pre>

<p>Main container:</p>

<pre><code>export default class App extends Component {
  render() {
    return (
      &lt;Provider store={store}&gt;
        &lt;CounterApp /&gt;
      &lt;/Provider&gt;
    );
  }
}
</code></pre>

<p>CounterApp:</p>

<pre><code>class CounterApp extends Component {
  constructor(props) {
    super(props);
  }

  render() {
    const { state, actions } = this.props;
    return (
      &lt;Messaging /&gt;
    );
  }
}

export default connect(state =&gt; ({
  messages: state.default.messages.messages
}))(CounterApp);
</code></pre>

<p>Messaging:</p>

<pre><code>class Messaging extends Component {
  render() {
    return (
      &lt;View&gt;
        &lt;MessageList messages={this.props.messages} /&gt;
        &lt;Message /&gt;
      &lt;/View&gt;
    )
  }
}
export default connect(state =&gt; ({
  messages: state.default.messages.messages
}))(Messaging);
</code></pre>

<p>Message list:</p>

<pre><code>export default class MessageList extends Component {
  constructor(props) {
    super(props);
  }

  render() {
    return (
      &lt;ScrollView&gt;
        {
          this.props.messages.map((item, index) =&gt; {
            return (
              &lt;Text&gt;
                { item.body }
              &lt;/Text&gt;
              )
          })
        }
      &lt;/ScrollView&gt;
    )
  }
}
</code></pre>

<p><a href=""https://i.stack.imgur.com/veEOy.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/veEOy.png"" alt=""enter image description here""></a></p>

<p>My MessageList component does not updates when messages changed. I read difference between props and state but i dont know how to pass data to state.</p>

<h2>Update:</h2>

<p>My state in messaging connect looks like this why i used default</p>

<p><a href=""https://i.stack.imgur.com/y7hy0.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/y7hy0.png"" alt=""enter image description here""></a></p>

<p>Any ideas?</p>
","525717","","525717","","2016-03-04 11:38:49","2016-03-04 11:38:49","UI is not updating react & redux","<javascript><reactjs><react-native><redux>","3","3","","",""
