Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"50128342","1","","","2018-05-02 06:26:44","","1","50","<p>I am using react router v4 with redux to render some data on the server but i am not able to set the state of the component on the server. Here's my code. Appreciate the Help </p>

<p>heres the server side loadonserver function</p>

<pre><code>loadOnServer({ store, location, routes }).then(() =&gt; {
  const context = {};
  const html = renderToString(
    &lt;Provider store={store}&gt;
      &lt;StaticRouter location={location} context={context}&gt;
        &lt;ReduxAsyncConnect routes={routes} /&gt;
      &lt;/StaticRouter&gt;
    &lt;/Provider&gt;
  );

  // handle redirects
  if(context.url) {
    req.header('Location', context.url)
    return res.send(302)
  }

  // render the page, and send it to the client
  res.send(renderLayout(html, '', store.getState(),ApiData , req.protocol + '://' + req.get('x-forwarded-host')));

  // render the page, and send it to the client
  // can't use until redux-connect works with loadable-components
  // getLoadableState(html).then(pageScripts =&gt;
  //   res.send(renderLayout(html, pageScripts.getScriptTag(), store.getState(), !!(req.user &amp;&amp; req.user.isAdmin)))
  // )
})
.catch(err =&gt; {
  console.log(err);
  res.status(500).end();
});
</code></pre>

<p>ApiData is the data from the server that needs to be set at the server so that the components render out</p>

<p>Heres my index.js</p>

<pre><code>import React from 'react';
import { hydrate } from 'react-dom';
import { createStore, applyMiddleware } from 'redux';
import { Provider } from 'react-redux';
import { BrowserRouter, Route } from 'react-router-dom';
import { ReduxAsyncConnect } from 'redux-connect';
import createHistory from 'history/createBrowserHistory';
import { ConnectedRouter, routerMiddleware, push } from 'react-router-redux';

import routes from './routes';
import reducers from './reducers';

import App from './app';

const initialState = window.__INITIAL_STATE;

const history = createHistory();
const middleware = routerMiddleware(history);

const store = createStore(reducers, initialState, applyMiddleware(middleware));

hydrate(
  &lt;Provider store={store}&gt;
    &lt;ConnectedRouter history={history}&gt;
       &lt;ReduxAsyncConnect routes={routes}/&gt;
    &lt;/ConnectedRouter&gt;
  &lt;/Provider&gt;,
  document.getElementById('app')
);
</code></pre>

<p>Heres my routes.js</p>

<pre><code>import React from 'react';
import App from './app';
import HomePage from './pages/HomePage';

const routes = [{
    component: App,
    routes: [
         {
           path : '/',
           exact: true,
           component: HomePage
         }
    ]
 }];

 export default routes;
</code></pre>

<p>And heres my App.js</p>

<pre><code>import React,  { Component } from 'react';
import PropTypes from 'prop-types';
import { Link } from 'react-router-dom';
import renderRoutes from 'react-router-config/renderRoutes';

import routes from './routes';

import {isBrowser,isServer} from './util/environmentDetection'

class App extends Component {

    constructor(props) {
        super(props);
        if(isServer) {

        } else if(isBrowser &amp;&amp; !this.state) {
             this.state = window.__DATA;
             delete  window.__DATA;
        }
     }
     render() {
         return (
             &lt;div&gt;
               &lt;Link to={'/'}&gt;
                {'Home'}
               &lt;/Link&gt;
               {renderRoutes(routes[0].routes, { initialData : this.state })}
            &lt;/div&gt;
        );
    }
 }

 export default App;
</code></pre>
","6550576","","","","","2018-05-15 17:10:29","How to set state at the server for data from API using react redux","<reactjs><redux>","1","0","","",""
"34444154","1","","","2015-12-23 21:40:06","","8","923","<p>I'm facing an issue on how to update store when a react-router transition occurs.</p>

<p>In my current implementation (below), update store before rendering next page. The issue comes up when the current page gets a store update based on the data for the next page: (1) the current page renders pointlessly (it's subscribed to store updates), because the updated store is for the next page (2) the current page breaks on render because updated store only has data for the next page.</p>

<pre><code>superagent
  .get(opts.path)
  .set('Accept', 'application/json')
  .end((err, res) =&gt; {
    let pageData = res &amp;&amp; res.body || {};
    store.dispatch(setPageStore(pageData));
    render(store);
  });
</code></pre>

<p>The reverse is problematic too, render next page before updating store. The issue now is the next page breaks on render because the data needed for the next page is not there until store is updated.</p>

<p>I'm either misusing the libraries, or my architecture is incomplete, or something else. help!</p>

<p>The rest of the sample code:</p>

<h2>app</h2>

<pre><code>const React = require('react');
const Router = require('react-router');
const {createStore} = require('redux');
const {update} = React.addons;
const routes = require('./routes'); // all the routes
let store = {};
let initialLoad = true;

Router.run(routes, Router.HistoryLocation, (Handler, opts) =&gt; {
  if(initialLoad) {
    initialLoad = false;

    // hydrate
    const initialState = JSON.parse(document.getElementById('initial-state').text);
    store = createStore(appReducer, initialState);
    render(store);

  } else {
    superagent
      .get(opts.path)
      .set('Accept', 'application/json')
      .end((err, res) =&gt; {
        let pageData = res &amp;&amp; res.body || {};
        store.dispatch(setPageStore(pageData));
        render(store);
      });
  }
});

function render(store) {
  React.render(
    &lt;Provider store={store} children={() =&gt; &lt;Handler/&gt;} /&gt;, 
    document.getElementById('react')
  );
}
</code></pre>

<h2>action &amp; reducer</h2>

<pre><code>function appReducer(state = {}, action) {
  switch(action.type) {
    case 'SET_PAGE_STORE':
      return update(state, {$merge: action.pageData});

    default:
      return reduce(state, action);
  }
}

const reduce = combineReducers({
  // ..all the reducers
});

function setPageStore(pageData) {
  return {type: 'SET_PAGE_STORE', pageData};
}
</code></pre>
","158749","","","","","2015-12-30 20:45:47","How should I update redux store during a react-router transition?","<reactjs><react-router><redux>","2","0","3","",""
"51298132","1","","","2018-07-12 05:48:07","","-1","22","<p>In my project, am using react-lodable plugin for lazyloading js files and hydrate for server side rendering. but after pagelayout completes, the webpage re-rendering whole page on client-side.</p>

<p>re-rendering problem comes while serving html from server to client.</p>

<p>is this problem with react-lodable or any other issue?</p>
","6025305","","6025305","","2018-07-12 05:58:04","2018-07-12 05:58:04","rerendering page with react-loadable and hydrate in Reactjs","<reactjs><react-loadable>","0","0","","",""
"49979005","1","","","2018-04-23 10:36:55","","1","296","<p>How CSS files will load dynamically using react-loadable library on client side?</p>

<p>I have included react-loadable library on both server and client side rendering, from server-side rendering everything works fine but client side, how CSS will load dynamically?</p>

<p><code>webpack.config.prod.js</code> : <em>Client/Server -</em></p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""true"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>'use strict';

const autoprefixer = require('autoprefixer');
const path = require('path');
const webpack = require('webpack');
const HtmlWebpackPlugin = require('html-webpack-plugin');
const ExtractCssChunks = require('extract-css-chunks-webpack-plugin');
const ManifestPlugin = require('webpack-manifest-plugin');
const InterpolateHtmlPlugin = require('react-dev-utils/InterpolateHtmlPlugin');
const SWPrecacheWebpackPlugin = require('sw-precache-webpack-plugin');
const eslintFormatter = require('react-dev-utils/eslintFormatter');
const ModuleScopePlugin = require('react-dev-utils/ModuleScopePlugin');
const paths = require('./paths');
const getClientEnvironment = require('./env');
const { ReactLoadablePlugin } = require('react-loadable/webpack');

const publicPath = paths.servedPath;

const shouldUseRelativeAssetPaths = publicPath === './';

const shouldUseSourceMap = process.env.GENERATE_SOURCEMAP !== 'false';
const publicUrl = publicPath.slice(0, -1);
const env = getClientEnvironment(publicUrl);
if (env.stringified['process.env'].NODE_ENV !== '""production""') {
  throw new Error('Production builds must have NODE_ENV=production.');
}
const cssFilename = 'static/css/[name].[contenthash:8].css';

const client = {
  bail: true,
  devtool: shouldUseSourceMap ? 'source-map' : false,
  entry: [require.resolve('./polyfills'), paths.appIndexJs],
  output: {
    // The build folder.
    path: paths.appBuild,
    filename: 'static/js/[name].[chunkhash:8].js',
    chunkFilename: 'static/js/[name].[chunkhash:8].chunk.js',
    publicPath,
    devtoolModuleFilenameTemplate: info =&gt;
      path
        .relative(paths.appSrc, info.absoluteResourcePath)
        .replace(/\\/g, '/'),
  },
  resolve: {
    modules: ['node_modules', paths.appNodeModules].concat(
  process.env.NODE_PATH.split(path.delimiter).filter(Boolean)),
    extensions: ['.web.js', '.mjs', '.js', '.json', '.web.jsx', '.jsx'],
    alias: {
      'react-native': 'react-native-web',
    },
    plugins: [
      new ModuleScopePlugin(paths.appSrc, [paths.appPackageJson]),

    ],
  },
  module: {
    strictExportPresence: true,
    rules: [
      {
        test: /\.(js|jsx|mjs)$/,
        enforce: 'pre',
        use: [
          {
            options: {
              formatter: eslintFormatter,
              eslintPath: require.resolve('eslint'),

            },
            loader: require.resolve('eslint-loader'),
          },
        ],
        include: paths.appSrc,
      },
      {
        oneOf: [
   
          {
            test: [/\.bmp$/, /\.gif$/, /\.jpe?g$/, /\.png$/],
            loader: require.resolve('url-loader'),
            options: {
              limit: 10000,
              name: 'static/media/[name].[hash:8].[ext]',
            },
          },
          // Process JS with Babel.
          {
            test: /\.(js|jsx|mjs)$/,
            include: paths.appSrc,
            loader: require.resolve('babel-loader'),
            options: {
              compact: true,
              plugins: ['react-loadable/babel'],
            },
          },
          {
            test: /\.(?:css|less)$/,
            use: ExtractCssChunks.extract({
              use: [
                {
                  loader: 'css-loader?modules',
                  options: {
                    minimize: true,
                    sourceMap: shouldUseSourceMap,
                    importLoaders: true,
                    localIdentName: '[name]__[local]__[hash:base64:7]',
                  },
                },
                {
                  loader: 'less-loader',
                  options: {
                    minimize: true,
                    sourceMap: shouldUseSourceMap,
                    importLoaders: true,
                  },
                },
                {
                  loader: require.resolve('postcss-loader'),
                  options: {
                  ident: 'postcss',
                    plugins: () =&gt; [
                      require('postcss-flexbugs-fixes'),
                      autoprefixer({
                        browsers: [
                          '&gt;1%',
                          'last 4 versions',
                          'Firefox ESR',
                          'not ie &lt; 9',
                        ],
                        flexbox: 'no-2009',
                      }),
                    ],
                  },
                },
              ],
              fallback: 'style-loader',
            }),
            exclude: /\.(eot|woff|woff2|ttf|otf|svg)(\?[\s\S]+)?$/,
          },
          {
            loader: require.resolve('file-loader'),
            exclude: [/\.(js|jsx|mjs)$/, /\.html$/, /\.json$/],
            options: {
              name: 'static/media/[name].[hash:8].[ext]',
            },
          },
        ],
      },
    ],
  },
  plugins: [
    new InterpolateHtmlPlugin(env.raw),
    new HtmlWebpackPlugin({
      inject: true,
      template: paths.appHtml,
      minify: {
        removeComments: true,
        collapseWhitespace: true,
        removeRedundantAttributes: true,
        useShortDoctype: true,
        removeEmptyAttributes: true,
        removeStyleLinkTypeAttributes: true,
        keepClosingSlash: true,
        minifyJS: false,
        minifyCSS: true,
        minifyURLs: true,
      },
    }),
    new webpack.DefinePlugin(env.stringified),
    new webpack.optimize.UglifyJsPlugin({
      compress: {
        warnings: false,
        comparisons: false,
      },
      mangle: {
        safari10: true,
      },
      output: {
        comments: false,
        ascii_only: true,
      },
      sourceMap: shouldUseSourceMap,
    }),
    new ExtractCssChunks({
      filename: cssFilename,
    }),
    new webpack.HashedModuleIdsPlugin(),
    new webpack.optimize.CommonsChunkPlugin({
      name: 'manifest.js',
      minChunks: Infinity,
    }),
    new ManifestPlugin({
      fileName: 'asset-manifest.json',
    }),
    new ReactLoadablePlugin({
      filename: './build/react-loadable.json',
    }),
    new SWPrecacheWebpackPlugin({
      dontCacheBustUrlsMatching: /\.\w{8}\./,
      filename: 'service-worker.js',
      logger(message) {
        if (message.indexOf('Total precache size is') === 0) {
          return;
        }
        if (message.indexOf('Skipping static resource') === 0) {
          return;
        }
        console.log(message);
      },
      minify: true,
      navigateFallback: `${publicUrl}/index.html`,
      navigateFallbackWhitelist: [/^(?!\/__).*/],
      staticFileGlobsIgnorePatterns: [/\.map$/, /asset-manifest\.json$/],
    }),
    new webpack.IgnorePlugin(/^\.\/locale$/, /moment$/),
  ],

  node: {
    dgram: 'empty',
    fs: 'empty',
    net: 'empty',
    tls: 'empty',
    child_process: 'empty',
  },
};

// Server render
const nodeExternals = require('webpack-node-externals');
const server = Object.assign({}, client);
server.target = 'node';
server.node = {
  __filename: true,
  __dirname: true,
};
server.externals = [nodeExternals()];
server.entry = [
  './server/middleware/renderer.js',
];

delete server.devtool;
delete server.node;
server.module = {};
server.plugins = [
  new webpack.HashedModuleIdsPlugin(),
  new webpack.optimize.LimitChunkCountPlugin({
    maxChunks: 1,
  }),
];
server.output = {
  path: paths.appBuild,
  filename: 'handleRender.js',
  publicPath,
  libraryTarget: 'commonjs2',
};
server.module.rules = [{
  test: /\.(?:js|jsx)$/,
  exclude: /node_modules/,
  loader: require.resolve('babel-loader'),
  options: {
    compact: true,
    plugins: ['react-loadable/babel'],
  },
},
{
  test: /\.(?:css|less)$/,
  loader: 'css-loader/locals?modules&amp;localIdentName=[name]__[local]__[hash:base64:7]!less-loader',
  exclude: /\.(eot|woff|woff2|ttf|otf|svg)(\?[\s\S]+)?$/,
}];

module.exports = [server, client];</code></pre>
</div>
</div>
</p>

<p><code>Server index.js</code>: </p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>...
import Loadable from 'react-loadable';
import serverRenderer from '../build/handleRender.js';
...
router.use('*', serverRenderer);
...
app.use(router);
// Pre-load all compoenents
Loadable.preloadAll().then(() =&gt; {
  app.listen(PORT, (error) =&gt; {
    if (error) {
      return console.log('something bad happened', error);
    }
    console.log(`listening on ${PORT}...`);
  });
}).catch((e) =&gt; {
  console.log('Loadable Error : ', e);
});</code></pre>
</div>
</div>
</p>

<p><code>renderer.js</code>:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>import { renderToStringWithData } from 'react-apollo';
import Loadable from 'react-loadable';
import { getBundles } from 'react-loadable/webpack';
...

const mainApp = renderToStringWithData(&lt;Loadable.Capture
      report={moduleName =&gt; modules.push(moduleName)}
    &gt;
      &lt;App req={req} context={context} client={client} /&gt;
    &lt;/Loadable.Capture&gt;);
...
  const bundles = getBundles(JSON.parse(stats), modules);
  const styles = bundles.filter(bundle =&gt;                   bundle.file.endsWith('.css'));
  const scripts = bundles.filter(bundle =&gt; bundle.file.endsWith('.js'));    

...
//mainApp=&gt;html
   const replacedStyle = html.replace(
            '&lt;link id=""codeSplittingStyle""&gt;',
            styles.map(bundle =&gt; `&lt;link
                rel=""stylesheet""
                href=""/${bundle.file}""/&gt;`).join('\n'),
          );

          const replacedScript = replacedStyle.replace(
            '&lt;script id=""codeSplittingScript""&gt;&lt;/script&gt;',
            scripts.map(bundle =&gt; `&lt;script
                type=""text/javascript""
                src=""/${bundle.file}""&gt;&lt;/script&gt;`).join('\n'),
          );
...
   return res.send(replacedScript);    </code></pre>
</div>
</div>
</p>

<p><code>Browser.js</code>:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>import React from 'react';
import ReactDOM from 'react-dom';
import Loadable from 'react-loadable';

import Browser from './layout/browser';
import registerServiceWorker from './registerServiceWorker';

Loadable.preloadReady().then(() =&gt; {
  ReactDOM.hydrate(&lt;Browser /&gt;, document.getElementById('root'));
});
registerServiceWorker();</code></pre>
</div>
</div>
</p>
","6025305","","3073543","","2018-04-26 07:23:11","2018-04-26 09:06:01","Import component css chunk client side with react-loadable","<reactjs><react-loadable>","1","8","","",""
"50013837","1","","","2018-04-25 03:58:12","","0","113","<p>I have been getting the following error since sometime in my console, i have no idea what it means and why it is originating. Please spread some light on this matter.
<a href=""https://i.stack.imgur.com/XWZor.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/XWZor.png"" alt=""enter image description here""></a></p>

<p>it says:</p>

<pre><code>persistReducer.js:50 Uncaught TypeError: action.rehydrate is not a function
at _rehydrate (persistReducer.js:50)
at persistReducer.js:54
</code></pre>

<p>redux-persist version on package.json: ""^5.6.11""
locked version: ""5.9.1""</p>

<p>Store configuration code:</p>

<pre><code>import thunk from 'redux-thunk';
import { persistStore } from 'redux-persist';
import { History, createBrowserHistory } from 'history';
import { createUserManager, loadUser } from ""redux-oidc"";
import { routerReducer, routerMiddleware } from 'react-router-redux';
import { createStore, applyMiddleware, compose, combineReducers, GenericStoreEnhancer, Store, StoreEnhancerStoreCreator, ReducersMapObject } from 'redux';

import * as StoreModule from './reducers';
import { ApplicationState, reducers } from './reducers';

import userManager from ""./utils/userManager"";

// Create browser history to use in the Redux store
const baseUrl = document.getElementsByTagName('base')[0].getAttribute('href')!;
const history = createBrowserHistory({ basename: baseUrl });

export default function configureStore(history: History, initialState?: ApplicationState) {
    // Build middleware. These are functions that can process the actions before they reach the store.
    const windowIfDefined = typeof window === 'undefined' ? null : window as any;
    // If devTools is installed, connect to it
    const devToolsExtension = windowIfDefined &amp;&amp; windowIfDefined.__REDUX_DEVTOOLS_EXTENSION__ as () =&gt; GenericStoreEnhancer;


    const createStoreWithMiddleware = compose(
        applyMiddleware(thunk, routerMiddleware(history)),
        devToolsExtension ? devToolsExtension() : &lt;S&gt;(next: StoreEnhancerStoreCreator&lt;S&gt;) =&gt; next
    )(createStore);

    // Combine all reducers and instantiate the app-wide store instance
    const allReducers = buildRootReducer(reducers);
    const store = createStoreWithMiddleware(allReducers, initialState) as Store&lt;ApplicationState&gt;;
    loadUser(store, userManager);

    // Enable Webpack hot module replacement for reducers
    if (module.hot) {
        module.hot.accept('./reducers', () =&gt; {
            const nextRootReducer = require&lt;typeof StoreModule&gt;('./reducers');
            store.replaceReducer(buildRootReducer(nextRootReducer.reducers));
        });
    }
    const persistor = persistStore(store);
    return { store, persistor };
}

function buildRootReducer(allReducers: ReducersMapObject) {
    return combineReducers&lt;ApplicationState&gt;(Object.assign({}, allReducers, { routing: routerReducer }));
}

// Get the application-wide store instance, prepopulating with state from the server where available.
const initialState = (window as any).initialReduxState as ApplicationState;
export const { store, persistor } = configureStore(history, initialState);
</code></pre>
","3315191","","3315191","","2018-04-25 04:47:58","2018-06-06 23:24:28","action.rehydrate is not a function","<reactjs><redux><redux-persist>","2","4","","",""
"48160911","1","","","2018-01-09 03:05:14","","0","49","<p>I have seen a lot of question that asking url change but view does not get updated. However, it is opposite for my case.</p>

<p>Currently, I am using server-side and it was working until I added </p>

<pre><code> new webpack.DefinePlugin({
  'process.env.NODE_ENV': JSON.stringify(process.env.NODE_ENV),
}),
</code></pre>

<p>Even though I pass production NODE_ENV with build script webpack keep adding react-dom.development.js which is really big.</p>

<pre><code>NODE_ENV=production
</code></pre>

<p>After that I feel like history is not get updated</p>

<p>history.js</p>

<pre><code>import createBrowserHistory from 'history/createBrowserHistory'
import createMemoryHistory from 'history/createMemoryHistory'

let createMemory // eslint-disable-line

if(process.env.NODE_ENV === 'production') {
  createMemory = createMemoryHistory()
} else {
  createMemory = createBrowserHistory()
}

export default createMemory
</code></pre>

<p>prod.js</p>

<pre><code> import history from 'Root/history'

 const preloadedState = window.__INITIAL_STATE__
 // const history = createHistory()
 const store = configureStore(history, preloadedState)
 hydrate(
    &lt;Provider store={store}&gt;
      &lt;ConnectedRouter history={history}&gt;
        &lt;AppRoot /&gt;
      &lt;/ConnectedRouter&gt;
    &lt;/Provider&gt;,
    domRoot,
  )
</code></pre>

<p>server.root.js using createMemoryHistory for server </p>

<pre><code>&lt;Provider store={store}&gt;
  &lt;StaticRouter location={urlPath} context={context}&gt;
    &lt;AppRoot /&gt;
  &lt;/StaticRouter&gt;
&lt;/Provider&gt;
</code></pre>

<p>anyone notice anything wrong ?</p>

<p>by the way if I remove config below. Everything works fine but bundle contains react-dom.development.js</p>

<pre><code>new webpack.DefinePlugin({
  'process.env.NODE_ENV': JSON.stringify(process.env.NODE_ENV),
}),
</code></pre>
","3882878","","","","","2018-01-09 03:05:14","react server side rendering url is not get updated on link or location change","<reactjs><webpack>","0","0","","",""
"48983567","1","","","2018-02-26 07:39:10","","1","186","<p>I'm newby to Redux. I was trying to persist data on local storage through <code>redux-persist</code>. I followed the tutorial and the data stored in storage as below. </p>

<pre><code>import {createStore, applyMiddleware, compose} from 'redux';
 import {AsyncStorage} from 'react-native';
 import {persistStore, autoRehydrate} from 'redux-persist';
 import reducer from '../reducer';

 var defaultState = {
     todos: []
 };



 exports.configureStore = (initialState=defaultState) =&gt; {

     var store = createStore(reducer, initialState, compose(
         autoRehydrate()
     ));
     persistStore(store, {storage: AsyncStorage});
     return store;
 }
</code></pre>

<p>And here is my <code>App.js</code>.</p>

<pre><code>import React, { Component } from 'react';
import {Provider} from 'react-redux';
import {
  Platform,
  StyleSheet,
  Text,
  View
} from 'react-native';
import Main from './app/components/Main';
import {configureStore} from './app/store';

export default class App extends Component&lt;Props&gt; {
  render() {
    return (
     &lt;Provider store={configureStore()}&gt;
        &lt;Main/&gt;
     &lt;/Provider&gt;
    );
  }
}

const styles = StyleSheet.create({
  container: {
    flex: 1,
    justifyContent: 'center',
    alignItems: 'center',
    backgroundColor: '#F5FCFF',
  },
  welcome: {
    fontSize: 20,
    textAlign: 'center',
    margin: 10,
  },
  instructions: {
    textAlign: 'center',
    color: '#333333',
    marginBottom: 5,
  },
});
</code></pre>

<p>But I guess, there is new update in <code>redux-persist</code>. So, with this code I get the error like below.</p>

<p><a href=""https://i.stack.imgur.com/Pjs9t.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/Pjs9t.png"" alt=""enter image description here""></a></p>

<p>As I understand, within new update there is no more <code>autoRehydrate</code>. But I can't handle, how to update the code so it works with new version. Can you help me, please? </p>
","5696585","","5696585","","2018-02-26 11:19:48","2018-02-26 11:19:48","redux-persist autoRehydrate not defined in new version","<react-native><redux><redux-persist>","0","0","","",""
"49088073","1","","","2018-03-03 19:04:13","","0","39","<p><strong>ERROR MSG:</strong>
<code>
Error: Request failed with status code 500
Stack trace:
[42]/&lt;/t.exports@http://crdwk.herokuapp.com/packs/bundle-ecc8ea14dbe153e50352.js:1:89311
[42]/&lt;/t.exports@http://crdwk.herokuapp.com/packs/bundle-ecc8ea14dbe153e50352.js:1:251725
[42]/&lt;/t.exports/&lt;/d[h]@http://crdwk.herokuapp.com/packs/bundle-ecc8ea14dbe153e50352.js:1:88311
</code></p>

<p><strong>Ruby version:</strong> 2.3</p>

<p><strong>Rails version:</strong> 5.1</p>

<p>I have a server-side rendered, client-side hydrated React/Rails app (using <a href=""https://github.com/reactjs/react-rails"" rel=""nofollow noreferrer""><code>gem 'react-rails'</code></a>).</p>

<p>I added the <code>gem 'rack-cors'</code> plus setup in <a href=""https://github.com/English3000/crdwk/blob/master/config/application.rb"" rel=""nofollow noreferrer""><code>application.rb</code></a> in order for my requests to work (I'm using <code>axios</code>). However, <a href=""https://github.com/English3000/crdwk/blob/master/frontend/utils/api.js"" rel=""nofollow noreferrer"">signing out</a> (a DELETE request) fails and hitting refresh erases the current user. Neither issue occurs locally/in development.</p>

<p>Here's the app: <a href=""http://crdwk.herokuapp.com"" rel=""nofollow noreferrer"">http://crdwk.herokuapp.com</a></p>

<p>And the repo: <a href=""https://github.com/English3000/crdwk"" rel=""nofollow noreferrer"">https://github.com/English3000/crdwk</a></p>
","8425368","","","","","2018-03-06 19:13:29","axios/rack-cors/react-rails/heroku: Internal Server Error 500 on sign out, no persistence on refresh","<ruby-on-rails><heroku><axios><react-rails><rack-cors>","1","2","","",""
"50315639","1","","","2018-05-13 11:31:50","","1","206","<p>I am having trouble initialising my redux-state when my react-native application boots up. I need to make an api call before the application boots up to retrieve data to hydrate my state. Id like to pass the result of this call to the createStore function in my Provider JSX element.
I have read different things about how to do that but none of them seems to work.</p>

<p>Here's my root App component :</p>

<pre><code>import React, { Component } from 'react';
import { View } from 'react-native';
import { Provider } from 'react-redux';
import { createStore, applyMiddleware } from 'redux';
import ReduxThunk from 'redux-thunk';
import reducers from './reducers';
import RouterComponent from './Router';

class App extends Component {
  render() {
    return (
      &lt;Provider store={createStore(reducers, {}, applyMiddleware(ReduxThunk))}&gt;
        &lt;View style={{ flex: 1 }}&gt;
          &lt;RouterComponent /&gt;
        &lt;/View&gt;
      &lt;/Provider&gt;
    );
  }
}


export default App;
</code></pre>

<p>I have read and tried different strategies :
- wrapping the return statement of the render method in the then callback of the api call
- make the call in componentWillMount or componentDidMount </p>

<p>None of this did work for me. What is the standard way to pass createStore an initial state from an API call when react-native application boots up.</p>
","4620141","","","","","2018-05-16 09:29:14","Passing initial state from API call to createStore when react native application boots up","<react-native><redux><react-redux><redux-thunk>","3","1","","",""
"44149334","1","","","2017-05-24 05:01:20","","0","905","<p>I'm working off the react-redux example here: <a href=""https://github.com/timscott/react-devise-sample"" rel=""nofollow noreferrer"">https://github.com/timscott/react-devise-sample</a></p>

<p>The redux store is being created in <code>setup.js</code> like so: <a href=""https://github.com/timscott/react-devise-sample/blob/master/client/src/app/setup.js"" rel=""nofollow noreferrer"">https://github.com/timscott/react-devise-sample/blob/master/client/src/app/setup.js</a></p>

<p>key part:</p>

<pre><code>const initStore = ({onRehydrationComplete}) =&gt; {
  store = createStore(
    combineReducers({
      ...reactDeviseReducers,
      cats: [],
      form: formReducer,
      router: routerReducer,
      apollo: apolloClient.reducer()
    }),
    {},
    compose(
      applyMiddleware(
        thunk,
        routerMiddleware(history),
        apolloClient.middleware()
      ),
      autoRehydrate()
    )
  );

  persistStore(store, {
    blacklist: [
      'form'
    ]
  }, onRehydrationComplete);

  return store;
};
</code></pre>

<p>Outside of this file in a react component:
<code>CatsPage.js</code></p>

<p>I'm trying to .dispatch(loadCats()) so the react app will fetch the list of cats from the server, update the store, and react magically update the dom. Here is what I have in CatsPage.js:</p>

<pre><code>import React from 'react';
import PropTypes from 'prop-types';
import {connect} from 'react-redux';
import CatList from './CatList';
import {loadCats} from '../../actions/catActions';
import {initStore} from '../../app/setup';

class CatsPage extends React.Component {
  state = {
    rehydrated: false
  };
  componentDidMount() {
    initStore.dispatch(loadCats())
  }
  render() {
    return (
      &lt;div&gt;
        &lt;h1&gt;Cats&lt;/h1&gt;
        &lt;div&gt;
          &lt;CatList cats={this.props.cats} /&gt;
        &lt;/div&gt;
      &lt;/div&gt;
    );
  }
}

CatsPage.propTypes = {
  cats: PropTypes.array.isRequired
};

function mapStateToProps(state, ownProps) {
  return {
    cats: state.cats
  };
}

export default connect(mapStateToProps)(CatsPage);
</code></pre>

<p>I'm getting the error: <code>Uncaught TypeError: _setup.initStore.dispatch is not a function</code></p>

<p>I'm a react-redux newbie and appreciate any help you can provide to point me in the right direction. Thanks</p>

<p>UPDATE</p>

<p><strong>CatList.js</strong></p>

<pre><code>import React from 'react';
import PropTypes from 'prop-types';
import {Link} from 'react-router-dom';

const CatList = ({cats}) =&gt; {
  return (
      &lt;ul className=""list-group""&gt;
        {cats.map(cat =&gt;
           &lt;li className=""list-group-item"" key={cat.id}&gt;
            &lt;Link to={'/cats/' + cat.id}&gt;{cat.name}&lt;/Link&gt;
           &lt;/li&gt;
        )}
      &lt;/ul&gt;
  );
};

CatList.propTypes = {
  cats: PropTypes.array.isRequired
};

export default CatList;
</code></pre>
","149080","","149080","","2017-05-24 13:04:22","2017-05-24 13:04:22","How to access the store in react components","<reactjs><redux><react-redux><redux-thunk>","1","0","","",""
