Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"36573175","1","38190987","","2016-04-12 12:23:30","","1","457","<p>I want to test login component in react using mocha</p>

<pre><code>const loginView = require('./index');
const React = require('react');
const ReactDOM = require('react-dom');
const ReactTestUtils = require('react-addons-test-utils');
const chai = require('chai');
const jsdom = require('mocha-jsdom');
const injectTapEventPlugin = require('react-tap-event-plugin');
const nock = require('nock');
const api = require('../../configuration').api;

injectTapEventPlugin();
chai.should();

describe('login', () =&gt; {

  beforeEach(() =&gt; {
    jsdom();
  });

  it('show error dialog when username or password is invalid', (done) =&gt; {
    const login = ReactTestUtils.renderIntoDocument(React.createElement(loginView));

    nock(api).post('user/access-token').reply(200);

    login.setState({
      email: 'test@email.tld',
      password: 'wrong-password'
    });

    ReactTestUtils.Simulate.touchTap(ReactDOM.findDOMNode(login.refs.signin).firstChild);

    setTimeout(() =&gt; {
      login.state.showErrorDialog.should.equal(true);
      login.setState({
        showErrorDialog: false
      });
      done();
    }, 1500);
  });
});
</code></pre>

<p>When sign in button is click, the ajax request check username and password (using superagent).</p>

<p>The problem is I don't want to use <strong>setTimeout</strong> function, I like to use a callback or promise when ajax request is complete. Is it possible ?</p>
","847841","","","","","2016-08-26 13:00:10","What is the best way for testing asynchronous react component","<testing><reactjs><mocha><webpack>","1","0","2","",""
"34611727","1","34617446","","2016-01-05 12:27:48","","9","5171","<p>I'm trying to write unit tests for a container component called <code>AsyncApp</code> but I get the following error ""<code>mapStateToProps</code> must return an object. Instead received undefined.""</p>

<p>This is my set-up.</p>

<p><strong>Root.js</strong></p>

<pre><code>import configureStore from '../configureStore';
import React, { Component } from 'react';
import { Provider } from 'react-redux';
import AsyncApp from './AsyncApp';

const store = configureStore();

export default class Root extends Component {
  render() {
    return (
      &lt;Provider store={store}&gt;
        &lt;AsyncApp /&gt;
      &lt;/Provider&gt;
    );
  }
}
</code></pre>

<p><strong>configureStore.js</strong></p>

<pre><code>import { createStore, applyMiddleware } from 'redux';
import thunkMiddleware from 'redux-thunk';
import createLogger from 'redux-logger';
import rootReducer from './reducers';

const loggerMiddleware = createLogger();

const createStoreWithMiddleware = applyMiddleware(
  thunkMiddleware
  //loggerMiddleware
)(createStore);

export default function configureStore(initialState) {
  return createStoreWithMiddleware(rootReducer, initialState);
}
</code></pre>

<p><strong>AsyncApp.js</strong></p>

<pre><code>import React, { Component, PropTypes } from 'react';
import { connect } from 'react-redux';
import { foo } from '../actions';
import FooComponent from '../components/FooComponent';

class AsyncApp extends Component {
  constructor(props) {
    super(props);
    this.onFoo= this.onFoo.bind(this);
    this.state = {}; // &lt;--- adding this doesn't fix the issue
  }

  onFoo(count) {
    this.props.dispatch(foo(count));
  }

  render () {
    const {total} = this.props;

    return (
      &lt;div&gt;
        &lt;FooComponent onFoo={this.onFoo} total={total}/&gt;
      &lt;/div&gt;
    );
  }
}

function mapStateToProps(state) {
  return state;
}

export default connect(mapStateToProps)(AsyncApp);
</code></pre>

<p>I'm passing <code>store</code> directly to <code>AsyncApp</code> in my test to avoid getting the following Runtime Error : <code>Could not find ""store"" in either the context or props of ""Connect(AsyncApp)"". Either wrap the root component in a &lt;Provider&gt;, or explicitly pass ""store"" as a prop to ""Connect(AsyncApp)"".</code></p>

<p>The test isn't complete yet because I can't get past the <code>mapStateToProps</code> error message.</p>

<p><strong>AsyncApp-test.js</strong></p>

<pre><code>jest.dontMock('../../containers/AsyncApp');
jest.dontMock('redux');
jest.dontMock('react-redux');
jest.dontMock('redux-thunk');
jest.dontMock('../../configureStore');

import React from 'react';
import ReactDOM from 'react-dom';
import TestUtils from 'react-addons-test-utils';
const configureStore = require( '../../configureStore');
const AsyncApp = require('../../containers/AsyncApp');

const store = configureStore();

//const asyncApp = TestUtils.renderIntoDocument(
  //&lt;AsyncApp store={store} /&gt;
//);

const shallowRenderer = TestUtils.createRenderer();
shallowRenderer.render(&lt;AsyncApp store={store}/&gt;);
</code></pre>

<p>I want to eventually test that <code>AsyncApp</code> contains a <code>FooComponent</code>, and that a <code>foo</code> action is dispatched when <code>onFoo</code> is called. </p>

<p>Is what I am trying to do achievable? Am I going about this the right way?</p>
","5325596","","","","","2016-09-09 00:13:47","How can I write a unit test for a react component that calls reduxjs's mapStateToProps?","<javascript><reactjs><redux><jestjs>","1","0","1","",""
"36434002","1","","","2016-04-05 18:15:55","","3","365","<p>Updating to the latest .d.ts definitions for react-addons-test-utils has broken compilation for our test code. In this function:</p>

<pre><code>import * as TestUtils from 'react-addons-test-utils';
import MyReactComponent from 'blabla'

let buildComponent = () =&gt; {
    const root = TestUtils.renderIntoDocument(&lt;MyReactComponent/&gt;);
    return TestUtils.findRenderedComponentWithType(root, MyReactComponent);
}
</code></pre>

<p>Passing <code>root</code> to the last function here causes <code>error TS2345: Argument of type 'Component&lt;any, {}&gt; | Element | void' is not assignable to parameter of type 'Component&lt;any, any&gt;'.</code> </p>

<p>Fine, I can cast:</p>

<pre><code>let buildComponent = () =&gt; {
    const root = TestUtils.renderIntoDocument(&lt;MyReactComponent/&gt;);
    return TestUtils.findRenderedComponentWithType(root as React.Component&lt;any, any&gt;, MyReactComponent);
}
</code></pre>

<p>But now passing <code>MyReactComponent</code> on the last line causes <code>error TS2345: Argument of type 'typeof MyReactComponent' is not assignable to parameter of type 'ComponentClass&lt;{}&gt; &amp; (new () =&gt; MyReactComponent) &amp; (new () =&gt; { props: any; })'.</code></p>

<p>Apparently it expects a <code>ClassType&lt;any, T, C&gt;</code> where <code>C extends ComponentClass&lt;{}&gt;</code>, and somehow my <code>class MyReactComponent extends React.Component&lt;IMyReactComponentProps, IMyReactComponentState&gt;</code> doesn't fit the bill, but how, I don't understand.</p>
","154766","","","","","2016-08-16 19:31:15","New compilation errors with react-addons-test-utils","<reactjs><typescript>","3","0","1","",""
"34907460","1","34958481","","2016-01-20 18:13:08","","0","430","<p>I'm trying to write a simple unit test and can't seem to figure it out. I want to test a bootstrap modal to ensure it displays the correct contents when I pass certain object properties to it. Here's what my modal code looks like:</p>

<pre><code>import React, { Component, PropTypes } from 'react';
import { Button, Modal } from 'react-bootstrap';

class ModalBox extends Component {
  render() {
    const { modalBox } = this.props;
    let content;

    if (modalBox.contentBody) {
      content = modalBox.contentBody;
    } else {
      content = (
        &lt;span&gt;
          &lt;Modal.Header closeButton onHide={this.close.bind(this)}&gt;
            &lt;Modal.Title&gt;{modalBox.title}&lt;/Modal.Title&gt;
          &lt;/Modal.Header&gt;
          &lt;Modal.Body&gt;
            {modalBox.message}
          &lt;/Modal.Body&gt;
          {modalBox.isConfirm &amp;&amp;
            &lt;Modal.Footer&gt;
              &lt;Button onClick={modalBox.onCancel} className=""modal-button cancel""&gt;{modalBox.cancelText || 'Cancel'}&lt;/Button&gt;
              &lt;Button onClick={modalBox.onConfirm} className=""modal-button confirm""&gt;{modalBox.confirmText || 'Confirm'}&lt;/Button&gt;
            &lt;/Modal.Footer&gt;
          }
        &lt;/span&gt;
      );
    }

    return (
      &lt;Modal show={typeof modalBox != 'undefined'} onHide={this.close.bind(this)} dialogClassName={modalBox.dialogClassName || ''} backdrop={modalBox.backdrop || true}&gt;
        {content}
      &lt;/Modal&gt;
    );
  }
}
</code></pre>

<p>So for a test, I want to make sure that if I pass the prop modalBox containing the contentBody field that it just returns the contentBody for the modal body. Here's an example of what I'm trying to test:</p>

<pre><code>it(""renders only contentBody when provided"", () =&gt; {
let modalBoxObj = {
  contentBody: &lt;div className=""test-content-body""&gt;This is a test.&lt;/div&gt;
};

let element = React.createElement(ModalBox, {modalBox: modalBoxObj});

let component = TestUtils.renderIntoDocument(element);
let modalWrapper = TestUtils.scryRenderedDOMComponentsWithClass(component, 'modal');

// modalWrapper returns an empty array, so this returns ""Expected 0 to be 1""
expect(modalWrapper.length).toBe(1);

let testBody = TestUtils.scryRenderedDOMComponentsWithClass(component, 'test-content-body');


// testBody returns an empty array, so this returns ""Expected 0 to be 1""
expect(testBody.length).toBe(1);

// this returns ""TypeError: 'undefined' is not an object (evaluating 'testBody[0].innerHTML')""
expect(testBody[0].innerHTML).toEqual(""This is a test."");
}
</code></pre>

<p>I've also tried doing shallow rendering with TestUtils.createRenderer and trying that approach, but had no luck with it. Based on the examples I've seen online and previous testing experience with react &lt;0.14, I feel this test should work. I just don't know what I'm missing or misunderstanding. In the past, I did something like below and just looked at the componentNode object to find elements and such, but componentNode is returning null.</p>

<pre><code>let component = TestUtils.renderIntoDocument(element);
let componentNode = findDOMNode(component);
</code></pre>

<p>Thanks for your help!</p>
","2540448","","2540448","","2016-01-21 01:22:07","2016-01-23 01:11:39","React/Jasmine/Karma/Phantom Unit Test: findDOMNode and renderIntoDocument not working as expected","<unit-testing><reactjs><jasmine><reactjs-testutils>","1","0","","",""
"41626436","1","","","2017-01-13 02:24:45","","0","148","<p>I'm new to react :) </p>

<p>If my component render looks like this:</p>

<pre><code>render() {
return (
  &lt;object-search className=""m-t-xs""&gt;
    &lt;div className=""stats-title pull-left""&gt;
      &lt;h4&gt;Object Search&lt;/h4&gt;
</code></pre>

<p>and my tests are:</p>

<pre><code>beforeEach(() =&gt; {
    component = TestUtils.renderIntoDocument(&lt;ObjectSearch {...props}/&gt;);
    renderedDOM = () =&gt; ReactDOM.findDOMNode(component);
});
it('should render with the correct DOM', () =&gt; {
    const parent = renderedDOM();
    expect(parent.tagName).toBe('OBJECT-SEARCH');
    expect(parent.children.length).toBe(7);
    expect(parent.classList[0]).toEqual('m-t-xs');
})
</code></pre>

<p>why am I seeing an empty classList attribute?</p>

<pre><code>Home page ObjectSearch Rendering of ObjectSearch on componentDidMount should render with the correct DOM FAILED
Expected '' to equal 'm-t-xs'.
</code></pre>

<p>Note: using the karma test runner and jasmine</p>
","3562777","","","","","2017-01-13 02:24:45","react empty classlist attribute?","<reactjs><jasmine><karma-jasmine>","0","5","","",""
"35156232","1","","","2016-02-02 14:34:48","","1","89","<p>I have a mocha + chai test suite set up for unit testing in my react app. This has been working great, however I am trying to cover one small bit of new code and am not sure how to best approach this. I have a small function that calls jquery and a jquery plugin to print a page. The code looks like so :</p>

<pre><code> printAsset() {
    const iframeDocument = $('#previewForPrint').contents().find('body');

    $.print(iframeDocument, {
        globalStyles: false,
        mediaPrint: true,
        stylesheet: null,
        noPrintSelector: ""scrispt"",
        iframe: true,
        append: null,
        prepend: null,
        manuallyCopyFormValues: true
    });
}
</code></pre>

<p>This functionality works fine, however I cannot seem to find a way to correctly unit test this. A few important things to note are that the <code>jquery</code> and <code>jquery.print</code> are not installed in the package.json, they are bower components that are loaded on the index.html. So when running my unit test i don't believe i have access to jquery and the print jquery addon. Here is my test  : </p>

<pre><code>  it('fires print when the print button is clicked', () =&gt; {
    const previewCAS = TestUtils.renderIntoDocument(&lt;PrintAsset /&gt;);
    const button = TestUtils.scryRenderedDOMComponentsWithTag(PrintAsset, 'button');

    TestUtils.Simulate.click(button[0]);
    // breaks here
    // expect(Print).to.have.been.called();
});
</code></pre>

<p>This breaks with : ReferenceError: $ is not defined . So, I understand this, jquery is not imported uptop because its global with bower, however I am unsure how I am suppose to test this otherwise with the current suite. Is there a better way to do this or alternative approaches? Any advice would be greatly appreciated, thanks for reading!</p>
","3201696","","","","","2016-02-02 14:34:48","React, unit testing jquery + jquery print plugin in react","<javascript><jquery><unit-testing><reactjs>","0","0","","",""
"35138975","1","37112001","","2016-02-01 19:45:15","","7","1760","<p>I am trying to test drive react native code using <a href=""http://www.schibsted.pl/2015/10/testing-react-native-components-with-jest/"">this</a> guide. The react native is overridden by reactjs to enable shallow rendering and testing using jestjs.</p>

<p>Even though I am able test shallow rendered components (checking its presence and children), I am unable to test touch events.</p>

<pre><code>handleTouch() {
 this.setState({ showDescription: !this.state.showDescription });
}


render() {
const description = this.state.showDescription ? (&lt;Text style={styles.description}&gt;{this.props.entry.description}&lt;/Text&gt;) : null;
return (
  &lt;TouchableNativeFeedback onPress={() =&gt; this.handleTouch()}&gt;
    &lt;View style={styles.rowContainer}&gt;
      &lt;View style={styles.row}&gt;
      &lt;/View&gt;
      {description}
    &lt;/View&gt;
  &lt;/TouchableNativeFeedback&gt;
 )
}
</code></pre>

<p>I'm trying to test if on touch of <code>TouchableNativeFeedback</code>, <code>description</code> tag is rendered. The reactjs <a href=""https://facebook.github.io/react/docs/test-utils.html#simulate"">TestUtils</a> provides <code>Simulate</code> but it didn't work. </p>

<p>This is my spec setup:</p>

<pre><code>beforeEach(function() {
    profileView = TestUtils.renderIntoDocument(&lt;ProfileEntryView entry={entry}/&gt;);
    var touchableNativeFeedback = TestUtils.findRenderedComponentWithType(profileView, TouchableNativeFeedback);
    TestUtils.Simulate.onTouchEnd(touchableNativeFeedback);
});
</code></pre>

<p>How will I test UI interactions using reactjs <code>TestUtils</code> for react-native?</p>
","3804420","","3804420","","2016-03-15 10:11:36","2016-12-29 09:40:06","Unit testing touch events in react native","<tdd><ecmascript-6><react-native><jestjs>","1","0","3","",""
"47458123","1","","","2017-11-23 14:46:23","","0","71","<p>I am using enzyme for my unit tests and I am currently preparing to start using react@16.0.0 by updating all of my unit tests to run against it.</p>

<p>I have updated the following modules to allow for this...</p>

<pre><code>""enzyme"": ""3.1.0"",
""enzyme-adapter-react-16"": ""^1.0.0"",
""react"": ""^16.0.0"",
""react-dom"": ""^16.0.0"",
""react-test-renderer"": ""^16.0.0"",
</code></pre>

<p>Previously when running my unit tests, they would all pass and work fine. Since updating however I have found that any of my tests using <code>ReactTestUtils.renderIntoDocument</code> and rendering the component are no longer passing, they all just fail. </p>

<p>It's as if <code>ReactTestUtils.renderIntoDocument</code> is not rendering the component at all. </p>

<p>Below is an example of how I'm using this...</p>

<pre><code>import React from 'react';
import Component from '../../component-example';

const ReactTestUtils = require('react-dom/test-utils');

describe('Component test', () =&gt; {
  it('should render', () =&gt; {
    const component = ReactTestUtils.renderIntoDocument(&lt;Component /&gt;,);   
    const span = ReactTestUtils.findRenderedDOMComponentWithTag(component, 'span');

    expect(span.textContent).toBe('Hello world!');   
  }
}
</code></pre>

<p>Any help to get this working would be much appreciated.</p>
","970706","","970706","","2017-11-23 15:03:25","2017-11-23 15:03:25","update to react@16.0.0 and ReactTestUtils.renderIntoDocument no longer working","<reactjs><unit-testing><enzyme>","0","0","1","",""
"49943998","1","","","2018-04-20 14:28:49","","0","27","<p>This test is working (most of the time), but only when using setTimeout. I can't figure out why <code>wait</code> from <a href=""https://github.com/kentcdodds/react-testing-library/"" rel=""nofollow noreferrer""><code>react-testing-library</code></a> doesn't work (commented out), although I'm guessing it's because I'm ignorant about something. I am intentionally NOT mocking <code>axios</code> with this test (and related tests), as that would destroy most confidence in the integration test.</p>

<p>The problem is that occasionally the test would fail because it takes longer than 500ms to get a response back from the server when registering a new user. Also, it forces each test that uses this method to take at a minimum that 500ms, thus making it take potentially much longer than it needs to run all the tests.</p>

<p>Any suggestions would be greatly appreciated.</p>

<p>Test</p>

<pre><code>it('Registers a user when email and password are provided', async (done) =&gt; {
      expect.assertions(2)

      const wrapper = renderSetupWithRedux()
      const { registerUserForm, getByTestId, store } = wrapper
      const passwordInput = getByTestId('register-user-form-password')
      const emailInput = getByTestId('register-user-form-email')

      emailInput.value = userCreds.email 
      fireEvent(emailInput, new Event('change', {
        bubbles: true,
        cancelable: true,
      }))

      passwordInput.value = userCreds.password 
      fireEvent(passwordInput, new Event('change', {
        bubbles: true,
        cancelable: true,
      }))

      fireEvent(registerUserForm, new Event('submit', {
        bubbles: true,
        cancelable: true,
      }))

      // let stateAfterSubmit
      // await wait(() =&gt; stateAfterSubmit = store.getState())

      // need to wait for the response from the auth server (not able to get this to work with ""wait"" right now)
      setTimeout(() =&gt; {
        done()
        const stateAfterSubmit = store.getState()
        expect(stateAfterSubmit.auth.user.email).toBe(userCreds.email)
        expect(stateAfterSubmit.auth.authed).toBe(true)

        integrationStore = store // preserve store for next tests
      }, 500)
    })
</code></pre>

<p>renderSetupWithRedux</p>

<pre><code>function renderSetupWithRedux(store = integrationStore, overrides) {
  const wrapper = renderWithRedux(
    &lt;div&gt;
      &lt;RegisterUserForm /&gt;
      &lt;LogoutForm /&gt;
      &lt;LoginForm /&gt;
    &lt;/div&gt;,
    { store },
  )
  const loginForm = wrapper.getByTestId('login-form')
  const logoutFormButton = wrapper.getByTestId('logout-form-button')
  const registerUserForm = wrapper.getByTestId('register-user-form')
  const initialState = wrapper.store.getState()

  return {
    ...wrapper,
    initialState,
    loginForm,
    logoutFormButton,
    registerUserForm,
    ...overrides,
  }
}
</code></pre>

<p>renderWithRedux</p>

<pre><code>export function renderWithRedux(
  ui,
  { initialState, store = createStore(reducer, initialState) } = {},
) {
  return {
    ...renderIntoDocument(&lt;Provider store={store}&gt;{ui}&lt;/Provider&gt;),
    store,
  }
}
</code></pre>
","3914885","","","","","2018-04-20 14:28:49","Async integration test issues w/Jest & react-testing-library","<reactjs><testing><redux><react-redux><jest>","0","0","","",""
"35209849","1","","","2016-02-04 19:27:04","","1","180","<p>In testing my react components with mocha, I'm receiving the warning:</p>

<blockquote>
  <p>Warning: ReactDOMComponent: Do not access .props of a DOM node;
  instead, recreate the props as <code>render</code> did originally or read the DOM
  properties/attributes directly from this node (e.g.,
  this.refs.box.className). This DOM node was rendered by <code>Input</code>.</p>
</blockquote>

<p>My test looks like this:</p>

<pre><code>const component = renderIntoDocument(ComponentA);
const inputs = scryRenderedDOMComponentWithTag(component, 'input');
expect(inputs[0].props.value).to.equal('abc123');
</code></pre>

<p>This works and the tests pass, but obviously I'm doing something wrong per the warning.  My question is <strong>what is the proper way to test an input value in a component</strong></p>

<p>Note: The value is derived from a prop on the component e.g.<code>&lt;ComponentA myName=""abc""/&gt;</code></p>
","324243","","","","","2016-02-04 19:27:04","Proper way to get input value while testing react elements","<javascript><reactjs><mocha>","0","1","","",""
