Id,Title,CommentCount,Body,Text
"30141352","Changing class and style of React children using cloneElement","0","<p>Using the latest React (0.13) I am attempting to change the class and style of a child element using <code>cloneElement</code> prior to rendering.</p>

<p>Looking through the tests: <a href=""https://github.com/facebook/react/blob/0.13-stable/src/classic/element/__tests__/ReactElementClone-test.js#L44"" rel=""nofollow noreferrer"">https://github.com/facebook/react/blob/0.13-stable/src/classic/element/<strong>tests</strong>/ReactElementClone-test.js#L44</a></p>

<p>And other answers: <a href=""https://stackoverflow.com/questions/24856044/reactjs-how-to-change-style-and-class-of-react-component/24856195#24856195"">ReactJS - How to change style and class of react component?</a></p>

<p>It seems like this should be pretty straightforward, however I can't seem to achieve the desired behavior as detailed in this fiddle: <a href=""https://jsfiddle.net/69z2wepo/7924/"" rel=""nofollow noreferrer"">https://jsfiddle.net/69z2wepo/7924/</a></p>
",""
"31415305","how to interact with unspecified number of react child components","0","<p>I've got a component which can contain any number of child components, and I want these child components, which contain input fields, to set those input fields to ""disabled"" when the state in the parent is changed. I've been attempting to use <code>React.cloneElement</code> with <code>React.Children.map</code> to modify the properties of the child elements, but it doesn't seem to be affecting anything.</p>

<p>Here's a simplified version:</p>

<pre><code># parent component
# assume that there's a @setState call in here somewhere
DisableableItem = React.createClass
  getInitialState: -&gt;
    disabled: false
  render: -&gt;
    &lt;div&gt;
      {
        React.Children.map @props.children, (child) =&gt;
          React.cloneElement child, isDisabled: @state.disabled
      }
    &lt;/div&gt;

# child component
ParameterizedOption = React.createClass
  getInitialState: -&gt;
    disabled: @props.isDisabled
  render: -&gt;
    &lt;div className=""parameterized-option""&gt;
      &lt;label&gt;{@props.text}&lt;/label&gt;
      &lt;div className=""input-group input-group-sm""&gt;
        &lt;input type={@props.inputType or ""text""} className=""form-control""
          placeholder={@props.initialInput or ""00.00""}
          disabled={@state.disabled}&gt;&lt;/input&gt;
      &lt;/div&gt;
    &lt;/div&gt;
</code></pre>

<p>And rendering it like:</p>

<pre><code>React.render &lt;DisableableItem&gt;
    &lt;ParameterizedOption text=""hey"" isDisabled=false /&gt;
    &lt;ParameterizedOption text=""hey"" isDisabled=false /&gt;
  &lt;/DisableableItem&gt;, document.body
</code></pre>

<p>So I'm <code>console.log</code>ging the output, and the state in the parent is getting modified when I want it to, but the children's props are not getting modified as I thought the <code>React.cloneElement</code> call would modify them (they're always false as they were at start). I've taken a look at <a href=""https://stackoverflow.com/questions/30840258/encapsulation-with-react-child-components"">these</a> <a href=""https://stackoverflow.com/questions/21285923/reactjs-two-components-communicating"">questions</a>, but I don't think they really apply, since <code>DisableableItem</code> doesn't know what its children are until they're given to it in the call to <code>React.render</code>, so it can't put <code>disabled={@state.disabled}</code> as one of the children's properties.</p>

<p>How would I reach in and modify these children's state? Am I misunderstanding what <code>cloneElement</code> is supposed to do?</p>
",""
"32365171","React, cloneElement - invariant error","0","<p>My team has been trying to think ahead on the topic of form validation using react components.</p>

<p>We've been following a guide we've seen <a href=""http://christianalfoni.github.io/javascript/2014/10/22/nailing-that-validation-with-reactjs.html"" rel=""nofollow noreferrer"">here</a> which looks really awesome and well thought out.</p>

<p>There's a property on the component here that looks a like this:</p>

<pre><code>registerInputs: function (children) {
  React.Children.forEach(children, function (child) {
    if (child.props.name) {
      child.props.attachToForm = this.attachToForm;
      child.props.detachFromForm = this.detachFromForm;
    }

    if (child.props.children) {
      this.registerInputs(child.props.children);
    }
  }.bind(this));
},
attachToForm: function (component) {
  this.inputs[component.props.name] = component;
},
detachFromForm: function (component) {
  delete this.inputs[component.props.name];
}
</code></pre>

<p>The problem with this is attaching props this way gives you a warning in react, it suggests to use cloneElement instead.  It DOES work though, it just gives some console warnings which I don't like to see.</p>

<p>So in ES6 fashion, my team came up with this:</p>

<pre><code>registerInputs = children =&gt; {
    React.Children.forEach(children, child =&gt; {
        if (child.props.name) {
            React.cloneElement(child, {
                attachToForm: this.attachToForm,
                detachFromForm: this.detachFromForm
            })
            //child.props.attachToForm = this.attachToForm;
            //child.props.detachFromForm = this.detachFromForm;
        }
        if (child.props.children) {
            this.registerInputs(child.props.children);
        }
    })
}
attachToForm = component =&gt; {
    this.inputs[component.props.name] = component;
    this.model[component.props.name] = component.state.value;
}
detachFromForm = component =&gt; {
    delete this.inputs[component.props.name];
    delete this.model[component.props.name];
}
</code></pre>

<p>This does <strong>not</strong> work, we get an invariant error saying the dom node wasn't found (the one that says you either have a <code>&lt;tbody&gt;</code> missing etc.).</p>

<p>To clarify: If we comment out the cloneElement block, and uncomment the explicit declaration of the prop on the children, it works -but with the warnings.</p>

<p>We've tried a few other solutions including the similar question posted <a href=""https://stackoverflow.com/questions/31841949/react-this-cloneelement-and-es6"">here</a>
but this did not work for us.  We also tried mapping, which seems to be common in the react docs and returning the new array with the new props that way, but we kept getting the invariant error.</p>

<p><strong>How come setting the props on the children works when doing so in object dot notation works (though advises against it) and the cloned element approach does not?</strong></p>

<p>Console logging seems to indicate that cloning the children and adding the props the way we have done it above is not actually adding anything to the props object.</p>
",""
"32804901","React - How to use cloneElement so it preserves context","0","<p>I'm using React's undocumented context feature, <a href=""https://blog.jscrambler.com/react-js-communication-between-components-with-contexts/"" rel=""nofollow"">per this article</a>. I noticed there's a caveat, which is that this context feature only works if you explicitly invoke a component:</p>

<pre><code>render() {
  return &lt;div&gt;&lt;SomeComponent /&gt;&lt;/div&gt;
}
</code></pre>

<p>If you clone the item, though, context is not passed down:</p>

<pre><code>render() {
  return &lt;div&gt;{React.cloneElement(this.props.content)}&lt;/div&gt;
}
</code></pre>

<p>Is this a bug? Or is there some way to make this work that I'm not aware of?</p>
",""
"33221473","404 page not found using Django + react-router","5","<p>I am trying to use <code>reactjs</code> and <code>react-router</code> (<code>1.x</code>) with my Django application but I am having a hard time putting all this together. Here is the github project just incase I dont provide enough information within this question.</p>

<p><a href=""https://github.com/liondancer/django-cherngloong"" rel=""nofollow noreferrer"">https://github.com/liondancer/django-cherngloong</a></p>

<p>I created a <code>path=""about""</code> within my <code>routes.js</code> </p>

<pre><code>var routes = (
    &lt;Router&gt;
        &lt;Route path=""/"" component={ Views.Layout }&gt;
            &lt;IndexRoute component={ Views.Index } /&gt;
            &lt;Route path=""about"" component={ Views.About } /&gt;
        &lt;/Route&gt;
        &lt;Route path=""*"" component={ Views.RouteNotFound } /&gt;
    &lt;/Router&gt;
);

export default routes;
</code></pre>

<p>My <code>layout.js</code></p>

<pre><code>class Layout extends React.Component {
    constructor(props) {
        super(props);
    }
    render() {
        return (
            &lt;div id=""review-web""&gt;
                &lt;header className=""header""&gt;
                    &lt;LogoElement /&gt;
                    &lt;CenterPiece /&gt;
                &lt;/header&gt;
                &lt;div&gt;
                    { React.cloneElement(this.props.children, { path: this.props.path }) }
                &lt;/div&gt;
                &lt;Footer /&gt;
            &lt;/div&gt;
        );
    }
}

export default Layout;
</code></pre>

<p>When I enter in <code>localhost.8000/about</code> I get a <code>404</code> Django error</p>

<p><a href=""https://i.stack.imgur.com/CQF5r.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/CQF5r.png"" alt=""enter image description here""></a></p>

<p>My goal is to keep the frontend and backend separate so I believe I should be able to use Django as just an endpoint for data and not for rendering views.</p>
","You'll need to split your route handling in the Django app - e.g. serve anything prefixed by `/api/*` with Django directly, and anything else (wildcard) to `/path/to/your/index.html` - which is your React app. Otherwise Django interprets the `/about` route as it's own - it doesn't talk to the React app whatsoever (it can't)."
"33221473","404 page not found using Django + react-router","5","<p>I am trying to use <code>reactjs</code> and <code>react-router</code> (<code>1.x</code>) with my Django application but I am having a hard time putting all this together. Here is the github project just incase I dont provide enough information within this question.</p>

<p><a href=""https://github.com/liondancer/django-cherngloong"" rel=""nofollow noreferrer"">https://github.com/liondancer/django-cherngloong</a></p>

<p>I created a <code>path=""about""</code> within my <code>routes.js</code> </p>

<pre><code>var routes = (
    &lt;Router&gt;
        &lt;Route path=""/"" component={ Views.Layout }&gt;
            &lt;IndexRoute component={ Views.Index } /&gt;
            &lt;Route path=""about"" component={ Views.About } /&gt;
        &lt;/Route&gt;
        &lt;Route path=""*"" component={ Views.RouteNotFound } /&gt;
    &lt;/Router&gt;
);

export default routes;
</code></pre>

<p>My <code>layout.js</code></p>

<pre><code>class Layout extends React.Component {
    constructor(props) {
        super(props);
    }
    render() {
        return (
            &lt;div id=""review-web""&gt;
                &lt;header className=""header""&gt;
                    &lt;LogoElement /&gt;
                    &lt;CenterPiece /&gt;
                &lt;/header&gt;
                &lt;div&gt;
                    { React.cloneElement(this.props.children, { path: this.props.path }) }
                &lt;/div&gt;
                &lt;Footer /&gt;
            &lt;/div&gt;
        );
    }
}

export default Layout;
</code></pre>

<p>When I enter in <code>localhost.8000/about</code> I get a <code>404</code> Django error</p>

<p><a href=""https://i.stack.imgur.com/CQF5r.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/CQF5r.png"" alt=""enter image description here""></a></p>

<p>My goal is to keep the frontend and backend separate so I believe I should be able to use Django as just an endpoint for data and not for rendering views.</p>
","does it work if you do: <Route path=""/about"" component={ Views.About } /> (see the slash I used at the beginning of the path). Edit: Also, are you sure you don't want to include this line ""<Route path=""about"" component={ Views.About } />"" on it's own? It's currently nested inside the other route."
"33221473","404 page not found using Django + react-router","5","<p>I am trying to use <code>reactjs</code> and <code>react-router</code> (<code>1.x</code>) with my Django application but I am having a hard time putting all this together. Here is the github project just incase I dont provide enough information within this question.</p>

<p><a href=""https://github.com/liondancer/django-cherngloong"" rel=""nofollow noreferrer"">https://github.com/liondancer/django-cherngloong</a></p>

<p>I created a <code>path=""about""</code> within my <code>routes.js</code> </p>

<pre><code>var routes = (
    &lt;Router&gt;
        &lt;Route path=""/"" component={ Views.Layout }&gt;
            &lt;IndexRoute component={ Views.Index } /&gt;
            &lt;Route path=""about"" component={ Views.About } /&gt;
        &lt;/Route&gt;
        &lt;Route path=""*"" component={ Views.RouteNotFound } /&gt;
    &lt;/Router&gt;
);

export default routes;
</code></pre>

<p>My <code>layout.js</code></p>

<pre><code>class Layout extends React.Component {
    constructor(props) {
        super(props);
    }
    render() {
        return (
            &lt;div id=""review-web""&gt;
                &lt;header className=""header""&gt;
                    &lt;LogoElement /&gt;
                    &lt;CenterPiece /&gt;
                &lt;/header&gt;
                &lt;div&gt;
                    { React.cloneElement(this.props.children, { path: this.props.path }) }
                &lt;/div&gt;
                &lt;Footer /&gt;
            &lt;/div&gt;
        );
    }
}

export default Layout;
</code></pre>

<p>When I enter in <code>localhost.8000/about</code> I get a <code>404</code> Django error</p>

<p><a href=""https://i.stack.imgur.com/CQF5r.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/CQF5r.png"" alt=""enter image description here""></a></p>

<p>My goal is to keep the frontend and backend separate so I believe I should be able to use Django as just an endpoint for data and not for rendering views.</p>
","@user2719875 Right now my application uses [this](https://github.com/liondancer/django-cherngloong/blob/master/assets/js/index.js) to use `route.js`. If I were to enter `localhost:8000/` it will display [this](https://github.com/liondancer/django-cherngloong/blob/master/assets/js/views/index.js) component]"
"33221473","404 page not found using Django + react-router","5","<p>I am trying to use <code>reactjs</code> and <code>react-router</code> (<code>1.x</code>) with my Django application but I am having a hard time putting all this together. Here is the github project just incase I dont provide enough information within this question.</p>

<p><a href=""https://github.com/liondancer/django-cherngloong"" rel=""nofollow noreferrer"">https://github.com/liondancer/django-cherngloong</a></p>

<p>I created a <code>path=""about""</code> within my <code>routes.js</code> </p>

<pre><code>var routes = (
    &lt;Router&gt;
        &lt;Route path=""/"" component={ Views.Layout }&gt;
            &lt;IndexRoute component={ Views.Index } /&gt;
            &lt;Route path=""about"" component={ Views.About } /&gt;
        &lt;/Route&gt;
        &lt;Route path=""*"" component={ Views.RouteNotFound } /&gt;
    &lt;/Router&gt;
);

export default routes;
</code></pre>

<p>My <code>layout.js</code></p>

<pre><code>class Layout extends React.Component {
    constructor(props) {
        super(props);
    }
    render() {
        return (
            &lt;div id=""review-web""&gt;
                &lt;header className=""header""&gt;
                    &lt;LogoElement /&gt;
                    &lt;CenterPiece /&gt;
                &lt;/header&gt;
                &lt;div&gt;
                    { React.cloneElement(this.props.children, { path: this.props.path }) }
                &lt;/div&gt;
                &lt;Footer /&gt;
            &lt;/div&gt;
        );
    }
}

export default Layout;
</code></pre>

<p>When I enter in <code>localhost.8000/about</code> I get a <code>404</code> Django error</p>

<p><a href=""https://i.stack.imgur.com/CQF5r.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/CQF5r.png"" alt=""enter image description here""></a></p>

<p>My goal is to keep the frontend and backend separate so I believe I should be able to use Django as just an endpoint for data and not for rendering views.</p>
","when you go to ""/"" does it successfully serve the Views.Layout page? To me it looks like your application does not know to server or look at routes.js. Did you configure your app to use routes.js?"
"33221473","404 page not found using Django + react-router","5","<p>I am trying to use <code>reactjs</code> and <code>react-router</code> (<code>1.x</code>) with my Django application but I am having a hard time putting all this together. Here is the github project just incase I dont provide enough information within this question.</p>

<p><a href=""https://github.com/liondancer/django-cherngloong"" rel=""nofollow noreferrer"">https://github.com/liondancer/django-cherngloong</a></p>

<p>I created a <code>path=""about""</code> within my <code>routes.js</code> </p>

<pre><code>var routes = (
    &lt;Router&gt;
        &lt;Route path=""/"" component={ Views.Layout }&gt;
            &lt;IndexRoute component={ Views.Index } /&gt;
            &lt;Route path=""about"" component={ Views.About } /&gt;
        &lt;/Route&gt;
        &lt;Route path=""*"" component={ Views.RouteNotFound } /&gt;
    &lt;/Router&gt;
);

export default routes;
</code></pre>

<p>My <code>layout.js</code></p>

<pre><code>class Layout extends React.Component {
    constructor(props) {
        super(props);
    }
    render() {
        return (
            &lt;div id=""review-web""&gt;
                &lt;header className=""header""&gt;
                    &lt;LogoElement /&gt;
                    &lt;CenterPiece /&gt;
                &lt;/header&gt;
                &lt;div&gt;
                    { React.cloneElement(this.props.children, { path: this.props.path }) }
                &lt;/div&gt;
                &lt;Footer /&gt;
            &lt;/div&gt;
        );
    }
}

export default Layout;
</code></pre>

<p>When I enter in <code>localhost.8000/about</code> I get a <code>404</code> Django error</p>

<p><a href=""https://i.stack.imgur.com/CQF5r.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/CQF5r.png"" alt=""enter image description here""></a></p>

<p>My goal is to keep the frontend and backend separate so I believe I should be able to use Django as just an endpoint for data and not for rendering views.</p>
","@elithrar nice idea! but in case of wildcard * server will return http status_code 200 for every request, but it's nice to return http status_code 404 for non existed urls."
"33947146","Webpack react-native-webpack-server import 3d part library","0","<p>Have this webpack config I am using react-native-webpack-server</p>

<pre class=""lang-js prettyprint-override""><code>var fs = require('fs');
var path = require('path');
var webpack = require('webpack');

var config = {
  debug: true,
  devtool: 'source-map',
  entry: {
    'index.ios': ['./src/main.js'],
  },

  output: {
    path: path.resolve(__dirname, 'build'),
    filename: '[name].js',
  },

  module: {
    loaders: [
      {
        test: /\.js$/,
        exclude: /node_modules/,
        loader: 'babel',
        query: { stage: 0, plugins: ['./build/babelRelayPlugin'] }
      },
    ],
  },

  plugins: [],
};
</code></pre>



<p>When I do import </p>

<p>import ScrollableTabView from 'react-native-scrollable-tab-view';</p>

<p>I got </p>

<pre class=""lang-js prettyprint-override""><code>ERROR in ./~/react-native-scrollable-tab-view/index.js
Module parse failed: /Users/butuzgol/Playground/watchme/node_modules/react-native-scrollable-tab-view/index.js Line 135: Unexpected token &lt;
You may need an appropriate loader to handle this file type.
|       return React.cloneElement(this.props.renderTabBar(), props);
|     } else {
|       return &lt;DefaultTabBar {...props} /&gt;;
|     }
|   },
 @ ./src/pages/dashboard.js 25:36-79
</code></pre>



<p>Also I found this issue <a href=""https://github.com/mjohnston/react-native-webpack-server/issues/34"" rel=""nofollow"">https://github.com/mjohnston/react-native-webpack-server/issues/34</a> but for now I haven't found solution</p>
",""
