Id,Title,CommentCount,Body,Text
"29041034","How to detect child renders in a parent component in react.js","2","<p>I'm trying to cache the rendered markup of the <code>App</code> component. I know that this is somehow ""against the rules"" but I'm in a server-less environment (chrome-extension). Upon page load i want to inject the cached <code>App</code> markup into the DOM. The expected result is similar to the experience of having the react-component rendererd on a server. Very much as described here: <a href=""http://www.tabforacause.org/blog/2015/01/29/using-reactjs-and-application-cache-fast-synced-app/"" rel=""nofollow"">http://www.tabforacause.org/blog/2015/01/29/using-reactjs-and-application-cache-fast-synced-app/</a>.</p>

<p>To illustrate my usecase, I have updated the <a href=""http://jsfiddle.net/derflocki/fn3f9x02/5/"" rel=""nofollow"">Thinking in react example</a>: </p>

<ul>
<li>App
<ul>
<li>FilterableProductTable
<ul>
<li>SearchBar</li>
<li>ProductTable (containing from <code>reflux</code> store in state)
<ul>
<li>ProductCategoryRow</li>
<li>ProductRow</li>
</ul></li>
</ul></li>
</ul></li>
</ul>

<p>As is expected, neither <code>componentDidUpdate</code> nor <code>componentWillUpdate</code> are called in <code>App</code>.</p>

<p>Is it possible to detect updated child components in the <code>App</code> component in a sane way? Preferably without modifying the child component classes?</p>

<p>I would like to avoid moving props/state to <code>App</code>.</p>
","What problem are you trying to solve where the `App` component would need to know about child components changing?"
"29041034","How to detect child renders in a parent component in react.js","2","<p>I'm trying to cache the rendered markup of the <code>App</code> component. I know that this is somehow ""against the rules"" but I'm in a server-less environment (chrome-extension). Upon page load i want to inject the cached <code>App</code> markup into the DOM. The expected result is similar to the experience of having the react-component rendererd on a server. Very much as described here: <a href=""http://www.tabforacause.org/blog/2015/01/29/using-reactjs-and-application-cache-fast-synced-app/"" rel=""nofollow"">http://www.tabforacause.org/blog/2015/01/29/using-reactjs-and-application-cache-fast-synced-app/</a>.</p>

<p>To illustrate my usecase, I have updated the <a href=""http://jsfiddle.net/derflocki/fn3f9x02/5/"" rel=""nofollow"">Thinking in react example</a>: </p>

<ul>
<li>App
<ul>
<li>FilterableProductTable
<ul>
<li>SearchBar</li>
<li>ProductTable (containing from <code>reflux</code> store in state)
<ul>
<li>ProductCategoryRow</li>
<li>ProductRow</li>
</ul></li>
</ul></li>
</ul></li>
</ul>

<p>As is expected, neither <code>componentDidUpdate</code> nor <code>componentWillUpdate</code> are called in <code>App</code>.</p>

<p>Is it possible to detect updated child components in the <code>App</code> component in a sane way? Preferably without modifying the child component classes?</p>

<p>I would like to avoid moving props/state to <code>App</code>.</p>
","@WiredPrairie I have updated the question to include the bigger picture."
"30974404","How to create a HighCharts chart in react","6","<p>How can I create a component with a HighCharts chart, that create the chart ones on the first render and only update the series data when new data comes in using <code>chart.series[0].setData(data,true);</code></p>
","Then edit [componentDidUpdate](https://github.com/kirjs/react-highcharts/blob/master/src/Highcharts.jsx#L28) - compare previous options (arguments) with new state. If data changes - create new method to call `setData()`. If something else changed, call `renderChart()` again."
"33440604","reactjs - this is not a function error on upgrade","1","<p>I am actually updating <a href=""https://github.com/ezequiel/react-typeahead-component"" rel=""nofollow"">https://github.com/ezequiel/react-typeahead-component</a> this component to be compatible to react >= 0.14 but while changing the methods I just run into one error:</p>

<p>Exchange <code>this.getDOMnode</code> for the reason it is deprecated with <code>this.findDOMnode</code> it occurs an error: <code>Uncaught TypeError: this.findDOMNode is not a function</code></p>

<p>So I tried a lot about that React isn't binding <code>this</code> automatically in 0.14 to several functions. But it did not really helped me out.</p>

<pre class=""lang-js prettyprint-override""><code>module.exports = React.createClass({
  displayName: 'Aria Status',

  propTypes: process.env.NODE_ENV === 'production' ? {} : {
    message: React.PropTypes.string
  },

  componentDidMount: function() {
    var _this = this;

    _this.setTextContent(_this.props.message).bind(this);
  },

  componentDidUpdate: function() {
    var _this = this;

    _this.setTextContent(_this.props.message).bind(this);
  },

  render: function() {
    return (
      React.createElement(""span"", {
        role: ""status"",
        ""aria-live"": ""polite"",
        style: {
          left: '-9999px',
          position: 'absolute'
        }
      })
    );
  },

  setTextContent: function(textContent) {
    this.findDOMNode().textContent = textContent || '';
  }
});
</code></pre>

<p>Maybe someone can point me somewhere to go ahead!</p>
","Take a moment to read https://facebook.github.io/react/blog/2015/10/07/react-v0.14.html"
"34677234","Proper way to implement jwplayer in react component using webpack (react-starter-kit)","0","<p>i am making VideoPlayer react component with jwpalyer and i am using webpack es6 for loading module
webpack support npm module loading &amp; there is no npm for jwplayer</p>

<p>so am trying to include jwplayer.js using es6 import but it giving me error 
ReferenceError: window is not defined</p>

<p>so any one can help me to properly setup jwplayer with webpack</p>

<pre><code>  import React, { PropTypes, Component } from 'react';
  import $ from 'jquery';
  import Player from ""./lib/jwplayer/jwplayer.js"";
  import styles from './VideoPayer.css';
  import withStyles from '../../decorators/withStyles';
  import Link from '../Link';

  @withStyles(styles)
  class VideoPlayer extends Component {

    static propTypes = {
      className: PropTypes.string,
    };

    static defaultProps = {
      file: '',
      image: ''
    };

    constructor(props) {
      super(props);
      this.playerElement = document.getElementById('my-player');
    }


    componentDidMount() {
      if(this.props.file) {
        this.setupPlayer();
      }
    }

    componentDidUpdate() {
      if(this.props.file) {
        this.setupPlayer();
      }
    }

    componentWillUnmount() {
       Player().remove(this.playerElement);
    }

    setupPlayer() {
      if(Player(this.playerElement)) {
        Player(this.playerElement).remove();
      }

      Player(this.playerElement).setup({
        flashplayer: require('./lib/player/jwplayer.flash.swf'),
        file: this.props.file,
        image: this.props.image,
        width: '100%',
        height: '100%',
      });
    }

    render() {
      return (
        &lt;div&gt;
          &lt;div id=""my-player"" className=""video-player""&gt;&lt;/div&gt;
        &lt;/div&gt;
      )
    }
  }

export default VideoPlayer;
</code></pre>
",""
"35566357","velocity-react - animating scrollTop after component update","8","<p>I'm writing a simple ""console"" that shows messages in a chat-like manner. With messages appearing from the bottom, and moving up. </p>

<p>I have the working code, but I'd like to animate the appearing messages by scrolling the container to the bottom each time a new ""li"" is added.</p>

<p>Current code:</p>

<pre><code>import React from 'react';
import { render, findDOMNode } from 'react-dom';


export default React.createClass({
    componentDidUpdate : function(){
        var node = findDOMNode(this);
        node.scrollTop = node.scrollHeight;
    },
    render() {
        return (
            &lt;ul id=""log""&gt;
            {
                this.props.messages.map(function(message, index){
                    return &lt;li key={index}&gt;[{message.time.format('HH:mm:ss')}] {message.action}&lt;/li&gt;
                })
            }
            &lt;/ul&gt;
        )   
    }
})
</code></pre>

<p>The <code>messages</code> prop comes from the parent component and the store.</p>

<p>I found this velocity plugin: <a href=""https://github.com/twitter-fabric/velocity-react"">https://github.com/twitter-fabric/velocity-react</a> and I can't figure out how to use it in my situation. All the examples don't seem to apply (or maybe I just don't understand them).</p>

<p>I'm quite new to react, and some concepts still confuse me, so please be understanding.</p>

<p>I don't want to use jQuery.</p>
","This animation issue is not a blocker, so I let it wait for someone who is an expert on velocityjs. Until then - there's a whole app to make ;) Once I come to the point when I need it badly I will try to figure it out again. And if I fail, I'll probably end up copying the easing functions from velocity :)
Thanks for your input anyway!"
"35566357","velocity-react - animating scrollTop after component update","8","<p>I'm writing a simple ""console"" that shows messages in a chat-like manner. With messages appearing from the bottom, and moving up. </p>

<p>I have the working code, but I'd like to animate the appearing messages by scrolling the container to the bottom each time a new ""li"" is added.</p>

<p>Current code:</p>

<pre><code>import React from 'react';
import { render, findDOMNode } from 'react-dom';


export default React.createClass({
    componentDidUpdate : function(){
        var node = findDOMNode(this);
        node.scrollTop = node.scrollHeight;
    },
    render() {
        return (
            &lt;ul id=""log""&gt;
            {
                this.props.messages.map(function(message, index){
                    return &lt;li key={index}&gt;[{message.time.format('HH:mm:ss')}] {message.action}&lt;/li&gt;
                })
            }
            &lt;/ul&gt;
        )   
    }
})
</code></pre>

<p>The <code>messages</code> prop comes from the parent component and the store.</p>

<p>I found this velocity plugin: <a href=""https://github.com/twitter-fabric/velocity-react"">https://github.com/twitter-fabric/velocity-react</a> and I can't figure out how to use it in my situation. All the examples don't seem to apply (or maybe I just don't understand them).</p>

<p>I'm quite new to react, and some concepts still confuse me, so please be understanding.</p>

<p>I don't want to use jQuery.</p>
","Yes the code above is working. I'd like to animate the scroll. I know how to do this using jQuery, but attaching jQuery to react feels stupid. Meanwhile React animation plugins escape my understanding. I used ""pure"" velocity before, and I know how performant it is. It would be nice to be able to use it in React. So the question is virtually about velocity js, but I'm open to other suggestions."
"35566357","velocity-react - animating scrollTop after component update","8","<p>I'm writing a simple ""console"" that shows messages in a chat-like manner. With messages appearing from the bottom, and moving up. </p>

<p>I have the working code, but I'd like to animate the appearing messages by scrolling the container to the bottom each time a new ""li"" is added.</p>

<p>Current code:</p>

<pre><code>import React from 'react';
import { render, findDOMNode } from 'react-dom';


export default React.createClass({
    componentDidUpdate : function(){
        var node = findDOMNode(this);
        node.scrollTop = node.scrollHeight;
    },
    render() {
        return (
            &lt;ul id=""log""&gt;
            {
                this.props.messages.map(function(message, index){
                    return &lt;li key={index}&gt;[{message.time.format('HH:mm:ss')}] {message.action}&lt;/li&gt;
                })
            }
            &lt;/ul&gt;
        )   
    }
})
</code></pre>

<p>The <code>messages</code> prop comes from the parent component and the store.</p>

<p>I found this velocity plugin: <a href=""https://github.com/twitter-fabric/velocity-react"">https://github.com/twitter-fabric/velocity-react</a> and I can't figure out how to use it in my situation. All the examples don't seem to apply (or maybe I just don't understand them).</p>

<p>I'm quite new to react, and some concepts still confuse me, so please be understanding.</p>

<p>I don't want to use jQuery.</p>
","so u got the react part working and u r seeking pure js scrolling?"
"36047675","JQuery plugin and react events and properties","0","<p>Trying to get a react app working with <strong><a href=""http://getmdl.io/"" rel=""nofollow"">http://getmdl.io/</a></strong> just using client side code. I want a date picker and have found this <a href=""http://www.jqueryscript.net/time-clock/Pretty-Date-Time-Picker-Plugin-For-Bootstrap-Material.html"" rel=""nofollow"">http://www.jqueryscript.net/time-clock/Pretty-Date-Time-Picker-Plugin-For-Bootstrap-Material.html</a> which is rather nice. But I have a problem.  </p>

<p>How do you get a jquery event hooked up to call a function on a react class.</p>

<p>See this code below and the comment is where I want to call it. </p>

<pre><code>var DatePicker = React.createClass({
OnDateSelected: function (e) {
    this.props.onDateSelected(e.currentTarget.value);
},
render: function () {
    return (

        &lt;div className=""mdl-textfield mdl-js-textfield mdl-textfield--expandable""&gt;
            &lt;label className=""mdl-button mdl-js-button mdl-button--icon""&gt;
                &lt;i className=""material-icons""&gt;date_range&lt;/i&gt;
            &lt;/label&gt;
            &lt;div className=""mdl-textfield__expandable-holder""&gt;
                &lt;input id=""datepicker"" value={this.props.selectedDate} className=""mdl-textfield__input"" onChange={this.OnDateSelected} /&gt;
                &lt;label className=""mdl-textfield__label""&gt;Search text&lt;/label&gt;
            &lt;/div&gt;
        &lt;/div&gt;

    );
},
componentDidUpdate: function () {
    $(""#datepicker"").bootstrapMaterialDatePicker({ time: false, format: ""DD/MM/YYYY"" });


    $('#datepicker').bootstrapMaterialDatePicker().on('change', function (e, date) {
        // Call OnDateSelected here
    });

}});
</code></pre>
",""
"36311406","Refresh react component","3","<p>My node.js server sends with socket.io new data each 10s. In my web application I update this.state each time that my server sends data and force to update with forceUpdate()</p>

<p>However, my react component doesn't refresh, I don't know why. I followed the doc but I missed something...</p>

<p><strong>Parent :</strong></p>

<pre><code>class DataAnalytics extends React.Component {
  constructor(props) {
    super(props);
    socket = this.props.socket;
    this.state = {data: []};

    socket.on('dataCharts', (res) =&gt; {
      console.log(""new data charts : ""+res);
      var data = JSON.parse(res);   
      this.setState({data: data});
      this.forceUpdate();
    });
  }

  componentWillUnmount() {
    socket.off('dataCharts');
  }

  render() {
    return (
    &lt;div id=""dataAnalytics""&gt;
      &lt;Stats data={this.state.data}&gt;&lt;/Stats&gt;
    &lt;/div&gt;
    );
  }
}

export default DataAnalytics;
</code></pre>

<p><strong>Child :</strong></p>

<pre><code>class Stats extends React.Component {
  constructor(props) {
    super(props);
  }

  render() {
    return (
      &lt;div className=""stats"" style={{textAlign:'center'}}&gt;
        &lt;h4&gt;Number: &lt;/h4&gt;
      &lt;/div&gt;
    );
  }

  componentDidUpdate() {
    var data = this.props.data;

    if(!jQuery.isEmptyObject(data)) {
      $( "".stats"" ).html(""&lt;h4&gt;Number : data['nb']['counterIn']&lt;/h4&gt;"");
    }
  }
}

export default Stats;
</code></pre>

<p>Anyone know how to refresh automatically my React component.</p>
","I have this.setState() in my parent component... I tried to place it in different method (componentDidUpdate, componentWillMount ...), but same result :/"
