Id,Title,CommentCount,Body,Text
"24094973","What to use for two way binding in react js , props or state?","0","<p>I am trying to create a form using reactjs , I am trying out twoway binding .
I am not able to use props in the valueLink because it is can only take state .</p>

<p>Problem 1 : I am passing in properties when creating a component and in getInitial state I am setting it into state , as I cannot use props in valueLink . What is the better approach ?</p>

<p>I want to send every change in a text box to do some computation in server and get the computed values to state.</p>

<p>Problem 2 : I am unable to use method componentWillReceiveProps because , I use state .I am also unable use shouldComponentUpdate as I cannot do setState. What can I use here ?</p>
",""
"30078260","React.js shouldComponentUpdate() and react-router Link","2","<p>I currently have a doubt about the correct combined implementation of <strong>react-router Link navigation</strong> and <strong>shouldComponentUpdate()</strong> on the root application level.</p>

<p>That is, I have a root component called <strong>App.jsx</strong> which contains a global component with a <em>header, footer, sidebar</em> etc and this same component has an <em>ajax long-poll</em> which retrieves new registrations in the system and updates the state when new users register.</p>

<p>Since I don't want to push a re-render to the component <em>(and therefore all it's children)</em> on ajax responses that don't have updates I decided to make use of the lovely <strong>shouldComponentUpdate()</strong> method.</p>

<p>So, I came up with something like this - noting that I'm making use of lo-dash:</p>

<pre><code>shouldComponentUpdate (/*prevProps*/, prevState) {
  return !_.isEqual(this.state,prevState);
}
</code></pre>

<p>With this the component correctly ignores irrelevant responses about the latest registrations.</p>

<p>Now, the problem appears when I have to make the routing. To clarify before, this is the kind of structure of the <strong>render()</strong>:</p>

<p><em>Note: the _routerTransitionKey is just a helper I have to not make transitions when I'm navigating internal views state and it's working correctly.</em></p>

<pre><code>&lt;Grid key='app' id=""wrapper"" className=""no-padding""&gt;
  &lt;Header user={this.state.user} allRegistrations={this.state.allRegistrations}/&gt;
  &lt;section id=""page-wrapper""&gt;
    &lt;NotificationArea key='internalNotification' /&gt;
    &lt;RouteHandler key={_routerTransitionKey} user={this.state.user} allRegistrations={this.state.allRegistrations}/&gt;
  &lt;/section&gt;
&lt;/Grid&gt;
</code></pre>

<p>Because I have the RouteHandler inside this global component, I have the issue that a change in the route is completely ignored by it, <strong>since the application state itself didn't change</strong>. That causes the component to never trigger the <strong>render()</strong> on navigation and therefore <em>never update the RouteHandler</em>.</p>

<p>What I needed would be something like:</p>

<pre><code> shouldComponentUpdate (/*prevProps*/, prevState) {
   return !_.isEqual(this.state,prevState) || ROUTE_CHANGED ;
 }
</code></pre>

<p>My question is: does anybody out there knows of a clever approach to this issue? I'm trying to avoid having to create yet another wrapping component to handle the Routes before they reach this App component I currently have...</p>
","Hey @WayneC, I was trying your suggestion now and apparently the react-router props are not injected into the react props at this stage. That means it's not possible to use that to compare the previous and next paths. Thanks for the suggestion though."
"30078260","React.js shouldComponentUpdate() and react-router Link","2","<p>I currently have a doubt about the correct combined implementation of <strong>react-router Link navigation</strong> and <strong>shouldComponentUpdate()</strong> on the root application level.</p>

<p>That is, I have a root component called <strong>App.jsx</strong> which contains a global component with a <em>header, footer, sidebar</em> etc and this same component has an <em>ajax long-poll</em> which retrieves new registrations in the system and updates the state when new users register.</p>

<p>Since I don't want to push a re-render to the component <em>(and therefore all it's children)</em> on ajax responses that don't have updates I decided to make use of the lovely <strong>shouldComponentUpdate()</strong> method.</p>

<p>So, I came up with something like this - noting that I'm making use of lo-dash:</p>

<pre><code>shouldComponentUpdate (/*prevProps*/, prevState) {
  return !_.isEqual(this.state,prevState);
}
</code></pre>

<p>With this the component correctly ignores irrelevant responses about the latest registrations.</p>

<p>Now, the problem appears when I have to make the routing. To clarify before, this is the kind of structure of the <strong>render()</strong>:</p>

<p><em>Note: the _routerTransitionKey is just a helper I have to not make transitions when I'm navigating internal views state and it's working correctly.</em></p>

<pre><code>&lt;Grid key='app' id=""wrapper"" className=""no-padding""&gt;
  &lt;Header user={this.state.user} allRegistrations={this.state.allRegistrations}/&gt;
  &lt;section id=""page-wrapper""&gt;
    &lt;NotificationArea key='internalNotification' /&gt;
    &lt;RouteHandler key={_routerTransitionKey} user={this.state.user} allRegistrations={this.state.allRegistrations}/&gt;
  &lt;/section&gt;
&lt;/Grid&gt;
</code></pre>

<p>Because I have the RouteHandler inside this global component, I have the issue that a change in the route is completely ignored by it, <strong>since the application state itself didn't change</strong>. That causes the component to never trigger the <strong>render()</strong> on navigation and therefore <em>never update the RouteHandler</em>.</p>

<p>What I needed would be something like:</p>

<pre><code> shouldComponentUpdate (/*prevProps*/, prevState) {
   return !_.isEqual(this.state,prevState) || ROUTE_CHANGED ;
 }
</code></pre>

<p>My question is: does anybody out there knows of a clever approach to this issue? I'm trying to avoid having to create yet another wrapping component to handle the Routes before they reach this App component I currently have...</p>
","any reason you are ignoring props in the shouldComponentUpdate() ? React router injects the current path into [routehandler props](https://github.com/rackt/react-router/blob/master/doc/03%20Components/Route%20Handler.md), so they would change. (Is your app.jsx a routehandler too?)"
"30226313","How to check if react shouldComponentUpdate works correctly","1","<p>So I have lots of components and each of them has own <code>shouldComponentUpdate()</code> function. Most of them simply compare states based on immutable.js datasets. Some of them compares props. Some of them work with <a href=""https://facebook.github.io/react/docs/pure-render-mixin.html"" rel=""nofollow"">PureRenderMixin</a>. But with app's growth new states are added, new props are added, stores change their API and so on. So, at the moment I need something to check what actually going on while developing. I can use Chrome DevTools to review  and visualize where DOM is changed but have no idea how to check if react virtual DOM is changed.</p>

<p>I have an idea to cover <code>shouldComponentUpdate()</code>-s with tests but it seems to be a testing overhead as I test each possible state twice: its behavior in my app and its behaviour in <code>shouldComponentUpdate()</code>.</p>
","I don't understand what you're asking. Could you clarify your question?"
"30232219","Using React's shouldComponentUpdate with Immutable.js cursors","8","<p>I'm having trouble figuring out how to short circuit rendering a branch
of a tree of React components using Immutable.js cursors.</p>

<p>Take the following example:</p>

<pre><code>import React from 'react';
import Immutable from 'immutable';
import Cursor from 'immutable/contrib/cursor';

let data = Immutable.fromJS({
  things: [
    {title: '', key: 1},
    {title: '', key: 2}
  ]
});

class Thing extends React.Component {
  shouldComponentUpdate(nextProps) {
    return this.props.thing.deref() !== nextProps.thing.deref();
  }

  handleChangeTitle(e) {
    this.props.thing.set('title', e.target.value);
  }    

  render() {
    return &lt;div&gt;
      &lt;input value={this.props.thing.get('title')} 
        onChange={this.handleChangeTitle.bind(this)} /&gt;
    &lt;/div&gt;;
  }
}

class Container extends React.Component {
  render() {
    const cursor = Cursor.from(this.props.data, 'things', newThings =&gt; {
      data.set('things', newThings);
      renderContainer();
    });

    const things = cursor.map(thing =&gt; (
      &lt;Thing thing={thing} key={thing.get('key')} /&gt;
    ));

    return &lt;div&gt;
      {things}
    &lt;/div&gt;;
  }
}

const renderContainer = () =&gt; {
  React.render(&lt;Container data={data} /&gt;, document.getElementById('someDiv'));
};
</code></pre>

<p>Say I change the first <code>Thing</code>'s title. Only the first <code>Thing</code> will render with
the new title and the second <code>Thing</code> will not re-render due to
<code>shouldComponentUpdate</code>. However, if I change the second <code>Thing</code>'s title, the
  first <code>Thing</code>'s title will go back to <code>''</code> since the second <code>Thing</code>'s cursor
is still pointing at an older version of the root data.</p>

<p>We update the cursors on each render of <code>Container</code> but the ones that don't
render due to <code>shouldComponentUpdate</code> also don't get the new cursor with the updated
root data. The only way I can see keeping the cursors up to date is to remove
<code>shouldComponentUpdate</code> in the <code>Thing</code> component in this example.</p>

<p>Is there a way to change this example to use <code>shouldComponentUpdate</code> using fast referential
equality checks but also keep the cursors updated?</p>

<p>Or, if that's not possible, could you provide an overview of how you would generally work with cursors + React components and rendering only components with updated data?</p>
","I'm facing the same questions and signs are pointing to using an addon library of some sort which handles this for you. Currently, I'm looking at https://omniscientjs.github.io/ which is exactly what you are trying to achieve."
"30232219","Using React's shouldComponentUpdate with Immutable.js cursors","8","<p>I'm having trouble figuring out how to short circuit rendering a branch
of a tree of React components using Immutable.js cursors.</p>

<p>Take the following example:</p>

<pre><code>import React from 'react';
import Immutable from 'immutable';
import Cursor from 'immutable/contrib/cursor';

let data = Immutable.fromJS({
  things: [
    {title: '', key: 1},
    {title: '', key: 2}
  ]
});

class Thing extends React.Component {
  shouldComponentUpdate(nextProps) {
    return this.props.thing.deref() !== nextProps.thing.deref();
  }

  handleChangeTitle(e) {
    this.props.thing.set('title', e.target.value);
  }    

  render() {
    return &lt;div&gt;
      &lt;input value={this.props.thing.get('title')} 
        onChange={this.handleChangeTitle.bind(this)} /&gt;
    &lt;/div&gt;;
  }
}

class Container extends React.Component {
  render() {
    const cursor = Cursor.from(this.props.data, 'things', newThings =&gt; {
      data.set('things', newThings);
      renderContainer();
    });

    const things = cursor.map(thing =&gt; (
      &lt;Thing thing={thing} key={thing.get('key')} /&gt;
    ));

    return &lt;div&gt;
      {things}
    &lt;/div&gt;;
  }
}

const renderContainer = () =&gt; {
  React.render(&lt;Container data={data} /&gt;, document.getElementById('someDiv'));
};
</code></pre>

<p>Say I change the first <code>Thing</code>'s title. Only the first <code>Thing</code> will render with
the new title and the second <code>Thing</code> will not re-render due to
<code>shouldComponentUpdate</code>. However, if I change the second <code>Thing</code>'s title, the
  first <code>Thing</code>'s title will go back to <code>''</code> since the second <code>Thing</code>'s cursor
is still pointing at an older version of the root data.</p>

<p>We update the cursors on each render of <code>Container</code> but the ones that don't
render due to <code>shouldComponentUpdate</code> also don't get the new cursor with the updated
root data. The only way I can see keeping the cursors up to date is to remove
<code>shouldComponentUpdate</code> in the <code>Thing</code> component in this example.</p>

<p>Is there a way to change this example to use <code>shouldComponentUpdate</code> using fast referential
equality checks but also keep the cursors updated?</p>

<p>Or, if that's not possible, could you provide an overview of how you would generally work with cursors + React components and rendering only components with updated data?</p>
","The thing must hold onto its own state, and the owner component should hold onto whether it exists in that list. You're changing props, which is a big no-no."
"30232219","Using React's shouldComponentUpdate with Immutable.js cursors","8","<p>I'm having trouble figuring out how to short circuit rendering a branch
of a tree of React components using Immutable.js cursors.</p>

<p>Take the following example:</p>

<pre><code>import React from 'react';
import Immutable from 'immutable';
import Cursor from 'immutable/contrib/cursor';

let data = Immutable.fromJS({
  things: [
    {title: '', key: 1},
    {title: '', key: 2}
  ]
});

class Thing extends React.Component {
  shouldComponentUpdate(nextProps) {
    return this.props.thing.deref() !== nextProps.thing.deref();
  }

  handleChangeTitle(e) {
    this.props.thing.set('title', e.target.value);
  }    

  render() {
    return &lt;div&gt;
      &lt;input value={this.props.thing.get('title')} 
        onChange={this.handleChangeTitle.bind(this)} /&gt;
    &lt;/div&gt;;
  }
}

class Container extends React.Component {
  render() {
    const cursor = Cursor.from(this.props.data, 'things', newThings =&gt; {
      data.set('things', newThings);
      renderContainer();
    });

    const things = cursor.map(thing =&gt; (
      &lt;Thing thing={thing} key={thing.get('key')} /&gt;
    ));

    return &lt;div&gt;
      {things}
    &lt;/div&gt;;
  }
}

const renderContainer = () =&gt; {
  React.render(&lt;Container data={data} /&gt;, document.getElementById('someDiv'));
};
</code></pre>

<p>Say I change the first <code>Thing</code>'s title. Only the first <code>Thing</code> will render with
the new title and the second <code>Thing</code> will not re-render due to
<code>shouldComponentUpdate</code>. However, if I change the second <code>Thing</code>'s title, the
  first <code>Thing</code>'s title will go back to <code>''</code> since the second <code>Thing</code>'s cursor
is still pointing at an older version of the root data.</p>

<p>We update the cursors on each render of <code>Container</code> but the ones that don't
render due to <code>shouldComponentUpdate</code> also don't get the new cursor with the updated
root data. The only way I can see keeping the cursors up to date is to remove
<code>shouldComponentUpdate</code> in the <code>Thing</code> component in this example.</p>

<p>Is there a way to change this example to use <code>shouldComponentUpdate</code> using fast referential
equality checks but also keep the cursors updated?</p>

<p>Or, if that's not possible, could you provide an overview of how you would generally work with cursors + React components and rendering only components with updated data?</p>
","I've written a boilerplate, which includes the example above, using Omniscient. Available here: https://github.com/datashaman/react-quickie"
"30232219","Using React's shouldComponentUpdate with Immutable.js cursors","8","<p>I'm having trouble figuring out how to short circuit rendering a branch
of a tree of React components using Immutable.js cursors.</p>

<p>Take the following example:</p>

<pre><code>import React from 'react';
import Immutable from 'immutable';
import Cursor from 'immutable/contrib/cursor';

let data = Immutable.fromJS({
  things: [
    {title: '', key: 1},
    {title: '', key: 2}
  ]
});

class Thing extends React.Component {
  shouldComponentUpdate(nextProps) {
    return this.props.thing.deref() !== nextProps.thing.deref();
  }

  handleChangeTitle(e) {
    this.props.thing.set('title', e.target.value);
  }    

  render() {
    return &lt;div&gt;
      &lt;input value={this.props.thing.get('title')} 
        onChange={this.handleChangeTitle.bind(this)} /&gt;
    &lt;/div&gt;;
  }
}

class Container extends React.Component {
  render() {
    const cursor = Cursor.from(this.props.data, 'things', newThings =&gt; {
      data.set('things', newThings);
      renderContainer();
    });

    const things = cursor.map(thing =&gt; (
      &lt;Thing thing={thing} key={thing.get('key')} /&gt;
    ));

    return &lt;div&gt;
      {things}
    &lt;/div&gt;;
  }
}

const renderContainer = () =&gt; {
  React.render(&lt;Container data={data} /&gt;, document.getElementById('someDiv'));
};
</code></pre>

<p>Say I change the first <code>Thing</code>'s title. Only the first <code>Thing</code> will render with
the new title and the second <code>Thing</code> will not re-render due to
<code>shouldComponentUpdate</code>. However, if I change the second <code>Thing</code>'s title, the
  first <code>Thing</code>'s title will go back to <code>''</code> since the second <code>Thing</code>'s cursor
is still pointing at an older version of the root data.</p>

<p>We update the cursors on each render of <code>Container</code> but the ones that don't
render due to <code>shouldComponentUpdate</code> also don't get the new cursor with the updated
root data. The only way I can see keeping the cursors up to date is to remove
<code>shouldComponentUpdate</code> in the <code>Thing</code> component in this example.</p>

<p>Is there a way to change this example to use <code>shouldComponentUpdate</code> using fast referential
equality checks but also keep the cursors updated?</p>

<p>Or, if that's not possible, could you provide an overview of how you would generally work with cursors + React components and rendering only components with updated data?</p>
","Does adding a 'key' to the Thing help? It's required for lists of things to work correctly."
"30232219","Using React's shouldComponentUpdate with Immutable.js cursors","8","<p>I'm having trouble figuring out how to short circuit rendering a branch
of a tree of React components using Immutable.js cursors.</p>

<p>Take the following example:</p>

<pre><code>import React from 'react';
import Immutable from 'immutable';
import Cursor from 'immutable/contrib/cursor';

let data = Immutable.fromJS({
  things: [
    {title: '', key: 1},
    {title: '', key: 2}
  ]
});

class Thing extends React.Component {
  shouldComponentUpdate(nextProps) {
    return this.props.thing.deref() !== nextProps.thing.deref();
  }

  handleChangeTitle(e) {
    this.props.thing.set('title', e.target.value);
  }    

  render() {
    return &lt;div&gt;
      &lt;input value={this.props.thing.get('title')} 
        onChange={this.handleChangeTitle.bind(this)} /&gt;
    &lt;/div&gt;;
  }
}

class Container extends React.Component {
  render() {
    const cursor = Cursor.from(this.props.data, 'things', newThings =&gt; {
      data.set('things', newThings);
      renderContainer();
    });

    const things = cursor.map(thing =&gt; (
      &lt;Thing thing={thing} key={thing.get('key')} /&gt;
    ));

    return &lt;div&gt;
      {things}
    &lt;/div&gt;;
  }
}

const renderContainer = () =&gt; {
  React.render(&lt;Container data={data} /&gt;, document.getElementById('someDiv'));
};
</code></pre>

<p>Say I change the first <code>Thing</code>'s title. Only the first <code>Thing</code> will render with
the new title and the second <code>Thing</code> will not re-render due to
<code>shouldComponentUpdate</code>. However, if I change the second <code>Thing</code>'s title, the
  first <code>Thing</code>'s title will go back to <code>''</code> since the second <code>Thing</code>'s cursor
is still pointing at an older version of the root data.</p>

<p>We update the cursors on each render of <code>Container</code> but the ones that don't
render due to <code>shouldComponentUpdate</code> also don't get the new cursor with the updated
root data. The only way I can see keeping the cursors up to date is to remove
<code>shouldComponentUpdate</code> in the <code>Thing</code> component in this example.</p>

<p>Is there a way to change this example to use <code>shouldComponentUpdate</code> using fast referential
equality checks but also keep the cursors updated?</p>

<p>Or, if that's not possible, could you provide an overview of how you would generally work with cursors + React components and rendering only components with updated data?</p>
","The omniscient documentation is a little fragmented, but this guide here is good at explaining what's going on in omniscient. Not sure if it warrants an answer for you, but it comes close. http://omniscientjs.github.io/guides/01-simpler-ui-reasoning-with-unidirectional/"
"30232219","Using React's shouldComponentUpdate with Immutable.js cursors","8","<p>I'm having trouble figuring out how to short circuit rendering a branch
of a tree of React components using Immutable.js cursors.</p>

<p>Take the following example:</p>

<pre><code>import React from 'react';
import Immutable from 'immutable';
import Cursor from 'immutable/contrib/cursor';

let data = Immutable.fromJS({
  things: [
    {title: '', key: 1},
    {title: '', key: 2}
  ]
});

class Thing extends React.Component {
  shouldComponentUpdate(nextProps) {
    return this.props.thing.deref() !== nextProps.thing.deref();
  }

  handleChangeTitle(e) {
    this.props.thing.set('title', e.target.value);
  }    

  render() {
    return &lt;div&gt;
      &lt;input value={this.props.thing.get('title')} 
        onChange={this.handleChangeTitle.bind(this)} /&gt;
    &lt;/div&gt;;
  }
}

class Container extends React.Component {
  render() {
    const cursor = Cursor.from(this.props.data, 'things', newThings =&gt; {
      data.set('things', newThings);
      renderContainer();
    });

    const things = cursor.map(thing =&gt; (
      &lt;Thing thing={thing} key={thing.get('key')} /&gt;
    ));

    return &lt;div&gt;
      {things}
    &lt;/div&gt;;
  }
}

const renderContainer = () =&gt; {
  React.render(&lt;Container data={data} /&gt;, document.getElementById('someDiv'));
};
</code></pre>

<p>Say I change the first <code>Thing</code>'s title. Only the first <code>Thing</code> will render with
the new title and the second <code>Thing</code> will not re-render due to
<code>shouldComponentUpdate</code>. However, if I change the second <code>Thing</code>'s title, the
  first <code>Thing</code>'s title will go back to <code>''</code> since the second <code>Thing</code>'s cursor
is still pointing at an older version of the root data.</p>

<p>We update the cursors on each render of <code>Container</code> but the ones that don't
render due to <code>shouldComponentUpdate</code> also don't get the new cursor with the updated
root data. The only way I can see keeping the cursors up to date is to remove
<code>shouldComponentUpdate</code> in the <code>Thing</code> component in this example.</p>

<p>Is there a way to change this example to use <code>shouldComponentUpdate</code> using fast referential
equality checks but also keep the cursors updated?</p>

<p>Or, if that's not possible, could you provide an overview of how you would generally work with cursors + React components and rendering only components with updated data?</p>
","I will say that unless you start with omniscient, it's a PITA to migrate an existing codebase. But working with it from scratch, it's a thing of great beauty."
